Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"497,43 M","552,46 M","613,75 M","508,50 M","459,20 M","459,16 M","388,26 M","383,61 M","490,03 M","462,55 M","452,23 M","399,30 M","334,80 M","360,73 M","309,41 M","246,84 M","283,97 M","293,78 M","236,15 M","197,13 M","155,18 M","156,54 M","156,44 M","168,86 M","160,75 M","153,77 M","99,33 M","99,14 M","90,98 M"
Custos,"-371,86 M","-403,59 M","-422,36 M","-378,69 M","-355,61 M","-334,65 M","-286,38 M","-283,12 M","-355,00 M","-350,34 M","-341,75 M","-322,49 M","-258,63 M","-273,83 M","-265,68 M","-227,71 M","-246,19 M","-234,85 M","-187,46 M","-172,78 M","-130,24 M","-150,98 M","-120,40 M","-135,99 M","-110,06 M","-127,89 M","-81,97 M","-80,24 M","-73,30 M"
Lucro bruto,"125,56 M","148,87 M","191,39 M","129,81 M","103,59 M","124,51 M","101,88 M","100,49 M","135,03 M","112,21 M","110,47 M","76,81 M","76,17 M","86,90 M","43,73 M","19,14 M","37,79 M","58,93 M","48,69 M","24,35 M","24,94 M","5,56 M","36,04 M","32,87 M","50,68 M","25,88 M","17,36 M","18,90 M","17,68 M"
Despesas operacionais,"-62,52 M","-66,20 M","-59,53 M","-67,26 M","-52,25 M","-54,69 M","-62,55 M","-17,60 M","-47,55 M","-55,79 M","-55,99 M","39,45 M","-36,84 M","-45,97 M","-37,68 M","-34,56 M","-36,67 M","-43,72 M","-47,55 M","-14,94 M","-19,58 M","-14,81 M","-19,21 M","-6,13 M","-13,93 M","-9,36 M","-9,43 M","-10,89 M","-9,47 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-56,53 M","-77,55 M","-61,99 M","-58,41 M","-53,24 M","-49,30 M","-54,06 M","-44,05 M","-43,14 M","-53,01 M","-44,06 M","-37,73 M","-32,53 M","-29,71 M","-25,81 M","-27,93 M","-31,38 M","-25,15 M","-43,26 M","-22,16 M","-19,81 M","-26,88 M","-19,42 M","-16,86 M","-14,66 M","-20,50 M","-11,06 M","-9,47 M","-9,02 M"
EBIT,"63,05 M","82,67 M","131,86 M","62,56 M","51,34 M","69,81 M","39,33 M","82,89 M","87,48 M","56,43 M","54,48 M","116,27 M","39,33 M","40,94 M","6,05 M","-15,43 M","1,11 M","15,21 M","1,14 M","9,41 M","5,36 M","-9,25 M","16,83 M","26,74 M","36,75 M","16,52 M","7,93 M","8,01 M","8,21 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-22,24 M","-76,05 M","-61,82 M","-32,04 M","-16,41 M","-107,03 M","-37,06 M","-76,77 M","-47,13 M","-29,96 M","-56,93 M","-28,89 M","-35,07 M","-39,90 M","-41,91 M","-73,85 M","5,09 M","-32,66 M","-40,49 M","25,89 M","-39,98 M","5,28 M","-21,93 M","-22,22 M","-64,47 M","-2,57 M","-18,50 M","-1,81 M","-5,06 M"
Antes dos impostos,"40,81 M","6,62 M","70,04 M","30,52 M","34,92 M","-37,21 M","2,27 M","6,12 M","40,34 M","26,47 M","-2,44 M","87,37 M","4,26 M","1,04 M","-35,86 M","-89,27 M","6,21 M","-17,44 M","-39,35 M","35,29 M","-34,63 M","-3,98 M","-5,11 M","4,52 M","-27,71 M","13,95 M","-10,57 M","6,21 M","3,15 M"
Imposto,"-11,05 M","17,46 M","-12,00 M","-20,81 M","-21,27 M","15,07 M","-12,17 M","-10,82 M","-19,21 M","-5,85 M","-11,48 M","-23,95 M","-9,80 M","27,87 M","-220,00 Mil","12,67 M","-15,41 M","2,92 M","8,23 M","-16,82 M","14,43 M","-1,97 M","1,06 M","1,62 M","8,76 M","1,03 M","3,17 M","-2,95 M","-4,37 M"
Op. continuadas,"29,75 M","24,07 M","58,04 M","9,70 M","13,65 M","-22,14 M","-9,90 M","-4,69 M","21,14 M","20,62 M","-13,93 M","63,43 M","-5,55 M","28,91 M","-36,08 M","-76,60 M","-9,21 M","-14,53 M","-31,13 M","18,47 M","-20,20 M","-5,95 M","-4,04 M","6,14 M","-18,96 M","14,98 M","-7,40 M","3,26 M","-1,22 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"29,75 M","24,07 M","58,04 M","9,70 M","13,65 M","-22,14 M","-9,90 M","-4,69 M","21,14 M","20,62 M","-13,93 M","63,43 M","-5,55 M","28,91 M","-36,08 M","-76,60 M","-9,21 M","-14,53 M","-31,13 M","18,47 M","-20,20 M","-5,95 M","-4,04 M","6,14 M","-18,96 M","14,98 M","-7,40 M","3,26 M","-1,22 M"
