Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"331,08 M","264,31 M","281,05 M","264,18 M","240,80 M","230,21 M","249,07 M","215,05 M","209,15 M","198,59 M","192,60 M","196,25 M","188,84 M","179,21 M","197,18 M","150,61 M","99,23 M","155,36 M","99,84 M","92,69 M","87,62 M","103,02 M","97,61 M","99,84 M","91,51 M","94,55 M","91,64 M","83,30 M","78,67 M"
Custos,"-198,36 M","-140,80 M","-144,28 M","-140,10 M","-139,90 M","-132,09 M","-124,14 M","-121,12 M","-112,57 M","-131,53 M","-120,79 M","-129,71 M","-146,57 M","-128,02 M","-138,59 M","-106,50 M","-65,21 M","-76,65 M","-61,38 M","-59,18 M","-59,38 M","-59,37 M","-60,81 M","-67,09 M","-57,89 M","-66,27 M","-62,79 M","-57,48 M","-55,15 M"
Lucro bruto,"132,72 M","123,51 M","136,77 M","124,08 M","100,90 M","98,12 M","124,93 M","93,93 M","96,57 M","67,06 M","71,81 M","66,54 M","42,27 M","51,19 M","58,58 M","44,11 M","34,01 M","78,71 M","38,46 M","33,50 M","28,24 M","43,65 M","36,79 M","32,74 M","33,62 M","28,28 M","28,85 M","25,82 M","23,53 M"
Despesas operacionais,"-46,43 M","-38,89 M","-52,29 M","-42,93 M","-41,20 M","-51,11 M","-33,84 M","-29,72 M","-25,76 M","22,34 M","-27,30 M","-22,55 M","-30,45 M","-47,00 M","-36,49 M","-24,78 M","-22,12 M","-19,89 M","-18,65 M","-8,54 M","-52,15 M","-8,71 M","-13,51 M","-8,14 M","-13,16 M","-80,72 M","-8,74 M","-24,54 M","-13,65 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-45,16 M","-49,02 M","-50,33 M","-45,28 M","-43,34 M","-46,48 M","-45,26 M","-34,59 M","-37,85 M","-40,98 M","-30,98 M","-24,60 M","-36,16 M","-46,70 M","-45,66 M","-34,84 M","-21,22 M","-15,93 M","-21,01 M","-10,17 M","-51,32 M","-10,84 M","-15,43 M","-13,35 M","-10,30 M","-11,00 M","-12,54 M","-14,25 M","-13,48 M"
EBIT,"86,29 M","84,62 M","84,48 M","81,15 M","59,70 M","47,01 M","91,08 M","64,21 M","70,82 M","89,40 M","44,50 M","43,99 M","11,83 M","4,19 M","22,09 M","19,33 M","11,89 M","58,82 M","19,81 M","24,96 M","-23,91 M","34,93 M","23,29 M","24,61 M","20,45 M","-52,44 M","20,11 M","1,28 M","9,87 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-51,41 M","-55,44 M","-53,76 M","-48,66 M","-55,23 M","-49,06 M","-46,73 M","-36,10 M","-38,88 M","426,00 Mil","-34,48 M","-36,95 M","-47,80 M","-79,69 M","-36,94 M","-10,69 M","-27,04 M","-51,90 M","-14,23 M","-13,63 M","-19,42 M","-18,15 M","-17,62 M","6,01 M","-26,09 M","50,68 M","-12,78 M","-14,06 M","-12,95 M"
Antes dos impostos,"34,88 M","29,18 M","30,73 M","32,50 M","4,47 M","-2,05 M","44,35 M","28,11 M","31,94 M","89,83 M","10,02 M","7,04 M","-35,97 M","-75,50 M","-14,85 M","8,64 M","-15,14 M","6,92 M","5,57 M","11,34 M","-43,33 M","16,78 M","5,67 M","30,62 M","-5,64 M","-1,76 M","7,33 M","-12,78 M","-3,08 M"
Imposto,"-12,26 M","-5,76 M","-3,38 M","-5,74 M","-8,02 M","-6,09 M","-3,10 M","-16,95 M","-1,74 M","2,48 M","-6,12 M","-9,89 M","-7,21 M","-8,64 M","-14,78 M","-18,96 M","-4,23 M","-21,96 M","-6,92 M","-4,94 M","-2,19 M","-10,34 M","-4,35 M","-5,59 M","-3,52 M","91,00 Mil","-2,54 M","-2,58 M","-1,26 M"
Op. continuadas,"22,62 M","23,42 M","27,34 M","26,76 M","-3,56 M","-8,13 M","41,26 M","11,16 M","30,19 M","92,30 M","3,89 M","-2,85 M","-43,18 M","-84,14 M","-29,63 M","-10,32 M","-19,37 M","-15,03 M","-1,35 M","6,40 M","-45,52 M","6,43 M","1,31 M","25,02 M","-9,16 M","-1,67 M","4,79 M","-15,36 M","-4,34 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"22,62 M","23,42 M","27,34 M","26,76 M","-3,56 M","-8,13 M","41,26 M","11,16 M","30,19 M","92,30 M","3,89 M","-2,85 M","-43,18 M","-84,14 M","-29,63 M","-10,32 M","-19,37 M","-15,03 M","-1,35 M","6,40 M","-45,52 M","6,43 M","1,31 M","25,02 M","-9,16 M","-1,67 M","4,79 M","-15,36 M","-4,34 M"
Dos controladores,"18,78 M","19,33 M","23,29 M","23,85 M","-6,32 M","-10,54 M","37,08 M","8,81 M","25,54 M","88,49 M","1,85 M","-5,15 M","-45,07 M","-85,80 M","-31,09 M","-11,97 M","-20,15 M","-18,65 M","-3,20 M","5,41 M","-46,58 M","5,67 M","47,00 Mil","24,36 M","-10,01 M","19,95 M","3,76 M","-16,20 M","256,00 Mil"
