Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"696,70 M","690,94 M","1,49 B","1,40 B","1,39 B","1,02 B","2,37 B","2,36 B","2,37 B","2,37 B","2,72 B","2,72 B","2,73 B","2,75 B","2,21 B","2,23 B","2,23 B","2,23 B","2,38 B","1,49 B","1,49 B","1,49 B","2,00 B","2,00 B","2,01 B","2,01 B","3,16 B","3,17 B","3,18 B","1,74 B","1,74 B","1,74 B","1,74 B","1,74 B","1,66 B","1,66 B","1,68 B","1,69 B","1,71 B","1,65 B","1,82 B","1,81 B","9,58 B","7,28 B","7,29 B","6,05 B","6,36 B","5,91 B","6,03 B","8,54 B","8,81 B","10,75 B","10,60 B","9,80 B","8,28 B","7,67 B","5,57 B","4,45 B","3,74 B","3,47 B","3,45 B","3,41 B","668,91 M"
Ativo circulante,"30,00 M","23,91 M","26,72 M","18,51 M","11,03 M","7,56 M","8,85 M","11,75 M","11,54 M","9,56 M","16,00 M","11,74 M","20,02 M","27,36 M","34,41 M","18,96 M","17,13 M","14,56 M","13,43 M","23,11 M","16,64 M","10,52 M","14,94 M","14,44 M","14,64 M","14,44 M","14,45 M","12,64 M","12,91 M","10,37 M","11,12 M","10,42 M","8,87 M","9,42 M","13,83 M","13,06 M","31,75 M","31,53 M","6,49 M","9,61 M","142,94 M","134,07 M","5,86 B","4,53 B","4,57 B","3,73 B","3,66 B","3,37 B","3,41 B","3,88 B","368,22 M","1,56 B","1,85 B","2,18 B","1,66 B","2,39 B","1,75 B","1,32 B","1,84 B","2,10 B","2,26 B","2,37 B","8,43 M"
Caixa e eq. de caixa,"11,41 M","9,31 M","14,77 M","10,30 M","2,45 M","614,00 Mil","1,52 M","5,74 M","5,49 M","2,14 M","3,58 M","5,84 M","7,89 M","17,81 M","22,05 M","7,05 M","5,65 M","4,83 M","2,69 M","1,51 M","1,69 M","826,00 Mil","802,00 Mil","1,03 M","1,10 M","1,11 M","1,61 M","996,00 Mil","1,42 M","890,00 Mil","2,14 M","2,17 M","1,14 M","1,91 M","1,74 M","1,23 M","805,00 Mil","890,00 Mil","482,00 Mil","4,01 M","12,64 M","8,82 M","76,65 M","78,25 M","126,66 M","146,61 M","110,35 M","115,18 M","128,25 M","164,25 M","195,46 M","798,37 M","1,28 B","1,68 B","1,20 B","1,93 B","1,43 B","1,03 B","1,56 B","1,85 B","2,07 B","2,24 B","8,16 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,43 M","36,65 M","43,07 M","54,94 M",0,0,0,"1,17 M","1,16 M","1,15 M","19,58 M","21,06 M",0,0,0,"3,66 M",0,0,0,0,0
Contas a receber,"18,13 M","13,79 M","10,80 M","7,79 M","8,16 M","6,20 M","6,27 M","5,63 M","5,72 M","6,82 M","10,08 M","5,52 M","9,54 M","8,72 M","9,25 M","9,74 M","9,48 M","7,64 M","8,53 M","18,41 M","12,01 M","6,94 M","11,40 M","11,03 M","11,17 M","10,91 M","10,53 M","9,83 M","9,69 M","7,57 M","6,94 M","7,02 M","6,53 M","6,33 M","8,36 M","8,51 M","26,67 M","24,52 M","2,38 M","2,29 M","17,84 M","42,10 M","813,78 M","533,70 M","468,34 M","281,57 M","185,50 M","221,85 M","170,15 M","90,55 M","23,86 M","452,07 M","317,51 M","237,52 M","146,08 M","225,96 M","105,00 M","89,19 M","75,10 M","80,87 M","30,79 M","20,22 M","268,00 Mil"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,67 M","2,74 M","3,23 M","4,86 M","2,15 M","2,15 M","2,15 M","826,00 Mil","227,50 M","225,59 M","225,87 M","223,78 M","146,76 M","146,53 M","145,80 M","145,66 M","100,91 M","93,89 M","92,05 M","51,31 M","45,24 M","12,12 M","8,53 M","6,21 M","4,02 M","2,27 M",0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"666,70 M","667,03 M","1,46 B","1,38 B","1,38 B","1,02 B","2,36 B","2,35 B","2,36 B","2,36 B","2,71 B","2,71 B","2,71 B","2,72 B","2,18 B","2,21 B","2,21 B","2,22 B","2,36 B","1,47 B","1,47 B","1,48 B","1,98 B","1,99 B","1,99 B","2,00 B","3,15 B","3,16 B","3,17 B","1,73 B","1,73 B","1,73 B","1,73 B","1,73 B","1,65 B","1,65 B","1,65 B","1,66 B","1,71 B","1,64 B","1,67 B","1,68 B","3,72 B","2,75 B","2,73 B","2,31 B","2,71 B","2,54 B","2,62 B","4,66 B","8,44 B","9,19 B","8,75 B","7,62 B","6,62 B","5,28 B","3,82 B","3,13 B","1,89 B","1,36 B","1,19 B","1,04 B","660,48 M"
Investimentos,"655,00 M","655,01 M","1,01 B","1,01 B","1,01 B","1,01 B","1,98 B","1,98 B","1,98 B","1,98 B","2,31 B","2,31 B","2,31 B","2,31 B","1,84 B","1,84 B","1,84 B","1,84 B","1,84 B","939,61 M","939,74 M","939,42 M","1,49 B","1,49 B","1,49 B","1,49 B","1,68 B","1,68 B","1,68 B","1,68 B","1,68 B","1,68 B","1,68 B","1,68 B","4,37 M","4,37 M","4,36 M","1,60 B",0,0,"29,03 M","29,89 M","33,45 M","32,32 M","32,33 M","32,33 M","42,78 M","40,86 M","39,83 M","41,18 M","39,12 M","39,12 M","43,27 M","21,07 M",0,0,0,0,0,0,0,0,0
Imobilizado,"627,00 Mil","646,00 Mil","654,00 Mil","676,00 Mil","686,00 Mil","703,00 Mil","737,00 Mil","747,00 Mil","746,00 Mil","699,00 Mil","684,00 Mil","689,00 Mil","706,00 Mil","720,00 Mil","328,00 Mil","340,00 Mil","332,00 Mil","292,00 Mil","396,00 Mil","427,00 Mil","520,00 Mil","621,00 Mil","722,00 Mil","825,00 Mil","931,00 Mil","1,04 M","1,15 M","1,26 M","1,37 M","1,48 M","1,59 M","1,70 M","1,81 M","1,94 M","1,59 B","1,59 B","1,59 B","2,79 M","1,60 B","1,57 B","1,57 B","1,57 B","3,61 B","2,63 B","2,62 B","2,20 B","2,56 B","2,40 B","2,48 B","4,50 B","8,17 B","9,06 B","8,51 B","7,42 B","6,42 B","5,12 B","3,71 B","3,04 B","1,87 B","1,32 B","1,13 B","961,96 M","657,18 M"
