Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"21,82 M","15,43 M","24,01 M","21,78 M","21,43 M","11,77 M","18,68 M","17,41 M","16,56 M","10,37 M","14,74 M","10,29 M","9,85 M","4,50 M","8,60 M","9,70 M","9,05 M","7,55 M","7,00 M","6,68 M","5,17 M","2,99 M","2,56 M","2,60 M","2,90 M","1,79 M","3,06 M","2,97 M","4,20 M","1,70 M","1,67 M","3,03 M",0,"2,66 M","2,93 M","2,21 M",0,"1,07 M","18,00 Mil",0,0,"-278,11 M","103,38 M","88,28 M","275,15 M","225,38 M","221,29 M","166,35 M","118,06 M","308,63 M","151,93 M","188,47 M","96,10 M","153,82 M","80,32 M","93,97 M","105,66 M","80,11 M","29,28 M","25,35 M","9,49 M","8,83 M",0,0,0
Custos,"-2,02 M","6,24 M","-2,22 M","-2,02 M","-2,00 M","5,13 M","-2,00 M","-1,61 M","-1,53 M","3,27 M","-1,36 M","-978,00 Mil","-934,00 Mil","2,51 M","-797,00 Mil","-886,00 Mil","-829,00 Mil","-752,00 Mil","-758,00 Mil","-613,00 Mil","-478,00 Mil","-277,00 Mil","-237,00 Mil","-241,00 Mil","-268,00 Mil","946,00 Mil","-283,00 Mil","-663,00 Mil",0,0,0,0,0,0,0,0,0,"-1,53 M","-1,31 M","-1,45 M","-3,03 M","231,26 M","-155,01 M","-66,18 M","-209,99 M","-188,59 M","-170,37 M","-121,94 M","-68,20 M","-61,95 M","-94,76 M","-91,42 M","-55,54 M","-102,77 M","-37,22 M","-52,27 M","-67,86 M","-31,23 M","-25,09 M","-18,74 M","-6,40 M","-8,27 M",0,0,0
Lucro bruto,"19,80 M","21,68 M","21,79 M","19,77 M","19,42 M","16,90 M","16,68 M","15,80 M","15,04 M","13,64 M","13,38 M","9,31 M","8,92 M","7,01 M","7,80 M","8,81 M","8,22 M","6,80 M","6,25 M","6,07 M","4,69 M","2,72 M","2,32 M","2,36 M","2,63 M","2,74 M","2,77 M","2,31 M","4,20 M","1,70 M","1,67 M","3,03 M",0,"2,66 M","2,93 M","2,21 M",0,"-455,00 Mil","-1,30 M","-1,45 M","-3,03 M","-46,84 M","-51,62 M","22,09 M","65,16 M","36,79 M","50,92 M","44,42 M","49,86 M","246,68 M","57,16 M","97,05 M","40,56 M","51,05 M","43,10 M","41,69 M","37,80 M","48,88 M","4,18 M","6,61 M","3,09 M","567,00 Mil",0,0,0
Despesas operacionais,"-17,36 M","-289,51 M","22,60 M","-35,01 M","-20,82 M","-999,02 M","7,68 M","-24,66 M","-20,16 M","-350,28 M","-8,96 M","-22,13 M","-12,49 M","584,59 M","-30,21 M","-9,08 M","-19,25 M","5,37 M","882,34 M","-62,78 M","-14,73 M","-564,04 M","-10,32 M","-11,05 M","-5,87 M","-179,43 M","-14,52 M","-14,25 M","-14,62 M","-15,73 M","-13,08 M","-33,54 M",0,"-157,48 M","-12,88 M","-22,32 M",0,"-1,02 B","1,10 B","-751,70 M","-286,54 M","-328,08 M","-238,16 M","-31,20 M","260,38 M","-1,23 B","-182,30 M","-139,75 M","-2,56 B","-606,84 M","-1,84 B","-215,62 M","-72,35 M","-65,81 M","-47,84 M","-52,75 M","-42,30 M","-66,48 M","-42,20 M","-32,85 M","-46,85 M","-49,82 M","-51,73 M","-43,36 M","-27,81 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-17,36 M","-12,69 M","-12,99 M","-33,58 M","-20,86 M","-28,59 M","-45,52 M","-37,33 M","-21,73 M","-17,01 M","-14,34 M","-17,56 M","-16,44 M","4,58 M","-31,38 M","-6,15 M","-19,27 M","5,01 M","-14,78 M","-58,67 M","-15,03 M","-13,01 M","-11,15 M","-6,86 M","-5,86 M","9,87 M","-14,51 M","-14,22 M","-14,62 M","-15,72 M","-13,83 M","-33,48 M",--,"-137,67 M","-12,86 M","-21,84 M",--,"-367,68 M","-36,49 M","-124,79 M","-34,61 M","-3,10 M","677,00 Mil","-15,18 M","-14,84 M","-67,45 M","-26,18 M","-22,55 M","-60,56 M","-89,35 M","36,99 M","-44,62 M","-54,92 M","-50,86 M","-47,84 M","-52,75 M","-42,30 M","-66,48 M","-42,00 M","-32,85 M","-46,83 M","-49,82 M","-51,73 M","-43,36 M","-27,81 M"
EBIT,"2,43 M","-267,83 M","44,39 M","-15,24 M","-1,40 M","-982,12 M","24,36 M","-8,87 M","-5,12 M","-336,64 M","4,42 M","-12,82 M","-3,57 M","591,61 M","-22,41 M","-267,00 Mil","-11,02 M","12,17 M","888,58 M","-56,71 M","-10,04 M","-561,32 M","-8,00 M","-8,69 M","-3,24 M","-176,69 M","-11,74 M","-11,94 M","-10,42 M","-14,03 M","-11,41 M","-30,51 M",0,"-154,82 M","-9,94 M","-20,11 M",0,"-1,02 B","1,10 B","-753,16 M","-289,58 M","-374,92 M","-289,78 M","-9,11 M","325,54 M","-1,19 B","-131,38 M","-95,33 M","-2,51 B","-360,17 M","-1,78 B","-118,58 M","-31,79 M","-14,75 M","-4,74 M","-11,06 M","-4,51 M","-17,60 M","-38,01 M","-26,24 M","-43,76 M","-49,25 M","-51,73 M","-43,36 M","-27,81 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-286,32 M","-320,94 M","-124,80 M","-261,10 M","-237,17 M","-278,77 M","-200,09 M","-281,36 M","-190,68 M","-345,26 M","-210,93 M","-193,99 M","-209,27 M","-201,49 M","-150,34 M","-198,05 M","-134,48 M","-137,69 M","-127,79 M","-49,92 M","-90,74 M","-70,19 M","-73,76 M","-61,91 M","-114,20 M","-90,54 M","-89,69 M","-83,97 M","-93,62 M","-75,74 M","-86,92 M","-114,63 M",0,"-118,74 M","-82,29 M","-91,83 M",0,"-110,23 M","-252,61 M","-111,22 M","-36,32 M","-157,44 M","206,73 M","-186,73 M","-97,42 M","-106,05 M","-44,37 M","-85,21 M","-108,57 M","-26,50 M","-57,47 M","46,80 M","-5,75 M","-6,79 M","-2,08 M","-10,73 M","3,67 M","2,17 M","97,34 M","14,81 M","22,62 M","25,21 M","-9,55 M","49,12 M","-2,51 M"
Antes dos impostos,"-283,89 M","-588,77 M","-80,40 M","-276,34 M","-238,57 M","-1,26 B","-175,74 M","-290,22 M","-195,80 M","-681,90 M","-206,51 M","-206,81 M","-212,84 M","390,12 M","-172,74 M","-198,31 M","-145,50 M","-125,52 M","760,79 M","-106,62 M","-100,79 M","-631,51 M","-81,76 M","-70,60 M","-117,44 M","-267,24 M","-101,43 M","-95,91 M","-104,04 M","-89,77 M","-98,33 M","-145,14 M",0,"-273,56 M","-92,23 M","-111,94 M",0,"-1,13 B","845,87 M","-864,38 M","-325,90 M","-532,36 M","-83,05 M","-195,84 M","228,12 M","-1,29 B","-175,74 M","-180,55 M","-2,62 B","-386,67 M","-1,84 B","-71,77 M","-37,55 M","-21,54 M","-6,82 M","-21,80 M","-836,00 Mil","-15,43 M","59,33 M","-11,43 M","-21,14 M","-24,04 M","-61,28 M","5,76 M","-30,32 M"
