Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"16,16 B","18,43 B","18,15 B","18,36 B","19,37 B","19,70 B","19,67 B","20,04 B","20,86 B","22,05 B","22,68 B","44,40 B","43,45 B","43,84 B","43,39 B","46,06 B","44,76 B","49,44 B","48,70 B","47,52 B","50,03 B","53,30 B","63,24 B","63,09 B","59,60 B","58,48 B","42,25 B","32,87 B","57,67 B","61,99 B","47,88 B","46,49 B","45,42 B","47,71 B","41,74 B","41,01 B","41,39 B","45,22 B","41,96 B","42,03 B","43,48 B","47,24 B","42,27 B","41,47 B","42,97 B","45,34 B","39,23 B","35,46 B","35,96 B","38,01 B","33,58 B","33,40 B","34,24 B","34,83 B","34,76 B","33,96 B","32,03 B","33,77 B","30,95 B","30,42 B","30,23 B","29,77 B","18,57 B"
Ativo circulante,"4,93 B","5,86 B","4,83 B","5,22 B","5,66 B","6,12 B","5,88 B","6,02 B","6,43 B","7,52 B","7,94 B","28,95 B","27,98 B","28,56 B","13,85 B","15,39 B","14,04 B","17,87 B","14,26 B","14,29 B","13,65 B","17,64 B","20,82 B","21,16 B","20,64 B","19,97 B","20,90 B","12,00 B","36,92 B","40,85 B","31,88 B","31,24 B","30,61 B","33,02 B","27,32 B","26,97 B","27,97 B","31,65 B","19,92 B","19,45 B","21,08 B","24,96 B","19,62 B","19,38 B","21,20 B","24,02 B","18,33 B","15,67 B","16,38 B","18,61 B","14,85 B","14,91 B","15,89 B","16,68 B","17,18 B","16,76 B","15,47 B","17,28 B","15,44 B","15,30 B","14,88 B","14,67 B","8,40 B"
Caixa e eq. de caixa,"943,00 M","1,99 B","1,35 B","1,77 B","2,16 B","2,63 B","2,29 B","2,44 B","2,83 B","2,97 B","3,03 B","3,22 B","3,52 B","3,75 B","3,86 B","3,92 B","3,61 B","8,27 B","4,53 B","4,92 B","3,89 B","8,71 B","7,28 B","7,74 B","6,15 B","7,95 B","12,66 B","4,71 B","2,36 B","4,37 B","2,62 B","3,05 B","1,70 B","3,79 B","1,27 B","2,37 B","1,68 B","5,11 B","3,38 B","3,72 B","4,45 B","11,02 B","5,41 B","6,81 B","6,14 B","11,15 B","6,60 B","5,36 B","5,35 B","8,37 B","4,78 B","5,04 B","6,00 B","7,09 B","5,55 B","5,47 B","3,75 B","4,97 B","3,57 B","3,96 B","3,59 B","3,82 B","230,33 M"
Aplicações financeiras,"24,00 M","24,00 M","20,00 M","16,00 M","16,00 M","15,00 M","15,00 M","14,00 M","17,00 M","777,00 M","711,00 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,99 M","23,62 M","24,00 M","23,27 M","23,11 M",0,0,0,0,0,0,0,0,"367,23 M","600,61 M","2,11 B"
Contas a receber,"278,00 M","355,00 M","460,00 M","477,00 M","379,00 M","455,00 M","374,00 M","398,00 M","499,00 M","573,00 M","613,00 M","761,00 M","588,00 M","696,00 M","1,10 B","1,45 B","1,03 B","1,12 B","970,00 M","857,00 M","916,00 M","1,05 B","1,08 B","1,11 B","1,29 B","1,11 B","722,00 M","665,00 M","1,07 B","686,00 M","1,20 B","553,00 M","1,18 B","885,00 M","1,14 B","598,00 M","869,00 M","669,00 M","4,15 B","4,66 B","5,66 B","3,58 B","4,14 B","2,94 B","4,82 B","3,43 B","3,16 B","2,70 B","2,65 B","2,74 B","2,58 B","2,73 B","3,14 B","2,86 B","5,49 B","5,27 B","5,27 B","5,72 B","5,13 B","4,91 B","4,24 B","4,32 B","2,48 B"
Estoques,"1,97 B","1,96 B","1,91 B","1,93 B","2,11 B","2,01 B","2,01 B","2,00 B","1,88 B","1,95 B","1,99 B","1,97 B","2,08 B","2,05 B","5,54 B","5,35 B","4,88 B","5,26 B","6,58 B","6,21 B","6,78 B","6,54 B","9,87 B","9,14 B","9,70 B","8,63 B","6,05 B","5,69 B","5,73 B","5,91 B","5,54 B","5,14 B","4,76 B","4,82 B","4,63 B","4,43 B","4,58 B","4,64 B","7,86 B","8,94 B","9,16 B","8,96 B","8,62 B","8,21 B","8,90 B","8,36 B","7,45 B","6,46 B","7,17 B","6,38 B","6,25 B","5,90 B","5,68 B","5,76 B","5,18 B","4,94 B","5,18 B","5,55 B","5,10 B","4,82 B","4,85 B","4,82 B","2,83 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"11,23 B","12,57 B","13,32 B","13,14 B","13,71 B","13,59 B","13,80 B","14,02 B","14,43 B","14,53 B","14,75 B","15,45 B","15,47 B","15,28 B","29,55 B","30,66 B","30,72 B","31,57 B","34,44 B","33,23 B","36,38 B","35,65 B","42,42 B","41,93 B","38,96 B","38,51 B","21,35 B","20,86 B","20,75 B","21,14 B","16,00 B","15,26 B","14,80 B","14,69 B","14,42 B","14,04 B","13,42 B","13,57 B","22,04 B","22,59 B","22,41 B","22,28 B","22,65 B","22,09 B","21,77 B","21,32 B","20,90 B","19,79 B","19,58 B","19,40 B","18,73 B","18,49 B","18,35 B","18,15 B","17,57 B","17,20 B","16,56 B","16,49 B","15,51 B","15,13 B","15,35 B","15,10 B","10,17 B"
Investimentos,0,0,"840,00 M","823,00 M","804,00 M","804,00 M","789,00 M","802,00 M","786,00 M","864,00 M","849,00 M","837,00 M","835,00 M","833,00 M","4,10 B","4,24 B","4,18 B","4,51 B","4,71 B","4,49 B","5,08 B","4,89 B","4,44 B","4,27 B","3,82 B","3,66 B","271,00 M","232,00 M","236,00 M","223,00 M","227,00 M","209,00 M","188,00 M","177,00 M","298,00 M","282,00 M","356,00 M","339,00 M","488,00 M","468,00 M","439,00 M","407,00 M","504,00 M","482,00 M","447,00 M","426,00 M","393,43 M","358,58 M","330,95 M","310,00 M","389,55 M","373,98 M","371,28 M","362,43 M","366,06 M","269,45 M","258,10 M","340,12 M","242,94 M","231,55 M","228,86 M","232,54 M","194,23 M"
Imobilizado,"5,94 B","6,14 B","6,01 B","6,08 B","6,17 B","6,15 B","6,12 B","6,22 B","6,26 B","6,58 B","6,45 B","6,74 B","6,91 B","6,84 B","15,37 B","15,64 B","15,54 B","16,34 B","19,11 B","18,45 B","20,27 B","19,89 B","26,44 B","24,78 B","22,60 B","24,29 B","13,94 B","13,43 B","13,18 B","14,05 B","9,24 B","8,97 B","9,15 B","9,14 B","9,19 B","8,98 B","8,97 B","9,18 B","10,60 B","10,53 B","10,42 B","10,38 B","10,19 B","10,02 B","9,83 B","9,70 B","9,40 B","9,19 B","9,11 B","9,05 B","8,66 B","8,51 B","8,29 B","8,11 B","7,73 B","7,55 B","7,44 B","7,36 B","7,14 B","6,98 B","6,86 B","6,79 B","5,36 B"
