Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"416,69 M","427,40 M","504,07 M","514,54 M","529,73 M","534,65 M","540,65 M","623,84 M","654,84 M","670,20 M","1,05 B","1,10 B","1,13 B","1,17 B","1,21 B","1,22 B","1,22 B","1,28 B","1,40 B","1,55 B","1,66 B","1,73 B","1,80 B","1,82 B","1,86 B","1,93 B","2,14 B","2,20 B","2,33 B","2,48 B","2,47 B","2,58 B","2,83 B","2,97 B","3,92 B","4,10 B","4,45 B","4,65 B","7,25 B","8,91 B","10,14 B","10,96 B","13,38 B","15,02 B","15,19 B","15,92 B","16,11 B","16,22 B","16,59 B","16,80 B","16,81 B","17,20 B","16,83 B","16,69 B","17,75 B","17,95 B","17,33 B","17,25 B","16,65 B","16,48 B","15,81 B","15,39 B","6,08 B"
Ativo circulante,"227,23 M","250,69 M","323,27 M","345,34 M","334,96 M","331,52 M","329,29 M","412,72 M","428,73 M","448,49 M","808,20 M","860,14 M","893,84 M","930,39 M","957,34 M","967,82 M","970,80 M","1,00 B","1,07 B","1,20 B","1,30 B","1,37 B","1,41 B","1,41 B","1,44 B","1,49 B","1,66 B","1,70 B","1,79 B","1,92 B","1,85 B","1,93 B","2,10 B","2,18 B","2,67 B","2,74 B","2,74 B","2,70 B","3,53 B","4,04 B","4,53 B","4,85 B","5,62 B","6,58 B","7,92 B","7,98 B","9,38 B","8,60 B","9,53 B","9,73 B","9,22 B","10,02 B","9,95 B","10,54 B","13,70 B","13,48 B","12,59 B","12,66 B","12,24 B","11,87 B","12,13 B","11,52 B","3,82 B"
Caixa e eq. de caixa,"10,44 M","18,82 M","14,93 M","17,13 M","18,51 M","17,44 M","16,53 M","31,91 M","47,56 M","52,63 M","64,20 M","75,01 M","82,60 M","91,72 M","86,70 M","83,30 M","91,44 M","84,89 M","119,40 M","123,82 M","119,73 M","109,29 M","117,46 M","104,37 M","100,41 M","111,35 M","125,97 M","130,20 M","130,05 M","128,27 M","165,94 M","156,10 M","155,42 M","144,78 M","160,99 M","182,54 M","173,30 M","200,97 M","234,60 M","270,62 M","372,54 M","604,09 M","467,02 M","1,15 B","833,03 M","1,04 B","996,94 M","842,14 M","991,45 M","1,31 B","1,52 B","1,80 B","1,83 B","1,76 B","1,79 B","1,92 B","1,66 B","1,63 B","700,25 M","541,74 M","511,75 M","1,72 B","110,64 M"
Aplicações financeiras,"13,74 M","13,31 M","12,99 M","12,55 M","12,20 M","11,97 M","11,55 M","10,19 M","9,27 M","8,99 M","8,85 M","8,69 M","8,34 M","7,45 M","7,42 M","6,64 M","6,23 M","13,19 M","12,37 M","10,39 M","12,88 M","12,66 M","12,31 M","8,74 M","7,86 M","6,97 M","6,08 M","8,87 M","7,55 M","9,97 M","68,14 M","69,84 M","65,52 M","67,91 M","64,41 M","61,28 M","43,76 M",0,0,0,0,0,"41,41 M","47,78 M","47,73 M","47,68 M","41,29 M","42,07 M","43,75 M","43,89 M",0,"205,72 M",0,0,0,0,0,0,"698,41 M","867,99 M","1,10 B",0,"988,71 M"
Contas a receber,"81,85 M","97,78 M","147,92 M","145,81 M","136,62 M","128,24 M","130,30 M","134,98 M","124,64 M","130,22 M","144,48 M","166,52 M","176,76 M","190,70 M","213,95 M","215,56 M","187,19 M","207,00 M","214,98 M","224,27 M","223,57 M","226,29 M","215,54 M","207,17 M","200,25 M","195,44 M","291,32 M","290,70 M","311,28 M","330,53 M","625,80 M","657,04 M","665,03 M","688,17 M","1,06 B","1,17 B","1,22 B","1,25 B","1,67 B","1,85 B","2,19 B","2,23 B","2,94 B","3,00 B","4,46 B","4,50 B","5,70 B","4,85 B","5,61 B","5,46 B","5,52 B","5,59 B","5,57 B","6,28 B","7,76 B","7,49 B","6,86 B","6,70 B","6,36 B","6,12 B","5,97 B","5,78 B","1,29 B"
Estoques,"114,39 M","116,69 M","142,04 M","163,14 M","161,04 M","167,15 M","159,54 M","224,70 M","238,35 M","247,67 M","582,24 M","602,05 M","619,15 M","627,50 M","635,43 M","647,24 M","671,17 M","678,06 M","711,95 M","828,21 M","930,77 M","1,01 B","1,04 B","1,07 B","1,11 B","1,16 B","1,22 B","1,25 B","1,32 B","1,42 B","946,46 M","1,00 B","1,16 B","1,20 B","1,30 B","1,26 B","1,22 B","1,17 B","1,49 B","1,67 B","1,71 B","1,72 B","1,78 B","1,97 B","2,15 B","1,93 B","2,17 B","2,41 B","2,43 B","2,49 B","1,73 B","1,99 B","2,11 B","2,07 B","3,48 B","3,44 B","3,40 B","3,71 B","3,73 B","3,40 B","3,63 B","3,32 B","1,27 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"189,46 M","176,71 M","180,80 M","169,21 M","194,76 M","203,13 M","211,35 M","211,12 M","226,12 M","221,72 M","242,03 M","240,77 M","237,88 M","244,29 M","254,02 M","254,88 M","250,93 M","275,06 M","329,54 M","351,68 M","356,82 M","364,24 M","396,37 M","408,04 M","421,59 M","440,53 M","472,21 M","496,62 M","536,87 M","553,82 M","622,32 M","644,22 M","726,70 M","790,54 M","1,25 B","1,36 B","1,70 B","1,95 B","3,71 B","4,86 B","5,61 B","6,11 B","7,76 B","8,44 B","7,27 B","7,95 B","6,73 B","7,62 B","7,06 B","7,06 B","7,58 B","7,17 B","6,88 B","6,15 B","4,05 B","4,47 B","4,73 B","4,60 B","4,40 B","4,61 B","3,68 B","3,87 B","2,26 B"
Investimentos,"9,92 M","9,71 M","9,66 M","9,39 M","9,22 M","8,78 M","10,30 M","8,63 M","8,35 M","7,67 M","28,43 M","29,14 M","29,05 M","28,04 M","27,72 M","30,09 M","30,42 M","30,11 M","30,23 M","28,96 M","29,86 M","29,91 M","29,93 M","31,46 M","44,66 M","44,99 M","53,01 M","53,15 M","52,68 M","53,32 M","44,60 M","44,03 M","47,03 M","47,46 M","47,78 M","48,05 M","48,87 M","49,01 M","123,00 M","125,88 M","645,66 M","691,94 M","968,98 M","1,02 B","1,04 B","1,01 B","1,00 B","1,02 B","928,41 M","890,23 M","498,46 M","482,40 M","504,91 M","635,75 M","121,08 M","120,81 M","121,50 M","121,98 M","115,47 M","62,56 M","44,41 M","56,88 M","117,74 M"
Imobilizado,"1,44 M","1,48 M","1,53 M","2,00 M","1,07 M","1,35 M","689,00 Mil","939,00 Mil","1,08 M","1,47 M","1,64 M","1,99 M","1,93 M","2,04 M","1,93 M","1,35 M","234,00 Mil","387,00 Mil","540,00 Mil","694,00 Mil","847,00 Mil","994,00 Mil","875,00 Mil","1,01 M","1,14 M","1,26 M","1,36 M","1,52 M","160,00 Mil","259,00 Mil","374,00 Mil","495,00 Mil","683,00 Mil","13,80 M","14,90 M","24,40 M","26,10 M","27,64 M","29,63 M","31,33 M","32,50 M","36,22 M","38,54 M","42,05 M","44,07 M","50,31 M","47,06 M","46,60 M","54,70 M","67,88 M","290,78 M","342,07 M","384,66 M","214,41 M","296,02 M","297,96 M","298,97 M","296,47 M","191,12 M","210,62 M","197,75 M","204,92 M","82,31 M"
