Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,02","-0,01","0,12","-22,37","-526,45","-484,50","-159,34","-357,59","3.795,71","-171,10","-671,91","-388,23","-2.183,67","-592,95","3.557,27","4.550,44","11.785,44"
P/VP,"-0,00","-0,00","-0,04","-0,36","-13,01","-41,42","-29,49","-75,68","-205,54","-269,31","960,28","49,13","125,81","254,14","392,31","610,23","1.367,81"
P/EBIT,"-0,04","-0,02","-0,25","-29,02","-190,01","-795,85","-314,20","-742,09","-370,57","-196,52","-872,60","1.251,24","2.445,14","-687,63","2.775,59","4.223,83","12.350,68"
P/EBIT *,"-0,14","-0,03","-1,94","-25,25","-1.055,03","-12.700,31","-1.386,03","-2.193,10","-4.761,19","-848,40","-4.059,82","778,66","1.344,33","-801,93","2.625,54","4.092,60","12.954,62"
PSR,"0,04","0,02","1,48","14,71","154,71","1.057,96","477,70","1.405,37","1.434,79","3.673,40","1.018,16","48,27","111,30","292,70","366,21","686,99","2.008,77"
P/Ativos,"0,01","0,00","0,20","1,49","52,52","127,27","74,12","121,17","221,46","195,26","169,50","12,90","35,23","76,56","145,98","233,51","655,96"
LPA,"-99,62","-130,84","342,05","-23,86","-38,70","-138,29","-273,78","-255,18","52,69","-1.614,55","-840,88","-160,99","-82,43","-655,62","215,36","240,17","102,85"
VPA,"-982,10","-992,48","-988,51","-1.468,06","-1.566,68","-1.617,75","-1.479,46","-1.205,68","-973,07","-1.025,77","588,37","1.272,16","1.430,77","1.529,67","1.952,81","1.790,93","886,22"
EBIT por ação,"-38,46","-46,66","-162,22","-18,40","-107,23","-84,19","-138,85","-122,96","-539,71","-1.405,73","-647,49","49,95","73,62","-565,35","276,02","258,74","98,15"
EBIT por ação *,"-11,98","-27,90","-21,23","-21,14","-19,31","-5,28","-31,47","-41,61","-42,01","-325,61","-139,17","80,27","133,90","-484,77","291,79","267,04","93,57"
Ativo por ação,"130,01","162,63","203,86","357,32","387,95","526,42","588,56","753,05","903,08","1.414,76","3.333,26","4.843,89","5.109,94","5.077,96","5.248,11","4.680,30","1.847,96"
Receita líquida por ação,"38,11","36,49","27,91","36,29","131,70","63,33","91,32","64,93","139,39","75,20","554,92","1.294,79","1.617,32","1.328,15","2.091,99","1.590,83","603,45"
Margem bruta,"42,81%","2,53%","41,88%","26,31%","19,23%","34,30%","5,70%","15,23%","5,65%","-293,56%","-2,31%","19,37%","20,66%","-20,06%","26,08%","29,16%","29,04%"
Margem líquida,"-266,41%","-358,34%","1.220,09%","-69,41%","-28,05%","-219,36%","-303,06%","-396,34%","35,04%","-2.196,73%","-155,81%","-11,17%","-2,88%","-50,08%","10,24%","15,10%","17,04%"
Margem EBIT,"-100,92%","-127,88%","-581,25%","-50,68%","-81,42%","-132,93%","-152,04%","-189,38%","-387,19%","-1.869,25%","-116,68%","3,86%","4,55%","-42,57%","13,19%","16,26%","16,26%"
Margem EBIT *,"-31,45%","-76,47%","-76,05%","-58,25%","-14,66%","-8,33%","-34,47%","-64,08%","-30,14%","-432,98%","-25,08%","6,20%","8,28%","-36,50%","13,95%","16,79%","15,51%"
Margem EBITDA,"-99,80%","-127,42%","-580,44%","-50,06%","-81,26%","-131,57%","-150,82%","-168,23%","-380,95%","-1.833,53%","-94,09%","5,21%","5,94%","-38,46%","14,50%","18,12%","16,51%"
Margem EBITDA *,"-30,33%","-76,00%","-75,24%","-57,63%","-14,50%","-6,96%","-33,25%","-42,93%","-23,90%","-397,26%","-2,48%","7,55%","9,67%","-32,39%","15,26%","18,64%","15,76%"
Margem operacional,"-270,18%","-408,43%","1.352,36%","-354,31%","-30,22%","-171,87%","-306,44%","-407,39%","207,93%","-2.197,28%","-153,49%","-7,55%","-0,52%","-45,20%","12,65%","17,27%","18,93%"
ROE,"10,09%","12,89%","-33,71%","1,69%","2,33%","8,48%","18,48%","21,15%","-4,97%","159,06%","-119,20%","-9,39%","-2,88%","-39,70%","10,94%","13,24%","11,53%"
ROA,"-0,78","-0,80","1,67","-0,07","-0,10","-0,26","-0,47","-0,34","0,05","-1,17","-0,26","-0,03","-0,01","-0,13","0,04","0,05","0,06"
ROIC,"-109,43%","-64,41%","-146,35%","-7,31%","-37,37%","-19,14%","-27,39%","-18,63%","-72,07%","-110,06%","-21,03%","1,12%","1,59%","-12,67%","5,93%","6,38%","6,61%"
ROIC *,"-34,10%","-38,52%","-19,15%","-8,40%","-6,73%","-1,20%","-6,21%","-6,30%","-5,61%","-25,49%","-4,52%","1,81%","2,88%","-10,86%","6,27%","6,58%","6,30%"
Giro do ativo,"0,29","0,22","0,14","0,10","0,34","0,12","0,16","0,09","0,15","0,05","0,17","0,27","0,32","0,26","0,40","0,34","0,33"
EBIT *,-40 mi,-92 mi,-70 mi,-70 mi,-64 mi,-18 mi,-104 mi,-137 mi,-139 mi,-1.071 mi,-458 mi,263 mi,440 mi,-1.594 mi,959 mi,877 mi,307 mi
EBITDA,-126 mi,-153 mi,-533 mi,-60 mi,-352 mi,-274 mi,-453 mi,-360 mi,-1.746 mi,-4.533 mi,-1.717 mi,221 mi,315 mi,-1.680 mi,997 mi,947 mi,327 mi
