Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,25 T","1,22 T","1,21 T","1,17 T","1,15 T","1,12 T","1,08 T","1,06 T","1,07 T","1,05 T","1,03 T","990,46 B","978,58 B","976,71 B","947,57 B","1,00 T","998,66 B","972,95 B","974,69 B","941,45 B","998,28 B","987,42 B","965,43 B","1,02 T","971,64 B","926,01 B","924,47 B","965,25 B","949,09 B","860,47 B","866,76 B","850,28 B","824,15 B","831,51 B","803,87 B","808,05 B","788,05 B","804,95 B","803,21 B","818,33 B","859,16 B","900,13 B","931,56 B","859,30 B","831,95 B","793,38 B","815,74 B","800,37 B","802,01 B","752,97 B","758,43 B","749,03 B","695,31 B","669,03 B","646,68 B","628,03 B","615,82 B","600,10 B","582,12 B","554,58 B","544,95 B","516,85 B","350,42 B"
Ativo circulante,"140,53 B","140,03 B","149,36 B","135,86 B","124,85 B","135,21 B","167,37 B","159,31 B","165,96 B","157,08 B","147,31 B","136,82 B","157,19 B","163,05 B","159,33 B","224,78 B","199,51 B","168,25 B","166,33 B","151,54 B","153,97 B","142,32 B","151,64 B","201,93 B","163,56 B","112,10 B","147,60 B","181,33 B","130,60 B","143,61 B","150,20 B","144,25 B","145,41 B","155,91 B","143,94 B","142,44 B","134,06 B","145,91 B","144,75 B","132,62 B","146,24 B","168,61 B","176,38 B","160,38 B","137,56 B","135,02 B","142,95 B","144,27 B","159,67 B","123,35 B","137,24 B","144,71 B","116,89 B","118,10 B","125,81 B","116,32 B","126,37 B","121,16 B","120,49 B","119,49 B","120,04 B","105,90 B","74,37 B"
Caixa e eq. de caixa,"34,29 B","35,61 B","47,67 B","38,18 B","26,96 B","20,25 B","47,37 B","43,83 B","57,69 B","61,61 B","60,64 B","49,88 B","52,28 B","41,72 B","23,65 B","85,31 B","81,60 B","58,41 B","59,39 B","49,13 B","68,16 B","60,86 B","71,64 B","106,60 B","80,38 B","29,71 B","54,88 B","64,05 B","36,48 B","53,85 B","56,80 B","65,54 B","66,36 B","74,49 B","74,43 B","77,97 B","60,87 B","69,11 B","70,06 B","62,94 B","77,78 B","97,84 B","99,87 B","81,17 B","34,45 B","44,24 B","49,62 B","58,14 B","68,47 B","37,17 B","39,35 B","51,25 B","27,24 B","27,63 B","30,19 B","26,32 B","39,90 B","35,75 B","33,66 B","34,67 B","43,34 B","29,42 B","29,03 B"
Aplicações financeiras,"13,31 B","15,00 B","14,33 B","13,67 B","17,08 B","26,40 B","30,47 B","23,85 B","24,07 B","13,65 B","6,50 B","11,10 B","14,63 B","14,47 B","13,04 B","14,96 B","5,97 B","3,63 B","2,92 B","3,01 B","3,30 B","3,42 B","3,78 B","2,95 B","3,35 B","3,58 B","5,43 B","2,46 B","4,37 B","4,20 B","4,16 B","4,06 B","3,90 B","6,24 B","5,74 B","3,32 B","2,91 B","2,56 B","2,54 B","2,43 B","2,73 B","3,05 B","4,38 B","10,48 B","33,83 B","24,76 B","20,67 B","8,24 B","10,03 B","9,10 B","18,55 B","21,78 B","19,30 B","21,32 B","22,67 B","19,67 B","18,00 B","16,81 B","21,41 B","24,97 B","20,02 B","26,01 B","123,82 M"
Contas a receber,"22,24 B","25,46 B","21,89 B","18,47 B","17,62 B","22,08 B","23,84 B","24,49 B","25,18 B","29,70 B","25,50 B","21,04 B","23,50 B","26,14 B","22,03 B","26,44 B","26,85 B","35,54 B","25,56 B","22,38 B","13,43 B","24,58 B","12,90 B","14,32 B","15,87 B","15,16 B","17,50 B","15,51 B","19,34 B","22,26 B","25,66 B","19,39 B","15,63 B","16,45 B","16,52 B","14,48 B","14,04 B","15,54 B","16,95 B","17,05 B","18,86 B","21,68 B","21,16 B","20,05 B","20,74 B","21,17 B","21,55 B","23,41 B","24,04 B","22,65 B","21,52 B","22,13 B","22,44 B","22,68 B","23,29 B","22,59 B","21,44 B","22,05 B","20,47 B","18,76 B","17,78 B","17,78 B","14,06 B"
Estoques,"48,56 B","45,17 B","46,27 B","44,93 B","42,78 B","41,55 B","40,54 B","40,80 B","40,85 B","37,18 B","39,51 B","39,24 B","40,48 B","45,80 B","52,83 B","49,82 B","48,35 B","40,49 B","39,58 B","36,04 B","39,73 B","29,50 B","29,79 B","27,59 B","31,24 B","33,01 B","31,58 B","34,24 B","32,96 B","34,82 B","38,87 B","35,53 B","29,36 B","28,08 B","25,85 B","26,62 B","26,17 B","27,62 B","27,63 B","28,51 B","29,10 B","29,06 B","32,59 B","33,77 B","32,03 B","30,46 B","32,44 B","37,41 B","35,26 B","33,32 B","33,57 B","31,10 B","31,80 B","29,74 B","30,36 B","30,16 B","29,40 B","28,45 B","27,40 B","25,75 B","23,87 B","19,68 B","19,45 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,11 T","1,08 T","1,06 T","1,04 T","1,02 T","989,59 B","910,48 B","899,38 B","901,33 B","893,81 B","878,18 B","853,64 B","821,38 B","813,66 B","788,25 B","779,97 B","799,15 B","804,70 B","808,36 B","789,91 B","844,31 B","845,10 B","813,79 B","813,22 B","808,08 B","813,91 B","776,86 B","783,91 B","818,48 B","716,87 B","716,55 B","706,03 B","678,74 B","675,61 B","659,93 B","665,62 B","653,99 B","659,04 B","658,45 B","685,71 B","712,92 B","731,53 B","755,18 B","698,92 B","694,38 B","658,35 B","672,79 B","656,10 B","642,35 B","629,62 B","621,19 B","604,32 B","578,42 B","550,93 B","520,88 B","511,71 B","489,44 B","478,93 B","461,63 B","435,09 B","424,91 B","410,94 B","276,05 B"
Investimentos,"3,09 B","3,02 B","4,22 B","4,24 B","4,18 B","4,08 B","5,30 B","5,48 B","6,17 B","6,57 B","6,88 B","7,92 B","8,31 B","8,17 B","9,04 B","8,99 B","9,60 B","8,43 B","10,25 B","10,30 B","18,04 B","17,01 B","17,12 B","19,01 B","19,97 B","22,17 B","23,58 B","14,58 B","11,27 B","10,69 B","13,40 B","12,29 B","12,67 B","12,55 B","12,66 B","12,31 B","10,70 B","9,95 B","12,96 B","13,09 B","14,22 B","13,77 B","15,99 B","15,59 B","15,86 B","15,28 B","15,54 B","15,67 B","15,62 B","15,62 B","15,10 B","14,61 B","11,76 B","12,48 B","12,15 B","11,86 B","12,32 B","12,25 B","9,10 B","9,24 B","9,22 B","11,59 B","5,77 B"
Imobilizado,"943,87 B","924,62 B","912,44 B","892,93 B","875,27 B","843,92 B","768,62 B","755,74 B","750,48 B","742,77 B","725,46 B","706,65 B","678,62 B","679,18 B","671,07 B","667,42 B","687,05 B","699,41 B","703,87 B","629,85 B","634,71 B","645,43 B","590,85 B","591,30 B","589,81 B","641,95 B","668,74 B","677,47 B","709,23 B","609,83 B","610,73 B","605,48 B","585,95 B","584,36 B","570,78 B","575,24 B","569,24 B","571,88 B","573,39 B","601,17 B","619,22 B","629,83 B","657,87 B","615,10 B","611,38 B","580,99 B","591,61 B","559,34 B","544,91 B","533,88 B","464,65 B","451,35 B","431,87 B","418,72 B","388,65 B","373,93 B","353,67 B","343,12 B","327,77 B","304,92 B","294,16 B","280,09 B","227,08 B"
Intangível,"14,00 B","13,88 B","13,39 B","13,27 B","13,10 B","13,96 B","13,93 B","14,94 B","14,82 B","14,73 B","14,60 B","16,32 B","15,50 B","15,58 B","15,42 B","17,04 B","16,97 B","16,88 B","16,60 B","77,64 B","77,59 B","77,68 B","77,60 B","78,46 B","78,52 B","78,49 B","9,91 B","9,90 B","10,85 B","10,87 B","10,86 B","7,73 B","7,81 B","7,74 B","10,24 B","10,55 B","10,60 B","10,66 B","10,89 B","11,58 B","11,86 B","12,07 B","12,13 B","12,01 B","12,24 B","11,98 B","17,77 B","35,96 B","35,98 B","36,12 B","80,51 B","79,99 B","81,04 B","81,21 B","82,31 B","82,29 B","82,14 B","81,43 B","83,51 B","82,68 B","82,84 B","81,54 B","8,27 B"
Passivo total,"1,25 T","1,22 T","1,21 T","1,17 T","1,15 T","1,12 T","1,08 T","1,06 T","1,07 T","1,05 T","1,03 T","990,46 B","978,58 B","976,71 B","947,57 B","1,00 T","998,66 B","972,95 B","974,69 B","941,45 B","998,28 B","987,42 B","965,43 B","1,02 T","971,64 B","926,01 B","924,47 B","965,25 B","949,09 B","860,47 B","866,76 B","850,28 B","824,15 B","831,51 B","803,87 B","808,05 B","788,05 B","804,95 B","803,21 B","818,33 B","859,16 B","900,13 B","931,56 B","859,30 B","831,95 B","793,38 B","815,74 B","800,37 B","802,01 B","752,97 B","758,43 B","749,03 B","695,31 B","669,03 B","646,68 B","628,03 B","615,82 B","600,10 B","582,12 B","554,58 B","544,95 B","516,85 B","350,42 B"
Passivo circulante,"189,17 B","198,37 B","182,37 B","179,18 B","173,83 B","194,81 B","178,93 B","177,97 B","153,88 B","163,93 B","154,57 B","151,60 B","128,45 B","163,73 B","135,81 B","171,16 B","130,22 B","134,91 B","138,66 B","115,93 B","124,47 B","136,29 B","140,71 B","144,17 B","134,84 B","116,15 B","133,66 B","138,35 B","113,54 B","97,07 B","94,07 B","84,65 B","78,12 B","82,53 B","71,25 B","69,97 B","78,48 B","81,17 B","82,83 B","83,68 B","107,46 B","111,57 B","109,72 B","100,60 B","90,36 B","82,66 B","84,71 B","75,26 B","83,75 B","82,53 B","69,96 B","68,16 B","68,53 B","69,62 B","64,25 B","62,91 B","65,95 B","68,21 B","67,71 B","60,82 B","60,59 B","55,95 B","55,16 B"
Fornecedores,"39,09 B","40,95 B","36,27 B","34,37 B","31,27 B","37,66 B","28,87 B","26,75 B","25,80 B","23,30 B","23,38 B","26,17 B","25,64 B","28,51 B","28,16 B","28,95 B","28,03 B","30,60 B","29,50 B","26,68 B","29,06 B","35,65 B","24,44 B","21,42 B","30,26 B","22,58 B","24,36 B","21,83 B","22,91 B","24,52 B","27,46 B","20,77 B","18,03 B","19,08 B","18,95 B","17,00 B","14,93 B","18,78 B","17,33 B","17,84 B","20,75 B","24,89 B","26,64 B","24,58 B","25,07 B","25,92 B","27,66 B","27,55 B","26,91 B","27,92 B","24,65 B","24,13 B","24,12 B","23,74 B","25,37 B","22,35 B","20,49 B","21,42 B","21,16 B","18,62 B","18,60 B","16,71 B","17,08 B"
Empréstimos e financ.,"66,45 B","67,25 B","64,22 B","64,10 B","66,63 B","68,78 B","63,77 B","67,00 B","61,80 B","55,78 B","55,14 B","49,82 B","49,48 B","47,65 B","46,73 B","48,92 B","43,32 B","50,63 B","49,54 B","42,21 B","49,35 B","51,36 B","68,37 B","66,28 B","59,23 B","41,14 B","54,86 B","44,38 B","36,08 B","14,30 B","16,23 B","15,35 B","15,47 B","23,24 B","23,43 B","25,98 B","34,97 B","31,86 B","37,10 B","36,51 B","62,13 B","57,41 B","53,38 B","44,66 B","39,72 B","31,57 B","28,24 B","23,54 B","21,84 B","18,78 B","18,19 B","18,20 B","14,56 B","15,32 B","15,34 B","17,61 B","18,02 B","18,97 B","20,02 B","16,74 B","16,60 B","15,09 B","15,56 B"
