Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,63","11,71","2,84","0,92","1,36","12,06","1,24","3,80","-166,46","-3,39","-0,84","-1,73","2,43","3,15","2,53","2,81","3,13"
P/VP,"1,49","1,17","0,93","0,48","0,38","0,28","0,17","0,35","0,28","0,20","0,12","0,12","0,16","0,20","0,26","0,32","0,57"
P/EBIT,"4,26","3,12","1,87","0,59","0,69","1,73","0,61","1,57","1,97","3,05","-2,23","-1,70","1,67","2,12","1,90","2,18","2,12"
P/EBIT *,"3,14","2,04","1,50","0,57","0,76","0,92","0,52","1,02","1,10","0,78","0,41","0,70","1,18","1,30","1,41","1,65","1,58"
PSR,"1,25","0,87","0,69","0,27","0,32","0,32","0,16","0,32","0,26","0,18","0,09","0,11","0,19","0,24","0,34","0,47","0,51"
P/Ativos,"0,51","0,38","0,34","0,18","0,15","0,09","0,05","0,11","0,09","0,06","0,03","0,05","0,08","0,10","0,14","0,19","0,27"
LPA,"8,54","2,84","9,67","14,61","8,28","0,55","3,11","2,00","-0,03","-1,15","-2,70","-1,67","1,83","1,64","2,58","2,73","2,33"
VPA,"32,26","28,40","29,52","28,13","30,05","23,93","22,93","21,51","20,48","19,41","19,76","23,96","27,00","25,48","25,59","23,80","12,75"
EBIT por ação,"11,30","10,64","14,69","22,83","16,36","3,85","6,34","4,85","2,93","1,28","-1,02","-1,70","2,67","2,44","3,43","3,51","3,45"
EBIT por ação *,"15,30","16,32","18,37","23,41","14,78","7,25","7,45","7,50","5,26","5,02","5,56","4,13","3,77","3,99","4,63","4,64","4,61"
Ativo por ação,"94,92","87,27","81,54","75,78","75,49","76,61","71,85","66,76","64,51","62,45","69,84","61,56","58,42","51,91","46,56","40,10","27,19"
Receita líquida por ação,"38,60","38,08","39,72","49,75","35,12","21,11","23,45","24,07","22,01","21,93","24,95","26,17","23,66","21,83","18,94","16,44","14,19"
Margem bruta,"47,63%","50,21%","52,72%","52,10%","48,52%","45,56%","40,40%","38,25%","32,29%","31,84%","30,65%","23,85%","22,92%","25,20%","31,63%","35,98%","40,54%"
Margem líquida,"22,23%","7,54%","24,45%","29,47%","23,70%","2,30%","13,56%","8,61%","0,13%","-4,62%","-10,94%","-6,50%","7,55%","7,45%","13,56%","16,94%","18,24%"
Margem EBIT,"29,27%","27,95%","36,98%","45,89%","46,58%","18,24%","27,03%","20,13%","13,31%","5,83%","-4,10%","-6,50%","11,27%","11,19%","18,11%","21,38%","24,30%"
