Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"123,69 B","127,37 B","127,91 B","119,13 B","123,14 B","121,27 B","129,58 B","122,26 B","117,72 B","134,26 B","124,83 B","113,84 B","139,07 B","158,58 B","170,08 B","170,96 B","141,64 B","134,19 B","121,59 B","110,71 B","86,17 B","74,97 B","70,73 B","50,90 B","75,47 B","81,77 B","77,05 B","72,57 B","70,86 B","82,78 B","89,07 B","74,83 B","74,46 B","76,51 B","71,82 B","67,00 B","68,36 B","70,49 B","70,44 B","71,32 B","70,34 B","85,10 B","82,24 B","79,94 B","74,35 B","85,04 B","88,38 B","82,30 B","81,55 B","81,03 B","77,70 B","73,63 B","72,54 B","73,41 B","73,79 B","68,05 B","66,13 B","65,26 B","63,55 B","61,01 B","54,36 B","53,06 B","54,74 B","53,63 B","50,41 B"
Custos,"-64,08 B","-68,88 B","-66,79 B","-62,45 B","-62,44 B","-63,13 B","-63,00 B","-61,21 B","-57,02 B","-61,63 B","-58,51 B","-56,16 B","-65,76 B","-81,94 B","-83,24 B","-75,10 B","-66,88 B","-75,14 B","-62,04 B","-53,70 B","-42,14 B","-34,61 B","-36,96 B","-32,68 B","-43,85 B","-44,72 B","-47,05 B","-42,36 B","-46,02 B","-52,78 B","-55,95 B","-44,52 B","-47,69 B","-51,31 B","-50,59 B","-45,63 B","-44,58 B","-47,68 B","-47,11 B","-48,50 B","-49,33 B","-58,25 B","-58,48 B","-54,38 B","-51,94 B","-63,02 B","-67,94 B","-63,48 B","-62,38 B","-64,44 B","-61,48 B","-54,92 B","-53,68 B","-56,84 B","-55,71 B","-52,03 B","-45,89 B","-47,95 B","-43,49 B","-41,03 B","-34,47 B","-35,18 B","-35,09 B","-34,24 B","-31,10 B"
Lucro bruto,"59,60 B","58,49 B","61,12 B","56,68 B","60,71 B","58,14 B","66,58 B","61,05 B","60,70 B","72,63 B","66,31 B","57,68 B","73,31 B","76,64 B","86,84 B","95,86 B","74,77 B","59,05 B","59,55 B","57,01 B","44,03 B","40,36 B","33,77 B","18,22 B","31,61 B","37,06 B","30,01 B","30,21 B","24,83 B","30,00 B","33,12 B","30,31 B","26,77 B","25,20 B","21,24 B","21,37 B","23,79 B","22,81 B","23,34 B","22,82 B","21,01 B","26,85 B","23,75 B","25,56 B","22,41 B","22,02 B","20,44 B","18,82 B","19,16 B","16,58 B","16,22 B","18,71 B","18,86 B","16,56 B","18,09 B","16,02 B","20,24 B","17,31 B","20,07 B","19,97 B","19,89 B","17,88 B","19,65 B","19,39 B","19,31 B"
Despesas operacionais,"-18,33 B","-30,01 B","-17,48 B","-26,21 B","-17,67 B","-44,97 B","-20,12 B","-27,50 B","-16,67 B","-33,00 B","-18,77 B","-15,71 B","-13,11 B","-18,83 B","-12,22 B","573,00 M","-9,37 B","-758,00 M","6,91 B","-4,82 B","-10,13 B","27,65 B","-15,74 B","-9,20 B","-77,06 B","-22,92 B","-15,70 B","9,03 B","-10,81 B","-18,81 B","-16,54 B","-13,48 B","-8,45 B","-26,13 B","-13,02 B","-5,76 B","-8,90 B","-12,28 B","-33,51 B","-15,24 B","-12,47 B","-69,08 B","-17,51 B","-15,93 B","-9,24 B","-55,65 B","-25,29 B","-10,01 B","-11,40 B","-9,71 B","-10,23 B","-7,21 B","-8,85 B","-10,64 B","-9,29 B","-11,16 B","-8,34 B","-9,72 B","-8,31 B","-7,82 B","-7,16 B","-7,01 B","-8,74 B","-7,31 B","-7,87 B"
Despesas com vendas,"-7,97 B","-7,89 B","-7,41 B","-7,28 B","-6,38 B","-6,30 B","-6,62 B","-6,61 B","-6,61 B","-6,58 B","-6,29 B","-5,95 B","-6,34 B","-6,79 B","-6,36 B","-6,14 B","-6,16 B","-6,10 B","-5,77 B","-5,74 B","-5,20 B","-6,05 B","-6,30 B","-6,75 B","-5,91 B","-5,71 B","-4,97 B","-3,67 B","-3,40 B","-1,40 B","-5,12 B","-3,99 B","-4,13 B","-3,99 B","-4,24 B","-3,89 B","-2,39 B","-3,05 B","-3,33 B","-3,69 B","-3,75 B","-6,43 B","-3,85 B","-3,89 B","-1,72 B","-3,74 B","-6,73 B","-2,77 B","-2,73 B","-2,89 B","-2,86 B","-2,55 B","-2,29 B","-2,37 B","-2,53 B","-2,35 B","-2,35 B","-2,40 B","-2,32 B","-2,15 B","-2,08 B","-2,07 B","-2,14 B","-2,28 B","-2,07 B"
Despesas administrativas,"-2,52 B","-2,85 B","-2,73 B","-2,63 B","-2,59 B","-2,57 B","-2,27 B","-2,87 B","-2,22 B","-2,25 B","-1,93 B","-1,92 B","-1,85 B","-1,98 B","-1,75 B","-1,59 B","-1,56 B","-1,71 B","-1,76 B","-1,37 B","-1,50 B","-473,00 M","-1,66 B","-1,57 B","-1,82 B","-2,04 B","-2,01 B","-2,19 B","-2,13 B","-2,17 B","-2,02 B","-2,01 B","-2,14 B","-2,33 B","-2,45 B","-2,22 B","-2,31 B","-2,94 B","-3,04 B","-2,84 B","-2,65 B","-2,80 B","-2,75 B","-2,76 B","-2,71 B","-3,38 B","-2,71 B","-2,58 B","-2,56 B","-2,89 B","-2,80 B","-2,59 B","-2,47 B","-2,61 B","-2,54 B","-2,50 B","-2,20 B","-2,41 B","-2,18 B","-2,11 B","-1,95 B","-1,96 B","-2,12 B","-1,90 B","-1,83 B"
EBIT,"41,27 B","28,48 B","43,63 B","30,47 B","43,04 B","13,17 B","46,46 B","33,54 B","44,03 B","39,63 B","47,55 B","41,97 B","60,20 B","57,81 B","74,61 B","96,43 B","65,40 B","58,29 B","66,46 B","52,18 B","33,90 B","68,01 B","18,03 B","9,02 B","-45,44 B","14,13 B","14,30 B","39,24 B","14,03 B","11,19 B","16,58 B","16,83 B","18,33 B","-930,00 M","8,22 B","15,61 B","14,88 B","10,54 B","-10,17 B","7,58 B","8,54 B","-42,23 B","6,25 B","9,63 B","13,17 B","-33,64 B","-4,85 B","8,81 B","7,76 B","6,87 B","5,99 B","11,50 B","10,01 B","5,92 B","8,79 B","4,86 B","11,91 B","7,59 B","11,76 B","12,16 B","12,73 B","10,88 B","10,90 B","12,07 B","11,44 B"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"7,87 B","-12,51 B","1,32 B","5,57 B","10,60 B","-34,94 B","-1,56 B","-36,40 B","-9,58 B","1,37 B","-9,76 B","-269,00 M","-3,20 B","1,49 B","-7,97 B","-15,76 B","2,98 B","-13,80 B","-25,48 B","10,78 B","-30,75 B","6,81 B","-22,91 B","-12,31 B","-21,18 B","-6,59 B","-10,87 B","-8,58 B","-8,42 B","-7,16 B","-6,20 B","-2,94 B","-7,25 B","-7,60 B","-7,41 B","-8,84 B","-7,75 B","-5,31 B","-7,12 B","-6,06 B","-8,69 B","-4,93 B","-11,44 B","-6,05 B","-5,62 B","-1,81 B","-972,00 M","-940,00 M","-174,00 M","-3,02 B","-1,02 B","-3,55 B","1,39 B","2,79 B","-569,44 M","-6,41 B","464,99 M","399,96 M","-5,23 B","2,90 B","2,05 B","1,98 B","1,97 B","-630,30 M","-700,99 M"
Antes dos impostos,"49,14 B","15,97 B","44,95 B","36,04 B","53,63 B","-21,77 B","44,90 B","-2,85 B","34,45 B","41,00 B","37,79 B","41,70 B","57,00 B","59,30 B","66,64 B","80,68 B","68,38 B","44,48 B","40,98 B","62,96 B","3,16 B","74,82 B","-4,88 B","-3,29 B","-66,62 B","7,54 B","3,43 B","30,66 B","5,61 B","4,03 B","10,38 B","13,89 B","11,08 B","-8,53 B","805,00 M","6,77 B","7,13 B","5,23 B","-17,29 B","1,52 B","-157,00 M","-47,16 B","-5,20 B","3,58 B","7,55 B","-35,45 B","-5,82 B","7,87 B","7,59 B","3,85 B","4,97 B","7,95 B","11,40 B","8,71 B","8,22 B","-1,55 B","12,37 B","7,99 B","6,53 B","15,06 B","14,78 B","12,86 B","12,87 B","11,44 B","10,74 B"
