Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,72","8,61","7,30","8,78","4,24","5,72","10,74","34,52","-42,74","-5,12","-20,43","-28,47","-11,14","88,39","55,22","36,88","50,84","29,00"
P/VP,"0,61","0,76","0,64","0,49","0,29","0,41","0,54","0,41","0,41","0,77","1,32","0,90","0,84","3,14","3,99","1,83","3,00","3,18"
P/EBIT,"2,28","2,93","2,79","2,37","1,41","3,42","4,66","6,78","7,58","-51,22","13,13","10,33","29,17","23,67","26,56","15,52","24,45","15,63"
P/EBIT *,"2,09","2,68","2,81","2,52","1,50","1,87","2,86","2,27","5,52","11,99","8,31","7,59","8,51","18,58","-43,18","-23,89","-73,01","22,11"
PSR,"0,07","0,09","0,08","0,07","0,04","0,07","0,10","0,09","0,10","0,14","0,24","0,17","0,17","0,52","0,69","0,29","0,49","0,51"
P/Ativos,"0,13","0,16","0,15","0,13","0,08","0,11","0,15","0,13","0,14","0,22","0,37","0,26","0,32","1,01","1,57","0,79","1,42","1,52"
LPA,"0,85","0,96","0,93","0,57","0,65","0,63","0,42","0,10","-0,08","-0,91","-0,40","-0,17","-0,42","0,16","0,33","0,21","0,24","0,43"
VPA,"10,83","10,87","10,52","10,08","9,62","8,77","8,45","8,11","8,25","6,02","6,13","5,39","5,56","4,63","4,53","4,30","4,11","3,92"
EBIT por ação,"2,88","2,83","2,42","2,11","1,96","1,06","0,97","0,49","0,44","-0,09","0,62","0,47","0,16","0,61","0,68","0,51","0,50","0,80"
EBIT por ação *,"3,14","3,08","2,41","1,98","1,85","1,93","1,59","1,47","0,61","0,39","0,97","0,64","0,55","0,78","-0,42","-0,33","-0,17","0,56"
Ativo por ação,"48,78","50,35","45,36","39,88","35,25","32,57","30,38","25,71","23,34","21,16","21,91","18,43","14,77","14,37","11,55","9,96","8,69","8,17"
Receita líquida por ação,"93,80","92,48","82,01","69,96","63,13","51,80","44,27","38,78","34,50","33,12","32,99","27,99","27,86","28,03","26,11","26,79","25,30","24,57"
Margem bruta,"15,42%","15,29%","15,00%","14,92%","14,66%","14,15%","13,93%","15,37%","15,94%","17,09%","15,31%","12,61%","12,52%","12,39%","6,33%","4,93%","5,78%","8,67%"
Margem líquida,"0,97%","1,10%","1,21%","0,90%","1,09%","1,23%","1,13%","0,25%","-0,23%","-2,75%","-1,20%","-0,61%","-1,52%","0,55%","1,31%","0,82%","0,96%","1,75%"
Margem EBIT,"3,07%","3,06%","2,95%","3,01%","3,11%","2,04%","2,20%","1,27%","1,29%","-0,27%","1,86%","1,68%","0,58%","2,19%","2,61%","1,89%","1,99%","3,24%"
Margem EBIT *,"3,35%","3,33%","2,93%","2,84%","2,93%","3,73%","3,59%","3,79%","1,76%","1,17%","2,95%","2,29%","1,98%","2,79%","-1,61%","-1,23%","-0,67%","2,29%"
Margem EBITDA,"3,67%","3,71%","3,53%","4,73%","3,68%","4,00%","4,06%","2,01%","2,08%","0,49%","2,34%","2,15%","1,05%","2,45%","2,85%","2,09%","2,17%","3,42%"
Margem EBITDA *,"3,94%","3,98%","3,52%","4,55%","3,49%","5,69%","5,45%","4,52%","2,55%","1,94%","3,43%","2,76%","2,45%","3,05%","-1,36%","-1,04%","-0,49%","2,47%"
Margem operacional,"0,95%","1,03%","1,26%","0,94%","1,01%","0,76%","0,60%","0,45%","-0,71%","-3,75%","-1,28%","-0,57%","-1,76%","0,58%","1,73%","0,95%","1,08%","2,36%"
ROE,"6,93%","7,70%","7,74%","5,06%","5,63%","5,36%","4,31%","1,19%","-0,95%","-15,11%","-6,45%","-3,17%","-7,61%","3,34%","7,41%","5,02%","5,91%","10,95%"
ROA,"0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,00","-0,00","-0,04","-0,02","-0,01","-0,03","0,01","0,03","0,02","0,03","0,05"
ROIC,"10,46%","10,53%","9,72%","9,09%","9,08%","5,20%","5,38%","3,21%","3,19%","-0,65%","4,30%","4,43%","1,78%","5,98%","9,74%","8,09%","8,97%","14,73%"
ROIC *,"11,40%","11,48%","9,66%","8,55%","8,55%","9,53%","8,76%","9,59%","4,38%","2,78%","6,80%","6,03%","6,10%","7,62%","-5,99%","-5,26%","-3,00%","10,41%"
Giro do ativo,"1,92","1,84","1,81","1,75","1,79","1,59","1,46","1,51","1,48","1,57","1,51","1,52","1,89","1,95","2,26","2,69","2,91","3,01"
EBIT *,388 mi,381 mi,297 mi,245 mi,228 mi,239 mi,196 mi,181 mi,75 mi,48 mi,120 mi,79 mi,68 mi,96 mi,-52 mi,-41 mi,-21 mi,69 mi
EBITDA,425 mi,424 mi,358 mi,409 mi,287 mi,256 mi,222 mi,96 mi,88 mi,20 mi,95 mi,74 mi,36 mi,84 mi,92 mi,69 mi,67 mi,104 mi
EBITDA *,458 mi,456 mi,356 mi,394 mi,273 mi,365 mi,298 mi,217 mi,109 mi,79 mi,139 mi,95 mi,84 mi,105 mi,-45 mi,-35 mi,-16 mi,75 mi
Liquidez corrente,"1,33","1,29","1,34","1,45","1,52","1,50","1,61","1,33","1,38","1,04","1,46","1,38","1,72","1,82","1,88","2,23","2,31","2,33"
Liquidez seca,"0,78","0,69","0,74","0,82","0,89","0,87","1,02","0,76","0,82","0,64","0,90","0,88","1,12","1,15","1,26","1,43","1,44","1,41"
Liquidez imediata,"0,10","0,07","0,08","0,08","0,09","0,11","0,24","0,14","0,16","0,12","0,18","0,21","0,22","0,08","0,07","0,04","0,03","0,05"
Dívida bruta,1.061 mi,874 mi,799 mi,779 mi,663 mi,558 mi,601 mi,668 mi,636 mi,757 mi,608 mi,527 mi,415 mi,540 mi,222 mi,141 mi,117 mi,135 mi
Dívida líquida,744 mi,639 mi,570 mi,586 mi,480 mi,369 mi,229 mi,442 mi,406 mi,564 mi,403 mi,274 mi,241 mi,480 mi,173 mi,118 mi,105 mi,115 mi
Capital de giro,1.050 mi,1.009 mi,1.030 mi,1.092 mi,1.024 mi,865 mi,940 mi,519 mi,541 mi,68 mi,536 mi,455 mi,564 mi,592 mi,608 mi,628 mi,567 mi,546 mi
Endividamento geral,"270,15%","281,17%","254,15%","220,85%","188,95%","173,25%","162,05%","216,87%","183,02%","251,17%","257,36%","241,67%","165,40%","211,19%","150,57%","127,74%","111,52%","108,48%"
