Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,56","7,53","10,70","10,52",-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"1,97","2,31","1,02","1,90",-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,--,--,"-11,13",--,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,"0,66","0,68","0,40","0,92",-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,10","0,10","0,04","0,09",-,-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,"2,00","1,66","0,39","0,68",-,-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,"6,67","5,41","4,11","3,78",-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,--,--,"-0,38",--,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"128,18","119,42","103,94","79,13",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"19,85","18,38","10,58","7,86",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"22,63%","28,81%","15,07%","9,98%","2,32%","6,47%","59,03%","35,08%","2,97%","5,67%","-5,00%","4,09%","22,08%","29,20%","30,07%","23,58%","37,68%","47,26%"
Margem líquida,"9,77%","9,07%","3,70%","8,70%","3,18%","0,25%","-5,87%","-12,94%","-5,68%","-23,26%","-2,95%","4,21%","10,15%","19,52%","26,27%","24,41%","24,50%","22,36%"
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,"-3,55%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,"-3,01%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"14,21%","11,75%","0,63%","12,26%","5,43%","1,05%","-11,72%","-30,89%","-6,67%","-37,61%","-2,87%","-16,08%","9,29%","22,37%","34,74%","35,20%","36,34%","34,89%"
ROE,"30,01%","30,13%","9,49%","18,10%","5,44%","0,31%","-8,62%","-13,12%","-4,96%","-23,38%","-2,43%","3,43%","7,59%","11,53%","15,57%","17,95%","18,95%","17,22%"
ROA,"0,01","0,01","0,00","0,01","0,00","0,00","-0,01","-0,01","-0,00","-0,03","-0,00","0,00","0,01","0,01","0,02","0,02","0,02","0,02"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,"0,15","0,15","0,10","0,10","0,09","0,07","0,09","0,09","0,08","0,11","0,12","0,11","0,09","0,07","0,07","0,07","0,07","0,08"
EBIT *,--,--,-98 mi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,-83 mi,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,--,--,"1,10","0,85","0,64","0,53","0,65","0,89","1,57","1,05","1,15","0,99","1,13","1,12","1,39","1,23","1,13","1,14"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,--,--,1.241 mi,-1.455 mi,-2.504 mi,-3.170 mi,-1.724 mi,-340 mi,1.671 mi,210 mi,532 mi,-31 mi,696 mi,746 mi,2.242 mi,1.563 mi,739 mi,660 mi
Endividamento geral,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
