Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,50 B","1,26 B","1,34 B","1,21 B","1,05 B",0,0,0,0,"2,29 B","595,23 Mil","546,79 Mil","539,08 M","370,81 M","351,66 M","384,67 M","333,43 M","304,72 M","253,05 M","225,68 M","207,15 M","166,04 M","146,78 M","178,50 M","175,12 M","159,37 M","175,92 M","104,32 M","139,23 M","111,74 M","154,21 M","177,89 M","146,01 M","198,16 M","102,30 M","238,89 M","181,80 M","211,40 M","236,85 M","91,74 M","134,89 M","232,48 M","695,83 M","188,10 M","598,25 M","394,95 M","434,38 M","265,70 M","272,33 M","308,44 M","290,65 M","333,31 M","227,16 M","247,61 M","260,21 M","430,91 M","273,56 M","339,54 M","543,89 M","324,02 M","266,56 M","315,89 M","224,07 M","280,63 M","228,81 M"
Custos,"-1,10 B","-975,81 M","-1,04 B","-1,00 B","-821,29 M",0,0,0,0,"-1,78 B","-437,21 Mil","-451,13 Mil","-446,30 M","-326,30 M","-313,52 M","-343,92 M","-283,85 M","-262,07 M","-205,45 M","-190,73 M","-167,61 M","-155,11 M","-112,24 M","-116,38 M","-135,58 M","-257,29 M","-184,86 M","-122,27 M","-112,48 M","-126,65 M","-135,22 M","-173,39 M","-110,64 M","-158,06 M","-445,93 M","-252,46 M","-146,49 M","-207,60 M","-227,44 M","-81,63 M","-97,16 M","-193,21 M","-770,92 M","-100,89 M","-616,84 M","-382,14 M","-336,66 M","-199,77 M","-194,20 M","-259,88 M","-220,97 M","-288,69 M","-141,57 M","-177,06 M","-176,03 M","-331,98 M","-166,23 M","-267,77 M","-464,23 M","-230,31 M","-184,61 M","-243,35 M","-123,45 M","-194,73 M","-151,13 M"
Lucro bruto,"398,55 M","287,38 M","306,13 M","211,68 M","224,38 M",0,0,0,0,"506,89 M","158,02 Mil","95,66 Mil","92,78 M","44,51 M","38,14 M","40,75 M","49,58 M","42,65 M","47,60 M","34,95 M","39,54 M","3,94 M","34,54 M","62,12 M","39,54 M","-97,92 M","-8,94 M","-17,96 M","26,75 M","-14,91 M","18,98 M","4,50 M","35,37 M","40,10 M","-343,63 M","-13,57 M","35,31 M","3,80 M","9,41 M","10,11 M","37,73 M","39,27 M","-75,09 M","87,22 M","-18,58 M","12,81 M","97,72 M","65,94 M","78,13 M","48,56 M","69,68 M","44,62 M","85,59 M","70,55 M","84,18 M","98,92 M","107,34 M","71,77 M","79,66 M","93,71 M","81,95 M","72,54 M","100,62 M","85,91 M","77,69 M"
Despesas operacionais,"-170,12 M","-55,07 M","-141,29 M","-81,29 M","-76,87 M",0,0,0,0,"-228,67 M","-63,39 Mil","-30,53 Mil","-46,45 M","-32,30 M","-30,56 M","-38,30 M","-47,43 M","-37,58 M","-46,68 M","-41,86 M","-44,95 M","-86,10 M","-50,85 M","-44,60 M","-90,66 M","-49,61 M","-30,09 M","-22,83 M","-78,27 M","-44,44 M","-23,32 M","-23,75 M","-26,36 M","-37,96 M","-52,97 M","-30,16 M","-21,68 M","-17,92 M","-20,41 M","-16,22 M","-36,61 M","-30,34 M","-34,66 M","-85,07 M","-35,57 M","22,43 M","-97,85 M","-31,84 M","-42,51 M","50,59 M","-28,22 M","-26,71 M","-33,73 M","24,18 M","-36,80 M","-48,28 M","-49,90 M","81,22 M","-34,72 M","-49,61 M","-46,74 M","-20,68 M","-43,43 M","-42,09 M","-42,06 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Despesas administrativas,--,--,--,--,--,"-125,75 M","-32,59 Mil","-30,28 Mil","-30,27 M","-109,19 M","-28,36 Mil","-26,83 Mil","-26,45 M","-24,33 M","-24,50 M","-26,16 M","-25,00 M","-24,18 M","-22,98 M","-20,88 M","-21,48 M","-22,25 M","-20,03 M","-21,28 M","-23,43 M","-23,76 M","-19,88 M","-18,53 M","-20,70 M","-23,17 M","-25,94 M","-23,47 M","-24,62 M","-22,82 M","-23,34 M","-21,90 M","-21,00 M","-22,18 M","-21,32 M","-20,50 M","-19,80 M","-22,15 M","-20,59 M","-20,48 M","-21,11 M","-24,91 M","-22,52 M","-20,67 M","-21,71 M","-23,03 M","-20,76 M","-20,75 M","-21,51 M","-21,80 M","-20,86 M","-21,79 M","-21,01 M","-21,27 M","-17,18 M","-16,16 M","-14,68 M","-15,05 M","-12,97 M","-11,45 M","-10,66 M"
EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado operacional,--,--,--,--,--,"314,41 M","83,46 Mil","83,76 Mil","99,74 M","278,22 M","94,63 Mil","65,13 Mil","46,33 M","12,20 M","7,58 M","2,45 M","2,16 M","5,06 M","914,00 Mil","-6,91 M","-5,41 M","-75,17 M","-16,31 M","17,52 M","-51,12 M","-147,53 M","-39,03 M","-40,79 M","-51,52 M","-59,35 M","-4,33 M","-19,25 M","9,02 M","2,14 M","-396,59 M","-43,73 M","13,62 M","-14,13 M","-11,00 M","-6,11 M","1,12 M","8,93 M","-109,75 M","2,15 M","-54,15 M","35,24 M","-132,00 Mil","34,10 M","35,62 M","99,15 M","41,46 M","17,91 M","51,87 M","94,74 M","47,38 M","50,64 M","57,44 M","152,99 M","44,95 M","44,10 M","35,21 M","51,87 M","57,19 M","43,82 M","35,63 M"
Resultado financeiro,--,--,--,--,--,"15,14 M","7,86 Mil",595,"4,64 M","17,62 M","-3,66 Mil","5,40 Mil","10,64 M","16,35 M","32,56 M","10,31 M","4,46 M","5,11 M","7,16 M","14,85 M","3,56 M","-694,00 Mil","700,00 Mil","849,00 Mil","3,69 M","4,03 M","-176,00 Mil","-2,87 M","17,29 M","2,43 M","-44,00 Mil","-1,32 M","2,68 M","3,43 M","2,24 M","2,46 M","421,00 Mil","4,10 M","2,48 M","3,50 M","8,47 M","2,53 M","-696,00 Mil","1,11 M","4,11 M","-645,00 Mil","4,36 M","4,47 M","6,84 M","2,08 M","2,15 M","2,73 M","2,29 M","15,40 M","314,00 Mil","1,01 M","3,32 M","-3,19 M","501,00 Mil","5,30 M","1,79 M","-11,00 Mil","-219,00 Mil","-713,00 Mil",0
Antes dos impostos,"228,43 M","232,31 M","164,84 M","130,39 M","147,51 M",0,0,0,0,"295,85 M","90,97 Mil","70,54 Mil","56,97 M","28,56 M","40,14 M","12,77 M","6,62 M","10,18 M","8,07 M","7,95 M","-1,85 M","-75,86 M","-15,61 M","18,37 M","-47,43 M","-143,50 M","-39,21 M","-43,66 M","-34,23 M","-56,93 M","-4,38 M","-20,57 M","11,70 M","5,57 M","-394,35 M","-41,27 M","14,04 M","-10,03 M","-8,52 M","-2,60 M","9,60 M","11,46 M","-110,45 M","3,26 M","-50,04 M","34,59 M","4,23 M","38,57 M","42,45 M","101,22 M","43,61 M","20,65 M","54,16 M","110,14 M","47,70 M","51,65 M","60,76 M","149,80 M","45,45 M","49,40 M","37,00 M","51,85 M","56,97 M","43,11 M","35,63 M"
Imposto,"-59,21 M","-7,01 M","-41,76 M","-32,54 M","-38,77 M",0,0,0,0,"-14,82 Mil","-29,85 Mil",0,0,"-1,57 M","-725,00 Mil",0,0,"6,50 M","-3,72 M","-4,98 M",0,0,0,0,0,"940,00 Mil","11,68 M",0,0,0,"-814,00 Mil",0,0,0,"2,10 M","-2,10 M",0,"-3,65 M","1,14 M","-12,48 M",0,0,0,0,0,"-27,11 M","42,63 M","-42,63 M","-388,00 Mil","-17,41 M","12,28 M","-11,43 M","-1,35 M","-24,22 M","-10,55 M","4,51 M","-5,00 M","-20,05 M","-11,43 M","14,70 M","-14,70 M","-5,78 M","-15,51 M","-18,38 M","-13,00 M"
Op. continuadas,"169,22 M","225,30 M","123,08 M","97,85 M","108,74 M",0,0,0,0,"177,57 M","56,05 Mil","37,28 Mil","35,44 M","18,20 M","14,98 M","10,07 M","4,04 M","-1,37 M","15,73 M","8,19 M","-20,08 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,15 M","24,38 M","35,94 M","26,29 M","31,16 M","35,81 M","34,14 M","46,20 M","43,20 M","43,62 M","49,58 M","58,14 M","71,71 M","41,03 M","37,52 M","33,93 M","27,48 M","40,24 M","50,49 M","43,85 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"149,90 M","183,49 M","103,63 M","83,02 M","73,45 M",0,0,0,0,"180,76 M","45,23 Mil","42,85 Mil","30,59 M","22,39 M","12,21 M","4,43 M","1,87 M","1,42 M","2,68 M","1,25 M","530,00 Mil","-53,27 M","-11,24 M","3,16 M","-2,28 M","-23,74 M","-23,82 M","-29,89 M","-40,75 M","-75,01 M","4,84 M","5,26 M","5,20 M","2,01 M","-244,16 M","-21,33 M","652,00 Mil","-9,06 M","-6,60 M","-6,94 M","8,30 M","10,49 M","10,36 M","10,11 M","10,06 M","5,22 M","18,62 M","35,46 M","35,01 M","37,14 M","40,24 M","38,66 M","45,55 M","48,16 M","47,22 M","45,51 M","46,56 M","55,92 M","38,06 M","36,08 M","31,45 M","14,90 M","37,60 M","33,79 M","30,15 M"
Dos controladores,"150,02 M","183,43 M",0,"83,02 M","60,63 M","101,44 M","68,36 M","76,21 M","52,80 M","177,57 M","56,05 Mil","37,28 Mil",0,"18,20 M","14,98 M","10,07 M","4,04 M","-1,37 M","15,73 M","8,19 M","-20,08 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"9,15 M","24,38 M","35,94 M","26,29 M","31,16 M","35,81 M","34,14 M","46,20 M","43,20 M","43,62 M","49,58 M","58,14 M","71,71 M","41,03 M","37,52 M","33,93 M","27,48 M","40,24 M","50,49 M","43,85 M"
Dos não controladores,"805,00 Mil","2,00 M","368,00 Mil","171,00 Mil","-180,00 Mil","47,00 Mil",0,"196,00 Mil","336,00 Mil",0,-25,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
