Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,21 B","1,31 B","1,56 B","1,58 B","1,63 B","1,71 B","1,72 B","1,76 B","1,78 B","1,90 B","2,10 B","2,16 B","1,99 B","2,53 B","2,91 B","2,88 B","3,07 B","3,35 B","3,44 B","3,67 B","4,03 B","4,14 B","3,83 B","4,07 B","3,87 B","4,60 B","4,13 B","4,21 B","4,62 B","4,41 B","4,12 B","3,91 B","4,21 B","3,99 B","3,43 B","3,32 B","3,54 B","3,72 B","4,01 B","4,86 B","5,31 B","5,72 B","5,21 B","5,12 B","4,96 B","4,76 B","4,47 B","4,47 B","4,43 B","4,71 B","4,15 B","4,32 B","4,19 B","3,92 B","3,83 B","3,80 B","3,78 B","3,85 B","3,61 B","3,76 B","3,64 B","3,26 B"
Ativo circulante,"200,04 M","339,93 M","342,94 M","368,09 M","397,93 M","416,82 M","372,19 M","387,70 M","388,30 M","589,95 M","733,49 M","771,62 M","569,96 M","645,23 M","1,02 B","900,87 M","1,09 B","1,31 B","1,35 B","1,52 B","1,85 B","1,95 B","1,57 B","1,77 B","1,58 B","2,23 B","2,20 B","2,36 B","2,79 B","2,55 B","2,23 B","2,17 B","2,49 B","2,28 B","1,69 B","1,61 B","1,81 B","1,93 B","2,22 B","2,97 B","3,45 B","3,85 B","3,25 B","3,24 B","3,10 B","2,94 B","2,65 B","2,67 B","2,61 B","2,98 B","2,43 B","2,65 B","2,54 B","2,37 B","2,38 B","2,50 B","2,47 B","2,62 B","2,32 B","2,49 B","2,46 B","1,97 B"
Caixa e eq. de caixa,"2,17 M","2,14 M","1,45 M","1,41 M","8,52 M","3,69 M","3,11 M","1,25 M","85,00 Mil","419,00 Mil","3,52 M","586,00 Mil","2,50 M","25,51 M","11,58 M","29,07 M","40,12 M","129,73 M","112,55 M","136,58 M","138,76 M","222,94 M","237,42 M","111,47 M","118,04 M","254,48 M","147,99 M","143,55 M","216,67 M","344,20 M","166,88 M","257,58 M","345,55 M","258,70 M","103,63 M","282,54 M","142,82 M","161,44 M","234,79 M","663,03 M","253,71 M","687,81 M","438,51 M","146,09 M","276,87 M","176,97 M","63,57 M","35,59 M","79,52 M","37,94 M","91,01 M","95,50 M","195,53 M","71,28 M","52,72 M","62,32 M","104,32 M","78,04 M","47,41 M","32,57 M","126,83 M","100,03 M"
Aplicações financeiras,"39,29 M","37,98 M","35,79 M","34,89 M","33,92 M","33,08 M","25,92 M","23,61 M","24,37 M","23,72 M","23,35 M","20,24 M","21,31 M","23,32 M","7,13 M","10,26 M","16,33 M","6,71 M","11,87 M","33,64 M","29,43 M","29,42 M","21,61 M","7,46 M","11,72 M","11,60 M","7,25 M","9,91 M","28,79 M","54,15 M","55,21 M","42,78 M","38,45 M","40,10 M","92,75 M","32,26 M","87,94 M","217,33 M","319,91 M","306,94 M","377,06 M","609,31 M","612,33 M","859,49 M","699,53 M","741,95 M","527,98 M","418,59 M","310,67 M","316,93 M","431,76 M","542,30 M","419,15 M","470,17 M","526,13 M","726,68 M","666,22 M","690,27 M","461,45 M","334,45 M","456,49 M","567,69 M"
Contas a receber,"9,10 M","23,57 M","7,60 M","5,62 M","1,74 M","5,33 M","1,08 M","2,62 M","1,75 M","22,01 M","49,71 M","110,19 M","40,55 M","25,10 M","74,98 M","97,01 M","109,00 M","93,39 M","125,32 M","132,23 M","341,62 M","315,33 M","270,67 M","297,78 M","203,62 M","254,03 M","401,05 M","375,40 M","665,59 M","501,38 M","309,01 M","268,66 M","371,38 M","437,31 M","292,94 M","374,31 M","452,59 M","455,20 M","481,64 M","506,59 M","604,77 M","655,79 M","479,28 M","554,71 M","463,78 M","391,97 M","272,51 M","332,87 M","603,74 M","366,70 M","416,90 M","456,60 M","449,92 M","391,37 M","388,95 M","470,75 M","490,54 M","482,25 M","487,91 M","535,71 M","528,00 M","372,04 M"
Estoques,"89,91 M","231,69 M","242,65 M","255,53 M","271,75 M","309,76 M","292,61 M","298,42 M","298,08 M","300,19 M","453,34 M","456,09 M","291,81 M","327,89 M","661,43 M","580,55 M","716,48 M","877,95 M","897,05 M","1,05 B","1,10 B","1,13 B","754,41 M","902,56 M","1,01 B","1,48 B","1,42 B","1,66 B","1,63 B","1,36 B","1,56 B","1,44 B","1,55 B","1,38 B","1,05 B","778,43 M","937,37 M","833,15 M","967,15 M","1,08 B","1,50 B","1,46 B","1,43 B","1,40 B","1,37 B","1,39 B","1,49 B","1,52 B","1,38 B","1,92 B","1,08 B","1,31 B","1,33 B","1,30 B","1,27 B","1,10 B","998,39 M","954,52 M","1,10 B","1,35 B","1,15 B","846,92 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,01 B","968,63 M","1,22 B","1,22 B","1,23 B","1,29 B","1,34 B","1,37 B","1,40 B","1,31 B","1,37 B","1,39 B","1,42 B","1,89 B","1,90 B","1,98 B","1,98 B","2,04 B","2,09 B","2,15 B","2,18 B","2,19 B","2,26 B","2,30 B","2,29 B","2,37 B","1,93 B","1,84 B","1,84 B","1,86 B","1,89 B","1,74 B","1,72 B","1,71 B","1,75 B","1,71 B","1,73 B","1,79 B","1,79 B","1,89 B","1,85 B","1,88 B","1,96 B","1,89 B","1,87 B","1,82 B","1,82 B","1,80 B","1,83 B","1,73 B","1,72 B","1,67 B","1,64 B","1,55 B","1,46 B","1,31 B","1,31 B","1,22 B","1,28 B","1,26 B","1,18 B","1,29 B"
Investimentos,"25,46 M","25,46 M","25,46 M","25,70 M","25,70 M","3,06 M","3,06 M","3,06 M","2,81 M","2,81 M","2,81 M","2,81 M","2,61 M","2,56 M","2,56 M","2,51 M","2,51 M","2,51 M","2,51 M","2,51 M","2,51 M","2,51 M","2,51 M","2,51 M","2,42 M","2,42 M","2,42 M","2,42 M","2,33 M","2,33 M","2,25 M","2,25 M","2,25 M","2,25 M","2,25 M","2,25 M","2,25 M","598,00 Mil","612,00 Mil","647,00 Mil","646,00 Mil","646,00 Mil","10,55 M","10,55 M","10,55 M","10,55 M","10,55 M","10,55 M","10,55 M","10,55 M","10,55 M","12,30 M","12,30 M","12,30 M","12,30 M","12,30 M","12,30 M","646,00 Mil","646,00 Mil","646,00 Mil","646,00 Mil","650,00 Mil"
Imobilizado,"619,77 M","630,35 M","892,57 M","912,55 M","931,67 M","947,81 M","970,21 M","991,00 M","1,02 B","1,04 B","1,06 B","1,08 B","1,11 B","1,12 B","1,12 B","1,13 B","1,14 B","1,13 B","1,16 B","1,18 B","1,20 B","1,21 B","1,25 B","1,28 B","1,31 B","1,27 B","1,23 B","1,24 B","1,27 B","1,29 B","1,33 B","1,28 B","1,27 B","1,25 B","1,26 B","1,27 B","1,30 B","1,33 B","1,31 B","1,33 B","1,35 B","1,26 B","1,24 B","1,30 B","1,31 B","1,33 B","1,34 B","1,36 B","1,40 B","1,40 B","1,41 B","1,40 B","1,39 B","1,30 B","1,25 B","1,13 B","1,13 B","1,08 B","1,06 B","1,04 B","1,05 B","1,08 B"
Intangível,"2,69 M","2,86 M","3,04 M","3,21 M","3,39 M","3,61 M","3,90 M","4,23 M","4,57 M","4,92 M","5,29 M","5,49 M","5,89 M","5,62 M","5,59 M","5,95 M","6,12 M","6,53 M","6,80 M","7,09 M","7,57 M","8,10 M","8,69 M","9,33 M","10,06 M","8,81 M","9,64 M","10,60 M","10,16 M","6,80 M","7,51 M","7,20 M","6,45 M","7,14 M","7,86 M","8,64 M","9,34 M","9,38 M","9,88 M","10,24 M","8,81 M","8,88 M","8,99 M","8,49 M","4,99 M","4,51 M","4,91 M","4,50 M","4,44 M","4,52 M","4,94 M","4,76 M","5,18 M","5,22 M","4,73 M","3,72 M","3,73 M","4,41 M","5,72 M","6,65 M","7,44 M","11,49 M"
