Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,05","-0,08","-0,37","-0,19","-1,61","-1,60","-65,32","-11,58","-28,14","-9,28","24,08","40,97","1.075,30","-46,25","-114,69","183,47","41,81"
P/VP,"-0,01","-0,03","-0,12","-0,18","-1,35","-6,96","2,64","6,21","4,30","13,47","9,42","4,21","4,61","6,53","3,29","4,92","4,78"
P/EBIT,"-0,12","-0,37","-0,67","-0,36","-3,94","-6,01","13,39","-75,51","-11,19","-103,34","22,64","40,09","39,65","-45,51","-117,41","355,07","467,06"
P/EBIT *,"-0,22","-0,66","-1,13","-0,89","-3,65","75,19","-23,68","29,96","32,54","15,98","12,62","20,06","25,33","131,02","-306,53","175,49","-67,16"
PSR,"0,13","0,35","0,52","0,25","0,27","0,32","0,31","0,79","1,09","0,75","0,60","1,07","1,14","2,37","1,34","2,73","3,29"
P/Ativos,"0,06","0,10","0,29","0,26","0,42","0,34","0,42","0,81","0,91","0,98","0,61","1,02","1,43","2,28","1,45","2,39","2,53"
LPA,"-8,83","-14,18","-9,22","-17,84","-5,31","-5,71","-0,17","-2,14","-0,90","-2,47","0,89","0,82","0,04","-1,37","-0,32","0,32","1,31"
VPA,"-50,02","-41,68","-28,00","-18,68","-6,33","-1,32","4,12","3,99","5,89","1,70","2,28","7,98","9,13","9,69","11,02","11,74","11,46"
EBIT por ação,"-3,97","-2,91","-5,02","-9,31","-2,17","-1,52","0,81","-0,33","-2,26","-0,22","0,95","0,84","1,06","-1,39","-0,31","0,16","0,12"
EBIT por ação *,"-2,15","-1,63","-2,99","-3,79","-2,35","0,12","-0,46","0,83","0,78","1,44","1,71","1,68","1,66","0,48","-0,12","0,33","-0,82"
Ativo por ação,"8,00","10,79","11,83","13,19","20,33","26,73","25,66","30,66","27,92","23,50","35,18","32,91","29,41","27,76","25,04","24,16","21,63"
Receita líquida por ação,"3,73","3,05","6,45","13,30","31,26","28,47","34,66","31,60","23,26","30,41","35,63","31,39","36,79","26,69","27,17","21,16","16,65"
Margem bruta,"-41,46%","-35,57%","-36,79%","-24,83%","-5,72%","2,99%","1,21%","5,68%","6,97%","7,63%","7,65%","8,11%","7,12%","4,58%","2,28%","4,89%","-0,54%"
Margem líquida,"-236,74%","-464,99%","-142,88%","-134,15%","-16,99%","-20,07%","-0,48%","-6,79%","-3,87%","-8,14%","2,51%","2,62%","0,11%","-5,13%","-1,16%","1,49%","7,85%"
Margem EBIT,"-106,56%","-95,53%","-77,84%","-69,97%","-6,95%","-5,35%","2,34%","-1,04%","-9,73%","-0,73%","2,67%","2,67%","2,89%","-5,21%","-1,14%","0,77%","0,70%"
Margem EBIT *,"-57,73%","-53,44%","-46,29%","-28,52%","-7,50%","0,43%","-1,32%","2,62%","3,35%","4,72%","4,79%","5,34%","4,52%","1,81%","-0,44%","1,56%","-4,90%"
Margem EBITDA,"-92,38%","-76,69%","-67,75%","-64,84%","-3,96%","-1,75%","5,25%","2,07%","-6,12%","2,36%","4,94%","5,23%","4,78%","-3,26%","0,99%","3,31%","3,97%"
Margem EBITDA *,"-43,55%","-34,61%","-36,20%","-23,39%","-4,51%","4,04%","1,59%","5,73%","6,95%","7,82%","7,06%","7,90%","6,41%","3,76%","1,69%","4,09%","-1,63%"
Margem operacional,"-235,09%","-468,17%","-141,58%","-135,49%","-16,79%","-19,86%","3,57%","-9,32%","-15,08%","-2,82%","3,19%","3,13%","-0,06%","-6,97%","-2,21%","0,97%","-3,52%"
ROE,"17,65%","34,02%","32,91%","95,51%","83,97%","433,86%","-4,04%","-53,67%","-15,28%","-145,20%","39,13%","10,29%","0,43%","-14,13%","-2,87%","2,68%","11,38%"
ROA,"-1,10","-1,31","-0,78","-1,35","-0,26","-0,21","-0,01","-0,07","-0,03","-0,11","0,03","0,03","0,00","-0,05","-0,01","0,01","0,06"
ROIC,"-116,53%","-46,47%","-56,01%","-91,85%","-11,40%","-6,76%","3,77%","-1,59%","-11,28%","-1,06%","3,27%","5,94%","6,47%","-11,17%","-2,61%","1,08%","0,88%"
ROIC *,"-63,13%","-26,00%","-33,31%","-37,44%","-12,30%","0,54%","-2,13%","4,00%","3,88%","6,85%","5,87%","11,87%","10,13%","3,88%","-1,00%","2,18%","-6,09%"
Giro do ativo,"0,47","0,28","0,55","1,01","1,54","1,06","1,35","1,03","0,83","1,29","1,01","0,95","1,25","0,96","1,09","0,88","0,77"
EBIT *,-325 mi,-246 mi,-451 mi,-573 mi,-354 mi,18 mi,-70 mi,124 mi,117 mi,216 mi,257 mi,252 mi,250 mi,72 mi,-18 mi,49 mi,-123 mi
EBITDA,-520 mi,-353 mi,-660 mi,-1.301 mi,-187 mi,-75 mi,274 mi,98 mi,-215 mi,108 mi,265 mi,247 mi,265 mi,-132 mi,40 mi,105 mi,99 mi
EBITDA *,-245 mi,-160 mi,-353 mi,-470 mi,-213 mi,173 mi,83 mi,273 mi,243 mi,358 mi,379 mi,373 mi,355 mi,151 mi,69 mi,130 mi,-41 mi
Liquidez corrente,"0,03","0,06","0,10","0,16","0,96","0,47","1,17","1,52","1,88","0,63","0,91","1,04","1,15","1,10","1,33","1,60","1,57"
Liquidez seca,"0,01","0,02","0,02","0,08","0,33","0,19","0,42","0,63","0,71","0,30","0,52","0,58","0,54","0,53","0,79","0,86","0,90"
Liquidez imediata,"0,00","0,00","0,00","0,00","0,04","0,04","0,09","0,12","0,26","0,05","0,07","0,09","0,04","0,08","0,06","0,08","0,08"
Dívida bruta,5.698 mi,5.217 mi,3.711 mi,3.192 mi,3.250 mi,2.889 mi,2.210 mi,2.148 mi,1.927 mi,1.845 mi,1.951 mi,1.333 mi,1.118 mi,805 mi,697 mi,763 mi,486 mi
Dívida líquida,5.657 mi,5.174 mi,3.687 mi,3.168 mi,3.194 mi,2.721 mi,2.081 mi,1.903 mi,1.543 mi,1.614 mi,1.320 mi,356 mi,727 mi,190 mi,-73 mi,179 mi,-182 mi
Capital de giro,-7.188 mi,-5.864 mi,-3.480 mi,-2.906 mi,-41 mi,-2.113 mi,224 mi,957 mi,1.164 mi,-1.078 mi,-344 mi,117 mi,336 mi,232 mi,618 mi,927 mi,714 mi
Endividamento geral,"-116,00%","-125,89%","-142,25%","-170,58%","-421,42%","-2.130,17%","522,81%","667,39%","373,99%","1.279,10%","1.440,38%","312,23%","221,97%","186,42%","127,25%","105,67%","88,20%"
