Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"115,98 M","169,65 M","142,68 M","134,12 M","130,08 M","133,50 M","119,36 M","76,98 M","73,68 M","193,67 M","263,55 M","441,92 M","166,73 M","474,51 M","552,02 M","812,73 M","1,04 B","1,21 B","1,16 B",0,"1,46 B","838,25 M","1,09 B",0,"909,75 M","1,16 B","1,33 B","1,40 B","1,34 B","1,32 B","1,48 B","951,75 M","1,02 B","1,13 B","955,60 M","643,90 M","774,82 M","916,11 M","1,06 B","1,29 B","1,32 B","1,46 B","1,54 B","1,17 B","1,21 B","1,31 B","1,24 B","1,09 B","1,09 B","1,68 B","1,30 B","1,29 B","1,27 B","1,28 B","894,74 M","933,09 M","919,46 M","978,94 M","1,05 B","1,11 B","961,14 M","969,39 M","862,98 M","628,63 M","731,11 M"
Custos,"-244,72 M","-200,34 M","-177,68 M","-172,90 M","-201,42 M","-155,25 M","-149,68 M","-117,18 M","-229,82 M","-297,65 M","-301,00 M","-502,24 M","-323,94 M","-575,56 M","-714,31 M","-890,13 M","-1,26 B","-1,22 B","-1,15 B",0,"-1,39 B","-762,32 M","-1,12 B",0,"-892,07 M","-1,20 B","-1,36 B","-1,34 B","-1,27 B","-1,21 B","-1,35 B","-945,88 M","-996,38 M","-1,08 B","-898,04 M","-594,07 M","-687,51 M","-844,33 M","-978,68 M","-1,18 B","-1,23 B","-1,36 B","-1,35 B","-1,16 B","-1,09 B","-1,19 B","-1,13 B","-1,01 B","-1,02 B","-1,58 B","-1,16 B","-1,22 B","-1,19 B","-1,21 B","-853,13 M","-885,83 M","-890,10 M","-996,52 M","-1,01 B","-1,09 B","-911,84 M","-917,91 M","-867,09 M","-568,33 M","-682,80 M"
Lucro bruto,"-128,73 M","-30,69 M","-35,00 M","-38,77 M","-71,34 M","-21,75 M","-30,32 M","-40,19 M","-156,13 M","-103,98 M","-37,45 M","-60,33 M","-157,21 M","-101,05 M","-162,29 M","-77,40 M","-224,87 M","-12,56 M","11,98 M",0,"70,61 M","75,93 M","-35,73 M",0,"17,68 M","-40,60 M","-26,75 M","61,17 M","69,39 M","108,67 M","132,48 M","5,87 M","23,59 M","49,88 M","57,55 M","49,83 M","87,31 M","71,78 M","81,62 M","106,72 M","89,75 M","97,93 M","183,05 M","5,21 M","125,02 M","123,14 M","105,23 M","80,48 M","75,32 M","99,67 M","144,29 M","70,11 M","80,80 M","66,03 M","41,60 M","47,26 M","29,35 M","-17,58 M","43,07 M","18,46 M","49,30 M","51,48 M","-4,11 M","60,31 M","48,31 M"
Despesas operacionais,"-16,79 M","-249,78 M","-70,06 M","-29,54 M","-44,07 M","-94,11 M","-88,44 M","-49,14 M","33,38 M","-33,25 M","-355,46 M","-44,06 M","-790,99 M","-32,31 M","-54,25 M","-28,17 M","168,41 M","-95,25 M","-49,67 M",0,"-56,12 M","-113,78 M","-104,79 M",0,"-83,64 M","-22,64 M","162,01 M","12,74 M","-92,97 M","-63,93 M","-66,11 M","-88,79 M","-104,80 M","-61,89 M","-291,47 M","-107,92 M","-124,57 M","-124,75 M","-105,49 M","-78,93 M","-74,20 M","-71,91 M","-81,38 M","-41,87 M","-72,66 M","-62,35 M","-41,16 M","-45,31 M","-108,76 M","-80,58 M","-56,42 M","-55,91 M","-41,81 M","-34,82 M","-240,51 M","-85,31 M","-33,45 M","-33,30 M","-39,42 M","-32,32 M","-34,82 M","-32,59 M","-32,05 M","-26,37 M","-40,42 M"
Despesas com vendas,"-2,17 M","-1,89 M","-2,29 M","-2,28 M","-2,64 M","-2,27 M","-2,33 M","-2,46 M","-2,71 M","-2,51 M","-2,39 M","-2,65 M","-2,82 M","-2,96 M","-3,62 M","-3,24 M","-4,10 M","-3,79 M","-2,08 M",--,"-5,81 M","-5,45 M","-5,16 M",--,--,"-8,41 M","-7,85 M","-7,38 M","-5,98 M","-7,93 M","-7,67 M","-7,31 M","-7,10 M","-7,14 M","-7,26 M","-6,99 M","-6,68 M","-8,30 M","-8,41 M","-8,56 M","-8,76 M","-10,39 M","-11,01 M","-8,00 M","-9,67 M","-8,38 M","-7,20 M","-6,69 M","-7,91 M","-9,12 M","-7,61 M","-8,46 M","-7,72 M","-8,89 M","-8,65 M","-8,47 M","-8,11 M","-12,38 M","-8,87 M","-8,58 M","-9,22 M","-8,94 M","-8,19 M","-7,06 M","-13,47 M"
Despesas administrativas,"-23,61 M","-17,39 M","-22,68 M","-19,20 M","-18,36 M","-17,44 M","-18,52 M","-18,18 M","-22,54 M","-19,22 M","-21,22 M","-19,21 M","-5,18 M","-20,87 M","-18,09 M","-17,45 M","-13,29 M","-18,75 M","-18,91 M",--,"-17,00 M","-25,17 M","-21,47 M",--,--,"-23,52 M","-31,45 M","-27,02 M","-20,77 M","-28,21 M","-31,79 M","-29,37 M","-26,27 M","1,25 M","-45,91 M","-26,38 M","-28,05 M","-21,00 M","-26,72 M","-26,78 M","-24,75 M","-25,62 M","-34,14 M","-27,70 M","-27,43 M","-33,28 M","-12,03 M","-26,77 M","-28,93 M","-25,79 M","-26,98 M","-31,55 M","-26,94 M","-23,46 M","-17,51 M","-18,37 M","-17,89 M","-15,22 M","-17,58 M","-22,11 M","-17,13 M","-15,79 M","-18,95 M","-16,31 M","-17,60 M"
EBIT,"-145,52 M","-280,47 M","-105,06 M","-68,31 M","-115,41 M","-115,86 M","-118,76 M","-89,33 M","-122,75 M","-137,22 M","-392,91 M","-104,39 M","-948,21 M","-133,36 M","-216,54 M","-105,57 M","-56,46 M","-107,82 M","-37,69 M",0,"14,49 M","-37,84 M","-140,52 M",0,"-65,96 M","-63,23 M","135,25 M","73,91 M","-23,58 M","44,74 M","66,37 M","-82,92 M","-81,21 M","-12,01 M","-233,92 M","-58,09 M","-37,26 M","-52,97 M","-23,87 M","27,79 M","15,55 M","26,02 M","101,68 M","-36,66 M","52,35 M","60,78 M","64,08 M","35,17 M","-33,44 M","19,09 M","87,87 M","14,20 M","38,99 M","31,21 M","-198,90 M","-38,05 M","-4,09 M","-50,87 M","3,65 M","-13,86 M","14,48 M","18,89 M","-36,16 M","33,94 M","7,90 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-414,41 M","-91,56 M","-152,86 M","-64,06 M","-694,74 M","-219,75 M","-564,83 M","-234,54 M","-93,28 M","-251,26 M","-200,63 M","-74,86 M","-1,04 B","-184,06 M","-360,68 M","274,81 M","-133,74 M","-312,26 M","259,37 M",0,"146,91 M","-129,33 M","-136,12 M",0,"-504,52 M","47,23 M","-2,02 M","47,33 M","-28,39 M","-5,77 M","-97,66 M","-309,48 M","21,96 M","-112,85 M","-41,34 M","-31,28 M","-2,34 M","18,34 M","-33,56 M","-63,34 M","-17,24 M","-52,09 M","151,27 M","-96,93 M","25,82 M","26,95 M","112,05 M","-133,19 M","15,86 M","-14,52 M","-129,73 M","-56,45 M","37,30 M","20,64 M","-37,55 M","-54,48 M","675,00 Mil","-2,22 M","-43,31 M","-12,48 M","14,23 M","-30,32 M","25,50 M","14,71 M","-3,47 M"
Antes dos impostos,"-559,93 M","-372,03 M","-257,92 M","-132,37 M","-810,16 M","-335,61 M","-683,59 M","-323,87 M","-216,03 M","-388,49 M","-593,54 M","-179,25 M","-1,99 B","-317,42 M","-577,22 M","169,24 M","-190,19 M","-420,07 M","221,69 M",0,"161,40 M","-167,17 M","-276,64 M",0,"-570,49 M","-16,01 M","133,24 M","121,24 M","-51,97 M","38,96 M","-31,29 M","-392,39 M","-59,24 M","-124,86 M","-275,26 M","-89,37 M","-39,59 M","-34,63 M","-57,43 M","-35,55 M","-1,69 M","-26,07 M","252,95 M","-133,59 M","78,18 M","87,73 M","176,12 M","-98,02 M","-17,58 M","4,57 M","-41,87 M","-42,25 M","76,29 M","51,85 M","-236,46 M","-92,53 M","-3,42 M","-53,09 M","-39,66 M","-26,34 M","28,71 M","-11,43 M","-10,66 M","48,65 M","4,42 M"
Imposto,"-10,59 M","462,00 Mil","428,00 Mil","457,00 Mil","645,00 Mil","440,00 Mil","12,83 M","701,00 Mil","506,00 Mil","6,24 M","-19,72 M","362,00 Mil","11,00 M","411,00 Mil","14,88 M","448,00 Mil","2,06 M","499,00 Mil","-12,78 M",0,"-10,54 M","965,00 Mil","173,00 Mil",0,"695,00 Mil","-213,08 M","6,90 M","-18,41 M","13,03 M","-6,29 M","12,45 M","104,35 M","10,09 M","7,52 M","373,14 M","16,21 M","-3,55 M","-2,50 M","-755,00 Mil","-244,98 M","4,37 M","8,43 M","-66,57 M","25,45 M","-4,00 M","-8,08 M","-45,21 M","25,89 M","3,02 M","-10,40 M","6,82 M","30,08 M","-17,33 M","-11,00 M","59,45 M","25,67 M","-59,00 Mil","-8,13 M","45,95 M","2,80 M","2,05 M","18,71 M","-21,94 M","-1,26 M","21,02 M"
Op. continuadas,"-570,52 M","-371,56 M","-257,49 M","-131,92 M","-809,51 M","-335,17 M","-670,76 M","-323,17 M","-215,53 M","-382,25 M","-613,26 M","-178,89 M","-1,98 B","-317,01 M","-562,34 M","169,69 M","-188,13 M","-419,57 M","208,91 M",0,"150,86 M","-166,21 M","-276,47 M",0,"-569,79 M","-229,09 M","140,13 M","102,83 M","-38,94 M","32,67 M","-18,84 M","-288,04 M","-49,16 M","-117,34 M","97,88 M","-73,16 M","-43,15 M","-37,13 M","-58,18 M","-280,53 M","2,68 M","-17,64 M","186,38 M","-108,14 M","74,18 M","79,65 M","130,91 M","-72,12 M","-14,56 M","-5,84 M","-35,04 M","-12,17 M","58,96 M","40,85 M","-177,00 M","-66,85 M","-3,48 M","-61,22 M","6,30 M","-23,55 M","30,76 M","7,29 M","-32,60 M","47,38 M","25,44 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-570,52 M","-371,56 M","-257,49 M","-131,92 M","-809,51 M","-335,17 M","-670,76 M","-323,17 M","-215,53 M","-382,25 M","-613,26 M","-178,89 M","-1,98 B","-317,01 M","-562,34 M","169,69 M","-188,13 M","-419,57 M","208,91 M",0,"150,86 M","-166,21 M","-276,47 M",0,"-569,79 M","-229,09 M","140,13 M","102,83 M","-38,94 M","32,67 M","-18,84 M","-288,04 M","-49,16 M","-117,34 M","97,88 M","-73,16 M","-43,15 M","-37,13 M","-58,18 M","-280,53 M","2,68 M","-17,64 M","186,38 M","-108,14 M","74,18 M","79,65 M","130,91 M","-72,12 M","-14,56 M","-5,84 M","-35,04 M","-12,17 M","58,96 M","40,85 M","-177,00 M","-66,85 M","-3,48 M","-61,22 M","6,30 M","-23,55 M","30,76 M","7,29 M","-32,60 M","47,38 M","25,44 M"
