Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,80","5,86","3,98","6,31","3,73","3,99","14,80","6,95","11,11","24,77","5,70","13,94","4,73","7,79","10,96","5,54","4,81","11,10"
P/VP,"1,78","1,87","1,19","1,45","0,53","0,50","0,60","0,61","0,99","0,94","0,68","0,66","0,64","1,48","2,53","1,63","1,49","1,90"
P/EBIT,"5,22","5,32","3,28","6,43","6,30","6,41","8,91","5,56","6,89","24,07","4,11","7,30","3,96","5,70","8,76","4,43","3,92","9,80"
P/EBIT *,"5,08","5,04","3,41","5,72","4,72","-35,12","7,67","5,82","8,96","26,36","63,85","7,94","4,68","5,97","9,48","4,49","4,31","10,26"
PSR,"0,80","0,79","0,56","0,77","0,31","0,42","0,43","0,32","0,49","0,62","0,49","0,44","0,31","0,61","0,98","0,56","0,48","0,69"
P/Ativos,"0,76","0,74","0,51","0,65","0,23","0,22","0,26","0,27","0,40","0,38","0,25","0,24","0,24","0,55","0,99","0,56","0,47","0,56"
LPA,"1,00","0,98","0,96","0,65","0,36","0,29","0,08","0,16","0,15","0,06","0,18","0,07","0,18","0,23","0,24","0,27","0,24","0,10"
VPA,"3,25","3,07","3,22","2,84","2,53","2,32","2,04","1,85","1,68","1,52","1,47","1,46","1,32","1,21","1,04","0,93","0,76","0,58"
EBIT por ação,"1,11","1,08","1,17","0,64","0,21","0,18","0,14","0,20","0,24","0,06","0,24","0,13","0,21","0,32","0,30","0,34","0,29","0,11"
EBIT por ação *,"1,14","1,14","1,12","0,72","0,28","-0,03","0,16","0,19","0,19","0,05","0,02","0,12","0,18","0,30","0,28","0,34","0,26","0,11"
Ativo por ação,"7,60","7,78","7,55","6,37","5,92","5,32","4,69","4,16","4,12","3,79","3,97","4,03","3,55","3,29","2,66","2,71","2,42","1,98"
Receita líquida por ação,"7,23","7,25","6,88","5,35","4,33","2,80","2,87","3,49","3,36","2,30","2,06","2,19","2,72","2,93","2,70","2,70","2,37","1,62"
Margem bruta,"25,49%","25,55%","24,80%","23,02%","15,32%","10,18%","16,59%","14,89%","15,83%","14,04%","12,66%","17,38%","17,42%","19,96%","20,56%","22,02%","21,30%","19,01%"
Margem líquida,"13,91%","13,64%","14,22%","12,13%","8,07%","10,24%","2,53%","4,85%","4,55%","2,86%","8,65%","3,25%","6,59%","7,98%","8,97%","10,21%","9,98%","6,18%"
Margem EBIT,"15,36%","14,90%","16,96%","11,98%","4,91%","6,52%","4,80%","5,76%","7,18%","2,58%","11,81%","6,06%","7,80%","10,79%","11,14%","12,72%","12,27%","6,99%"
Margem EBIT *,"15,77%","15,72%","16,28%","13,46%","6,56%","-1,19%","5,58%","5,51%","5,51%","2,36%","0,76%","5,57%","6,60%","10,30%","10,29%","12,57%","11,15%","6,68%"
Margem EBITDA,"17,04%","16,63%","18,91%","14,17%","7,12%","9,53%","7,48%","7,74%","8,63%","4,16%","13,74%","7,76%","9,01%","11,89%","12,25%","13,78%","13,43%","8,77%"
Margem EBITDA *,"17,45%","17,45%","18,23%","15,65%","8,77%","1,82%","8,26%","7,49%","6,96%","3,94%","2,69%","7,27%","7,82%","11,40%","11,39%","13,62%","12,31%","8,45%"
Margem operacional,"17,33%","17,31%","17,11%","12,95%","7,63%","10,94%","1,36%","5,61%","4,99%","3,23%","14,38%","4,66%","8,13%","10,66%","11,90%","14,72%","14,91%","9,43%"
ROE,"30,51%","31,72%","29,94%","22,60%","13,63%","12,12%","3,48%","8,99%","8,95%","4,26%","11,91%","4,78%","13,41%","19,04%","23,04%","29,37%","30,70%","16,92%"
ROA,"0,13","0,13","0,13","0,10","0,06","0,05","0,02","0,04","0,04","0,02","0,04","0,02","0,05","0,07","0,09","0,10","0,10","0,05"
ROIC,"19,99%","19,55%","21,87%","14,22%","4,77%","4,68%","3,87%","6,91%","7,98%","2,31%","9,28%","4,78%","8,12%","12,99%","15,09%","19,93%","18,22%","8,16%"
ROIC *,"20,52%","20,62%","20,99%","15,99%","6,37%","-0,85%","4,49%","6,61%","6,13%","2,11%","0,60%","4,40%","6,87%","12,39%","13,94%","19,69%","16,55%","7,80%"
Giro do ativo,"0,95","0,93","0,91","0,84","0,73","0,53","0,61","0,84","0,82","0,61","0,52","0,54","0,77","0,89","1,01","1,00","0,98","0,82"
