Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"9,50 B","9,72 B","9,78 B","9,49 B","8,98 B","9,44 B","8,97 B","8,53 B","8,02 B","7,96 B","7,61 B","7,28 B","7,27 B","7,40 B","7,34 B","7,04 B","6,69 B","6,65 B","6,48 B","6,19 B","5,96 B","5,86 B","6,06 B","5,81 B","5,62 B","5,19 B","5,15 B","5,04 B","5,15 B","5,15 B","5,04 B","5,11 B","4,70 B","4,73 B","4,59 B","4,76 B","4,70 B","4,97 B","5,17 B","4,43 B","4,45 B","5,04 B","5,11 B","4,53 B","4,53 B","4,44 B","4,42 B","4,05 B","4,02 B","4,12 B","4,21 B","4,05 B","4,01 B","3,33 B","3,36 B","3,55 B","3,40 B","3,38 B","3,37 B","3,15 B","2,87 B","3,03 B","2,47 B"
Ativo circulante,"5,63 B","5,95 B","6,02 B","5,72 B","5,24 B","5,66 B","5,41 B","5,01 B","4,74 B","4,81 B","4,61 B","4,21 B","4,21 B","4,15 B","4,05 B","3,77 B","3,53 B","3,37 B","3,33 B","3,14 B","3,16 B","3,17 B","3,27 B","3,03 B","2,92 B","2,84 B","2,87 B","2,87 B","3,05 B","3,06 B","2,96 B","3,07 B","2,76 B","2,82 B","2,73 B","2,87 B","2,80 B","3,06 B","3,29 B","2,55 B","2,45 B","2,99 B","3,03 B","2,61 B","2,64 B","2,67 B","2,73 B","2,44 B","2,41 B","2,52 B","2,61 B","2,50 B","2,64 B","2,09 B","2,18 B","2,36 B","2,18 B","2,29 B","2,28 B","2,03 B","1,83 B","1,99 B","1,62 B"
Caixa e eq. de caixa,"1,83 B","2,22 B","1,99 B","1,95 B","1,76 B","2,09 B","1,77 B","1,34 B","1,47 B","1,54 B","1,43 B","1,33 B","1,36 B","1,17 B","948,93 M","1,10 B","1,23 B","1,32 B","1,17 B","1,07 B","989,61 M","1,04 B","955,76 M","805,86 M","911,67 M","1,07 B","966,34 M","868,15 M","906,45 M","863,47 M","773,91 M","982,28 M","900,16 M","958,76 M","975,24 M","1,00 B","1,03 B","1,21 B","1,36 B","814,47 M","932,10 M","1,13 B","929,16 M","739,12 M","933,25 M","642,62 M","595,58 M","696,68 M","653,75 M","624,72 M","760,63 M","755,40 M","915,41 M","374,22 M","386,04 M","719,90 M","702,46 M","904,32 M","814,57 M","673,30 M","568,17 M","672,12 M","498,97 M"
Aplicações financeiras,"262,00 Mil","145,00 Mil","3,28 M","1,22 M","1,02 M","5,17 M","506,00 Mil","975,00 Mil","592,00 Mil","63,00 Mil","1,20 M","3,00 Mil","741,00 Mil","598,00 Mil","721,00 Mil","1,93 M",0,"683,00 Mil","3,52 M","1,28 M","5,39 M","2,64 M","6,22 M","4,66 M","1,60 M","100,16 M","73,55 M","73,60 M","70,97 M","91,38 M","89,05 M","100,09 M","191,91 M","187,82 M","249,68 M","248,21 M","260,06 M","230,65 M","193,02 M","244,72 M","100,73 M","186,67 M","262,52 M","157,06 M","51,89 M","242,87 M","317,11 M","134,83 M","166,50 M","144,68 M","17,07 M","12,14 M","136,43 M","135,29 M","123,80 M","117,17 M","4,12 M","2,39 M","44,59 M","52,84 M","48,93 M","54,09 M","37,44 M"
Contas a receber,"1,47 B","1,53 B","1,64 B","1,46 B","1,22 B","1,39 B","1,30 B","1,40 B","1,17 B","1,23 B","1,26 B","1,12 B","1,28 B","1,24 B","1,23 B","985,28 M","892,96 M","657,58 M","738,76 M","846,84 M","931,31 M","970,45 M","1,22 B","1,17 B","976,25 M","863,01 M","877,92 M","927,88 M","1,05 B","1,10 B","997,34 M","1,00 B","802,47 M","821,31 M","734,07 M","826,55 M","801,88 M","900,82 M","940,65 M","834,22 M","785,18 M","1,03 B","1,10 B","1,01 B","972,68 M","1,15 B","1,16 B","1,01 B","991,14 M","1,17 B","1,14 B","1,08 B","953,67 M","1,07 B","1,01 B","985,88 M","956,90 M","920,22 M","895,29 M","863,17 M","813,61 M","810,46 M","701,26 M"
Estoques,"1,93 B","1,77 B","1,95 B","1,94 B","1,93 B","1,83 B","1,96 B","1,90 B","1,74 B","1,62 B","1,42 B","1,34 B","1,22 B","1,34 B","1,42 B","1,20 B","1,01 B","987,61 M","917,10 M","842,49 M","823,65 M","748,41 M","737,29 M","681,22 M","707,52 M","552,69 M","649,96 M","663,56 M","686,03 M","686,82 M","728,62 M","650,75 M","563,59 M","521,36 M","500,94 M","502,31 M","466,72 M","472,06 M","498,44 M","424,96 M","433,19 M","437,77 M","512,69 M","504,48 M","505,29 M","467,52 M","463,30 M","429,76 M","442,21 M","447,46 M","474,52 M","451,87 M","471,81 M","364,53 M","449,97 M","399,08 M","408,56 M","368,33 M","327,99 M","289,30 M","264,54 M","311,45 M","237,40 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,87 B","3,77 B","3,76 B","3,78 B","3,74 B","3,78 B","3,57 B","3,52 B","3,28 B","3,15 B","3,00 B","3,07 B","3,06 B","3,25 B","3,29 B","3,28 B","3,16 B","3,29 B","3,15 B","3,05 B","2,80 B","2,69 B","2,79 B","2,78 B","2,70 B","2,36 B","2,28 B","2,16 B","2,11 B","2,09 B","2,08 B","2,04 B","1,94 B","1,91 B","1,87 B","1,88 B","1,91 B","1,91 B","1,88 B","1,88 B","2,00 B","2,05 B","2,08 B","1,91 B","1,89 B","1,77 B","1,69 B","1,61 B","1,61 B","1,59 B","1,61 B","1,55 B","1,36 B","1,24 B","1,17 B","1,18 B","1,23 B","1,09 B","1,09 B","1,12 B","1,03 B","1,04 B","858,53 M"
Investimentos,"491,93 M","431,17 M","503,64 M","577,68 M","577,26 M","597,86 M","555,83 M","570,52 M","523,15 M","506,18 M","519,90 M","522,06 M","446,91 M","506,78 M","592,15 M","597,88 M","567,10 M","608,13 M","644,43 M","608,10 M","624,37 M","578,67 M","602,64 M","637,50 M","664,23 M","521,49 M","524,76 M","517,25 M","516,17 M","532,63 M","532,43 M","511,42 M","454,77 M","427,71 M","391,49 M","396,93 M","372,75 M","358,01 M","311,61 M","409,59 M","467,15 M","516,13 M","568,44 M","472,01 M","468,62 M","403,27 M","374,51 M","349,39 M","351,67 M","371,91 M","357,46 M","337,70 M","250,60 M","155,95 M","24,93 M","25,05 M","22,76 M","21,80 M","23,44 M","21,19 M","19,52 M","22,27 M","20,11 M"
Imobilizado,"1,51 B","1,48 B","1,40 B","1,36 B","1,32 B","1,31 B","1,24 B","1,18 B","1,10 B","1,05 B","1,05 B","1,04 B","1,05 B","1,03 B","992,33 M","994,16 M","989,13 M","1,02 B","1,01 B","1,01 B","1,03 B","1,01 B","1,04 B","1,02 B","989,24 M","941,20 M","864,34 M","835,67 M","786,63 M","770,73 M","763,22 M","749,53 M","710,87 M","688,36 M","701,77 M","709,86 M","705,81 M","708,27 M","760,22 M","583,49 M","584,61 M","561,34 M","534,32 M","499,24 M","474,45 M","435,02 M","400,02 M","372,53 M","357,63 M","338,06 M","328,70 M","321,47 M","313,17 M","298,81 M","416,84 M","404,70 M","379,08 M","353,57 M","349,48 M","331,58 M","326,37 M","318,76 M","282,28 M"
