Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"4,38 B","4,47 B","4,45 B","4,16 B","4,22 B","4,47 B","4,26 B","4,43 B","4,44 B","4,58 B","4,18 B","3,85 B","3,94 B","4,20 B","4,26 B","4,29 B","4,15 B","3,75 B","3,32 B","3,13 B","2,95 B","2,82 B","2,56 B","2,38 B","2,40 B","1,95 B","1,88 B","1,77 B","1,82 B","1,79 B","1,89 B","1,87 B","1,72 B","1,73 B","1,77 B","1,85 B","1,67 B","1,82 B","1,78 B","1,83 B","1,76 B","1,92 B","2,09 B","1,95 B","1,86 B","1,76 B","1,62 B","1,61 B","1,72 B","1,88 B","1,76 B","1,68 B","1,59 B","1,76 B","1,64 B","1,42 B","1,29 B","1,56 B","1,72 B","1,48 B","1,38 B","1,63 B","1,35 B"
Ativo circulante,"2,78 B","2,82 B","2,94 B","2,69 B","2,76 B","2,97 B","2,91 B","3,07 B","3,41 B","3,58 B","3,36 B","3,08 B","3,09 B","3,43 B","3,62 B","3,63 B","3,51 B","3,12 B","2,70 B","2,51 B","2,34 B","2,21 B","2,07 B","1,89 B","1,89 B","1,47 B","1,46 B","1,35 B","1,40 B","1,42 B","1,54 B","1,55 B","1,40 B","1,41 B","1,39 B","1,46 B","1,28 B","1,42 B","1,39 B","1,43 B","1,37 B","1,55 B","1,72 B","1,60 B","1,49 B","1,38 B","1,23 B","1,24 B","1,37 B","1,52 B","1,38 B","1,31 B","1,21 B","1,38 B","1,27 B","1,10 B","993,61 M","1,27 B","1,48 B","1,24 B","1,14 B","1,41 B","1,10 B"
Caixa e eq. de caixa,"605,79 M","618,36 M","805,54 M","675,88 M","465,40 M","566,93 M","423,62 M","527,64 M","608,35 M","591,38 M","388,64 M","433,10 M","601,51 M","426,58 M","436,83 M","376,17 M","626,77 M","359,01 M","388,75 M","496,45 M","525,49 M","544,16 M","546,17 M","532,22 M","465,87 M","460,71 M","368,62 M","351,95 M","414,81 M","393,35 M","279,79 M","303,60 M","286,76 M","387,83 M","387,62 M","418,08 M","365,19 M","478,38 M","454,68 M","476,27 M","490,57 M","554,89 M","502,17 M","349,73 M","304,08 M","224,36 M","207,59 M","96,99 M","115,54 M","164,97 M","167,64 M","110,89 M","74,29 M","110,05 M","59,48 M","89,44 M","79,53 M","156,71 M","323,28 M","73,35 M","15,49 M","89,82 M","7,71 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"522,29 M","741,30 M","611,63 M","647,77 M","801,48 M","860,94 M","815,72 M","840,70 M","1,30 B","1,33 B","767,23 M","827,77 M","782,62 M","1,13 B","909,08 M","1,08 B","571,92 M","762,62 M","563,15 M","657,69 M","638,63 M","698,04 M","400,54 M","366,29 M","415,35 M","258,64 M","235,21 M","228,90 M","169,88 M","235,28 M","254,38 M","250,70 M","247,41 M","276,25 M","328,17 M","380,56 M","345,31 M","288,28 M","307,09 M","381,29 M","252,74 M","277,78 M","309,05 M","413,97 M","392,80 M","480,65 M","353,90 M","360,42 M","388,55 M","499,87 M","397,27 M","458,53 M","501,97 M","562,24 M","507,35 M","438,83 M","393,12 M","562,16 M","437,58 M","556,59 M","487,72 M","622,98 M","409,70 M"
Estoques,"1,33 B","1,14 B","1,18 B","1,00 B","1,09 B","1,10 B","1,24 B","1,24 B","1,07 B","1,26 B","1,70 B","1,38 B","1,28 B","1,39 B","1,68 B","1,66 B","1,93 B","1,69 B","1,41 B","1,05 B","821,24 M","645,75 M","665,90 M","538,97 M","585,98 M","494,42 M","567,20 M","527,29 M","554,71 M","534,73 M","661,88 M","630,33 M","592,83 M","506,54 M","496,21 M","500,15 M","406,57 M","468,39 M","439,10 M","374,92 M","369,19 M","393,71 M","530,91 M","568,75 M","521,14 M","479,50 M","475,77 M","581,15 M","659,53 M","660,71 M","652,23 M","578,18 M","500,37 M","579,64 M","607,68 M","455,58 M","414,38 M","411,74 M","510,15 M","461,84 M","491,37 M","541,19 M","579,95 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,61 B","1,65 B","1,51 B","1,48 B","1,45 B","1,50 B","1,35 B","1,36 B","1,03 B","1,01 B","812,96 M","766,12 M","859,07 M","769,76 M","645,61 M","660,44 M","637,85 M","634,10 M","618,18 M","613,28 M","615,20 M","613,40 M","490,69 M","489,07 M","501,32 M","473,64 M","418,56 M","418,63 M","418,12 M","370,79 M","345,85 M","319,96 M","315,52 M","322,53 M","380,42 M","388,30 M","390,67 M","407,43 M","390,95 M","396,81 M","383,67 M","368,43 M","378,73 M","354,69 M","370,89 M","383,64 M","386,53 M","377,10 M","347,74 M","361,67 M","382,03 M","376,13 M","373,11 M","380,18 M","361,72 M","313,24 M","299,89 M","283,58 M","248,47 M","239,31 M","237,19 M","221,75 M","243,03 M"
Investimentos,"278,42 M","276,47 M","258,57 M","255,66 M","261,27 M","256,77 M","235,03 M","233,18 M","231,89 M","226,97 M","216,32 M","200,81 M","203,35 M","164,13 M","105,36 M","108,92 M","109,12 M","114,23 M","95,61 M","91,89 M","95,40 M","91,69 M","89,74 M","93,41 M","101,76 M","73,43 M","51,54 M","51,89 M","46,21 M","48,09 M","48,85 M","55,24 M","48,98 M","53,60 M","60,24 M","60,99 M","61,38 M","65,19 M","67,73 M","71,21 M","64,38 M","41,52 M","76,06 M","52,22 M","52,58 M","58,88 M","52,57 M","36,36 M","35,69 M","42,66 M","38,58 M","47,05 M","38,06 M","39,96 M",0,0,0,0,"2,97 M","4,60 M","6,21 M","4,66 M","1,64 M"
Imobilizado,"144,19 M","144,52 M","144,18 M","143,95 M","150,51 M","155,48 M","155,68 M","157,49 M","142,73 M","146,82 M","132,04 M","133,79 M","119,16 M","110,99 M","112,03 M","111,48 M","103,34 M","92,89 M","94,71 M","91,16 M","86,55 M","86,30 M","86,97 M","89,88 M","93,03 M","88,72 M","91,63 M","94,64 M","97,63 M","50,75 M","52,70 M","54,31 M","55,59 M","57,09 M","56,76 M","53,06 M","50,07 M","51,64 M","54,46 M","56,14 M","51,62 M","53,20 M","48,46 M","46,40 M","48,10 M","50,56 M","54,34 M","55,99 M","57,91 M","61,59 M","65,20 M","68,44 M","71,05 M","75,16 M","86,73 M","83,48 M","75,27 M","73,42 M","67,06 M","60,93 M","62,30 M","58,65 M","45,72 M"
Intangível,"451,48 M","436,19 M","392,63 M","374,07 M","331,03 M","321,19 M","293,01 M","285,20 M","154,29 M","130,53 M","127,42 M","109,87 M","111,95 M","110,78 M","102,43 M","97,78 M","85,68 M","86,99 M","88,31 M","89,30 M","95,22 M","97,82 M","95,67 M","99,85 M","102,42 M","105,14 M","75,07 M","74,60 M","76,84 M","79,42 M","59,55 M","60,95 M","61,32 M","62,17 M","58,08 M","58,77 M","57,64 M","59,05 M","55,80 M","57,09 M","63,47 M","69,74 M","52,88 M","55,38 M","63,81 M","68,14 M","73,98 M","79,68 M","85,58 M","89,26 M","92,73 M","97,67 M","101,32 M","102,40 M","98,72 M","94,03 M","93,11 M","89,25 M","87,97 M","84,88 M","80,00 M","71,31 M","67,74 M"
Passivo total,"4,38 B","4,47 B","4,45 B","4,16 B","4,22 B","4,47 B","4,26 B","4,43 B","4,44 B","4,58 B","4,18 B","3,85 B","3,94 B","4,20 B","4,26 B","4,29 B","4,15 B","3,75 B","3,32 B","3,13 B","2,95 B","2,82 B","2,56 B","2,38 B","2,40 B","1,95 B","1,88 B","1,77 B","1,82 B","1,79 B","1,89 B","1,87 B","1,72 B","1,73 B","1,77 B","1,85 B","1,67 B","1,82 B","1,78 B","1,83 B","1,76 B","1,92 B","2,09 B","1,95 B","1,86 B","1,76 B","1,62 B","1,61 B","1,72 B","1,88 B","1,76 B","1,68 B","1,59 B","1,76 B","1,64 B","1,42 B","1,29 B","1,56 B","1,72 B","1,48 B","1,38 B","1,63 B","1,35 B"
