Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"10,63 B","10,64 B","10,49 B","10,05 B","9,71 B","8,25 B","9,34 B","8,98 B","8,67 B","8,60 B","8,31 B","7,88 B","7,61 B","7,46 B","6,87 B","6,25 B","5,84 B","5,99 B","5,54 B","4,90 B","4,80 B","5,23 B","4,80 B","4,18 B","4,48 B","4,86 B","4,56 B","4,33 B","4,33 B","4,62 B","4,44 B","4,42 B","4,34 B","4,49 B","4,27 B","4,10 B","4,03 B","4,15 B","4,11 B","3,90 B","3,98 B","4,14 B","3,88 B","3,65 B",0,"3,99 B","3,69 B","3,36 B",0,"-9,13 B","3,30 B","3,06 B","2,92 B","-7,76 B","2,80 B","2,49 B",0,0,0,0,0,0,0,0,0
Custos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro bruto,"10,63 B","10,64 B","10,49 B","10,05 B","9,71 B","8,25 B","9,34 B","8,98 B","8,67 B","8,60 B","8,31 B","7,88 B","7,61 B","7,46 B","6,87 B","6,25 B","5,84 B","5,99 B","5,54 B","4,90 B","4,80 B","5,23 B","4,80 B","4,18 B","4,48 B","4,86 B","4,56 B","4,33 B","4,33 B","4,62 B","4,44 B","4,42 B","4,34 B","4,49 B","4,27 B","4,10 B","4,03 B","4,15 B","4,11 B","3,90 B","3,98 B","4,14 B","3,88 B","3,65 B",0,"3,99 B","3,69 B","3,36 B",0,"-9,13 B","3,30 B","3,06 B","2,92 B","-7,76 B","2,80 B","2,49 B",0,0,0,0,0,0,0,0,0
Despesas operacionais,"-9,68 B","-10,02 B","-9,69 B","-9,23 B","-8,86 B","-7,50 B","-8,52 B","-8,21 B","-7,91 B","-7,70 B","-7,43 B","-7,27 B","-7,19 B","-6,92 B","-6,78 B","-6,12 B","-5,75 B","-5,82 B","-5,37 B","-4,28 B","-4,50 B","-4,96 B","-4,25 B","-3,69 B","-4,10 B","-4,60 B","-4,31 B","-4,06 B","-4,12 B","-4,32 B","-4,10 B","-4,06 B","-4,10 B","-4,32 B","-4,17 B","-4,04 B","-3,96 B","-4,14 B","-4,05 B","-3,90 B","-3,93 B","-4,10 B","-3,83 B","-3,50 B",0,"-3,89 B","-3,53 B","-3,23 B",0,"9,98 B","-3,17 B","-2,86 B","-2,83 B","7,79 B","-2,77 B","-2,51 B","-33,31 M","-70,24 M","-4,38 M","-25,93 M","26,44 M","29,77 M","101,63 M","63,21 M","1,53 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-1,81 B","-1,90 B","-1,86 B","-1,79 B","-1,69 B","-1,69 B","-1,64 B","-1,55 B","-1,51 B","-1,50 B","-1,43 B","-1,43 B","-1,28 B","-1,38 B","-1,20 B","-1,08 B","-1,00 B","-1,08 B","-1,12 B","-1,04 B","-983,32 M","-1,03 B","-895,67 M","-1,01 B","-867,18 M","-971,26 M","-851,22 M","-934,86 M","-894,69 M","-923,76 M","-806,38 M","-850,71 M","-755,58 M","-915,28 M","-850,99 M","-794,73 M","-717,50 M","-905,49 M","-833,07 M","-837,81 M","-816,59 M","-877,79 M","-826,93 M","-794,69 M",--,"-829,93 M","-691,06 M","-673,72 M",--,"23,92 M","-598,62 M","-632,57 M","-593,68 M","-671,28 M","-587,41 M","-555,97 M","-567,70 M","-633,86 M","-552,76 M","-533,20 M","-494,94 M","-538,83 M","-439,97 M","-443,78 M","-396,63 M"
EBIT,"955,41 M","620,42 M","795,87 M","820,41 M","851,33 M","750,62 M","819,17 M","771,08 M","758,62 M","898,36 M","875,40 M","610,85 M","422,09 M","539,74 M","84,56 M","128,79 M","85,31 M","163,14 M","161,75 M","620,04 M","302,11 M","270,75 M","543,75 M","490,48 M","379,18 M","254,62 M","250,50 M","264,61 M","218,23 M","302,34 M","343,20 M","351,83 M","242,78 M","174,75 M","101,73 M","64,03 M","61,43 M","8,95 M","67,72 M","-5,07 M","47,91 M","30,69 M","49,07 M","154,74 M",0,"100,63 M","156,24 M","126,97 M",0,"849,19 M","133,79 M","201,84 M","83,41 M","32,08 M","29,98 M","-19,43 M","-33,31 M","-70,24 M","-4,38 M","-25,93 M","26,44 M","29,77 M","101,63 M","63,21 M","1,53 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"368,86 M","340,20 M","401,18 M","412,45 M","397,65 M","247,30 M","208,62 M","115,21 M","273,94 M","184,60 M","70,11 M","305,13 M","176,50 M","140,66 M","117,10 M","70,31 M","156,20 M","137,99 M","-37,06 M","174,08 M","193,71 M","299,88 M","125,06 M","497,67 M","-1,54 M","269,57 M","252,29 M","246,17 M","271,07 M","297,51 M","224,55 M","168,06 M","235,80 M","153,98 M","473,57 M","197,33 M","305,86 M","270,62 M","284,19 M","310,86 M","352,84 M","306,00 M","210,23 M","281,29 M",0,"257,58 M","212,05 M","226,63 M",0,"590,34 M","155,95 M","118,21 M","93,63 M","227,88 M","225,22 M","231,13 M","261,38 M","225,23 M","254,77 M","183,43 M","206,91 M","172,02 M","204,63 M","145,51 M","187,56 M"
Antes dos impostos,"1,32 B","960,62 M","1,20 B","1,23 B","1,25 B","997,92 M","1,03 B","886,29 M","1,03 B","1,08 B","945,51 M","915,97 M","598,59 M","680,41 M","201,66 M","199,10 M","241,51 M","301,13 M","124,69 M","794,12 M","495,82 M","570,62 M","668,81 M","988,15 M","377,64 M","524,19 M","502,79 M","510,78 M","489,30 M","599,85 M","567,75 M","519,89 M","478,59 M","328,73 M","575,31 M","261,36 M","367,29 M","279,57 M","351,91 M","305,78 M","400,75 M","336,69 M","259,30 M","436,03 M",0,"358,21 M","368,28 M","353,60 M",0,"1,44 B","289,74 M","320,05 M","177,04 M","259,97 M","255,19 M","211,70 M","228,06 M","154,99 M","250,39 M","157,49 M","233,35 M","201,79 M","306,26 M","208,72 M","189,09 M"
