Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
P/L,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,-,-,-,-,-,-,-,-,-,-,-,-
PSR,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,-,-,-,-,-,-,-,-,-,-,-,-
LPA,-,-,-,-,-,-,-,-,-,-,-,-
VPA,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem líquida,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROE,"-117,21%","-342,61%","-124,68%","-130,19%","-2.879,36%","-207,93%","-212,12%","-166,98%","-257,87%","1.972,59%","-1.202,17%","0,00%"
ROA,"-0,00","-0,00","-0,00","-0,01","-0,01","-0,00","-0,01","-0,01","-0,01","-0,01","-0,00","0,00"
ROIC,"-0,35%","-0,22%","-0,25%","-0,58%","-0,73%","-0,28%","-0,62%","-0,83%","-0,74%","-0,65%","-0,08%",--%
ROIC *,"-0,35%","-0,22%","-0,42%","-0,31%","-0,73%","-0,28%","-0,62%","-0,83%","-0,74%","-0,59%","-0,08%",--%
Giro do ativo,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
EBIT *,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,--
EBITDA,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,--,--,--,--,--,--
EBITDA *,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,--,--,--,--,--,--
Liquidez corrente,"3,40","8,24","9,13","7,55","0,51","0,70","1,32","3,89","14,49","0,78","2,48",--
Liquidez seca,"3,40","8,24","9,13","7,55","0,51","0,70","1,32","3,89","14,49","0,78","2,48",--
Liquidez imediata,"2,78","8,15","8,93","7,49","0,49","0,65","1,29","3,87","14,37","0,78","2,48",--
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi,-1 mi
Capital de giro,0 mi,0 mi,0 mi,0 mi,-1 mi,-1 mi,0 mi,0 mi,0 mi,-1 mi,0 mi,--
Endividamento geral,"27.876,22%","100.323,36%","38.997,77%","19.037,55%","239.191,65%","44.582,33%","27.715,35%","17.265,43%","29.180,21%","-264.874,54%","885.901,65%","0,00%"
