Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,2T2010
Ativo total,"1,16 B","1,11 B","1,11 B","1,02 B","1,06 B","1,09 B","1,03 B","877,65 M","846,23 M","828,60 M","856,55 M","792,48 M","858,65 M","843,93 M","872,87 M","815,84 M","736,78 M","773,11 M","786,27 M","722,29 M","776,49 M","723,27 M","774,15 M","701,37 M","693,54 M","536,18 M","560,83 M","519,02 M","524,63 M","479,06 M","509,92 M","474,43 M","445,21 M","426,87 M","409,40 M","422,86 M","420,90 M","402,86 M","432,56 M","430,21 M","451,81 M","456,32 M","475,20 M","408,85 M","419,92 M","365,29 M","355,33 M","329,68 M","350,27 M","330,47 M","334,96 M","335,31 M","332,63 M","310,05 M","325,85 M","320,11 M","322,08 M","314,54 M","324,13 M","313,04 M","311,91 M"
Ativo circulante,"704,87 M","638,73 M","652,65 M","568,79 M","594,88 M","614,64 M","604,97 M","439,80 M","432,99 M","419,75 M","438,42 M","383,90 M","446,42 M","437,65 M","476,13 M","434,78 M","391,15 M","399,91 M","422,46 M","381,99 M","398,31 M","370,26 M","398,17 M","330,97 M","337,42 M","245,16 M","271,77 M","248,40 M","261,57 M","225,96 M","253,28 M","230,98 M","223,10 M","207,17 M","195,28 M","201,09 M","205,23 M","182,38 M","204,60 M","202,82 M","205,33 M","194,33 M","217,62 M","189,17 M","197,39 M","168,26 M","170,48 M","152,49 M","173,99 M","148,78 M","156,41 M","157,51 M","162,22 M","135,51 M","149,90 M","142,50 M","149,42 M","137,74 M","145,64 M","143,41 M","125,68 M"
Caixa e eq. de caixa,"353,40 M","330,83 M","338,15 M","236,17 M","245,29 M","62,20 M","302,23 M","163,40 M","146,65 M","162,91 M","169,50 M","110,91 M","108,88 M","118,31 M","114,66 M","61,54 M","50,38 M","64,45 M","148,87 M","100,82 M","134,68 M","144,01 M","149,22 M","118,60 M","76,95 M","45,13 M","57,71 M","58,59 M","56,25 M","52,08 M","64,83 M","47,25 M","55,35 M","60,01 M","53,16 M","43,10 M","47,71 M","41,77 M","81,02 M","62,95 M","43,38 M","42,37 M","56,47 M","41,90 M","43,41 M","34,12 M","41,54 M","26,09 M","34,97 M","29,55 M","40,47 M","39,02 M","34,66 M","29,16 M","46,28 M","35,90 M","34,58 M","38,34 M","41,67 M","37,07 M","18,20 M"
Aplicações financeiras,"7,27 M","7,91 M",0,0,0,"231,58 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"117,07 M","82,70 M","85,19 M","106,84 M","113,93 M","92,89 M","89,70 M","92,44 M","98,87 M","74,77 M","77,61 M","84,58 M","123,75 M","101,23 M","128,32 M","154,32 M","139,91 M","102,41 M","106,99 M","123,63 M","104,90 M","90,94 M","118,87 M","75,01 M","108,89 M","70,56 M","89,86 M","81,84 M","93,98 M","59,22 M","73,59 M","75,04 M","88,16 M","63,80 M","63,99 M","84,61 M","84,82 M","61,67 M","54,83 M","73,58 M","85,18 M","61,99 M","76,60 M","73,97 M","77,78 M","56,18 M","57,43 M","61,30 M","73,96 M","49,07 M","51,99 M","59,11 M","70,92 M","44,01 M","47,22 M","53,90 M","64,47 M","42,41 M","46,75 M","53,77 M","51,37 M"
Estoques,"162,05 M","162,59 M","157,12 M","164,28 M","169,04 M","166,47 M","143,91 M","140,95 M","148,28 M","148,58 M","148,39 M","146,09 M","166,02 M","168,18 M","172,66 M","162,98 M","158,96 M","170,86 M","132,43 M","117,08 M","128,83 M","108,96 M","110,39 M","122,99 M","129,03 M","112,46 M","102,90 M","88,19 M","90,04 M","96,89 M","97,03 M","85,31 M","75,11 M","73,83 M","70,25 M","65,77 M","67,16 M","71,51 M","65,00 M","61,10 M","70,87 M","78,93 M","76,13 M","65,81 M","67,12 M","67,67 M","62,30 M","56,16 M","59,82 M","62,22 M","57,78 M","52,42 M","52,05 M","58,41 M","51,06 M","46,87 M","47,64 M","52,59 M","53,10 M","47,82 M","49,96 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"454,21 M","467,66 M","456,46 M","456,13 M","468,14 M","479,44 M","428,95 M","437,85 M","413,23 M","408,85 M","418,13 M","408,58 M","412,23 M","406,27 M","396,74 M","381,06 M","345,63 M","373,20 M","363,80 M","340,30 M","378,17 M","353,01 M","375,98 M","370,40 M","356,12 M","291,03 M","289,06 M","270,62 M","263,06 M","253,10 M","256,64 M","243,45 M","222,11 M","219,70 M","214,12 M","221,76 M","215,67 M","220,49 M","227,96 M","227,39 M","246,48 M","262,00 M","257,58 M","219,67 M","222,53 M","197,03 M","184,85 M","177,18 M","176,28 M","181,69 M","178,54 M","177,79 M","170,41 M","174,54 M","175,95 M","177,61 M","172,66 M","176,80 M","178,49 M","169,63 M","186,23 M"
Investimentos,"3,54 M","3,73 M","3,18 M","3,26 M","3,42 M","3,68 M","2,98 M","3,04 M","2,75 M","2,67 M","2,76 M","2,66 M","2,79 M","2,86 M","2,96 M","2,88 M","2,62 M","3,09 M","2,98 M","2,75 M","3,11 M","2,85 M","3,08 M","3,00 M","2,85 M","2,25 M","2,32 M","2,14 M","2,18 M","2,17 M","2,23 M","2,16 M","1,88 M","1,87 M","1,80 M","1,87 M","1,80 M","1,85 M","1,69 M","1,49 M","1,43 M","1,43 M","1,47 M","1,16 M","1,22 M","1,21 M","1,13 M","1,03 M","1,06 M","1,21 M","1,15 M","1,15 M","1,06 M","1,07 M","1,98 M","1,81 M","1,51 M","1,47 M","1,21 M","983,68 Mil","760,23 Mil"
Imobilizado,"437,21 M","455,14 M","432,59 M","432,95 M","447,14 M","461,00 M","412,00 M","421,43 M","397,34 M","394,23 M","403,37 M","394,70 M","398,65 M","392,17 M","382,51 M","362,26 M","325,99 M","362,32 M","353,01 M","329,68 M","367,52 M","343,40 M","359,69 M","353,69 M","343,47 M","282,22 M","273,08 M","257,54 M","252,58 M","244,39 M","245,64 M","233,73 M","214,42 M","212,49 M","207,23 M","215,02 M","209,25 M","214,11 M","217,23 M","219,55 M","239,25 M","256,55 M","252,05 M","214,74 M","217,58 M","192,48 M","180,32 M","172,49 M","171,23 M","176,43 M","173,14 M","172,25 M","165,20 M","168,75 M","169,65 M","171,15 M","166,78 M","171,33 M","172,90 M","163,87 M","182,06 M"
