Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010
Receita líquida,"220,21 M","180,82 M","197,17 M","229,86 M","220,87 M","189,43 M","213,96 M","198,64 M","197,59 M","172,27 M","177,95 M","199,50 M","219,35 M","196,16 M","226,14 M","224,06 M","229,64 M","190,24 M","200,07 M","217,54 M","179,26 M","174,74 M","186,56 M","51,84 M","148,15 M","120,83 M","153,07 M","151,86 M","149,30 M","104,62 M","142,03 M","137,05 M","122,31 M","98,14 M","105,60 M","143,42 M","132,45 M","103,31 M","104,36 M","134,85 M","139,23 M","111,72 M","126,96 M","127,90 M","128,05 M","90,10 M","91,74 M","102,76 M","108,85 M","82,08 M","84,65 M","90,01 M","90,39 M","69,34 M","72,74 M","83,89 M","82,37 M","65,68 M","67,08 M","79,83 M","85,01 M","64,56 M","75,33 M"
Custos,"-176,69 M","-154,44 M","-175,68 M","-189,27 M","-188,18 M","-161,63 M","-177,16 M","-173,79 M","-165,97 M","-146,07 M","-146,77 M","-165,90 M","-178,67 M","-163,96 M","-189,63 M","-186,50 M","-190,96 M","-162,97 M","-166,33 M","-181,53 M","-146,45 M","-142,85 M","-151,19 M","-55,78 M","-131,23 M","-108,68 M","-129,48 M","-126,82 M","-129,73 M","-94,57 M","-116,59 M","-114,83 M","-101,74 M","-85,32 M","-86,22 M","-114,45 M","-107,10 M","-85,37 M","-85,00 M","-109,39 M","-113,19 M","-92,43 M","-104,01 M","-103,60 M","-103,05 M","-78,12 M","-80,29 M","-88,01 M","-91,76 M","-70,68 M","-74,31 M","-77,98 M","-78,12 M","-61,54 M","-63,79 M","-74,25 M","-73,17 M","-58,46 M","-60,31 M","-71,32 M","-74,01 M","-57,53 M","-65,03 M"
Lucro bruto,"43,51 M","26,39 M","21,49 M","40,59 M","32,69 M","27,80 M","36,80 M","24,85 M","31,62 M","26,20 M","31,18 M","33,60 M","40,68 M","32,21 M","36,51 M","37,56 M","38,68 M","27,27 M","33,74 M","36,01 M","32,80 M","31,89 M","35,37 M","-3,94 M","16,92 M","12,15 M","23,59 M","25,04 M","19,57 M","10,05 M","25,44 M","22,21 M","20,57 M","12,81 M","19,38 M","28,97 M","25,35 M","17,94 M","19,37 M","25,47 M","26,04 M","19,29 M","22,95 M","24,30 M","25,00 M","11,99 M","11,44 M","14,74 M","17,09 M","11,40 M","10,34 M","12,02 M","12,27 M","7,80 M","8,95 M","9,65 M","9,21 M","7,21 M","6,78 M","8,51 M","11,00 M","7,04 M","10,30 M"
Despesas operacionais,"-20,20 M","-16,65 M","-20,42 M","-38,00 M","-9,36 M","-14,49 M","-21,14 M","-24,35 M","-17,10 M","-16,00 M","-16,88 M","-10,30 M","-14,97 M","-16,11 M","-14,70 M","-19,34 M","-15,51 M","6,45 M","-15,26 M","-12,55 M","-12,06 M","-8,84 M","-10,13 M","-19,58 M","-7,02 M","-10,21 M","-7,60 M","-8,21 M","-5,35 M","-15,57 M","-7,03 M","-9,06 M","-8,18 M","-8,20 M","-8,08 M","-8,59 M","-7,29 M","-7,83 M","-10,94 M","-12,81 M","-15,85 M","-13,45 M","-13,88 M","-13,67 M","-11,28 M","-8,85 M","-10,90 M","-11,01 M","-8,61 M","-8,03 M","-9,25 M","-9,52 M","-6,38 M","-8,89 M","-8,78 M","-11,08 M","-10,24 M","-7,43 M","-8,65 M","-12,78 M","-10,18 M","-9,24 M","-9,45 M"
Despesas com vendas,0,"-9,11 M","-8,89 M","-37,09 M",0,"-8,96 M","-9,16 M","-33,24 M",0,"-8,10 M","-7,88 M","-35,87 M",0,"-8,02 M","-8,80 M","-34,92 M",0,"-6,92 M","-6,33 M","-24,11 M",0,"-5,56 M","-5,92 M","-21,39 M",0,"-6,62 M","-5,03 M","-5,15 M","-5,74 M","-4,40 M","-4,94 M","-5,40 M","-6,16 M","-5,36 M","-4,95 M","-6,40 M","-6,61 M","-5,53 M","-8,63 M","-12,05 M","-13,27 M","-10,80 M","-11,69 M","-12,14 M","-11,16 M","-6,14 M","-8,57 M","-8,67 M","-8,94 M","-6,55 M","-7,34 M","-8,75 M","-6,86 M","-6,42 M","-5,66 M","-7,90 M","-6,68 M","-5,78 M","-5,55 M","-9,41 M","-7,09 M","-6,06 M","-6,21 M"
Despesas administrativas,"-20,20 M","-15,36 M","-14,22 M","-13,55 M","-9,36 M","-13,99 M","-14,82 M","-4,57 M","-17,10 M","-13,86 M","-10,57 M","-620,49 Mil","-14,97 M","-10,11 M","-10,12 M","-18,84 M","-15,51 M","-12,20 M","-10,25 M","-8,57 M","-12,06 M","-9,79 M","-8,64 M","-5,45 M","-7,02 M","-6,01 M","-6,74 M","-6,61 M","-7,06 M","-7,03 M","-6,36 M","-6,21 M","-6,30 M","-5,90 M","-5,67 M","-6,04 M","-5,56 M","-5,52 M","-5,12 M","-5,39 M","-6,60 M","-4,86 M","-4,80 M","-4,58 M","-4,29 M","-4,80 M","-4,22 M","-4,28 M","-3,85 M","-3,90 M","-3,73 M","-3,70 M","-3,31 M","-3,61 M","-3,36 M","-3,51 M","-3,81 M","-3,95 M","-3,40 M","-3,63 M","-3,13 M","-3,14 M","-2,99 M"
EBIT,"23,31 M","9,74 M","1,07 M","2,59 M","23,33 M","13,32 M","15,66 M","506,28 Mil","14,52 M","10,20 M","14,29 M","23,30 M","25,71 M","16,10 M","21,81 M","18,22 M","23,17 M","33,72 M","18,48 M","23,46 M","20,74 M","23,05 M","25,25 M","-23,52 M","9,89 M","1,94 M","15,99 M","16,83 M","14,22 M","-5,52 M","18,41 M","13,15 M","12,39 M","4,62 M","11,30 M","20,39 M","18,07 M","10,11 M","8,43 M","12,65 M","10,19 M","5,83 M","9,07 M","10,63 M","13,72 M","3,14 M","548,06 Mil","3,73 M","8,48 M","3,37 M","1,08 M","2,51 M","5,89 M","-1,09 M","176,94 Mil","-1,44 M","-1,03 M","-224,47 Mil","-1,87 M","-4,27 M","824,35 Mil","-2,21 M","848,66 Mil"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"1,49 M","-6,78 M","4,70 M","-1,80 M","-2,74 M","-639,82 Mil","-182,43 Mil","-1,21 M","73,96 Mil","-308,36 Mil","-546,20 Mil","-30,30 Mil","-1,99 M","-980,59 Mil","-771,75 Mil","-915,70 Mil","1,08 M","15,95 M","-1,08 M","-1,46 M","-1,61 M","-234,22 Mil","-2,16 M","-1,18 M","-5,05 M","-420,54 Mil","-280,81 Mil","-854,57 Mil","-268,46 Mil","-1,54 M","-1,90 M","-985,58 Mil","-912,03 Mil","-1,17 M","-911,27 Mil","-981,88 Mil","-1,92 M","-1,45 M","-1,94 M","-3,46 M","-3,69 M","-2,62 M","-1,40 M","-1,23 M","-673,72 Mil","-1,49 M","-722,24 Mil","-26,63 Mil","-975,42 Mil","-1,30 M","-934,18 Mil","-542,25 Mil","-830,37 Mil","-1,06 M","-617,40 Mil","197,92 Mil","-987,56 Mil","-166,10 Mil","-345,99 Mil","-1,28 M","-2,66 M","-493,83 Mil","-2,34 M"
Antes dos impostos,"24,80 M","2,96 M","5,77 M","798,54 Mil","20,59 M","12,68 M","15,48 M","-703,31 Mil","14,59 M","9,89 M","13,75 M","23,27 M","23,72 M","15,12 M","21,04 M","17,30 M","24,25 M","49,68 M","17,41 M","22,00 M","19,12 M","22,81 M","23,08 M","-24,70 M","4,84 M","1,52 M","15,71 M","15,98 M","13,95 M","-7,06 M","16,51 M","12,16 M","11,47 M","3,44 M","10,39 M","19,40 M","16,14 M","8,66 M","6,50 M","9,20 M","6,50 M","3,22 M","7,68 M","9,41 M","13,04 M","1,65 M","-174,18 Mil","3,70 M","7,51 M","2,07 M","149,27 Mil","1,96 M","5,06 M","-2,14 M","-440,45 Mil","-1,24 M","-2,02 M","-390,57 Mil","-2,22 M","-5,55 M","-1,83 M","-2,70 M","-1,49 M"
