Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"334,46 M","355,86 M","362,82 M","357,19 M","362,19 M","375,46 M","382,58 M","398,75 M","403,69 M","414,42 M","443,17 M","434,97 M","457,35 M","453,06 M","507,10 M","489,04 M","502,21 M","521,50 M","534,86 M","517,20 M","522,99 M","515,09 M","524,60 M","483,70 M","502,55 M","519,51 M","517,69 M","497,48 M","466,64 M","479,04 M","491,11 M","482,77 M","479,20 M","508,04 M","547,67 M","512,53 M","507,06 M","515,46 M","521,58 M","472,58 M","454,79 M","465,25 M","456,84 M","405,72 M","402,35 M","408,35 M","413,60 M","343,98 M","327,08 M","333,77 M","319,29 M","279,69 M","266,79 M","259,23 M","251,60 M","211,38 M","198,46 M","192,12 M","181,72 M","161,34 M","144,03 M","135,54 M","42,56 M",0,0
Custos,"-39,77 M","-42,66 M","-46,29 M","-49,30 M","-48,02 M","-53,77 M","-61,89 M","-69,11 M","-75,45 M","-96,45 M","-88,42 M","-91,13 M","-92,97 M","-136,86 M","-102,59 M","-102,09 M","-103,51 M","-106,42 M","-103,63 M","-108,62 M","-107,20 M","-87,12 M","-95,71 M","-92,67 M","-86,68 M","-110,34 M","-89,59 M","-93,23 M","-86,32 M","-89,47 M","-92,86 M","-94,31 M","-91,99 M","-119,77 M","-128,37 M","-122,45 M","-126,79 M","-134,00 M","-130,66 M","-123,65 M","-114,34 M","-122,85 M","-120,34 M","-108,64 M","-103,97 M","-103,24 M","-103,05 M","-89,83 M","-83,89 M","-83,11 M","-80,86 M","-70,34 M","-70,20 M","-68,40 M","-65,76 M","-57,96 M","-53,14 M","-50,30 M","-49,60 M","-43,33 M","-37,00 M","-34,32 M","-10,87 M",0,0
Lucro bruto,"294,69 M","313,20 M","316,53 M","307,89 M","314,17 M","321,69 M","320,69 M","329,64 M","328,24 M","317,97 M","354,75 M","343,84 M","364,38 M","316,20 M","404,51 M","386,96 M","398,70 M","415,08 M","431,23 M","408,58 M","415,79 M","427,98 M","428,89 M","391,04 M","415,87 M","409,17 M","428,10 M","404,26 M","380,32 M","389,57 M","398,25 M","388,47 M","387,22 M","388,27 M","419,30 M","390,07 M","380,27 M","381,46 M","390,93 M","348,93 M","340,45 M","342,41 M","336,50 M","297,07 M","298,38 M","305,11 M","310,55 M","254,16 M","243,19 M","250,66 M","238,42 M","209,36 M","196,58 M","190,82 M","185,84 M","153,42 M","145,32 M","141,82 M","132,12 M","118,01 M","107,04 M","101,22 M","31,69 M",0,0
Despesas operacionais,"-217,20 M","-222,84 M","-251,93 M","-236,13 M","-255,33 M","-326,50 M","-245,37 M","-278,99 M","-254,32 M","-345,60 M","-380,37 M","-263,96 M","-273,51 M","-367,07 M","-277,09 M","-254,88 M","-245,03 M","-288,17 M","-251,32 M","-263,30 M","-231,10 M","-347,01 M","-220,75 M","-201,33 M","-285,44 M","-358,27 M","-238,38 M","-237,13 M","-213,78 M","-224,98 M","-223,39 M","-241,85 M","-217,13 M","-248,11 M","-229,41 M","-268,32 M","-223,58 M","-255,62 M","-259,21 M","-228,57 M","-224,73 M","-253,53 M","-223,63 M","-168,86 M","-206,39 M","-231,05 M","-101,63 M","-193,14 M","-175,27 M","-174,28 M","-166,73 M","-161,80 M","-160,85 M","-180,94 M","-160,14 M","-128,79 M","-126,36 M","-125,61 M","-107,09 M","-155,94 M","-99,02 M","-108,34 M","-20,09 M",0,0
Despesas com vendas,"-64,68 M","-67,19 M","-70,71 M","-76,33 M","-87,19 M","-92,44 M","-109,76 M","-120,41 M","-111,31 M","-130,13 M","-135,81 M","-134,28 M","-134,98 M","-137,65 M","-138,70 M","-123,45 M","-123,47 M","-142,45 M","-127,66 M","-113,08 M","-101,18 M","-91,38 M","-78,79 M","-78,69 M","-72,80 M","-75,91 M","-72,31 M","-65,31 M","-64,17 M","-70,15 M","-74,84 M","-68,86 M","-65,11 M","-65,01 M","-70,14 M","-77,93 M","-71,51 M","-79,63 M","-84,40 M","-87,73 M","-80,58 M","-107,39 M","-83,98 M","-72,54 M","-68,44 M","-85,81 M","-71,46 M","-74,54 M","-62,60 M","-70,58 M","-63,52 M","-59,62 M","-50,88 M","-53,18 M","-50,03 M","-50,21 M","-48,02 M","-45,84 M","-40,96 M","-36,14 M","-32,57 M","-35,98 M","-10,94 M",--,--
Despesas administrativas,"-74,91 M","-91,79 M","-87,36 M","-88,85 M","-88,53 M","-98,71 M","-92,36 M","-88,45 M","-86,17 M","-101,35 M","-106,47 M","-93,39 M","-102,63 M","-116,78 M","-95,45 M","-99,69 M","-92,76 M","-96,71 M","-91,89 M","-118,34 M","-104,19 M","-83,78 M","-109,41 M","-122,68 M","-178,34 M","-162,54 M","-145,06 M","-147,72 M","-131,12 M","-133,39 M","-121,71 M","-130,66 M","-112,81 M","-143,74 M","-126,83 M","-116,12 M","-121,61 M","-129,05 M","-134,16 M","-121,17 M","-115,34 M","-122,83 M","-112,96 M","-123,07 M","-113,33 M","-163,08 M","-121,71 M","-101,01 M","-98,70 M","-96,59 M","-79,36 M","-75,09 M","-84,55 M","-85,94 M","-78,70 M","-68,47 M","-70,26 M","-66,43 M","-59,64 M","-110,59 M","-54,05 M","-63,27 M","-7,78 M",--,--
EBIT,"77,48 M","90,36 M","64,61 M","71,76 M","58,84 M","-4,81 M","75,32 M","50,65 M","73,92 M","-27,63 M","-25,63 M","79,88 M","90,87 M","-50,88 M","127,41 M","132,08 M","153,67 M","126,91 M","179,91 M","145,28 M","184,69 M","80,97 M","208,14 M","189,71 M","130,42 M","50,90 M","189,72 M","167,12 M","166,53 M","164,60 M","174,85 M","146,62 M","170,09 M","140,16 M","189,88 M","121,75 M","156,69 M","125,83 M","131,71 M","120,35 M","115,72 M","88,88 M","112,87 M","128,21 M","91,98 M","74,06 M","208,92 M","61,02 M","67,92 M","76,38 M","71,69 M","47,56 M","35,73 M","9,88 M","25,71 M","24,63 M","18,96 M","16,22 M","25,03 M","-37,94 M","8,02 M","-7,13 M","11,60 M",0,0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-45,98 M","-46,73 M","-48,07 M","-36,38 M","-40,96 M","-49,57 M","-48,60 M","-43,01 M","-43,80 M","-51,41 M","-54,45 M","-56,38 M","-66,87 M","-69,66 M","-53,28 M","-52,16 M","-40,45 M","-47,93 M","-11,89 M","-13,26 M","-9,35 M","-7,05 M","-10,14 M","-18,64 M","-21,11 M","-15,88 M","-7,57 M","-5,79 M","-7,51 M","-8,25 M","-6,40 M","-7,22 M","-6,17 M","-5,42 M","-14,96 M","-3,70 M","-1,25 M","-7,07 M","-7,87 M","-7,91 M","-10,34 M","-20,59 M","2,88 M","-2,78 M","-673,00 Mil","-4,83 M","-97,42 M","-9,25 M","-22,07 M","-139,21 M","-40,01 M","-35,63 M","-12,89 M","-16,45 M","-2,37 M","3,04 M","1,30 M","598,00 Mil","-2,96 M","-5,02 M","-4,49 M","-6,91 M","-2,54 M",0,0
Antes dos impostos,"31,50 M","43,63 M","16,54 M","35,38 M","17,89 M","-54,37 M","26,72 M","7,64 M","30,12 M","-79,05 M","-80,08 M","23,50 M","24,00 M","-120,54 M","74,14 M","79,91 M","113,22 M","78,98 M","168,02 M","132,02 M","175,34 M","73,92 M","197,99 M","171,07 M","109,31 M","35,03 M","182,15 M","161,33 M","159,02 M","156,35 M","168,45 M","139,40 M","163,91 M","134,74 M","174,93 M","118,05 M","155,44 M","118,77 M","123,84 M","112,45 M","105,38 M","68,29 M","115,75 M","125,43 M","91,31 M","69,23 M","111,49 M","51,77 M","45,85 M","-62,82 M","31,68 M","11,92 M","22,84 M","-6,56 M","23,34 M","27,67 M","20,26 M","16,81 M","22,08 M","-42,96 M","3,53 M","-14,03 M","9,06 M",0,0
