Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"53,72 B","53,78 B","51,60 B","50,60 B","51,42 B","50,59 B","49,81 B","49,21 B","50,46 B","49,24 B","49,32 B","46,47 B","45,47 B","45,95 B","45,52 B","45,02 B","44,71 B","48,17 B","46,22 B","42,72 B","41,50 B","45,91 B","46,60 B","41,92 B","35,37 B","32,83 B","31,72 B","28,27 B","28,14 B","27,13 B","26,40 B","26,25 B","27,36 B","26,23 B","24,14 B","24,68 B","25,05 B","23,03 B","16,59 B","16,77 B","14,99 B","15,12 B","15,40 B","15,14 B","15,43 B","15,71 B","19,04 B","19,20 B","18,78 B","19,21 B","18,13 B","17,49 B","17,78 B","17,65 B","14,48 B","14,29 B","14,02 B","14,14 B","14,06 B","13,92 B","12,72 B","12,52 B","12,18 B"
Ativo circulante,"8,32 B","9,72 B","9,10 B","8,86 B","10,72 B","10,87 B","11,63 B","11,95 B","11,66 B","10,25 B","11,46 B","9,19 B","8,77 B","9,75 B","10,16 B","9,31 B","9,43 B","12,38 B","10,88 B","8,04 B","7,10 B","11,35 B","11,57 B","7,27 B","4,85 B","4,95 B","3,81 B","3,76 B","3,70 B","4,07 B","3,55 B","3,79 B","5,48 B","4,41 B","2,69 B","3,41 B","4,04 B","2,30 B","2,33 B","2,48 B","989,38 M","1,25 B","1,71 B","1,60 B","1,95 B","2,61 B","3,59 B","4,00 B","3,91 B","4,04 B","3,73 B","3,44 B","3,59 B","3,68 B","2,72 B","2,66 B","2,59 B","2,96 B","3,17 B","3,27 B","2,42 B","2,70 B","3,22 B"
Caixa e eq. de caixa,"5,42 B","7,02 B","5,43 B","6,09 B","7,85 B","7,46 B","7,17 B","8,03 B","7,53 B","7,23 B","6,97 B","5,71 B","5,25 B","7,39 B","6,59 B","6,23 B","6,38 B","9,45 B","8,34 B","4,79 B","3,72 B","7,78 B","8,47 B","5,47 B","3,18 B","1,96 B","1,40 B","1,39 B","958,10 M","141,53 M","72,06 M","81,60 M","1,69 B","178,00 M","187,68 M","183,54 M","2,59 B","260,53 M","32,03 M","47,62 M","7,02 M","35,83 M","43,09 M","233,67 M","169,70 M","1,33 B","2,13 B","2,37 B","2,34 B","2,64 B","2,32 B","1,99 B","2,34 B","2,51 B","1,56 B","1,59 B","1,62 B","2,10 B","2,20 B","2,43 B","1,63 B","1,97 B","2,57 B"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,52 B","2,29 B","541,75 M",0,"1,30 B","1,66 B","295,38 M","508,27 M","879,03 M","534,43 M","717,62 M","190,98 M",0,0,0,"16,56 M",0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"828,53 M","660,43 M","715,46 M","715,72 M","739,37 M","568,58 M","673,26 M","732,95 M","678,29 M","538,46 M","628,84 M","535,87 M","596,91 M","561,64 M","635,20 M","623,23 M","568,20 M","482,11 M","665,42 M","642,60 M","614,57 M","421,32 M","420,43 M","471,78 M","503,21 M","385,56 M","441,14 M","493,82 M","434,20 M","417,34 M","363,34 M","384,81 M","360,04 M","359,34 M","313,76 M","282,69 M","295,42 M","417,16 M","213,33 M","181,10 M","144,30 M","100,10 M","152,70 M","314,61 M","438,14 M","376,75 M","711,37 M","759,94 M","769,91 M","423,19 M","667,61 M","673,70 M","585,16 M","522,15 M","510,51 M","455,61 M","424,71 M","353,09 M","342,73 M","327,77 M","302,66 M","326,58 M","264,36 M"
Estoques,"259,19 M","263,49 M","306,34 M","300,57 M","328,15 M","282,58 M","264,53 M","267,70 M","276,39 M","215,60 M","224,09 M","221,30 M","214,34 M","225,81 M","219,47 M","260,89 M","240,92 M","228,92 M","280,78 M","277,26 M","257,77 M","249,32 M","262,75 M","279,19 M","263,81 M","248,46 M","284,75 M","288,80 M","267,47 M","263,39 M","305,57 M","354,19 M","294,61 M","282,29 M","258,59 M","242,57 M","248,38 M","284,58 M","286,25 M","206,08 M","211,31 M","219,22 M","183,89 M","99,55 M","105,43 M","102,66 M","108,13 M","252,29 M","184,10 M","166,34 M","237,12 M","251,96 M","185,30 M","160,90 M","180,97 M","168,94 M","131,49 M","124,32 M","105,42 M","96,95 M","101,12 M","105,08 M","80,23 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"45,40 B","44,06 B","42,50 B","41,73 B","40,70 B","39,72 B","38,18 B","37,26 B","38,79 B","38,99 B","37,86 B","37,29 B","36,70 B","36,20 B","35,36 B","35,71 B","35,29 B","35,79 B","35,34 B","34,68 B","34,41 B","34,55 B","35,03 B","34,65 B","30,53 B","27,88 B","27,91 B","24,51 B","24,43 B","23,06 B","22,85 B","22,45 B","21,88 B","21,82 B","21,45 B","21,27 B","21,02 B","20,73 B","14,27 B","14,29 B","14,00 B","13,87 B","13,69 B","13,54 B","13,49 B","13,10 B","15,45 B","15,20 B","14,87 B","15,17 B","14,40 B","14,05 B","14,19 B","13,98 B","11,76 B","11,63 B","11,43 B","11,18 B","10,89 B","10,65 B","10,30 B","9,82 B","8,96 B"
Investimentos,"416,56 M","445,66 M","440,15 M","391,84 M","300,65 M","321,99 M","294,29 M","287,30 M","347,12 M","360,87 M","471,14 M","391,92 M","375,11 M","381,47 M","79,16 M","70,03 M","64,35 M","57,84 M","57,37 M","51,22 M","50,08 M","50,71 M","50,10 M","45,31 M","49,24 M","52,01 M","46,94 M","40,21 M","39,28 M","44,00 M","42,61 M","39,36 M","40,71 M","41,93 M","42,48 M","43,15 M","41,74 M","46,85 M","47,06 M","46,74 M","44,05 M","44,24 M","45,29 M","41,07 M","41,28 M","41,23 M","1,89 B","1,97 B","1,95 B","1,93 B","1,97 B","1,92 B","2,05 B","2,01 B","12,57 M","11,17 M","10,55 M","9,89 M","10,00 M","9,50 M","8,64 M","7,48 M","5,27 M"
Imobilizado,"25,16 B","23,95 B","22,62 B","21,83 B","21,16 B","20,44 B","18,95 B","17,94 B","19,65 B","19,18 B","18,04 B","17,66 B","17,39 B","17,05 B","16,53 B","16,46 B","16,29 B","15,97 B","15,49 B","15,13 B","14,25 B","13,65 B","12,75 B","12,35 B","12,03 B","11,77 B","11,46 B","11,38 B","11,23 B","11,92 B","11,90 B","11,67 B","11,45 B","11,27 B","10,95 B","10,75 B","10,54 B","10,34 B","9,41 B","9,33 B","9,10 B","9,02 B","8,96 B","8,90 B","8,74 B","8,56 B","9,42 B","9,07 B","8,81 B","8,77 B","8,45 B","8,12 B","8,13 B","7,97 B","7,82 B","7,71 B","7,51 B","7,26 B","7,00 B","6,76 B","6,45 B","6,01 B","5,25 B"
