Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,4T2019,2T2019
Receita líquida,"60,39 B","59,91 B","54,22 B","57,73 B","66,87 B","72,91 B","57,76 B","53,68 B","58,49 B","59,46 B","48,82 B","54,97 B","60,37 B","64,24 B","66,26 B","53,49 B","55,39 B","48,34 B","34,05 B","26,50 B","25,10 B","22,26 B","15,56 B","26,71 B","25,13 B"
Custos,"-57,90 B","-57,19 B","-52,12 B","-55,82 B","-63,96 B","-68,54 B","-55,11 B","-49,89 B","-53,96 B","-54,87 B","-46,01 B","-47,99 B","-56,88 B","-61,99 B","-63,70 B","-50,93 B","-51,24 B","-45,71 B","-31,70 B","-24,96 B","-23,69 B","-21,01 B","-15,42 B","-25,07 B","-24,01 B"
Lucro bruto,"2,49 B","2,72 B","2,09 B","1,91 B","2,91 B","4,37 B","2,65 B","3,79 B","4,53 B","4,59 B","2,81 B","6,97 B","3,49 B","2,25 B","2,56 B","2,56 B","4,15 B","2,63 B","2,35 B","1,54 B","1,40 B","1,25 B","136,81 M","1,65 B","1,11 B"
Despesas operacionais,"-9,55 B","-2,76 B","-1,91 B","-2,33 B","-2,73 B","-2,59 B","137,43 M","-2,64 B","-1,98 B","-2,71 B","-476,51 M","-1,62 B","-1,94 B","-2,65 B","-966,53 M","-1,82 B","-1,55 B","-1,37 B","-792,30 M","-678,25 M","-724,58 M","-495,19 M","-559,57 M","445,25 M","-528,46 M"
Despesas com vendas,"-1,36 B","-1,49 B","-1,42 B","-1,77 B","-1,75 B","-1,87 B","-1,43 B","-1,61 B","-1,52 B","-1,66 B","-1,32 B","-1,26 B","-1,35 B","-1,43 B","-1,19 B","-1,17 B","-1,10 B","-1,05 B","-707,04 M","-590,88 M","-572,28 M","-517,93 M","-491,21 M","-588,03 M","-551,99 M"
Despesas administrativas,"-666,37 M","-529,56 M","-652,77 M","-503,22 M","-689,19 M","-649,21 M","-731,11 M","-930,40 M","-525,88 M","-730,45 M","-696,14 M","-818,87 M","-609,95 M","-566,28 M","-558,76 M","-674,02 M","-551,15 M","-498,19 M","-236,27 M","-193,16 M","-159,85 M","-145,69 M","-146,40 M","-130,18 M","-152,56 M"
EBIT,"-7,06 B","-45,94 M","187,53 M","-428,70 M","177,06 M","1,78 B","2,79 B","1,15 B","2,56 B","1,88 B","2,33 B","5,35 B","1,55 B","-399,73 M","1,59 B","747,79 M","2,60 B","1,27 B","1,55 B","862,16 M","680,05 M","754,31 M","-422,76 M","2,09 B","585,70 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-2,33 B","-2,72 B","-2,18 B","-1,90 B","-2,39 B","-1,69 B","-1,48 B","-1,72 B","-1,52 B","-1,71 B","-1,38 B","-1,36 B","-1,45 B","-1,07 B","-938,51 M","-645,64 M","-587,47 M","-560,76 M","-174,64 M","-170,78 M","-65,61 M","-71,09 M","-60,95 M","-154,03 M","-154,21 M"
Antes dos impostos,"-9,39 B","-2,76 B","-1,99 B","-2,33 B","-2,21 B","96,15 M","1,30 B","-560,36 M","1,04 B","174,87 M","956,51 M","3,99 B","98,06 M","-1,47 B","651,23 M","102,15 M","2,01 B","707,53 M","1,38 B","691,39 M","614,44 M","683,21 M","-483,71 M","1,94 B","431,49 M"
Imposto,"-6,26 B","451,70 M","149,32 M","-180,84 M","-357,06 M","-254,49 M","-238,31 M","-318,26 M","-247,82 M","-146,47 M","-285,41 M","-1,32 B","69,87 M","538,78 M","-45,31 M","213,84 M","-590,18 M","23,22 M","-599,16 M","-235,70 M","-205,99 M","-174,81 M","150,52 M","-550,69 M","-140,45 M"
Op. continuadas,"-15,65 B","-2,31 B","-1,84 B","-2,51 B","-2,57 B","-158,35 M","1,07 B","-878,62 M","793,24 M","28,40 M","671,11 M","2,66 B","167,93 M","-933,64 M","605,92 M","315,99 M","1,42 B","730,75 M","780,32 M","455,69 M","408,45 M","508,40 M","-333,19 M","1,39 B","291,04 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-15,65 B","-2,31 B","-1,84 B","-2,51 B","-2,57 B","-158,35 M","1,07 B","-878,62 M","793,24 M","28,40 M","671,11 M","2,66 B","167,93 M","-933,64 M","605,92 M","315,99 M","1,42 B","730,75 M","780,32 M","455,69 M","408,45 M","508,40 M","-333,19 M","1,39 B","291,04 M"
Dos controladores,"-15,55 B","-2,32 B","-1,85 B","-2,53 B","-2,59 B","-181,58 M","1,05 B","-877,21 M","779,20 M","-19,03 M","637,75 M","2,60 B","174,18 M","-880,12 M","551,90 M","250,42 M","1,39 B","712,67 M","800,55 M","441,37 M","398,80 M","489,17 M","-332,85 M","1,37 B","276,68 M"
Dos não controladores,"-90,08 M","9,00 M","2,35 M","20,97 M","19,89 M","23,23 M","15,49 M","-1,41 M","14,04 M","47,43 M","33,35 M","67,94 M","-6,25 M","-53,52 M","54,03 M","65,57 M","37,13 M","18,07 M","-20,23 M","14,32 M","9,66 M","19,22 M","-339,00 Mil","17,12 M","14,36 M"
