Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"3,08 B","3,21 B","3,44 B","3,30 B","3,19 B","3,26 B","3,13 B","2,98 B","2,54 B","2,56 B","2,90 B","2,78 B","2,66 B","2,85 B","3,06 B","2,77 B","2,48 B","2,54 B","2,49 B","2,11 B","1,91 B","1,79 B","1,52 B","916,80 M","1,16 B","1,27 B","1,37 B","1,30 B","1,13 B","1,21 B","1,11 B","1,02 B","921,64 M","853,21 M","773,70 M","730,11 M","579,74 M","622,39 M","570,22 M","696,75 M","734,61 M","814,87 M","852,98 M","734,73 M","696,82 M","911,47 M","886,98 M","1,01 B","965,93 M","1,09 B","1,13 B","1,06 B","974,91 M","1,01 B","877,50 M","883,97 M",0,"1,03 B","1,07 B","1,10 B",0,"1,03 B","984,18 M","918,56 M","782,67 M"
Custos,"-2,26 B","-2,46 B","-2,54 B","-2,50 B","-2,34 B","-2,40 B","-2,31 B","-2,17 B","-1,85 B","-1,97 B","-2,20 B","-2,00 B","-1,93 B","-2,26 B","-2,31 B","-2,13 B","-1,83 B","-1,95 B","-1,85 B","-1,59 B","-1,40 B","-1,31 B","-1,10 B","-717,81 M","-906,59 M","-962,05 M","-1,03 B","-954,91 M","-864,72 M","-932,75 M","-837,60 M","-775,20 M","-704,54 M","-650,35 M","-579,94 M","-548,16 M","-461,31 M","-506,91 M","-458,17 M","-534,39 M","-603,60 M","-655,79 M","-679,42 M","-578,44 M","-544,83 M","-695,91 M","-682,38 M","-753,11 M","-704,36 M","-840,88 M","-829,09 M","-793,75 M","-749,97 M","-808,14 M","-686,06 M","-703,06 M",0,"-805,16 M","-809,91 M","-814,21 M",0,"-788,51 M","-734,64 M","-692,80 M","-596,41 M"
Lucro bruto,"821,33 M","745,04 M","905,84 M","797,34 M","849,19 M","859,40 M","823,93 M","814,56 M","686,26 M","583,79 M","697,28 M","779,98 M","732,31 M","592,34 M","742,42 M","645,42 M","644,58 M","596,89 M","638,66 M","520,59 M","512,21 M","482,22 M","419,62 M","198,99 M","252,42 M","304,81 M","338,61 M","347,21 M","268,88 M","279,48 M","272,27 M","243,66 M","217,10 M","202,87 M","193,76 M","181,95 M","118,43 M","115,47 M","112,05 M","162,37 M","131,02 M","159,09 M","173,56 M","156,28 M","151,99 M","215,56 M","204,60 M","261,27 M","261,58 M","244,51 M","304,84 M","265,35 M","224,93 M","197,58 M","191,44 M","180,91 M",0,"228,93 M","260,42 M","283,85 M",0,"245,05 M","249,54 M","225,75 M","186,26 M"
Despesas operacionais,"-577,01 M","-712,98 M","-542,61 M","-562,37 M","-623,06 M","-535,59 M","-435,19 M","-514,29 M","-419,05 M","-379,12 M","-370,57 M","-403,54 M","-355,55 M","-338,84 M","-385,02 M","-344,57 M","-304,08 M","-398,93 M","-299,03 M","-251,27 M","-218,62 M","135,18 M","-197,59 M","-88,92 M","-186,94 M","-184,01 M","-184,63 M","-181,07 M","-171,21 M","-185,65 M","-153,95 M","-148,11 M","-87,31 M","-156,35 M","-127,29 M","-123,31 M","-99,11 M","-144,28 M","-122,43 M","-116,75 M","-116,06 M","-168,75 M","-162,76 M","-140,30 M","-131,89 M","-143,36 M","-138,29 M","-150,45 M","-141,49 M","-157,96 M","-156,75 M","-144,09 M","-134,42 M","-155,93 M","-140,32 M","-144,12 M",0,"-149,48 M","-149,10 M","-137,83 M",0,"-128,19 M","-125,44 M","-109,33 M","-93,42 M"
Despesas com vendas,"-265,79 M","-297,48 M","-295,50 M","-286,34 M","-263,57 M","-290,88 M","-246,45 M","-221,89 M","-194,84 M","-192,26 M","-191,57 M","-191,47 M","-182,20 M","-146,48 M","-216,24 M","-188,84 M","-165,52 M","-186,58 M","-155,95 M","-142,30 M","-132,13 M","-129,42 M","-108,17 M","-79,41 M","-94,18 M","-109,49 M","-104,63 M","-103,27 M","-102,50 M","-111,69 M","-92,31 M","-82,58 M","-81,19 M","-82,78 M","-71,16 M","-64,55 M","-63,95 M","-71,11 M","-69,05 M","-69,51 M","-64,06 M","-94,60 M","-98,69 M","-83,73 M","-71,10 M","-87,11 M","-84,55 M","-89,14 M","-83,00 M","-94,13 M","-91,85 M","-86,53 M","-85,34 M","-107,12 M","-89,71 M","-91,01 M",--,"-98,86 M","-95,39 M","-85,34 M",--,"-73,66 M","-74,08 M","-67,57 M","-56,19 M"
Despesas administrativas,"-239,79 M","-260,76 M","-240,46 M","-268,41 M","-264,55 M","-240,76 M","-193,45 M","-194,78 M","-168,62 M","-184,89 M","-152,52 M","-179,34 M","-146,69 M","-162,28 M","-138,02 M","-125,95 M","-115,19 M","-129,91 M","-119,63 M","-105,47 M","-91,84 M","-140,93 M","-81,89 M","-78,45 M","-69,30 M","-74,77 M","-68,85 M","-67,89 M","-63,91 M","-67,72 M","-57,99 M","-60,89 M","-54,42 M","-53,53 M","-46,49 M","-51,23 M","-46,53 M","-43,31 M","-44,96 M","-46,14 M","-49,61 M","-60,49 M","-56,30 M","-52,46 M","-50,50 M","-53,52 M","-47,80 M","-53,63 M","-45,43 M","-48,32 M","-47,49 M","-42,47 M","-44,91 M","-44,73 M","-45,96 M","-47,35 M",--,"-42,77 M","-39,46 M","-41,73 M",--,"-41,46 M","-37,42 M","-36,53 M","-31,99 M"
EBIT,"244,32 M","32,06 M","363,23 M","234,97 M","226,13 M","323,81 M","388,74 M","300,27 M","267,22 M","204,66 M","326,71 M","376,43 M","376,75 M","253,51 M","357,41 M","300,85 M","340,49 M","197,97 M","339,63 M","269,32 M","293,60 M","617,40 M","222,03 M","110,06 M","65,47 M","120,80 M","153,98 M","166,14 M","97,66 M","93,83 M","118,33 M","95,55 M","129,78 M","46,52 M","66,47 M","58,64 M","19,32 M","-28,80 M","-10,38 M","45,62 M","14,96 M","-9,66 M","10,80 M","15,98 M","20,11 M","72,20 M","66,31 M","110,83 M","120,08 M","86,55 M","148,10 M","121,26 M","90,52 M","41,65 M","51,12 M","36,80 M",0,"79,45 M","111,32 M","146,02 M",0,"116,86 M","124,10 M","116,43 M","92,84 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-201,97 M","-228,12 M","-249,10 M","-212,89 M","-167,22 M","-118,24 M","-101,47 M","-48,27 M","-701,00 Mil","-37,19 M","-88,50 M","-109,87 M","-107,77 M","-116,94 M","-91,98 M","-68,63 M","-92,76 M","-18,80 M","-28,41 M","-29,91 M","-29,07 M","267,06 M","-16,24 M","-6,01 M","-27,56 M","-22,93 M","-35,08 M","-7,72 M","-34,61 M","-30,57 M","-36,91 M","-30,81 M","-19,98 M","-13,48 M","-9,13 M","-14,93 M","536,00 Mil","389,00 Mil","7,56 M","-13,42 M","-14,83 M","-13,40 M","-10,62 M","-4,94 M","-14,36 M","-8,18 M","-10,20 M","-11,21 M","-8,69 M","-15,23 M","-10,73 M","-2,35 M","-6,23 M","-2,51 M","-9,26 M","-31,90 M",0,"10,26 M","19,88 M","13,64 M",0,"11,98 M","6,16 M","-2,08 M","-2,30 M"
Antes dos impostos,"42,34 M","-196,06 M","114,12 M","22,08 M","58,91 M","205,57 M","287,27 M","252,00 M","266,52 M","167,47 M","238,21 M","266,57 M","268,99 M","136,57 M","265,43 M","232,22 M","247,74 M","179,17 M","311,22 M","239,42 M","264,53 M","884,46 M","205,79 M","104,06 M","37,91 M","97,87 M","118,89 M","158,42 M","63,05 M","63,26 M","81,41 M","64,74 M","109,81 M","33,04 M","57,34 M","43,71 M","19,86 M","-28,42 M","-2,82 M","32,20 M","123,00 Mil","-23,07 M","185,00 Mil","11,04 M","5,75 M","64,02 M","56,10 M","99,62 M","111,39 M","71,32 M","137,36 M","118,91 M","84,28 M","39,13 M","41,86 M","4,89 M",0,"89,71 M","131,20 M","159,66 M",0,"128,84 M","130,26 M","114,35 M","90,55 M"
