Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-7,05","-7,95","-16,98","-12,57","-314,52","-570,29","-136,93","-58,93","-19,32","-36,90","-94,72","-1,07","-13,86","-6,22","-11,03","-131,72","-108,91"
P/VP,"-5,28","-9,03","184,52","-28,53","-12,55","-12,05","-7,06","-12,06","-6,14","-13,47","-15,57","-0,53","-2,49","-2,58","-7,68","-58,44","-59,43"
P/EBIT,"-11,54","-10,45","-38,24","22,20","619,58","1.176,75","1.972,98","-154,17","-27,09","-170,17","-304,46","-2,02","-37,42","-13,77","-17,04","234,22","-55,69"
P/EBIT *,"-42,44","-46,72","-29,00","1.233,11","619,58","1.112,87","1.007,48","-882,69","-577,65","-1.277,33","-1.895,92","-9,88","267,98","-848,59","-73,11","-1.863,58","-1.255,06"
PSR,"75,97","7,82","1,55","2,13","8,63","27,32","25,38","172,31","20.366,27",--,"2.735,00","22,29","5,61","7,08","42,21","25,41","50,98"
P/Ativos,"3,66","3,31","1,45","2,71","7,77","17,68","12,20","18,76","19,02","22,92","45,98","1,23","1,10","0,99","4,75","9,35","15,45"
LPA,"-0,13","-0,15","-0,04","-0,10","-0,01","-0,01","-0,03","-0,10","-0,29","-0,23","-0,13","-0,34","-0,06","-0,12","-0,26","-0,05","-0,10"
VPA,"-0,18","-0,14","0,00","-0,04","-0,32","-0,51","-0,53","-0,50","-0,91","-0,64","-0,82","-0,68","-0,34","-0,28","-0,38","-0,12","-0,18"
EBIT por ação,"-0,08","-0,12","-0,02","0,06","0,01","0,01","0,00","-0,04","-0,21","-0,05","-0,04","-0,18","-0,02","-0,05","-0,17","0,03","-0,19"
EBIT por ação *,"-0,02","-0,03","-0,02","0,00","0,01","0,01","0,00","-0,01","-0,01","-0,01","-0,01","-0,04","0,00","-0,00","-0,04","-0,00","-0,01"
Ativo por ação,"0,26","0,37","0,48","0,46","0,52","0,35","0,30","0,32","0,29","0,38","0,28","0,29","0,76","0,72","0,61","0,72","0,68"
Receita líquida por ação,"0,01","0,16","0,45","0,58","0,47","0,22","0,15","0,04","0,00","0,00","0,00","0,02","0,15","0,10","0,07","0,26","0,21"
Margem bruta,"15,49%","8,52%","11,16%","12,18%","13,47%","19,77%","23,47%","14,81%","100,00%",--%,"34,29%","20,28%","24,71%","25,30%","16,80%","23,76%","23,73%"
Margem líquida,"-1.077,14%","-99,32%","-9,12%","-17,14%","-2,75%","-4,80%","-18,56%","-292,51%","-105.460,00%",--%,"-2.889,53%","-2.076,70%","-40,60%","-113,86%","-382,82%","-19,28%","-47,02%"
Margem EBIT,"-658,35%","-74,85%","-4,05%","9,60%","1,39%","2,32%","1,29%","-111,77%","-75.174,29%",--%,"-898,31%","-1.100,97%","-15,00%","-51,41%","-247,65%","10,85%","-91,55%"
