Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"9,07 B","8,67 B","7,90 B","7,20 B","7,45 B","7,44 B","7,71 B","7,87 B","6,89 B","6,83 B","6,91 B","6,77 B","6,90 B","6,59 B","6,53 B","6,25 B","5,05 B","4,72 B","3,31 B","3,27 B","2,13 B","2,08 B","1,86 B"
Ativo circulante,"2,25 B","2,16 B","1,39 B","1,14 B","1,57 B","1,57 B","2,00 B","2,12 B","1,21 B","1,15 B","1,30 B","1,25 B","1,47 B","2,13 B","2,42 B","2,18 B","1,18 B","1,03 B","1,38 B","1,38 B","293,14 M","322,98 M","152,34 M"
Caixa e eq. de caixa,"272,55 M","229,51 M","277,77 M","222,61 M","315,62 M","295,55 M","420,69 M","411,01 M","302,15 M","197,18 M","78,48 M","89,76 M","205,97 M","361,03 M","504,67 M","245,00 M","156,47 M","217,16 M","392,41 M","268,95 M","44,05 M","30,86 M","56,27 M"
Aplicações financeiras,"1,38 B","1,40 B","655,94 M","428,94 M","702,22 M","761,94 M","1,08 B","1,22 B","384,69 M","310,17 M","642,41 M","695,72 M","721,07 M","1,25 B","1,39 B","1,40 B","514,35 M","585,65 M","764,07 M","941,89 M","58,54 M","66,41 M","45,00 Mil"
Contas a receber,"315,23 M","253,97 M","303,53 M","329,82 M","355,00 M","361,10 M","362,54 M","377,22 M","349,76 M","360,61 M","348,73 M","300,53 M","364,78 M","384,18 M","397,04 M","442,58 M","452,54 M","169,85 M","165,00 M","133,07 M","145,12 M","108,73 M","78,61 M"
Estoques,"60,16 M","6,14 M","9,50 M","14,82 M","19,73 M","9,77 M","8,29 M","7,79 M","9,44 M","7,36 M","24,72 M","7,38 M","4,86 M","11,45 M","6,84 M","8,12 M","8,99 M","6,55 M","1,01 M","869,00 Mil","1,26 M","1,21 M","480,00 Mil"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"6,82 B","6,51 B","6,51 B","6,07 B","5,88 B","5,87 B","5,71 B","5,75 B","5,68 B","5,68 B","5,62 B","5,51 B","5,43 B","4,45 B","4,11 B","4,08 B","3,87 B","3,68 B","1,94 B","1,90 B","1,84 B","1,76 B","1,71 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"6,22 B","6,16 B","6,20 B","5,77 B","5,57 B","5,54 B","5,44 B","5,45 B","5,45 B","5,44 B","5,34 B","5,25 B","5,09 B","4,12 B","3,88 B","3,68 B","3,47 B","3,35 B","1,61 B","1,61 B","1,64 B","1,60 B","1,67 B"
Intangível,"83,38 M","89,86 M","68,28 M","67,10 M","76,15 M","20,56 M","18,94 M","19,51 M","18,36 M","16,14 M","7,46 M","8,09 M","8,55 M","12,00 M","11,54 M","10,96 M","11,01 M","10,44 M","19,72 M","4,67 M","4,79 M","25,71 M","31,69 M"
Passivo total,"9,07 B","8,67 B","7,90 B","7,20 B","7,45 B","7,44 B","7,71 B","7,87 B","6,89 B","6,83 B","6,91 B","6,77 B","6,90 B","6,59 B","6,53 B","6,25 B","5,05 B","4,72 B","3,31 B","3,27 B","2,13 B","2,08 B","1,86 B"
Passivo circulante,"1,03 B","619,38 M","643,23 M","510,95 M","636,06 M","732,36 M","1,01 B","1,07 B","1,15 B","1,07 B","1,16 B","1,40 B","1,69 B","1,39 B","1,33 B","1,69 B","1,45 B","1,24 B","661,47 M","596,05 M","493,35 M","354,56 M","142,19 M"
Fornecedores,"230,61 M","265,88 M","308,18 M","328,41 M","367,95 M","299,11 M","259,13 M","233,37 M","215,75 M","254,01 M","370,09 M","374,83 M","417,99 M","352,15 M","273,07 M","190,04 M","153,58 M","98,71 M","65,66 M","81,81 M","85,40 M","80,09 M","42,52 M"
Empréstimos e financ.,"107,72 M","64,91 M","99,16 M","26,51 M","67,82 M","20,91 M","125,00 M","204,17 M","149,69 M","142,77 M","115,53 M","59,61 M","49,35 M","14,01 M","2,21 M","283,00 M","251,76 M","281,76 M","268,09 M","261,80 M","294,18 M","212,93 M","35,32 M"
Passivo não circulante,"3,84 B","3,72 B","2,69 B","2,25 B","2,36 B","2,47 B","2,12 B","2,41 B","1,08 B","1,25 B","1,32 B","1,06 B","1,12 B","1,38 B","1,53 B","1,34 B","1,51 B","1,60 B","801,78 M","785,52 M","831,96 M","745,42 M","759,93 M"
Emprést. de longo prazo,"3,07 B","3,04 B","2,30 B","1,80 B","1,79 B","1,77 B","1,59 B","1,89 B","723,13 M","760,21 M","804,02 M","549,01 M","578,87 M","641,57 M","665,13 M","290,47 M","327,08 M","459,53 M","519,87 M","543,19 M","695,44 M","681,11 M","708,70 M"
Patrimônio líquido,"4,20 B","4,33 B","4,56 B","4,44 B","4,46 B","4,24 B","4,57 B","4,39 B","4,65 B","4,52 B","4,43 B","4,31 B","4,09 B","3,81 B","3,67 B","3,22 B","2,09 B","1,87 B","1,85 B","1,89 B","807,90 M","980,20 M","961,80 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
