Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019
P/L,"6,70","6,30","9,53","7,32","3,71","28,05",-,-
P/VP,"0,85","0,93","0,98","1,15","1,12","2,65",-,-
P/EBIT,"5,85","5,57","4,39","7,64","3,40","17,44",-,-
P/EBIT *,"5,32","5,15","4,24","7,59","3,21","16,01",-,-
PSR,"1,20","1,27","1,28","1,84","1,44","4,77",-,-
P/Ativos,"0,39","0,46","0,56","0,76","0,65","1,05",-,-
LPA,"1,82","2,18","1,49","2,42","3,93","0,60",-,-
VPA,"14,30","14,76","14,43","15,39","12,98","6,38",-,-
EBIT por ação,"2,09","2,46","3,23","2,32","4,29","0,97",-,-
EBIT por ação *,"2,29","2,66","3,35","2,33","4,54","1,06",-,-
Ativo por ação,"30,90","29,54","25,34","23,27","22,44","16,07",-,-
Receita líquida por ação,"10,16","10,76","11,12","9,59","10,14","3,55",-,-
Margem bruta,"30,80%","32,35%","36,51%","31,90%","48,44%","35,82%","35,19%","25,46%"
Margem líquida,"17,93%","20,22%","13,40%","25,19%","38,76%","17,00%","-10,38%","18,73%"
Margem EBIT,"20,52%","22,85%","29,05%","24,16%","42,28%","27,35%","29,42%","17,78%"
Margem EBIT *,"22,57%","24,75%","30,11%","24,29%","44,73%","29,78%","29,16%","16,19%"
Margem EBITDA,"44,84%","45,69%","50,33%","45,42%","54,08%","51,39%","60,22%","45,84%"
Margem EBITDA *,"46,88%","47,58%","51,40%","45,55%","56,53%","53,83%","59,95%","44,25%"
Margem operacional,"20,68%","24,58%","11,13%","25,90%","44,51%","22,45%","-14,93%","21,13%"
ROE,"12,74%","14,74%","10,33%","15,69%","30,27%","9,45%","-8,34%","6,62%"
ROA,"0,06","0,07","0,06","0,10","0,18","0,04","-0,04","0,03"
ROIC,"8,52%","10,65%","15,59%","11,20%","27,22%","7,46%","12,18%","3,42%"
ROIC *,"9,37%","11,53%","16,17%","11,27%","28,80%","8,13%","12,07%","3,12%"
Giro do ativo,"0,33","0,36","0,44","0,41","0,45","0,22","0,38","0,18"
EBIT *,672 mi,781 mi,983 mi,683 mi,1.331 mi,309 mi,229 mi,55 mi
EBITDA,1.336 mi,1.442 mi,1.643 mi,1.278 mi,1.609 mi,534 mi,474 mi,155 mi
EBITDA *,1.397 mi,1.502 mi,1.677 mi,1.281 mi,1.682 mi,560 mi,472 mi,150 mi
Liquidez corrente,"2,18","3,48","2,14","1,08","1,53","0,83","0,91","1,07"
Liquidez seca,"2,12","3,47","2,13","1,07","1,52","0,82","0,91","1,07"
Liquidez imediata,"0,26","0,37","0,40","0,18","0,26","0,17","0,09","0,40"
Dívida bruta,3.173 mi,3.105 mi,1.792 mi,902 mi,655 mi,741 mi,894 mi,744 mi
Dívida líquida,1.516 mi,1.479 mi,734 mi,395 mi,-956 mi,-62 mi,796 mi,687 mi
Capital de giro,1.215 mi,1.538 mi,837 mi,81 mi,741 mi,-212 mi,-32 mi,10 mi
Endividamento geral,"116,11%","100,15%","75,61%","51,16%","72,81%","151,92%","112,22%","93,80%"
