Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"684,46 M","704,17 M","786,38 M","806,30 M","860,75 M","843,38 M","850,19 M","826,25 M","744,74 M","689,01 M","747,83 M","658,31 M","719,21 M","776,61 M","804,85 M","691,01 M","703,48 M","285,36 M","260,34 M","249,11 M",0,"206,63 M","200,18 M","185,49 M",0
Custos,"-467,86 M","-489,98 M","-552,21 M","-553,12 M","-540,87 M","-530,14 M","-564,86 M","-501,95 M","-475,85 M","-501,78 M","-499,78 M","-472,83 M","-442,26 M","-412,11 M","-420,75 M","-367,69 M","-333,87 M","-169,22 M","-179,20 M","-166,33 M",0,"-151,73 M","-118,39 M","-111,88 M",0
Lucro bruto,"216,60 M","214,19 M","234,18 M","253,18 M","319,89 M","313,24 M","285,33 M","324,30 M","268,89 M","187,22 M","248,05 M","185,48 M","276,95 M","364,50 M","384,10 M","323,32 M","369,61 M","116,14 M","81,14 M","82,78 M",0,"54,90 M","81,79 M","73,61 M",0
Despesas operacionais,"-66,50 M","-88,39 M","-76,57 M","-74,78 M","-60,12 M","-70,01 M","-48,92 M","-55,20 M","-69,40 M","-107,28 M","-53,13 M","-11,43 M","-46,04 M","-56,72 M","-73,25 M","-28,56 M","-24,80 M","-22,03 M","-24,20 M","-19,81 M",0,"-8,05 M","-14,74 M","-7,75 M",0
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--
Despesas administrativas,"-61,91 M","-61,86 M","-55,20 M","-66,44 M","-56,50 M","-62,15 M","-55,61 M","-48,33 M","-42,62 M","-83,62 M","-48,86 M","-35,74 M","-45,84 M","-34,87 M","-29,80 M","-23,91 M","-21,79 M","-22,06 M","-11,31 M","-18,19 M",--,"-11,91 M","-12,38 M","-8,31 M",--
EBIT,"150,09 M","125,81 M","157,60 M","178,41 M","259,76 M","243,22 M","236,40 M","269,10 M","199,49 M","79,94 M","194,91 M","174,05 M","230,91 M","307,78 M","310,85 M","294,76 M","344,81 M","94,11 M","56,94 M","62,97 M",0,"46,85 M","67,05 M","65,86 M",0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-1,04 M","-60,82 M","-8,98 M","75,42 M","49,00 M","-257,26 M","-40,32 M","-216,25 M","-70,98 M","35,71 M","-48,40 M","55,39 M","6,30 M","52,89 M","-45,49 M","-126,85 M","185,85 M","1,27 M","-21,14 M","63,67 M",0,"46,68 M","-53,79 M","-85,45 M",0
Antes dos impostos,"149,05 M","64,98 M","148,62 M","253,83 M","308,76 M","-14,04 M","196,08 M","52,85 M","128,51 M","115,65 M","146,52 M","229,44 M","237,21 M","360,66 M","265,37 M","167,91 M","530,66 M","95,38 M","35,80 M","126,64 M",0,"93,52 M","13,27 M","-19,59 M",0
Imposto,"-25,25 M","-14,23 M","-26,69 M","-15,69 M","-81,23 M","46,48 M","-37,24 M","83,33 M","-18,48 M","71,03 M","-1,42 M","-51,80 M","-37,70 M","47,98 M","-53,48 M","-36,88 M","-128,82 M","-23,08 M","-12,87 M","-32,08 M",0,"-30,43 M","-6,92 M","4,44 M",0
Op. continuadas,"123,80 M","50,75 M","121,94 M","238,14 M","227,53 M","32,44 M","158,84 M","136,18 M","110,03 M","186,69 M","145,10 M","177,64 M","199,51 M","408,64 M","211,88 M","131,03 M","401,84 M","72,30 M","22,93 M",0,0,"-81,76 M",0,"-15,16 M",0
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"123,80 M","50,75 M","121,94 M","238,14 M","227,53 M","32,44 M","158,84 M","136,18 M","110,03 M","186,69 M","145,10 M","177,64 M","199,51 M","408,64 M","211,88 M","131,03 M","401,84 M","72,30 M","22,93 M","94,57 M",0,"63,10 M","6,34 M","-15,16 M",0
Dos controladores,0,"638,35 M",0,0,0,"437,50 M",0,0,0,"708,94 M",0,0,0,"1,15 B",0,0,0,"176,90 M",0,0,0,"63,10 M","6,34 M","-15,16 M",0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
