Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"35,51 B","32,90 B","32,78 B","31,88 B","30,09 B","30,06 B","29,84 B","29,52 B","28,38 B","27,65 B","26,42 B","26,43 B","25,72 B","25,26 B","25,45 B","24,88 B","24,85 B","24,20 B","24,08 B","23,03 B","20,91 B","21,65 B","20,84 B","20,97 B","20,00 B","18,71 B","18,59 B","18,27 B","17,81 B","16,51 B","16,28 B","15,55 B","15,06 B","14,93 B","15,10 B","14,11 B","14,10 B","13,93 B","13,41 B","13,33 B","12,60 B","12,94 B","12,33 B","12,10 B","12,07 B","11,92 B","11,62 B","11,21 B","2,76 B","2,79 B","2,79 B","2,80 B","2,80 B","2,82 B","4,84 B","13,61 B","13,32 B","12,94 B","13,29 B","13,17 B","12,77 B","12,59 B","11,53 B"
Ativo circulante,"10,28 B","8,43 B","8,49 B","8,54 B","7,96 B","8,46 B","8,06 B","8,26 B","8,14 B","7,99 B","7,07 B","7,13 B","7,15 B","6,84 B","7,47 B","6,38 B","7,34 B","6,86 B","7,00 B","6,70 B","7,01 B","7,85 B","7,14 B","6,32 B","5,84 B","4,84 B","6,09 B","6,28 B","6,37 B","4,55 B","4,37 B","4,19 B","4,18 B","4,03 B","4,02 B","3,33 B","3,70 B","3,64 B","3,55 B","3,78 B","3,30 B","3,63 B","3,24 B","4,04 B","4,18 B","3,69 B","2,60 B","2,94 B","174,88 M","189,91 M","192,26 M","178,77 M","172,91 M","196,97 M","224,79 M","3,42 B","3,59 B","3,39 B","3,74 B","3,39 B","3,04 B","3,02 B","2,31 B"
Caixa e eq. de caixa,"187,87 M","352,97 M","257,15 M","290,07 M","232,38 M","225,69 M","438,88 M","312,70 M","376,50 M","376,13 M","318,26 M","1,24 B","820,86 M","343,50 M","151,26 M","247,12 M","578,72 M","275,77 M","318,62 M","468,94 M","644,70 M","749,71 M","803,30 M","1,08 B","609,96 M","240,26 M","359,66 M","328,83 M","262,63 M","147,91 M","308,48 M","72,07 M","349,17 M","389,38 M","545,06 M","310,06 M","357,43 M","449,55 M","428,91 M","503,12 M","358,39 M","534,45 M","203,60 M","350,12 M","316,89 M","356,60 M","471,57 M","950,23 M","70,47 M","52,36 M","42,33 M","27,71 M","23,30 M","22,59 M","43,19 M","445,89 M","722,72 M","686,08 M","762,45 M","740,63 M","640,01 M","759,66 M","413,95 M"
Aplicações financeiras,"4,08 B","2,48 B","2,94 B","3,60 B","2,78 B","3,29 B","2,45 B","3,13 B","2,44 B","2,28 B","1,46 B","1,15 B","1,05 B","1,67 B","1,94 B","1,47 B","1,19 B","1,09 B","1,26 B","1,92 B","2,12 B","3,12 B","2,64 B","1,08 B","1,27 B","692,23 M","483,45 M","969,78 M","887,18 M","868,43 M","476,53 M","811,39 M","548,41 M","709,97 M","717,89 M","634,13 M","837,72 M","768,56 M","696,30 M","848,87 M","502,90 M","481,91 M","436,77 M","678,15 M","727,21 M","935,08 M","679,59 M","506,04 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"2,51 B","2,60 B","2,66 B","2,41 B","2,59 B","2,58 B","2,75 B","2,62 B","3,11 B","3,01 B","2,87 B","2,50 B","2,53 B","2,48 B","3,20 B","3,05 B","3,27 B","2,65 B","3,20 B","2,56 B","2,52 B","2,60 B","2,28 B","2,00 B","2,16 B","2,19 B","2,09 B","1,91 B","2,05 B","1,78 B","1,87 B","1,60 B","1,60 B","1,51 B","1,54 B","1,36 B","1,53 B","1,35 B","1,28 B","1,21 B","1,29 B","1,37 B","1,31 B","1,23 B","1,22 B","990,63 M","992,94 M","989,49 M","66,87 M","73,22 M","78,02 M","81,09 M","80,09 M","104,79 M","104,16 M","1,83 B","1,84 B","1,86 B","1,87 B","1,76 B","1,61 B","1,59 B","1,27 B"
Estoques,"77,58 M","72,11 M","77,06 M","74,72 M","68,95 M","64,88 M","65,88 M","62,56 M","59,53 M","59,10 M","61,91 M","64,20 M","61,49 M","62,09 M","65,43 M","62,51 M","55,82 M","53,16 M","53,13 M","55,91 M","54,73 M","52,76 M","63,75 M","69,39 M","63,43 M","59,40 M","55,35 M","56,69 M","46,45 M","43,42 M","49,98 M","44,22 M","45,17 M","43,29 M","43,21 M","32,76 M","27,16 M","26,72 M","27,76 M","25,42 M","24,84 M","26,00 M","19,63 M","18,27 M","21,05 M","19,58 M","23,28 M","21,71 M",0,0,0,0,0,0,0,"53,71 M","60,52 M","42,59 M","44,74 M","42,72 M","46,57 M","45,16 M","39,13 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"25,23 B","24,47 B","24,29 B","23,34 B","22,13 B","21,60 B","21,78 B","21,26 B","20,24 B","19,66 B","19,35 B","19,30 B","18,57 B","18,42 B","17,98 B","18,50 B","17,51 B","17,33 B","17,08 B","16,33 B","13,90 B","13,81 B","13,70 B","14,65 B","14,16 B","13,87 B","12,51 B","11,99 B","11,44 B","11,96 B","11,91 B","11,35 B","10,87 B","10,90 B","11,08 B","10,78 B","10,40 B","10,29 B","9,86 B","9,56 B","9,30 B","9,30 B","9,09 B","8,06 B","7,89 B","8,23 B","9,02 B","8,27 B","2,58 B","2,60 B","2,60 B","2,62 B","2,62 B","2,63 B","4,62 B","10,18 B","9,73 B","9,55 B","9,55 B","9,79 B","9,73 B","9,57 B","9,22 B"
Investimentos,"7,34 M","7,52 M","7,76 M","7,77 M","8,13 M","8,75 M","8,69 M","8,62 M","7,90 M","7,98 M","8,08 M","8,32 M","7,75 M","7,65 M","7,61 M","7,95 M","7,72 M","7,73 M","7,73 M","7,72 M","7,73 M","7,73 M","7,44 M","7,44 M","7,45 M","7,45 M","7,49 M","7,47 M","586,81 M","32,45 M","32,51 M","32,45 M","32,37 M","32,32 M","8,06 M","8,06 M","8,07 M","8,08 M","8,10 M","8,11 M","8,12 M","8,13 M","4,61 M","4,62 M","4,78 M","4,79 M","8,44 M","8,46 M","1,25 M","1,25 M","1,10 M","814,00 Mil","1,55 M","814,00 Mil","1,25 M","17,06 M","17,07 M","17,09 M","34,95 M","34,55 M","34,62 M","34,37 M","31,04 M"
Imobilizado,"159,75 M","152,79 M","148,58 M","145,07 M","141,44 M","141,48 M","137,54 M","139,32 M","125,33 M","125,14 M","117,66 M","112,70 M","112,51 M","110,27 M","99,82 M","93,15 M","94,63 M","91,08 M","85,00 M","84,25 M","76,54 M","76,40 M","65,02 M","69,72 M","51,01 M","49,18 M","41,73 M","41,48 M","41,55 M","42,63 M","41,48 M","27,89 M","28,98 M","30,01 M","29,96 M","30,73 M","30,91 M","31,22 M","27,58 M","26,85 M","28,71 M","19,43 M","18,22 M","19,69 M","14,25 M","14,32 M","178,02 M","395,76 M","181,25 M","183,14 M","184,64 M","186,39 M","188,13 M","189,88 M","191,64 M","193,42 M","195,31 M","199,50 M","4,83 M","203,47 M","219,93 M","219,52 M","231,24 M"
