Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"4,98 B","4,94 B","5,16 B","4,74 B","4,55 B","5,00 B","4,46 B","4,07 B","4,36 B","4,47 B","4,11 B","3,88 B","3,68 B","3,87 B","3,82 B","3,71 B","3,72 B","4,22 B","4,47 B","3,48 B","3,18 B","3,50 B","2,80 B","2,43 B","2,56 B","2,96 B","2,89 B","2,66 B","2,69 B","2,45 B","2,73 B","2,52 B","2,37 B","2,48 B","2,49 B","2,03 B","1,97 B","2,14 B","1,97 B","1,74 B","1,89 B","2,42 B","1,98 B","1,94 B","1,87 B","1,82 B","1,67 B","1,39 B","4,32 M","-61,39 M","25,79 M",0,"23,57 M","27,82 M","835,58 M","1,41 B","1,37 B","1,49 B","1,40 B","1,91 B","1,76 B","2,03 B","1,76 B","1,58 B","1,49 B"
Custos,"-3,71 B","-3,70 B","-3,88 B","-3,51 B","-3,27 B","-3,90 B","-3,30 B","-3,06 B","-2,90 B","-3,02 B","-2,73 B","-2,72 B","-2,61 B","-2,71 B","-2,79 B","-2,56 B","-2,70 B","-3,38 B","-3,30 B","-2,58 B","-2,39 B","-2,67 B","-2,02 B","-2,03 B","-2,10 B","-2,33 B","-2,29 B","-2,12 B","-2,14 B","-1,99 B","-2,18 B","-2,13 B","-1,93 B","-2,06 B","-2,24 B","-1,80 B","-1,71 B","-1,73 B","-1,71 B","-1,56 B","-1,66 B","-1,93 B","-1,79 B","-1,82 B","-1,61 B","-1,53 B","-1,36 B","-1,06 B","-2,42 M","48,17 M","-27,70 M",0,"-18,89 M","38,78 M","-738,61 M","-1,10 B","-1,08 B","-1,14 B","-1,06 B","-1,45 B","-1,44 B","-1,63 B","-1,31 B","-1,26 B","-1,23 B"
Lucro bruto,"1,26 B","1,25 B","1,28 B","1,23 B","1,28 B","1,10 B","1,16 B","1,01 B","1,47 B","1,45 B","1,37 B","1,16 B","1,06 B","1,16 B","1,04 B","1,15 B","1,02 B","841,27 M","1,17 B","895,53 M","786,31 M","830,72 M","780,90 M","391,20 M","465,38 M","631,78 M","605,13 M","543,76 M","547,40 M","460,20 M","547,68 M","394,49 M","435,85 M","424,95 M","250,88 M","236,72 M","262,49 M","408,07 M","262,06 M","186,92 M","230,14 M","490,89 M","191,88 M","118,46 M","258,33 M","287,30 M","312,85 M","330,47 M","1,90 M","-13,22 M","-1,91 M",0,"4,68 M","66,61 M","96,97 M","311,03 M","282,59 M","346,87 M","341,07 M","461,08 M","314,07 M","394,76 M","446,71 M","323,71 M","263,64 M"
Despesas operacionais,"-330,01 M","-403,08 M","-300,51 M","-315,08 M","-285,82 M","-425,25 M","-324,96 M","-276,25 M","-263,71 M","-301,64 M","-238,02 M","-247,85 M","-231,83 M","-302,70 M","-241,14 M","-200,63 M","-166,91 M","-272,36 M","-249,01 M","-175,16 M","-83,23 M","-207,72 M","-136,13 M","-125,93 M","-168,15 M","-228,69 M","-145,95 M","-144,78 M","-145,91 M","-210,51 M","-222,33 M","-119,69 M","-103,83 M","-163,87 M","-95,94 M","-120,62 M","-67,57 M","-231,85 M","-30,61 M","-78,07 M","-116,76 M","-162,56 M","-111,91 M","-69,27 M","-106,84 M","291,05 M","-113,65 M","-78,24 M","-6,32 M","-675,00 Mil","4,11 M",0,"-36,79 M","-287,06 M","-176,71 M","-127,90 M","-139,25 M","-127,47 M","-106,23 M","-147,24 M","-155,29 M","-175,92 M","-148,59 M","-171,68 M","-159,53 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,19 M",0,0,"-33,48 M","-5,93 M","-12,77 M","-25,00 M","-47,70 M","-36,65 M","-31,17 M","-36,11 M","-46,42 M","-47,73 M","-36,26 M","-46,52 M","-52,83 M"
Despesas administrativas,"-280,06 M","-261,85 M","-246,11 M","-253,09 M","-245,51 M","-333,85 M","-280,67 M","-233,09 M","-220,16 M","-240,46 M","-202,34 M","-201,92 M","-196,63 M","-278,54 M","-215,86 M","-171,21 M","-145,73 M","-197,45 M","-136,29 M","-148,26 M","-135,67 M","-194,12 M","-132,43 M","-116,48 M","-143,99 M","-210,20 M","-132,77 M","-129,64 M","-139,17 M","-205,77 M","-196,03 M","-89,59 M","-83,84 M","-141,59 M","-89,52 M","-95,36 M","-78,66 M","-183,16 M","-41,30 M","-75,66 M","-107,23 M","-154,04 M","-99,26 M","-54,82 M","-92,74 M","-186,10 M","-20,63 M","-129,78 M","-2,48 M","-16,50 M","-2,66 M","-3,00 M","-2,04 M","-2,81 M","-78,37 M","-87,59 M","-73,05 M","-92,39 M","-70,00 M","-95,11 M","-103,30 M","-116,82 M","-112,24 M","-109,21 M","-95,52 M"
EBIT,"934,60 M","842,75 M","977,42 M","914,18 M","994,84 M","671,30 M","832,83 M","729,66 M","1,20 B","1,15 B","1,13 B","910,94 M","831,12 M","853,58 M","794,21 M","952,29 M","851,45 M","568,91 M","925,20 M","720,37 M","703,08 M","623,00 M","644,77 M","265,27 M","297,22 M","403,08 M","459,18 M","398,98 M","401,49 M","249,69 M","325,36 M","274,80 M","332,02 M","261,08 M","154,94 M","116,09 M","194,91 M","176,22 M","231,44 M","108,85 M","113,38 M","328,33 M","79,97 M","49,19 M","151,49 M","578,35 M","199,20 M","252,23 M","-4,41 M","-13,89 M","2,20 M",0,"-32,11 M","-220,46 M","-79,74 M","183,13 M","143,34 M","219,40 M","234,84 M","313,83 M","158,78 M","218,85 M","298,12 M","152,03 M","104,11 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-528,20 M","-518,19 M","-436,33 M","-368,27 M","-369,43 M","-286,29 M","-304,92 M","-284,75 M","-288,17 M","-229,72 M","-306,42 M","-264,95 M","-282,05 M","-266,39 M","-304,44 M","-218,81 M","-134,04 M","-207,54 M","-240,08 M","-57,18 M","-37,55 M","-24,82 M","-13,95 M","-74,24 M","-110,25 M","-186,98 M","-126,33 M","-82,81 M","-18,58 M","-140,38 M","-80,73 M","-128,31 M","-98,05 M","-165,82 M","-94,80 M","-90,77 M","-83,19 M","-123,60 M","-141,91 M","-142,97 M","-51,84 M","-194,62 M","-106,00 M","-42,28 M","-104,53 M","-811,58 M","-22,39 M","1,36 B","-38,75 M","-4,49 M","-12,59 M",0,"-60,00 M","-26,52 M","-745,74 M","-201,14 M","152,64 M","-212,49 M","-219,65 M","-179,30 M","-238,58 M","-289,43 M","-216,67 M","-364,67 M","-225,76 M"
Antes dos impostos,"406,40 M","324,57 M","541,09 M","545,90 M","625,40 M","385,01 M","527,92 M","444,91 M","916,08 M","917,98 M","828,10 M","645,99 M","549,07 M","587,19 M","489,77 M","733,49 M","717,41 M","361,38 M","685,12 M","663,19 M","665,54 M","598,19 M","630,82 M","191,03 M","186,97 M","216,10 M","332,85 M","316,18 M","382,90 M","109,31 M","244,62 M","146,49 M","233,97 M","95,25 M","60,14 M","25,33 M","111,73 M","52,62 M","89,53 M","-34,12 M","61,53 M","133,71 M","-26,03 M","6,91 M","46,96 M","-233,23 M","176,81 M","1,62 B","-43,16 M","-18,38 M","-10,39 M",0,"-92,11 M","-246,98 M","-825,49 M","-18,01 M","295,97 M","6,92 M","15,19 M","134,54 M","-79,80 M","-70,59 M","81,45 M","-212,64 M","-121,65 M"
