Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"20,54","27,15",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"1,76","1,99",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"5,46","6,52",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"5,65","6,52",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,"1,05","1,22",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,54","0,60",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,"2,00","1,67",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,"23,40","22,71",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"7,54","6,95",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"7,29","6,95",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"76,02","76,11",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"39,07","37,16",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"26,39%","26,64%","23,48%","28,62%","37,38%","43,10%","28,12%","24,62%","27,14%","27,19%","29,06%","31,55%","30,36%","30,29%","26,33%","30,94%","29,79%","24,37%"
Margem líquida,"5,12%","4,48%","4,87%","6,24%","10,35%","18,75%","10,17%","8,18%","8,64%","8,35%","9,22%","10,24%","10,55%","10,96%","7,61%","9,99%","10,25%","6,00%"
Margem EBIT,"19,31%","18,70%","15,58%","20,41%","25,47%","29,57%","17,48%","14,61%","16,45%","16,00%","17,37%","18,72%","18,67%","18,60%","14,71%","20,41%","19,63%","14,57%"
Margem EBIT *,"18,66%","18,70%","15,58%","20,41%","25,47%","29,57%","16,76%","14,89%","16,74%","16,64%","17,25%","18,79%","18,66%","18,69%","14,60%","20,51%","20,41%","14,92%"
Margem EBITDA,"33,11%","32,92%","31,97%","36,41%","37,07%","33,92%","23,94%","21,70%","20,85%","20,47%","22,88%","23,80%","24,92%","26,14%","27,65%","28,14%","26,96%","27,36%"
Margem EBITDA *,"32,46%","32,92%","31,97%","36,41%","37,07%","33,91%","23,23%","21,98%","21,14%","21,11%","22,76%","23,86%","24,91%","26,23%","27,54%","28,24%","27,74%","27,72%"
Margem operacional,"8,65%","7,65%","5,01%","6,48%","13,60%","26,63%","13,85%","10,59%","11,61%","10,80%","11,89%","13,56%","14,79%","15,44%","10,33%","14,28%","14,42%","8,37%"
ROE,"8,55%","7,32%","6,88%","7,10%","8,95%","26,83%","17,32%","15,31%","21,30%","19,44%","18,63%","20,73%","24,80%","28,66%","18,19%","26,03%","28,47%","15,42%"
ROA,"0,03","0,02","0,02","0,02","0,03","0,08","0,05","0,04","0,05","0,05","0,06","0,07","0,07","0,08","0,06","0,07","0,08","0,04"
ROIC,"12,84%","11,90%","8,82%","9,55%","8,40%","17,67%","12,16%","10,64%","13,42%","13,38%","16,02%","18,17%","21,09%","20,99%","16,25%","21,20%","19,64%","13,34%"
ROIC *,"12,41%","11,90%","8,82%","9,55%","8,40%","17,67%","11,66%","10,85%","13,66%","13,92%","15,91%","18,24%","21,08%","21,09%","16,13%","21,30%","20,42%","13,67%"
Giro do ativo,"0,51","0,49","0,43","0,36","0,27","0,43","0,50","0,53","0,55","0,54","0,60","0,64","0,69","0,77","0,78","0,73","0,74","0,66"
EBIT *,8.198 mi,7.811 mi,5.805 mi,5.898 mi,4.529 mi,3.223 mi,1.727 mi,1.517 mi,1.276 mi,1.007 mi,765 mi,738 mi,726 mi,655 mi,462 mi,598 mi,509 mi,271 mi
EBITDA,14.542 mi,13.753 mi,11.914 mi,10.522 mi,6.592 mi,3.697 mi,2.468 mi,2.212 mi,1.590 mi,1.240 mi,1.015 mi,934 mi,969 mi,916 mi,875 mi,821 mi,673 mi,498 mi
EBITDA *,14.260 mi,13.753 mi,11.914 mi,10.523 mi,6.592 mi,3.696 mi,2.394 mi,2.241 mi,1.612 mi,1.279 mi,1.010 mi,937 mi,969 mi,919 mi,872 mi,824 mi,692 mi,504 mi
Liquidez corrente,"1,23","1,20","1,17","0,96","1,03","1,39","1,30","1,28","1,11","1,54","1,22","1,48","1,40","1,53","1,70","1,45","0,90","0,87"
