Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"3,05 B","3,02 B","2,98 B","3,03 B","3,16 B","3,06 B","3,08 B","2,96 B","2,94 B","3,08 B","2,73 B","2,74 B","2,76 B","2,81 B","2,01 B","1,99 B","2,21 B","2,28 B","2,66 B","2,64 B","2,65 B","2,30 B","2,32 B","2,31 B","2,34 B","2,29 B","2,32 B","2,37 B","2,68 B","2,60 B","2,93 B","2,95 B","2,93 B","2,93 B","3,76 B","5,65 B","5,98 B","5,90 B","5,95 B","6,07 B","6,05 B","6,02 B","5,95 B","5,79 B","5,50 B","5,54 B","5,08 B","4,46 B","4,45 B","3,67 B","3,29 B","3,14 B","2,67 B","2,68 B","2,09 B","1,74 B","1,59 B","1,61 B","1,49 B","831,86 M","560,88 M","431,54 M","287,43 M"
Ativo circulante,"247,19 M","275,21 M","240,89 M","277,68 M","375,94 M","288,27 M","255,72 M","161,23 M","107,09 M","138,88 M","89,38 M","78,77 M","77,73 M","116,70 M","255,24 M","299,70 M","580,51 M","719,42 M","1,18 B","1,23 B","1,29 B","997,58 M","129,27 M","56,17 M","76,83 M","21,19 M","26,64 M","1,47 B","1,74 B","1,74 B","1,97 B","1,97 B","1,96 B","143,54 M","218,33 M","1,83 B","1,84 B","135,86 M","144,54 M","205,13 M","408,22 M","550,63 M","584,99 M","1,73 B","284,84 M","692,65 M","430,75 M","728,89 M","789,48 M","441,62 M","311,78 M","673,54 M","508,13 M","669,30 M","365,38 M","153,67 M","255,78 M","411,83 M","501,60 M","94,78 M","257,56 M","145,56 M","47,03 M"
Caixa e eq. de caixa,"42,54 M","35,73 M","25,71 M","47,41 M","101,14 M","144,22 M","127,09 M","78,18 M","14,32 M","17,60 M","27,58 M","24,96 M","22,79 M","63,77 M","76,01 M","102,43 M","189,42 M","354,11 M","246,93 M","324,88 M","393,14 M","29,37 M","30,36 M","27,96 M","53,89 M","4,78 M","6,07 M","13,43 M","11,19 M","14,93 M","15,38 M","26,95 M","22,32 M","24,75 M","10,71 M","42,24 M","25,24 M","35,79 M","21,53 M","67,63 M","187,39 M","66,15 M","107,45 M","26,34 M","46,93 M","86,60 M","204,91 M","345,50 M","361,02 M","132,60 M","237,09 M","609,41 M","445,03 M","608,12 M","299,51 M","140,39 M","240,29 M","389,85 M","487,24 M","81,39 M","128,50 M","18,57 M","41,48 M"
Aplicações financeiras,"38,87 M","36,64 M","35,88 M","39,99 M","4,02 M","5,14 M","5,02 M","4,87 M","4,78 M","5,18 M","4,64 M","4,51 M","4,40 M","4,28 M","4,19 M","4,11 M","5,17 M","5,28 M",0,"27,33 M","65,00 Mil","18,78 M","44,10 M","6,94 M","15,00 Mil","1,28 M","1,42 M","1,53 M","441,00 Mil","13,78 M","34,72 M",0,0,0,"7,65 M","7,52 M",0,0,"22,43 M","25,84 M","50,82 M","11,74 M","4,04 M","11,83 M","128,93 M","509,02 M","123,93 M","296,71 M","355,25 M","241,45 M",0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"58,82 M","68,49 M","74,83 M","76,55 M","54,06 M","48,80 M","38,06 M","30,60 M","26,75 M","32,93 M","28,36 M","25,69 M","26,65 M","30,37 M","29,68 M","17,86 M","13,12 M","6,23 M","5,58 M","3,75 M","4,21 M","4,22 M","7,91 M","4,33 M","4,93 M","3,64 M","3,68 M","4,53 M","9,61 M","8,21 M","37,29 M","40,36 M","36,54 M","44,61 M","52,57 M","39,09 M","44,74 M","49,14 M","50,63 M","49,93 M","49,41 M","26,66 M","30,73 M","18,20 M","73,76 M","68,83 M","38,26 M","31,10 M","22,91 M","20,92 M","30,56 M","21,21 M","21,10 M","21,31 M","52,42 M","5,43 M","4,24 M","5,15 M","4,12 M","4,03 M","3,75 M","3,92 M","3,90 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,00 Mil"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,80 B","2,75 B","2,74 B","2,75 B","2,78 B","2,77 B","2,82 B","2,80 B","2,83 B","2,94 B","2,64 B","2,66 B","2,68 B","2,70 B","1,75 B","1,69 B","1,63 B","1,56 B","1,48 B","1,40 B","1,36 B","1,30 B","2,19 B","2,26 B","2,27 B","2,27 B","2,29 B","906,10 M","933,33 M","867,21 M","957,28 M","983,59 M","975,88 M","2,79 B","3,54 B","3,83 B","4,13 B","5,77 B","5,80 B","5,87 B","5,65 B","5,47 B","5,36 B","4,06 B","5,21 B","4,85 B","4,65 B","3,73 B","3,66 B","3,23 B","2,97 B","2,47 B","2,16 B","2,01 B","1,72 B","1,59 B","1,33 B","1,20 B","986,35 M","737,08 M","303,32 M","285,98 M","240,41 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"502,16 M","561,15 M","554,96 M","552,53 M","575,59 M","607,71 M","624,49 M","580,28 M","689,88 M","712,29 M","701,68 M","685,36 M","702,25 M","720,98 M","1,01 B","947,03 M","952,65 M","916,53 M","888,89 M","1,16 B","1,46 B","692,39 M","705,95 M","713,31 M","746,91 M",0,0,0,"70,00 Mil","70,00 Mil","70,00 Mil",0,"116,00 Mil","116,00 Mil","70,00 Mil","70,00 Mil","70,00 Mil","70,00 Mil","70,00 Mil","70,00 Mil","70,00 Mil"
Imobilizado,"2,58 B","2,54 B","2,54 B","2,53 B","2,53 B","2,54 B","2,55 B","2,58 B","2,60 B","2,62 B","2,64 B","2,65 B","2,67 B","2,69 B","1,74 B","1,68 B","1,63 B","1,56 B","1,47 B","1,39 B","1,36 B","1,30 B","1,67 B","1,67 B","1,68 B","1,68 B","1,68 B","265,68 M","261,51 M","239,40 M","218,54 M","223,03 M","225,35 M","2,05 B","2,76 B","2,98 B","3,11 B","4,72 B","4,79 B","4,91 B","4,73 B","4,29 B","3,86 B","3,36 B","4,32 B","3,97 B","3,75 B","3,58 B","3,52 B","3,11 B","2,86 B","2,35 B","2,08 B","1,92 B","1,71 B","1,57 B","1,32 B","1,19 B","974,11 M","725,18 M","291,72 M","273,70 M","227,19 M"
