Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"220,97 M","388,24 M","349,28 M","316,10 M","273,10 M","451,49 M","264,81 M","295,20 M","208,51 M","386,66 M","272,80 M","308,64 M","259,15 M","536,22 M","398,69 M","372,06 M","285,33 M","442,83 M","366,58 M","351,46 M","222,63 M","360,64 M","250,55 M","196,01 M","165,94 M","230,38 M","246,50 M","167,86 M","120,77 M","246,74 M","205,95 M","158,12 M","132,65 M","194,56 M","168,02 M","163,78 M","146,53 M","153,73 M","153,31 M","150,06 M","129,81 M","212,44 M","154,25 M","118,97 M","120,97 M","188,79 M","165,52 M","143,58 M","150,73 M","193,79 M","181,92 M","151,41 M","140,31 M","195,82 M","154,83 M","104,25 M","149,72 M","152,02 M","167,52 M","172,78 M","138,74 M","191,21 M","169,55 M","167,63 M","145,13 M"
Custos,"-165,56 M","-263,78 M","-256,63 M","-229,47 M","-206,42 M","-320,44 M","-185,55 M","-210,92 M","-147,89 M","-277,12 M","-192,11 M","-217,09 M","-173,38 M","-354,81 M","-261,83 M","-267,10 M","-199,73 M","-300,96 M","-251,94 M","-236,64 M","-147,16 M","-244,43 M","-171,26 M","-140,98 M","-117,66 M","-161,59 M","-173,45 M","-124,55 M","-97,22 M","-177,40 M","-145,40 M","-116,39 M","-97,89 M","-137,11 M","-119,45 M","-116,40 M","-110,28 M","-128,84 M","-122,59 M","-114,92 M","-103,58 M","-161,62 M","-119,84 M","-92,80 M","-94,35 M","-142,78 M","-127,52 M","-103,84 M","-107,05 M","-130,55 M","-130,45 M","-109,01 M","-104,14 M","-148,47 M","-118,27 M","-83,06 M","-118,83 M","-122,88 M","-118,39 M","-121,88 M","-95,30 M","-125,50 M","-104,31 M","-108,03 M","-92,94 M"
Lucro bruto,"55,41 M","124,45 M","92,65 M","86,63 M","66,67 M","131,06 M","79,25 M","84,28 M","60,62 M","109,54 M","80,68 M","91,55 M","85,78 M","181,40 M","136,86 M","104,97 M","85,61 M","141,87 M","114,63 M","114,82 M","75,47 M","116,22 M","79,29 M","55,04 M","48,28 M","68,79 M","73,05 M","43,31 M","23,55 M","69,34 M","60,55 M","41,73 M","34,76 M","57,45 M","48,57 M","47,37 M","36,24 M","24,90 M","30,73 M","35,15 M","26,23 M","50,83 M","34,41 M","26,17 M","26,62 M","46,01 M","38,00 M","39,74 M","43,68 M","63,24 M","51,47 M","42,39 M","36,17 M","47,36 M","36,56 M","21,19 M","30,89 M","29,13 M","49,13 M","50,90 M","43,45 M","65,71 M","65,25 M","59,60 M","52,20 M"
Despesas operacionais,"-65,25 M","-63,95 M","-72,36 M","-75,41 M","-65,27 M","-75,36 M","-59,72 M","-60,09 M","-47,42 M","-49,39 M","-38,27 M","-57,99 M","-48,73 M","-57,24 M","-58,79 M","-64,62 M","-57,04 M","-67,86 M","-58,51 M","-58,77 M","-50,09 M","-55,21 M","-48,45 M","-44,74 M","-43,57 M","-46,39 M","-45,72 M","-44,99 M","32,89 M","-39,46 M","-45,15 M","-41,61 M","-34,12 M","-36,18 M","-34,20 M","-35,07 M","-32,93 M","-45,78 M","-38,68 M","-38,16 M","-38,80 M","-19,26 M","-40,74 M","-43,91 M","-36,16 M","-40,52 M","-38,96 M","-38,43 M","-39,94 M","-41,05 M","-42,10 M","-39,00 M","-40,84 M","-42,01 M","-43,11 M","-51,25 M","-39,72 M","-48,20 M","-46,41 M","-48,20 M","-40,86 M","-44,21 M","-41,52 M","-41,86 M","-38,27 M"
Despesas com vendas,"-28,40 M","-36,04 M","-36,18 M","-34,18 M","-28,68 M","-33,12 M","-31,78 M","-30,20 M","-23,40 M","-29,15 M","-27,90 M","-28,91 M","-25,42 M","-33,57 M","-34,18 M","-32,41 M","-25,59 M","-33,64 M","-26,94 M","-27,92 M","-22,39 M","-29,86 M","-21,75 M","-20,37 M","-19,08 M","-23,65 M","-22,53 M","-20,88 M","-18,56 M","-22,10 M","-23,50 M","-18,05 M","-16,15 M","-18,59 M","-16,93 M","-17,55 M","-14,66 M","-20,58 M","-19,31 M","-17,97 M","-14,98 M","-18,12 M","-18,28 M","-19,11 M","-14,25 M","-18,55 M","-18,51 M","-17,26 M","-18,43 M","-19,51 M","-18,39 M","-17,99 M","-16,11 M","-17,25 M","-16,38 M","-18,21 M","-18,72 M","-20,70 M","-18,59 M","-19,85 M","-15,80 M","-16,81 M","-15,98 M","-16,65 M","-13,24 M"
Despesas administrativas,"-38,54 M","-41,01 M","-38,48 M","-41,96 M","-38,02 M","-43,88 M","-38,73 M","-36,04 M","-33,62 M","-39,33 M","-34,38 M","-37,33 M","-31,79 M","-38,47 M","-35,07 M","-32,83 M","-32,48 M","-33,84 M","-32,84 M","-32,36 M","-29,61 M","-31,07 M","-27,66 M","-25,23 M","-24,24 M","-25,81 M","-23,81 M","-24,59 M","-23,69 M","-21,67 M","-21,95 M","-22,19 M","-18,71 M","-19,63 M","-17,97 M","-19,72 M","-18,41 M","-24,05 M","-20,12 M","-20,65 M","-24,48 M","-23,93 M","-21,43 M","-23,87 M","-22,45 M","-22,44 M","-21,59 M","-23,05 M","-22,98 M","-22,11 M","-23,82 M","-20,90 M","-24,92 M","-23,52 M","-27,80 M","-33,27 M","-29,14 M","-28,42 M","-27,89 M","-28,32 M","-25,12 M","-27,95 M","-25,90 M","-26,71 M","-25,08 M"
EBIT,"-9,84 M","60,51 M","20,29 M","11,22 M","1,41 M","55,70 M","19,53 M","24,19 M","13,20 M","60,15 M","42,41 M","33,56 M","37,05 M","124,16 M","78,07 M","40,34 M","28,57 M","74,01 M","56,12 M","56,05 M","25,38 M","61,01 M","30,85 M","10,30 M","4,71 M","22,40 M","27,33 M","-1,68 M","56,44 M","29,89 M","15,41 M","112,00 Mil","644,00 Mil","21,27 M","14,38 M","12,30 M","3,32 M","-20,89 M","-7,96 M","-3,02 M","-12,57 M","31,57 M","-6,34 M","-17,73 M","-9,54 M","5,49 M","-958,00 Mil","1,31 M","3,74 M","22,18 M","9,37 M","3,39 M","-4,67 M","5,35 M","-6,55 M","-30,05 M","-8,82 M","-19,07 M","2,72 M","2,70 M","2,58 M","21,50 M","23,73 M","17,74 M","13,93 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"12,97 M","-6,65 M","12,02 M","3,36 M","5,51 M","-2,35 M","1,01 M","7,03 M","3,01 M","381,00 Mil","4,44 M","1,06 M","4,30 M","-3,95 M","4,91 M","-2,22 M","9,21 M","-2,20 M","1,57 M","2,23 M","124,00 Mil","33,36 M","439,00 Mil","2,40 M","26,09 M","1,12 M","1,60 M","-2,47 M","61,35 M","2,31 M","-2,00 Mil","37,63 M","1,18 M","1,37 M","-958,00 Mil","3,94 M","-517,00 Mil","-1,61 M","1,54 M","-2,39 M","-1,33 M","-1,45 M","6,62 M","-882,00 Mil","6,61 M","2,53 M","2,33 M","-1,67 M","-449,00 Mil","3,67 M","1,47 M","2,25 M","-3,16 M","-3,29 M","-2,40 M","3,83 M","-85,00 Mil","-25,00 Mil","4,80 M","3,33 M","2,73 M","-1,26 M","8,57 M","11,00 Mil","-3,08 M"
Antes dos impostos,"3,12 M","53,85 M","32,31 M","14,58 M","6,92 M","53,35 M","20,54 M","31,22 M","16,21 M","60,53 M","46,85 M","34,62 M","41,35 M","120,21 M","82,98 M","38,12 M","37,78 M","71,80 M","57,69 M","58,27 M","25,50 M","94,36 M","31,29 M","12,70 M","30,80 M","23,51 M","28,93 M","-4,15 M","117,80 M","32,19 M","15,40 M","37,75 M","1,82 M","22,64 M","13,42 M","16,24 M","2,80 M","-22,50 M","-6,41 M","-5,41 M","-13,90 M","30,12 M","283,00 Mil","-18,62 M","-2,93 M","8,03 M","1,37 M","-355,00 Mil","3,29 M","25,86 M","10,84 M","5,64 M","-7,83 M","2,06 M","-8,95 M","-26,23 M","-8,91 M","-19,09 M","7,53 M","6,03 M","5,31 M","20,25 M","32,29 M","17,75 M","10,86 M"
