Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
P/L,"6,34","-3,87","35,19","7,21","25,98","15,96","11,27","8,72","6,77","5,02","4,63","6,42","6,48","11,47","7,40","7,36"
P/VP,"0,51","0,47","0,54","0,45","0,48","0,53","0,46","0,39","0,32","0,29","0,28","0,27","0,39","0,85","0,54","0,53"
P/EBIT,"7,41","-3,42","64,43","7,95","27,95","15,98","11,39","8,92","7,28","5,06","4,69","6,47","6,50","-11,67","-7,83","-7,41"
P/EBIT *,"-284,59","-201,59","-84,41","-106,06","-137,36","-109,36","-130,17","-108,71","-45,63","-83,79","-82,46","-75,77","-94,12","-4,86","-3,99","-3,61"
PSR,--,--,--,--,--,"5.587,28","1.645,26","1.157,85","956,80","1.066,50","1.263,51","928,89","1.393,81","59,32","31,63","34,41"
P/Ativos,"0,50","0,46","0,53","0,44","0,48","0,52","0,46","0,39","0,32","0,29","0,28","0,27","0,39","0,18","0,11","0,11"
LPA,"0,97","-1,36","0,20","0,78","0,23","0,40","0,48","0,51","0,51","0,60","0,61","0,39","0,53","0,62","0,56","0,51"
VPA,"12,00","11,21","12,79","12,60","12,27","12,14","11,74","11,33","10,84","10,43","10,05","9,18","8,76","8,32","7,70","7,14"
EBIT por ação,"0,83","-1,54","0,11","0,71","0,21","0,40","0,48","0,50","0,48","0,60","0,60","0,38","0,53","-0,61","-0,53","-0,51"
EBIT por ação *,"-0,02","-0,03","-0,08","-0,05","-0,04","-0,06","-0,04","-0,04","-0,08","-0,04","-0,03","-0,03","-0,04","-1,46","-1,05","-1,04"
Ativo por ação,"12,20","11,42","12,93","12,74","12,38","12,26","11,85","11,42","10,93","10,50","10,13","9,25","8,82","39,48","38,09","35,10"
Receita líquida por ação,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,12","0,13","0,11"
Margem bruta,--%,--%,--%,--%,--%,"94,85%","95,00%","95,06%","95,13%","94,98%","95,24%","85,90%","85,65%","19,07%","32,58%","42,73%"
Margem líquida,--%,--%,--%,--%,--%,"35.003,09%","14.600,00%","13.275,31%","14.135,06%","21.248,12%","27.268,25%","14.461,67%","21.494,26%","517,08%","427,48%","467,30%"
Margem EBIT,--%,--%,--%,--%,--%,"34.974,23%","14.448,93%","12.983,02%","13.139,29%","21.085,36%","26.919,05%","14.350,22%","21.444,50%","-508,47%","-404,19%","-464,29%"
