Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010,4T2009
Receita líquida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,00 Mil","71,00 Mil","51,00 Mil","72,00 Mil","76,00 Mil","81,00 Mil","85,00 Mil","80,00 Mil","80,00 Mil","79,00 Mil","75,00 Mil","80,00 Mil","76,00 Mil","77,00 Mil","77,00 Mil","52,00 Mil","53,00 Mil","57,00 Mil","50,00 Mil","46,00 Mil","47,00 Mil","47,00 Mil","47,00 Mil","51,00 Mil","57,00 Mil","72,00 Mil","51,00 Mil","67,00 Mil","73,00 Mil","18,00 Mil","2,44 M","612,00 Mil","3,22 M","3,86 M","2,75 M","2,87 M","3,05 M","2,53 M","1,34 M","2,18 M","2,82 M","2,92 M","10,30 M"
Custos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,00 Mil","-4,00 Mil","-3,00 Mil","-3,00 Mil","-4,00 Mil","-4,00 Mil","-4,00 Mil","-4,00 Mil","-4,00 Mil","-4,00 Mil","-3,00 Mil","-4,00 Mil","-4,00 Mil","-4,00 Mil","-4,00 Mil","-3,00 Mil","-2,00 Mil","-3,00 Mil","-2,00 Mil","-2,00 Mil","-3,00 Mil","-7,00 Mil","-6,00 Mil","-8,00 Mil","-8,00 Mil","-10,00 Mil","-7,00 Mil","-10,00 Mil","-10,00 Mil","-3,00 Mil","-1,85 M","-2,42 M","-1,99 M","-1,94 M","-1,87 M","-1,95 M","-2,26 M","-1,47 M","-1,02 M","-1,48 M","-1,35 M","-1,46 M","-8,69 M"
Lucro bruto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,00 Mil","67,00 Mil","48,00 Mil","69,00 Mil","72,00 Mil","77,00 Mil","81,00 Mil","76,00 Mil","76,00 Mil","75,00 Mil","72,00 Mil","76,00 Mil","72,00 Mil","73,00 Mil","73,00 Mil","49,00 Mil","51,00 Mil","54,00 Mil","48,00 Mil","44,00 Mil","44,00 Mil","40,00 Mil","41,00 Mil","43,00 Mil","49,00 Mil","62,00 Mil","44,00 Mil","57,00 Mil","63,00 Mil","15,00 Mil","591,00 Mil","-1,81 M","1,23 M","1,93 M","878,00 Mil","916,00 Mil","791,00 Mil","1,06 M","323,00 Mil","695,00 Mil","1,47 M","1,46 M","1,62 M"
Despesas operacionais,"18,14 M","23,61 M","30,49 M","-1,93 M","-47,00 M","-24,25 M","-62,82 M","3,24 M","-11,84 M","12,11 M","6,01 M","2,76 M","5,25 M","39,55 M","11,03 M","4,36 M","2,14 M","7,59 M","2,80 M","5,46 M","3,10 M","9,62 M","9,25 M","11,86 M","10,09 M","13,13 M","6,28 M","10,70 M","9,77 M","11,75 M","9,25 M","10,99 M","17,51 M","6,27 M","9,26 M","7,14 M","12,85 M","14,33 M","10,76 M","12,22 M","15,52 M","13,00 M","12,52 M","9,65 M","9,05 M","11,63 M","3,71 M","7,99 M","15,20 M","5,50 M","12,69 M","11,25 M","1,36 M","-13,46 M","-28,45 M","-12,92 M","-11,37 M","-11,67 M","-14,58 M","-11,25 M","-15,88 M","-8,61 M","-26,04 M","3,62 M","-48,21 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-35,98 M",0,0,0,"-16,46 M",0,0,0,"-8,92 M",0,0,0,"-14,45 M"
Despesas administrativas,"-461,00 Mil","-397,00 Mil","-467,00 Mil","-505,00 Mil","-448,00 Mil","-394,00 Mil","-577,00 Mil","-799,00 Mil","-946,00 Mil","-2,42 M","-1,25 M","-2,29 M","-1,27 M","-1,06 M","-1,10 M","-1,08 M","-1,03 M","-970,00 Mil","-874,00 Mil","-784,00 Mil","-1,57 M","-887,00 Mil","-1,16 M","-1,43 M","-958,00 Mil","-935,00 Mil","-1,00 M","-910,00 Mil","-936,00 Mil","-895,00 Mil","-961,00 Mil","-967,00 Mil","-617,00 Mil","-4,33 M","-948,00 Mil","-857,00 Mil","-904,00 Mil","-770,00 Mil","-872,00 Mil","-723,00 Mil","-772,00 Mil","-719,00 Mil","-880,00 Mil","-708,00 Mil","-404,00 Mil","-708,00 Mil","-1,06 M","-632,00 Mil","-566,00 Mil","-675,00 Mil","-973,00 Mil","-733,00 Mil","-39,80 M","-14,57 M","-18,14 M","-17,07 M","-28,72 M","-16,05 M","-15,21 M","-15,96 M","-38,85 M","-13,81 M","-14,98 M","-15,62 M","-78,25 M"
EBIT,"18,14 M","23,61 M","30,49 M","-1,93 M","-47,00 M","-24,25 M","-62,82 M","3,24 M","-11,84 M","12,11 M","6,01 M","2,76 M","5,25 M","39,55 M","11,03 M","4,36 M","2,14 M","7,59 M","2,80 M","5,46 M","3,10 M","9,62 M","9,27 M","11,93 M","10,13 M","13,20 M","6,35 M","10,77 M","9,85 M","11,82 M","9,32 M","11,07 M","17,58 M","6,34 M","9,33 M","7,22 M","12,93 M","14,38 M","10,81 M","12,27 M","15,57 M","13,05 M","12,57 M","9,69 M","9,09 M","11,68 M","3,76 M","8,05 M","15,24 M","5,56 M","12,75 M","11,26 M","1,95 M","-15,27 M","-27,22 M","-10,99 M","-10,49 M","-10,75 M","-13,79 M","-10,19 M","-15,56 M","-7,92 M","-24,57 M","5,08 M","-46,60 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"4,62 M","4,65 M","4,07 M","3,78 M","3,33 M","2,30 M","1,34 M","1,50 M","1,70 M","2,07 M","2,00 M","2,19 M","2,16 M","2,12 M","1,83 M","1,66 M","1,01 M","152,00 Mil","103,00 Mil","93,00 Mil","-139,00 Mil","38,00 Mil","66,00 Mil","63,00 Mil","58,00 Mil","92,00 Mil","104,00 Mil","169,00 Mil","188,00 Mil","228,00 Mil","232,00 Mil","299,00 Mil","-330,00 Mil","161,00 Mil","197,00 Mil","124,00 Mil","71,00 Mil","50,00 Mil","62,00 Mil","158,00 Mil","197,00 Mil","247,00 Mil","211,00 Mil","53,00 Mil","-164,00 Mil","106,00 Mil","184,00 Mil","127,00 Mil","-1,66 M","1,71 M","30,00 Mil","27,00 Mil","25,90 M","31,83 M","35,10 M","32,32 M","26,00 M","30,42 M","29,80 M","22,90 M","22,97 M","23,02 M","23,22 M","28,24 M","111,42 M"
Antes dos impostos,"22,76 M","28,27 M","34,56 M","1,85 M","-43,67 M","-21,95 M","-61,48 M","4,74 M","-10,14 M","14,18 M","8,01 M","4,96 M","7,41 M","41,67 M","12,86 M","6,02 M","3,16 M","7,74 M","2,90 M","5,56 M","2,96 M","9,66 M","9,34 M","11,99 M","10,19 M","13,29 M","6,46 M","10,94 M","10,04 M","12,05 M","9,56 M","11,37 M","17,25 M","6,51 M","9,52 M","7,34 M","13,00 M","14,43 M","10,88 M","12,43 M","15,77 M","13,29 M","12,78 M","9,74 M","8,92 M","11,78 M","3,95 M","8,17 M","13,59 M","7,27 M","12,78 M","11,29 M","27,86 M","16,55 M","7,88 M","21,34 M","15,51 M","19,67 M","16,01 M","12,71 M","7,41 M","15,10 M","-1,35 M","33,32 M","64,83 M"
