Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,64","6,80","8,14","5,44","4,19","-18,07","3,41","2,90","0,74","-0,60","-0,20","2,06","-2,66","-1,37","-11,86","-9,97","-5,26"
P/VP,"1,33","1,69","2,33","2,54","4,65","-12,61","-22,55","-1,75","-0,85","-0,14","-0,23","1,94","35,65","3,29","1,57","2,10","1,62"
P/EBIT,"3,85","4,70","5,09","3,53","5,45","1,64","1,95","1,33","1,38","0,84","-32,12","1,99","1,21","10,12","1,78","3,44","6,82"
P/EBIT *,"3,81","4,51","4,99","3,56","4,85","3,13","2,40","1,61","1,38","0,98","-1,20","2,22","1,56","-106,26","2,15","4,95","9,04"
PSR,"0,86","1,05","1,29","0,92","1,15","0,53","0,35","0,24","0,22","0,09","0,11","0,11","0,12","0,19","0,24","0,44","0,60"
P/Ativos,"0,80","1,01","1,23","1,10","1,31","0,43","0,31","0,20","0,14","0,06","0,07","0,08","0,09","0,12","0,18","0,28","0,28"
LPA,"10,61","9,67","8,91","11,02","14,62","-0,94","2,85","1,98","6,05","-2,58","-9,93","1,16","-0,99","-2,56","-0,48","-0,87","-1,64"
VPA,"45,13","38,84","31,14","23,56","13,18","-1,35","-0,43","-3,28","-5,23","-11,28","-8,69","1,24","0,07","1,06","3,62","4,10","5,33"
EBIT por ação,"15,57","13,98","14,27","16,98","11,25","10,38","4,98","4,32","3,23","1,84","-0,06","1,20","2,18","0,35","3,21","2,51","1,27"
EBIT por ação *,"15,72","14,58","14,55","16,82","12,63","5,43","4,05","3,57","3,23","1,57","-1,67","1,07","1,69","-0,03","2,65","1,75","0,96"
Ativo por ação,"74,68","65,06","58,91","54,52","46,77","39,07","31,20","28,64","32,58","27,44","28,88","30,56","30,53","29,99","32,10","30,39","30,80"
Receita líquida por ação,"69,24","62,70","56,23","64,82","53,21","32,16","27,68","23,91","20,18","17,96","18,81","22,41","22,30","18,01","23,58","19,65","14,30"
Margem bruta,"42,01%","41,53%","43,12%","36,02%","37,27%","37,28%","33,17%","33,49%","33,64%","25,13%","10,66%","21,87%","23,52%","19,93%","24,57%","23,83%","23,38%"
Margem líquida,"15,33%","15,43%","15,85%","17,00%","27,48%","-2,92%","10,30%","8,29%","29,98%","-14,39%","-52,80%","5,18%","-4,44%","-14,22%","-2,04%","-4,41%","-11,48%"
Margem EBIT,"22,49%","22,30%","25,37%","26,20%","21,15%","32,26%","18,00%","18,08%","16,01%","10,25%","-0,33%","5,36%","9,78%","1,92%","13,62%","12,78%","8,87%"
Margem EBIT *,"22,71%","23,25%","25,88%","25,95%","23,73%","16,87%","14,65%","14,95%","16,01%","8,77%","-8,90%","4,80%","7,58%","-0,18%","11,24%","8,88%","6,68%"
Margem EBITDA,"24,19%","24,03%","27,27%","27,68%","22,90%","35,05%","21,15%","21,94%","20,79%","14,77%","4,87%","9,86%","14,47%","7,84%","18,23%","18,16%","15,26%"
Margem EBITDA *,"24,41%","24,97%","27,77%","27,43%","25,48%","19,66%","17,79%","18,81%","20,78%","13,29%","-3,70%","9,30%","12,27%","5,74%","15,85%","14,26%","13,08%"
Margem operacional,"22,92%","22,73%","24,18%","23,59%","32,03%","-1,54%","12,89%","10,26%","10,47%","-17,10%","-33,88%","-1,54%","-6,61%","-21,01%","-3,83%","-4,54%","-18,42%"
ROE,"23,52%","24,90%","28,62%","46,77%","110,96%","69,78%","-661,22%","-60,42%","-115,72%","22,91%","114,20%","94,03%","-1.341,29%","-240,81%","-13,26%","-21,12%","-30,81%"
ROA,"0,14","0,15","0,15","0,20","0,31","-0,02","0,09","0,07","0,19","-0,09","-0,34","0,04","-0,03","-0,09","-0,01","-0,03","-0,05"
ROIC,"27,32%","26,53%","31,81%","37,93%","28,04%","29,06%","16,69%","15,74%","10,27%","7,02%","-0,23%","4,18%","7,61%","1,28%","11,31%","9,16%","4,39%"
ROIC *,"27,59%","27,65%","32,45%","37,57%","31,46%","15,20%","13,58%","13,02%","10,27%","6,01%","-6,28%","3,74%","5,89%","-0,12%","9,34%","6,37%","3,31%"
Giro do ativo,"0,93","0,96","0,95","1,19","1,14","0,82","0,89","0,83","0,62","0,65","0,65","0,73","0,73","0,60","0,73","0,65","0,46"
EBIT *,95 mi,88 mi,88 mi,102 mi,76 mi,32 mi,24 mi,21 mi,19 mi,9 mi,-11 mi,6 mi,10 mi,-1 mi,16 mi,10 mi,5 mi
EBITDA,101 mi,91 mi,93 mi,108 mi,73 mi,68 mi,35 mi,31 mi,25 mi,16 mi,5 mi,13 mi,19 mi,8 mi,26 mi,21 mi,13 mi
EBITDA *,102 mi,95 mi,94 mi,107 mi,82 mi,38 mi,29 mi,27 mi,25 mi,14 mi,-5 mi,12 mi,16 mi,6 mi,22 mi,17 mi,11 mi
Liquidez corrente,"2,74","2,80","2,39","2,17","1,66","0,45","0,48","0,38","0,45","0,20","0,26","0,52","0,35","0,39","0,50","0,58","0,60"
Liquidez seca,"1,62","1,54","1,55","1,24","0,91","0,25","0,24","0,20","0,33","0,12","0,14","0,27","0,18","0,21","0,31","0,34","0,40"
Liquidez imediata,"0,03","0,02","0,08","0,01","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02"
Dívida bruta,32 mi,17 mi,6 mi,10 mi,14 mi,13 mi,5 mi,8 mi,20 mi,24 mi,45 mi,62 mi,62 mi,72 mi,91 mi,96 mi,88 mi
Dívida líquida,-60 mi,-42 mi,-63 mi,-31 mi,-6 mi,4 mi,4 mi,8 mi,20 mi,24 mi,44 mi,62 mi,62 mi,72 mi,85 mi,90 mi,87 mi
Capital de giro,164 mi,138 mi,108 mi,90 mi,51 mi,-95 mi,-60 mi,-70 mi,-83 mi,-124 mi,-106 mi,-47 mi,-94 mi,-75 mi,-60 mi,-36 mi,-26 mi
Endividamento geral,"65,50%","67,51%","89,14%","131,40%","254,92%","-2.999,65%","-7.338,56%","-973,23%","-723,07%","-343,33%","-432,15%","2.374,21%","41.274,11%","2.720,50%","785,74%","640,40%","478,13%"
