Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"100,19 M","91,84 M","119,04 M","108,56 M","101,01 M","94,57 M","98,39 M","93,90 M","93,89 M","80,56 M","90,72 M","84,92 M","85,23 M","97,56 M","113,11 M","93,01 M","89,94 M","88,28 M","87,96 M","75,97 M","70,90 M","60,37 M","59,97 M","34,49 M","40,46 M","40,52 M","46,52 M","41,06 M","39,97 M","33,97 M","40,39 M","36,27 M","34,55 M","27,62 M","34,79 M","30,85 M","29,27 M","23,49 M","29,91 M","29,52 M","26,11 M","22,93 M","28,31 M","29,02 M","33,94 M","29,20 M","38,48 M","31,81 M","36,55 M","32,35 M","36,30 M","36,85 M","29,92 M","25,34 M","28,15 M","26,98 M","28,90 M","33,96 M","39,52 M","36,33 M","33,34 M","29,56 M","31,76 M","31,19 M","26,81 M"
Custos,"-61,10 M","-51,40 M","-66,97 M","-65,30 M","-60,14 M","-55,05 M","-57,89 M","-55,58 M","-54,11 M","-46,72 M","-50,53 M","-49,10 M","-47,85 M","-60,99 M","-70,00 M","-60,68 M","-60,18 M","-54,24 M","-55,13 M","-50,09 M","-43,23 M","-36,97 M","-34,73 M","-23,58 M","-27,21 M","-26,93 M","-29,69 M","-27,92 M","-27,77 M","-22,98 M","-26,04 M","-23,53 M","-24,01 M","-19,05 M","-21,93 M","-19,47 M","-20,87 M","-16,32 M","-20,62 M","-22,50 M","-22,19 M","-21,39 M","-27,70 M","-24,79 M","-28,13 M","-26,04 M","-29,74 M","-23,24 M","-27,27 M","-24,56 M","-26,17 M","-28,38 M","-24,46 M","-21,11 M","-21,92 M","-21,80 M","-22,74 M","-25,93 M","-28,88 M","-27,72 M","-25,46 M","-23,39 M","-23,89 M","-24,13 M","-19,49 M"
Lucro bruto,"39,08 M","40,44 M","52,08 M","43,26 M","40,87 M","39,52 M","40,50 M","38,33 M","39,77 M","33,84 M","40,20 M","35,81 M","37,38 M","36,57 M","43,11 M","32,33 M","29,76 M","34,03 M","32,83 M","25,88 M","27,67 M","23,40 M","25,24 M","10,91 M","13,24 M","13,60 M","16,82 M","13,14 M","12,20 M","10,98 M","14,35 M","12,74 M","10,54 M","8,58 M","12,86 M","11,38 M","8,40 M","7,18 M","9,29 M","7,02 M","3,92 M","1,54 M","610,00 Mil","4,22 M","5,81 M","3,17 M","8,74 M","8,57 M","9,28 M","7,79 M","10,13 M","8,47 M","5,46 M","4,22 M","6,23 M","5,18 M","6,16 M","8,03 M","10,64 M","8,62 M","7,88 M","6,17 M","7,87 M","7,07 M","7,32 M"
Despesas operacionais,"-13,34 M","-20,10 M","-22,45 M","-20,78 M","-18,78 M","-19,40 M","-18,35 M","-18,32 M","-17,15 M","-15,41 M","-16,24 M","-15,12 M","-13,80 M","-5,94 M","-12,42 M","-11,33 M","-8,94 M","-11,84 M","-9,22 M","-9,85 M","-19,80 M","9,00 M","-5,91 M","-6,10 M","-6,77 M","-6,74 M","-6,72 M","-6,19 M","-5,84 M","-6,29 M","-5,91 M","-5,55 M","-4,62 M","-7,18 M","-5,04 M","-4,47 M","-4,90 M","-3,90 M","-4,51 M","-3,07 M","-4,75 M","4,54 M","-5,04 M","-6,69 M","-5,37 M","-5,43 M","-8,17 M","-4,26 M","-4,61 M","-5,64 M","-3,24 M","-5,29 M","-4,44 M","-6,94 M","-4,12 M","-4,02 M","-4,62 M","-3,01 M","-4,46 M","-3,83 M","-4,38 M","-3,19 M","-2,44 M","-3,72 M","-3,83 M"
Despesas com vendas,"-8,50 M","-9,45 M","-10,49 M","-9,39 M","-8,69 M","-8,69 M","-9,68 M","-8,16 M","-8,37 M","-6,71 M","-7,40 M","-7,40 M","-6,70 M","-6,43 M","-7,05 M","-6,70 M","-5,80 M","-5,76 M","-5,44 M","-6,00 M","-6,41 M","-5,58 M","-5,04 M","-3,53 M","-3,88 M","-4,49 M","-4,91 M","-3,79 M","-3,48 M","-3,89 M","-3,82 M","-3,47 M","-2,83 M","-2,98 M","-3,26 M","-2,86 M","-2,83 M","-2,75 M","-2,67 M","-2,55 M","-2,74 M","-2,62 M","-3,15 M","-3,90 M","-3,40 M","-3,38 M","-4,29 M","-3,29 M","-3,41 M","-3,81 M","-3,55 M","-3,73 M","-2,93 M","-3,43 M","-2,87 M","-3,04 M","-2,91 M","-3,04 M","-3,15 M","-3,26 M","-2,69 M","-2,81 M","-2,67 M","-2,54 M","-2,32 M"
Despesas administrativas,"-10,97 M","-9,99 M","-10,84 M","-13,11 M","-9,20 M","-9,14 M","-9,02 M","-8,66 M","-7,90 M","-8,02 M","-7,86 M","-7,92 M","-6,87 M","-3,37 M","-3,63 M","-3,41 M","-3,21 M","-3,41 M","-3,93 M","-6,06 M","-7,13 M","-11,24 M","-3,61 M","-3,31 M","-3,66 M","-4,33 M","-3,55 M","-3,42 M","-3,16 M","-3,92 M","-2,86 M","-3,20 M","-2,96 M","-3,31 M","-2,12 M","-1,93 M","-2,31 M","-1,51 M","-1,76 M","-1,92 M","-1,93 M","-1,78 M","-2,18 M","-3,08 M","-2,24 M","-2,54 M","-2,27 M","-2,13 M","-1,93 M","-1,93 M","-1,90 M","-1,91 M","-1,82 M","-4,03 M","-1,75 M","-2,00 M","-1,96 M","-1,02 M","-1,91 M","-2,12 M","-1,89 M","-2,41 M","-1,82 M","-1,76 M","-1,51 M"
EBIT,"25,74 M","20,34 M","29,63 M","22,48 M","22,09 M","20,12 M","22,15 M","20,00 M","22,62 M","18,43 M","23,96 M","20,69 M","23,58 M","30,63 M","30,69 M","21,00 M","20,82 M","22,20 M","23,62 M","16,04 M","7,87 M","32,40 M","19,32 M","4,81 M","6,47 M","6,85 M","10,10 M","6,94 M","6,36 M","4,70 M","8,44 M","7,19 M","5,92 M","1,40 M","7,82 M","6,91 M","3,49 M","3,28 M","4,78 M","3,95 M","-838,00 Mil","6,08 M","-4,43 M","-2,46 M","439,00 Mil","-2,26 M","570,00 Mil","4,31 M","4,67 M","2,15 M","6,89 M","3,19 M","1,02 M","-2,72 M","2,11 M","1,17 M","1,54 M","5,02 M","6,18 M","4,79 M","3,50 M","2,98 M","5,43 M","3,35 M","3,49 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-4,02 M","836,00 Mil","749,00 Mil","311,00 Mil","-64,00 Mil","1,27 M","-4,00 Mil","47,00 Mil","328,00 Mil","-169,00 Mil","-378,00 Mil","-1,67 M","-1,87 M","-2,52 M","-1,42 M","-1,86 M","-4,48 M","-878,00 Mil","-1,42 M","-3,69 M","41,17 M","-61,82 M","-2,97 M","-751,00 Mil","-465,00 Mil","-1,68 M","-2,74 M","-2,12 M","-2,05 M","-1,13 M","-4,78 M","-2,96 M","-2,48 M","3,64 M","857,00 Mil","-5,49 M","-5,80 M","-7,11 M","-7,72 M","-7,75 M","-7,25 M","-10,77 M","-15,86 M","-5,65 M","-6,02 M","-4,65 M","3,53 M","-3,34 M","-4,93 M","-3,54 M","-7,09 M","-5,76 M","-5,80 M","-6,16 M","-6,18 M","-7,24 M","-5,50 M","-5,78 M","-6,42 M","-5,85 M","-6,92 M","-6,79 M","-5,47 M","-3,43 M","-4,98 M"
Antes dos impostos,"21,72 M","21,18 M","30,38 M","22,79 M","22,03 M","21,39 M","22,15 M","20,05 M","22,95 M","18,26 M","23,58 M","19,02 M","21,70 M","28,11 M","29,27 M","19,14 M","16,34 M","21,32 M","22,20 M","12,34 M","49,04 M","-29,42 M","16,35 M","4,06 M","6,01 M","5,18 M","7,36 M","4,82 M","4,31 M","3,57 M","3,66 M","4,23 M","3,44 M","5,04 M","8,68 M","1,42 M","-2,31 M","-3,83 M","-2,94 M","-3,79 M","-8,08 M","-4,69 M","-20,30 M","-8,12 M","-5,58 M","-6,91 M","4,10 M","964,00 Mil","-255,00 Mil","-1,39 M","-200,00 Mil","-2,58 M","-4,78 M","-8,87 M","-4,07 M","-6,07 M","-3,96 M","-761,00 Mil","-235,00 Mil","-1,06 M","-3,42 M","-3,81 M","-37,00 Mil","-78,00 Mil","-1,49 M"
Imposto,"-8,36 M","-7,10 M","-10,18 M","-7,65 M","-6,99 M","-6,26 M","-7,27 M","-6,47 M","-7,80 M","-6,49 M","-8,28 M","-6,28 M","-7,38 M","-9,71 M","-9,54 M","-3,53 M","-3,16 M","-6,64 M","-4,71 M","-1,62 M","-1,75 M","3,05 M","-3,93 M","-705,00 Mil","-1,12 M","-1,41 M","-1,49 M","-871,00 Mil","-592,00 Mil","-708,00 Mil","-637,00 Mil","-847,00 Mil","-670,00 Mil","10,34 M","13,09 M","-139,00 Mil","622,00 Mil","936,00 Mil","947,00 Mil","287,00 Mil","785,00 Mil","-23,51 M","-189,00 Mil","208,00 Mil","1,88 M","2,33 M","6,85 M","-344,00 Mil","314,00 Mil","571,00 Mil","20,00 Mil","825,00 Mil","1,52 M","2,98 M","1,35 M","2,01 M","1,09 M","2,12 M","504,00 Mil","-36,00 Mil","-32,00 Mil","253,00 Mil","-35,00 Mil","-34,00 Mil","-35,00 Mil"
Op. continuadas,"13,35 M","14,07 M","20,20 M","15,14 M","15,04 M","15,13 M","14,88 M","13,58 M","15,15 M","11,77 M","15,30 M","12,74 M","14,33 M","18,41 M","19,73 M","15,61 M","13,18 M","14,68 M","17,49 M","10,72 M","47,29 M","-26,37 M","12,42 M","3,35 M","4,89 M","3,77 M","5,87 M","3,95 M","3,71 M","2,86 M","3,02 M","3,38 M","2,77 M","15,37 M","21,77 M","1,28 M","-1,68 M","-2,89 M","-2,00 M","-3,51 M","-7,30 M","-28,20 M","-20,48 M","-7,91 M","-3,70 M","-4,58 M","10,95 M","620,00 Mil","59,00 Mil","-818,00 Mil","-180,00 Mil","-1,75 M","-3,26 M","-5,89 M","-2,72 M","-4,06 M","-2,88 M","1,36 M","269,00 Mil","-1,09 M","-3,45 M","-3,56 M","-72,00 Mil","-112,00 Mil","-1,52 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"13,35 M","14,07 M","20,20 M","15,14 M","15,04 M","15,13 M","14,88 M","13,58 M","15,15 M","11,77 M","15,30 M","12,74 M","14,33 M","18,41 M","19,73 M","15,61 M","13,18 M","14,68 M","17,49 M","10,72 M","47,29 M","-26,37 M","12,42 M","3,35 M","4,89 M","3,77 M","5,87 M","3,95 M","3,71 M","2,86 M","3,02 M","3,38 M","2,77 M","15,37 M","21,77 M","1,28 M","-1,68 M","-2,89 M","-2,00 M","-3,51 M","-7,30 M","-28,20 M","-20,48 M","-7,91 M","-3,70 M","-4,58 M","10,95 M","620,00 Mil","59,00 Mil","-818,00 Mil","-180,00 Mil","-1,75 M","-3,26 M","-5,89 M","-2,72 M","-4,06 M","-2,88 M","1,36 M","269,00 Mil","-1,09 M","-3,45 M","-3,56 M","-72,00 Mil","-112,00 Mil","-1,52 M"
Dos controladores,"13,35 M",0,0,0,"15,04 M",0,0,0,"15,15 M",0,0,0,"14,33 M",0,0,0,"13,18 M",0,0,"10,72 M","47,29 M","-26,37 M","12,42 M","3,35 M","4,89 M","3,77 M","5,87 M","3,95 M","3,71 M","2,86 M","3,02 M","3,38 M","2,77 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
