Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"2,12 B","1,95 B","2,25 B","2,12 B","2,24 B","2,12 B","2,31 B","2,38 B","2,33 B","2,16 B","2,08 B","2,10 B","2,05 B","1,87 B","2,13 B","2,04 B","2,01 B","1,93 B","1,90 B","2,02 M","2,03 B","1,92 B","2,04 B","1,97 B","1,87 B","1,77 B","1,74 B","1,70 B","1,74 B","1,65 B","1,58 B","1,44 B","1,41 B","1,39 B","1,29 B","1,33 B","1,44 B","1,35 B","1,32 B","1,25 B","1,28 B","1,20 B","1,16 B","1,12 B","1,18 B","1,10 B","1,10 B","1,09 B","1,15 B","1,07 B","1,07 B","1,04 B","1,08 B","1,04 B","978,84 M","965,55 M","1,07 B","993,28 M","948,71 M","974,65 M","960,80 M","912,96 M","1,22 B"
Ativo circulante,"662,20 M","437,66 M","756,07 M","503,74 M","618,94 M","490,08 M","715,37 M","807,27 M","651,24 M","517,17 M","454,73 M","418,71 M","336,38 M","325,30 M","636,22 M","519,33 M","592,58 M","582,49 M","581,75 M","733,88 Mil","1,11 B","990,13 M","1,11 B","1,03 B","924,08 M","818,48 M","771,28 M","710,90 M","755,89 M","702,25 M","575,54 M","673,09 M","641,82 M","626,23 M","661,59 M","666,18 M","658,96 M","582,29 M","558,34 M","515,62 M","550,50 M","479,85 M","451,08 M","419,43 M","472,45 M","399,99 M","397,40 M","384,67 M","449,36 M","378,78 M","363,72 M","332,38 M","376,25 M","340,29 M","278,23 M","263,30 M","360,54 M","284,73 M","238,14 M","261,93 M","241,65 M","194,02 M","628,41 M"
Caixa e eq. de caixa,"17,54 M","19,95 M","16,68 M","31,53 M","21,62 M","16,53 M","10,04 M","12,10 M","12,85 M","14,39 M","10,62 M","13,46 M","11,01 M","15,84 M","13,29 M","19,59 M","14,21 M","16,42 M","18,71 M","20,48 Mil","22,00 M","34,85 M","24,96 M","33,46 M","31,25 M","27,07 M","27,54 M","25,93 M","21,98 M","21,14 M","21,79 M","21,87 M","17,82 M","17,67 M","16,96 M","17,52 M","15,56 M","22,04 M","19,39 M","16,68 M","15,12 M","16,36 M","16,07 M","14,88 M","10,64 M","12,61 M","19,29 M","11,28 M","6,44 M","10,27 M","10,07 M","4,94 M","5,30 M","4,42 M","4,31 M","5,49 M","6,39 M","8,05 M","6,86 M","6,35 M","8,35 M","11,18 M","3,95 M"
Aplicações financeiras,"507,39 M","273,08 M","612,67 M","342,37 M","476,27 M","357,79 M","601,55 M","687,22 M","525,42 M","357,63 M","337,83 M","299,43 M","237,35 M","215,10 M","343,78 M","235,36 M","322,20 M","315,14 M","316,00 M","462,71 Mil","826,51 M","702,00 M","832,57 M","748,51 M","625,60 M","517,21 M","473,56 M","433,78 M","493,14 M","460,39 M","329,17 M","452,91 M","427,31 M","418,78 M","483,76 M","482,63 M","493,43 M","406,34 M","384,04 M","348,21 M","393,40 M","317,99 M","296,00 M","272,01 M","333,82 M","253,09 M","249,44 M","251,01 M","315,98 M","246,86 M","235,47 M","207,58 M","249,54 M","213,51 M","196,28 M","181,63 M","239,24 M","199,80 M","169,25 M","195,91 M","167,05 M","121,52 M","534,76 M"
Contas a receber,"88,35 M","91,10 M","79,99 M","79,29 M","77,58 M","85,06 M","76,69 M","86,66 M","88,12 M","119,59 M","77,79 M","75,68 M","71,00 M","75,69 M","207,39 M","200,11 M","198,01 M","191,07 M","190,60 M","185,11 Mil","183,28 M","171,33 M","167,50 M","163,43 M","179,64 M","177,50 M","184,36 M","188,91 M","180,85 M","166,84 M","168,64 M","147,20 M","147,41 M","142,32 M","132,66 M","127,17 M","123,40 M","127,06 M","128,03 M","126,30 M","118,74 M","121,11 M","112,61 M","105,62 M","102,05 M","108,09 M","98,93 M","94,67 M","102,85 M","96,95 M","104,40 M","105,65 M","108,62 M","109,80 M","26,70 M","26,47 M","47,55 M","24,54 M","18,90 M","21,28 M","23,55 M","25,34 M","53,88 M"
Estoques,"26,00 Mil","26,00 Mil","20,00 Mil","6,00 Mil","6,00 Mil","56,00 Mil","4,00 Mil","25,00 Mil","1,00 Mil","1,42 M","5,27 M","5,22 M","4,89 M","4,77 M","4,79 M","3,46 M","3,33 M","4,42 M","4,84 M","4,37 Mil","3,39 M","3,88 M","4,86 M","5,24 M","3,23 M","3,44 M","3,09 M","3,35 M","2,71 M","3,11 M","2,95 M","3,63 M","4,04 M","2,99 M","2,52 M","2,62 M","2,30 M","2,02 M","1,32 M","1,48 M","1,01 M","323,00 Mil","897,00 Mil","1,75 M","804,00 Mil","932,00 Mil","1,00 M","874,00 Mil","771,00 Mil","954,00 Mil","506,00 Mil","716,00 Mil","995,00 Mil","987,00 Mil","987,00 Mil","569,00 Mil","598,00 Mil","784,00 Mil","652,00 Mil","514,00 Mil","210,00 Mil","355,00 Mil","742,00 Mil"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,46 B","1,51 B","1,49 B","1,61 B","1,62 B","1,63 B","1,59 B","1,57 B","1,68 B","1,65 B","1,62 B","1,69 B","1,71 B","1,55 B","1,49 B","1,52 B","1,42 B","1,35 B","1,32 B","1,29 M","927,13 M","930,91 M","921,26 M","936,74 M","943,75 M","950,26 M","969,72 M","984,60 M","980,83 M","945,33 M","1,01 B","768,20 M","770,23 M","763,34 M","632,31 M","667,72 M","779,41 M","769,10 M","761,67 M","735,42 M","728,11 M","715,80 M","704,99 M","701,92 M","704,08 M","702,68 M","703,40 M","702,28 M","696,82 M","695,10 M","702,45 M","702,77 M","702,19 M","695,63 M","700,62 M","702,25 M","707,65 M","708,55 M","710,57 M","712,71 M","719,15 M","718,94 M","586,66 M"
Investimentos,"5,78 M","4,42 M","6,21 M","6,20 M","6,36 M","6,12 M","6,70 M","5,39 M","5,71 M","6,35 M","6,58 M","6,80 M","7,45 M","16,20 M","17,53 M","17,18 M","15,94 M","14,49 M","13,21 M","12,34 Mil","14,94 M","12,99 M","11,22 M","11,43 M","10,97 M","9,45 M","11,36 M","10,72 M","9,71 M","8,05 M","9,85 M","8,89 M","10,15 M","8,57 M","7,53 M","7,51 M","6,75 M","6,29 M","6,11 M","5,44 M","6,89 M","6,08 M","5,76 M","6,50 M","6,64 M","6,17 M","5,15 M","4,78 M","3,50 M","3,75 M","3,00 M","2,94 M","2,44 M","1,03 M","1,21 M","678,00 Mil","353,00 Mil","438,00 Mil","580,00 Mil","758,00 Mil","758,00 Mil","758,00 Mil","18,00 Mil"
Imobilizado,"42,69 M","44,39 M","46,06 M","47,12 M","50,35 M","52,15 M","54,05 M","54,18 M","51,69 M","55,06 M","58,12 M","56,51 M","58,66 M","44,74 M","63,54 M","66,22 M","67,04 M","70,23 M","56,15 M","59,88 Mil","61,66 M","64,00 M","62,54 M","65,02 M","65,52 M","68,19 M","68,62 M","59,20 M","23,22 M","24,31 M","23,42 M","17,45 M","18,36 M","19,21 M","19,81 M","20,82 M","20,19 M","20,49 M","20,88 M","20,17 M","20,42 M","19,48 M","17,61 M","17,62 M","18,37 M","17,03 M","17,34 M","16,37 M","12,07 M","9,92 M","9,62 M","9,94 M","9,98 M","9,59 M","9,23 M","8,92 M","12,67 M","10,89 M","9,37 M","11,19 M","11,22 M","11,15 M","8,17 M"
Intangível,"952,97 M","947,47 M","933,43 M","924,69 M","922,04 M","920,03 M","904,44 M","888,06 M","882,18 M","879,65 M","868,62 M","860,71 M","850,37 M","822,63 M","820,19 M","810,36 M","800,28 M","786,30 M","801,10 M","773,39 Mil","766,75 M","765,81 M","762,41 M","761,19 M","758,44 M","758,73 M","756,60 M","754,42 M","789,70 M","752,37 M","754,12 M","553,37 M","550,07 M","545,87 M","544,10 M","542,50 M","539,98 M","538,03 M","536,63 M","535,30 M","532,76 M","531,19 M","531,55 M","530,05 M","528,28 M","527,72 M","528,44 M","527,40 M","524,64 M","523,90 M","531,61 M","530,75 M","529,29 M","522,62 M","522,26 M","521,68 M","515,29 M","516,52 M","516,17 M","513,29 M","512,68 M","512,20 M","510,70 M"
Passivo total,"2,12 B","1,95 B","2,25 B","2,12 B","2,24 B","2,12 B","2,31 B","2,38 B","2,33 B","2,16 B","2,08 B","2,10 B","2,05 B","1,87 B","2,13 B","2,04 B","2,01 B","1,93 B","1,90 B","2,02 M","2,03 B","1,92 B","2,04 B","1,97 B","1,87 B","1,77 B","1,74 B","1,70 B","1,74 B","1,65 B","1,58 B","1,44 B","1,41 B","1,39 B","1,29 B","1,33 B","1,44 B","1,35 B","1,32 B","1,25 B","1,28 B","1,20 B","1,16 B","1,12 B","1,18 B","1,10 B","1,10 B","1,09 B","1,15 B","1,07 B","1,07 B","1,04 B","1,08 B","1,04 B","978,84 M","965,55 M","1,07 B","993,28 M","948,71 M","974,65 M","960,80 M","912,96 M","1,22 B"
