Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017
P/L,"8,25","4,58","15,81","8,20","10,25","-40,39",-,-,-
P/VP,"0,89","0,81","1,05","0,70","2,30","3,11",-,-,-
P/EBIT,"5,12","4,01","5,04","4,18","12,69","-59,89",-,-,-
P/EBIT *,"4,74","4,13","5,15","4,16","11,74","-73,70",-,-,-
PSR,"0,35","0,34","0,38","0,27","1,00","2,23",-,-,-
P/Ativos,"0,28","0,27","0,31","0,20","0,71","0,89",-,-,-
LPA,"1,42","2,32","0,73","0,89","2,16","-0,57",-,-,-
VPA,"13,27","13,06","11,02","10,44","9,64","7,42",-,-,-
EBIT por ação,"2,29","2,65","2,30","1,74","1,74","-0,39",-,-,-
EBIT por ação *,"2,48","2,58","2,25","1,75","1,89","-0,31",-,-,-
Ativo por ação,"41,28","38,78","37,35","36,72","30,98","25,90",-,-,-
Receita líquida por ação,"33,54","31,00","30,30","27,14","22,16","10,35",-,-,-
Margem bruta,"48,28%","49,12%","47,43%","46,97%","46,02%","43,63%","49,45%","49,05%","48,87%"
Margem líquida,"4,24%","7,49%","2,42%","3,27%","9,74%","-5,52%","12,17%","6,54%","12,24%"
Margem EBIT,"6,83%","8,56%","7,60%","6,42%","7,87%","-3,73%","18,41%","7,91%","4,32%"
Margem EBIT *,"7,38%","8,31%","7,43%","6,45%","8,51%","-3,03%","2,95%","7,79%","4,89%"
Margem EBITDA,"12,86%","14,52%","10,20%","12,33%","10,53%","6,66%","26,91%",--%,--%
Margem EBITDA *,"13,40%","14,27%","10,03%","12,37%","11,17%","7,36%","11,44%",--%,--%
Margem operacional,"3,76%","7,66%","2,72%","3,49%","4,11%","-9,22%","16,00%","3,88%","-6,02%"
ROE,"10,72%","17,79%","6,64%","8,49%","22,38%","-7,71%","26,50%","77,69%","602,41%"
ROA,"0,03","0,06","0,02","0,02","0,07","-0,02","0,08","0,08","0,15"
ROIC,"7,11%","9,00%","8,06%","6,19%","7,08%","-1,85%","14,80%","17,80%","9,00%"
ROIC *,"7,68%","8,74%","7,89%","6,22%","7,65%","-1,50%","2,37%","17,53%","10,18%"
Giro do ativo,"0,81","0,80","0,81","0,74","0,72","0,40","0,65","1,27","1,21"
EBIT *,570 mi,594 mi,519 mi,404 mi,434 mi,-73 mi,75 mi,177 mi,96 mi
EBITDA,994 mi,1.038 mi,712 mi,772 mi,538 mi,159 mi,684 mi,--,--
EBITDA *,1.037 mi,1.020 mi,701 mi,774 mi,570 mi,175 mi,291 mi,--,--
Liquidez corrente,"1,36","1,51","1,65","1,54","1,67","1,77","1,43","0,88","0,85"
Liquidez seca,"0,81","1,00","1,05","0,95","1,19","1,29","1,04","0,52","0,48"
Liquidez imediata,"0,18","0,31","0,31","0,14","0,25","0,28","0,10","0,26","0,02"
Dívida bruta,2.937 mi,2.917 mi,3.191 mi,2.491 mi,2.118 mi,1.705 mi,1.184 mi,358 mi,372 mi
Dívida líquida,2.257 mi,1.920 mi,2.315 mi,2.073 mi,1.569 mi,1.191 mi,1.079 mi,115 mi,222 mi
Capital de giro,1.331 mi,1.652 mi,1.847 mi,1.578 mi,1.456 mi,1.428 mi,466 mi,-113 mi,-133 mi
Endividamento geral,"211,22%","196,98%","238,94%","251,48%","221,24%","248,96%","236,60%","839,24%","3.962,59%"
