Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018
Receita líquida,"1,79 B","2,43 B","1,94 B","1,82 B","1,55 B","2,17 B","1,77 B","1,71 B","1,50 B","2,13 B","1,79 B","1,59 B","1,47 B","1,98 B","1,47 B","1,46 B","1,34 B","1,68 B","1,49 B","1,12 B","812,84 M","1,07 B","569,04 M","239,37 M","505,62 M","851,71 M","621,00 M","545,53 M","527,18 M","729,71 M","565,29 M","519,19 M","460,86 M"
Custos,"-879,22 M","-1,27 B","-1,02 B","-925,79 M","-782,02 M","-1,13 B","-886,39 M","-861,12 M","-764,97 M","-1,15 B","-957,71 M","-835,54 M","-735,38 M","-1,04 B","-765,31 M","-792,59 M","-722,90 M","-873,64 M","-821,24 M","-599,85 M","-464,13 M","-609,86 M","-321,12 M","-155,86 M","-259,23 M","-441,36 M","-314,02 M","-268,42 M","-263,02 M","-375,32 M","-291,97 M","-256,82 M","-235,01 M"
Lucro bruto,"906,21 M","1,15 B","917,70 M","891,91 M","772,34 M","1,05 B","883,90 M","852,82 M","730,25 M","984,77 M","835,56 M","757,60 M","736,74 M","944,13 M","704,67 M","670,42 M","621,72 M","809,83 M","670,08 M","523,00 M","348,71 M","464,17 M","247,92 M","83,51 M","246,38 M","410,35 M","306,99 M","277,11 M","264,16 M","354,39 M","273,32 M","262,37 M","225,85 M"
Despesas operacionais,"-769,00 M","-987,84 M","-778,74 M","-787,37 M","-652,58 M","-863,22 M","-710,55 M","-726,48 M","-600,78 M","-778,44 M","-666,97 M","-708,63 M","-629,80 M","-759,20 M","-651,32 M","-599,91 M","-528,67 M","-632,87 M","-499,25 M","-429,03 M","-388,08 M","-415,34 M","-274,20 M","-188,68 M","-252,72 M","-153,65 M","-246,07 M","-154,48 M","-235,72 M","-281,65 M","-210,98 M","-231,93 M","-211,43 M"
Despesas com vendas,"-649,76 M","-735,41 M","-613,17 M","-596,88 M","-523,40 M","-641,87 M","-558,40 M","-545,41 M","-484,82 M","-608,29 M","-564,02 M","-599,21 M","-506,31 M","-610,26 M","-532,90 M","-476,57 M","-408,65 M","-465,69 M","-426,59 M","-393,45 M","-243,12 M","-292,23 M","-211,85 M","-152,46 M","-206,32 M","-245,69 M","-212,82 M","-198,38 M","-189,60 M","-226,86 M","-188,28 M","-186,66 M","-167,24 M"
Despesas administrativas,"-128,06 M","-200,55 M","-169,96 M","-188,32 M","-136,46 M","-212,25 M","-162,64 M","-185,09 M","-128,37 M","-158,31 M","-113,96 M","-116,98 M","-128,35 M","-167,32 M","-113,91 M","-119,54 M","-107,76 M","-145,92 M","-73,53 M","-27,77 M","-140,67 M","-122,94 M","-46,95 M","-30,98 M","-50,55 M","-209,41 M","-40,84 M","-40,71 M","-46,12 M","-58,83 M","-21,05 M","-45,58 M","-44,19 M"
EBIT,"137,21 M","165,30 M","138,96 M","104,54 M","119,76 M","182,94 M","173,35 M","126,33 M","129,47 M","206,34 M","168,59 M","48,97 M","106,93 M","184,93 M","53,35 M","70,50 M","93,05 M","176,96 M","170,83 M","93,97 M","-39,38 M","48,83 M","-26,28 M","-105,17 M","-6,34 M","256,70 M","60,92 M","122,64 M","28,44 M","72,74 M","62,34 M","30,44 M","14,43 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-80,61 M","-51,54 M","-72,71 M","-62,51 M","-50,62 M","-62,59 M","-47,44 M","123,29 M","-77,28 M","-80,70 M","-88,68 M","-83,19 M","-88,42 M","-11,53 M","-72,70 M","-53,34 M","-46,05 M","-56,06 M","-26,90 M","-73,13 M","-36,01 M","-58,42 M","-31,16 M","-48,62 M","7,00 M","-22,55 M","-13,90 M","7,07 M","-32,00 M","-23,88 M","-21,57 M","-22,21 M","-24,07 M"
Antes dos impostos,"56,60 M","113,77 M","66,25 M","42,03 M","69,14 M","120,34 M","125,92 M","249,62 M","52,19 M","125,64 M","79,91 M","-34,22 M","18,51 M","173,40 M","-19,35 M","17,16 M","47,00 M","120,90 M","143,93 M","20,84 M","-75,39 M","-9,59 M","-57,44 M","-153,79 M","654,00 Mil","234,15 M","47,02 M","129,71 M","-3,56 M","48,86 M","40,77 M","8,23 M","-9,65 M"
