Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"11,77","13,18","6,94","15,42","10,19","12,73","25,86","6,90","8,62","7,88","6,08","24,38","10,50","5,70","18,79","9,65","4,71","4,63"
P/VP,"2,35","2,63","1,80","1,82","1,16","1,18","1,10","1,07","1,25","1,13","1,16","0,95","0,71","0,85","3,07","1,12","0,79","0,83"
P/EBIT,"7,82","8,85","4,28","8,56","6,84","7,17","5,60","4,07","4,72","5,01","5,22","4,30","4,96","3,49","12,62","5,01","2,88","3,29"
P/EBIT *,"7,99","9,09","4,22","8,65","6,89","7,17","5,76","4,06","4,75","5,01","5,24","4,51","4,95","3,50","12,54","4,83","2,88","3,22"
PSR,"2,59","2,93","1,84","2,13","1,44","1,51","1,41","1,29","1,52","1,36","1,27","1,12","0,85","0,97","3,34","1,19","0,83","0,81"
P/Ativos,"0,88","1,07","0,82","0,88","0,56","0,55","0,50","0,50","0,56","0,50","0,49","0,39","0,31","0,39","1,35","0,47","0,33","0,34"
LPA,"2,48","2,40","2,72","1,00","0,00","0,65","0,28","0,96","0,80","0,71","0,84","0,15","0,26","0,55","0,54","0,35","0,46","0,43"
VPA,"12,40","12,03","10,48","8,47","0,00","7,07","6,47","6,14","5,55","4,97","4,37","3,89","3,77","3,67","3,32","2,99","2,75","2,39"
EBIT por ação,"3,73","3,57","4,40","1,80","0,00","1,16","1,27","1,62","1,47","1,12","0,97","0,86","0,54","0,89","0,81","0,67","0,76","0,60"
EBIT por ação *,"3,65","3,48","4,47","1,78","1,31","1,16","1,24","1,62","1,46","1,12","0,97","0,82","0,54","0,89","0,81","0,69","0,76","0,61"
Ativo por ação,"33,12","29,57","22,97","17,44","0,00","15,08","14,31","13,18","12,36","11,22","10,43","9,56","8,61","8,02","7,57","7,15","6,63","5,74"
Receita líquida por ação,"11,24","10,81","10,26","7,26","0,00","5,53","5,05","5,10","4,56","4,14","4,00","3,32","3,18","3,21","3,05","2,82","2,62","2,43"
Margem bruta,"36,58%","37,02%","54,07%","37,23%","34,93%","34,33%","37,18%","43,63%","43,51%","39,90%","36,07%","29,46%","31,91%","39,76%","39,88%","39,34%","43,73%","40,70%"
Margem líquida,"22,03%","22,21%","26,50%","13,78%","14,15%","11,83%","5,47%","18,73%","17,63%","17,25%","20,90%","4,58%","8,05%","17,00%","17,78%","12,31%","17,66%","17,57%"
Margem EBIT,"33,15%","33,08%","42,91%","24,82%","21,06%","21,02%","25,24%","31,76%","32,18%","27,12%","24,33%","25,99%","17,04%","27,74%","26,46%","23,68%","28,95%","24,71%"
Margem EBIT *,"32,44%","32,23%","43,59%","24,58%","20,91%","21,02%","24,56%","31,84%","31,96%","27,12%","24,26%","24,74%","17,09%","27,69%","26,64%","24,59%","28,93%","25,23%"
Margem EBITDA,"39,02%","38,88%","50,32%","35,73%","32,17%","32,58%","36,69%","41,66%","40,84%","36,03%","32,46%","35,16%","26,00%","35,44%","33,34%","31,41%","34,93%","31,27%"
Margem EBITDA *,"38,30%","38,03%","50,99%","35,49%","32,02%","32,58%","36,00%","41,74%","40,62%","36,03%","32,39%","33,91%","26,05%","35,39%","33,52%","32,32%","34,91%","31,78%"
Margem operacional,"29,80%","30,72%","37,74%","18,59%","19,37%","16,26%","7,45%","26,01%","24,32%","23,98%","29,29%","5,02%","11,37%","23,47%","23,65%","17,31%","24,84%","24,60%"
ROE,"19,92%","19,96%","25,94%","11,80%","11,42%","9,25%","4,27%","15,56%","14,50%","14,39%","19,11%","3,91%","6,79%","14,88%","16,32%","11,60%","16,84%","17,87%"
ROA,"0,07","0,08","0,12","0,06","0,05","0,04","0,02","0,07","0,07","0,06","0,08","0,02","0,03","0,07","0,07","0,05","0,07","0,07"
ROIC,"13,59%","14,09%","20,73%","10,99%","8,73%","8,23%","9,69%","13,03%","12,92%","10,73%","9,93%","9,57%","6,75%","11,97%","11,63%","10,32%","12,59%","11,00%"
ROIC *,"13,30%","13,73%","21,06%","10,88%","8,66%","8,23%","9,43%","13,06%","12,83%","10,73%","9,90%","9,11%","6,77%","11,95%","11,71%","10,72%","12,59%","11,23%"
