Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"45,89 M","75,29 M","60,68 M","102,55 M","61,31 M","172,33 M","66,94 M","158,73 M","110,89 M","785,60 M","88,28 M","314,64 M","211,49 M","173,52 M","79,23 M","67,35 M","65,04 M","91,24 M","60,46 M","60,70 M","75,66 M","68,80 M","145,67 M","61,39 M","66,13 M","124,19 M","61,59 M","129,56 M","57,04 M","62,03 M","56,80 M","69,91 M","180,48 M","306,22 M","67,89 M","109,39 M","68,92 M","76,74 M","222,02 M","73,34 M","78,14 M","76,97 M","75,86 M","185,21 M","139,17 M","106,18 M","65,12 M","66,13 M","67,89 M","367,46 M","73,17 M","68,54 M","134,90 M","84,39 M","67,44 M","345,81 M","59,70 M","191,31 M","54,08 M","52,07 M","46,73 M","46,00 M","40,47 M","101,25 M","43,52 M"
Custos,"-19,57 M","-37,67 M","-35,20 M","-58,47 M","-22,11 M","-121,78 M","-30,05 M","-98,89 M","-74,80 M","-397,15 M","-30,93 M","-166,22 M","-113,79 M","-100,28 M","-20,51 M","-15,49 M","-15,36 M","-21,17 M","-12,54 M","-12,13 M","-11,87 M","-15,27 M","-28,40 M","-11,77 M","-11,85 M","-54,99 M","-10,94 M","-18,62 M","-10,46 M","-14,19 M","-10,10 M","-23,82 M","-103,78 M","-132,60 M","-11,23 M","-26,16 M","-10,55 M","-10,83 M","-53,84 M","-11,08 M","-15,88 M","-11,42 M","-11,02 M","-30,99 M","-34,23 M","-17,69 M","-6,07 M","-6,19 M","-6,18 M","-128,19 M","-6,32 M","-6,68 M","-51,66 M","-11,69 M","-6,78 M","-126,34 M","-6,74 M","-109,43 M","-6,23 M","-6,23 M","-6,22 M","-5,79 M","-5,28 M","-19,25 M","-7,87 M"
Lucro bruto,"26,32 M","37,62 M","25,48 M","44,09 M","39,21 M","50,54 M","36,89 M","59,84 M","36,10 M","388,44 M","57,34 M","148,42 M","97,70 M","73,24 M","58,72 M","51,86 M","49,68 M","70,07 M","47,92 M","48,57 M","63,79 M","53,53 M","117,28 M","49,62 M","54,27 M","69,19 M","50,66 M","110,94 M","46,58 M","47,84 M","46,70 M","46,09 M","76,70 M","173,61 M","56,66 M","83,23 M","58,38 M","65,91 M","168,18 M","62,26 M","62,26 M","65,56 M","64,85 M","154,22 M","104,94 M","88,49 M","59,05 M","59,94 M","61,71 M","239,27 M","66,85 M","61,86 M","83,25 M","72,71 M","60,66 M","219,47 M","52,96 M","81,88 M","47,85 M","45,84 M","40,51 M","40,21 M","35,19 M","82,00 M","35,65 M"
Despesas operacionais,"-28,55 M","-19,58 M","-17,92 M","-14,70 M","-15,68 M","-39,31 M","-17,48 M","-17,61 M","-18,49 M","-67,51 M","-20,53 M","-24,99 M","-26,89 M","-17,67 M","-23,20 M","-21,54 M","-21,14 M","-25,82 M","-17,79 M","-18,05 M","-16,97 M","-10,75 M","-15,74 M","-15,42 M","-13,12 M","-20,57 M","-15,20 M","-18,45 M","-11,87 M","-19,47 M","-14,09 M","-15,16 M","-17,37 M","-25,05 M","-14,56 M","-17,33 M","-16,04 M","-13,09 M","-15,49 M","-15,73 M","-15,70 M","-11,61 M","-12,26 M","-15,22 M","-10,33 M","-10,13 M","-11,71 M","-9,97 M","-9,18 M","-12,33 M","-10,15 M","-10,32 M","-11,33 M","-14,48 M","-9,62 M","-10,57 M","-8,70 M","-14,79 M","-8,50 M","-8,23 M","-7,67 M","-13,41 M","-4,88 M","-5,78 M","-3,98 M"
Despesas com vendas,"-8,42 M","-9,03 M","-7,10 M","-9,02 M","-6,81 M","-7,19 M","-7,65 M","-8,47 M","-9,40 M","-25,03 M","-9,69 M","-13,97 M","-15,42 M","-9,64 M","-8,75 M","-9,64 M","-10,22 M","-6,81 M","-8,71 M","-7,78 M","-6,91 M","-4,07 M","-6,81 M","-5,90 M","-6,33 M","-4,92 M","-5,58 M","-8,99 M","-5,29 M","-4,60 M","-4,98 M","-5,64 M","-8,79 M","-10,11 M","-6,20 M","-6,75 M","-7,18 M","-5,54 M","-6,09 M","-6,72 M","-6,66 M","-7,97 M","-5,21 M","-5,80 M","-4,45 M","-3,01 M","-4,17 M","-2,90 M","-1,75 M","-2,56 M","-1,59 M","-1,20 M","-4,22 M","-1,59 M","-888,00 Mil","-1,49 M","-683,00 Mil","-4,45 M","-1,11 M","-3,05 M",0,"-1,57 M","-979,00 Mil","-2,02 M",0
Despesas administrativas,"-22,42 M","-19,05 M","-11,56 M","-9,79 M","-8,97 M","-9,13 M","-11,02 M","-8,18 M","-9,18 M","-29,87 M","-11,23 M","-11,50 M","-11,48 M","-10,27 M","-12,83 M","-11,93 M","-11,07 M","-19,19 M","-11,22 M","-10,37 M","-10,08 M","-7,73 M","-9,67 M","-9,61 M","-8,62 M","-16,77 M","-10,06 M","-9,37 M","-9,14 M","-14,45 M","-8,67 M","-8,93 M","-8,17 M","-16,15 M","-9,22 M","-9,83 M","-9,79 M","-10,71 M","-9,02 M","-8,96 M","-8,78 M","-6,08 M","-8,65 M","-8,98 M","-8,83 M","-9,41 M","-8,40 M","-8,06 M","-7,77 M","-10,28 M","-8,64 M","-6,30 M","-7,22 M","-19,90 M","-6,38 M","-6,65 M","-5,91 M","-16,73 M","-5,02 M","-3,43 M","-6,04 M","-8,70 M","-3,04 M","-2,94 M","-3,16 M"
EBIT,"-2,23 M","18,04 M","7,56 M","29,39 M","23,53 M","11,24 M","19,41 M","42,23 M","17,61 M","320,93 M","36,81 M","123,43 M","70,81 M","55,57 M","35,52 M","30,32 M","28,54 M","44,25 M","30,13 M","30,53 M","46,82 M","42,78 M","101,54 M","34,20 M","41,16 M","48,63 M","35,46 M","92,49 M","34,71 M","28,38 M","32,61 M","30,93 M","59,33 M","148,56 M","42,10 M","65,90 M","42,34 M","52,82 M","152,69 M","46,53 M","46,56 M","53,95 M","52,58 M","139,00 M","94,60 M","78,36 M","47,35 M","49,97 M","52,53 M","226,94 M","56,70 M","51,53 M","71,92 M","58,23 M","51,04 M","208,89 M","44,26 M","67,10 M","39,34 M","37,62 M","32,84 M","26,80 M","30,30 M","76,22 M","31,67 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-36,99 M","-28,70 M","-26,03 M","-27,73 M","-24,82 M","-26,20 M","-26,75 M","-24,30 M","-24,80 M","-45,93 M","-41,49 M","-56,24 M","-77,02 M","-56,89 M","-51,66 M","-54,88 M","-44,32 M","-40,20 M","-22,00 M","-18,03 M","-18,00 M","-21,16 M","-21,46 M","-19,84 M","-24,49 M","-28,43 M","-25,00 M","-26,80 M","-24,74 M","-25,95 M","-26,02 M","-29,03 M","-30,99 M","-32,35 M","-34,59 M","-34,73 M","-37,23 M","-40,61 M","-40,79 M","-41,74 M","-42,14 M","-42,87 M","-41,58 M","-38,74 M","-23,39 M","-22,21 M","-18,39 M","-13,67 M","-14,88 M","-19,12 M","-21,11 M","-20,97 M","-21,31 M","-16,36 M","-22,74 M","-24,67 M","-18,11 M","-12,49 M","-13,98 M","-14,50 M","-16,10 M","-22,00 M","-10,67 M","-12,50 M","-9,28 M"
Antes dos impostos,"-39,22 M","-10,66 M","-18,47 M","1,67 M","-1,29 M","-14,96 M","-7,33 M","17,93 M","-7,19 M","275,00 M","-4,67 M","67,19 M","-6,22 M","-1,32 M","-16,14 M","-24,56 M","-15,79 M","4,05 M","8,13 M","12,49 M","28,82 M","21,62 M","80,08 M","14,36 M","16,67 M","20,20 M","10,46 M","65,69 M","9,97 M","2,43 M","6,59 M","1,90 M","28,34 M","116,22 M","7,50 M","31,17 M","5,11 M","12,22 M","111,90 M","4,78 M","4,42 M","11,07 M","11,01 M","100,26 M","71,21 M","56,15 M","28,96 M","36,30 M","37,65 M","207,82 M","35,59 M","30,57 M","50,61 M","41,87 M","28,30 M","184,23 M","26,14 M","54,61 M","25,36 M","23,12 M","16,73 M","4,79 M","19,63 M","63,72 M","22,39 M"
