Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,4T2011,4T2010,4T2009
Ativo total,"3,57 B","3,30 B","3,36 B","3,38 B","3,41 B","3,46 B","3,42 B","3,51 B","3,37 B","3,49 B","3,43 B","3,48 B","3,37 B","3,39 B","3,48 B","3,29 B","3,33 B","3,09 B","3,17 B","3,26 B","3,15 B","3,09 B","2,93 B","3,03 B","2,48 B","2,56 B","2,50 B","2,60 B","2,74 B","2,43 B","2,52 B","2,52 B","2,52 B","2,51 B","2,10 B","2,07 B","2,06 B","2,02 B","2,02 B","1,97 B","1,93 B","1,85 B","1,84 B","1,54 B","1,50 B","1,25 B","978,06 M","932,47 M","874,40 M","803,37 M","488,20 M","373,59 M","454,83 M","379,29 M","286,91 M","211,03 M","183,77 M"
Ativo circulante,"1,24 B","915,48 M","948,59 M","952,94 M","949,51 M","986,13 M","859,35 M","930,83 M","752,98 M","874,53 M","730,97 M","792,36 M","725,65 M","752,64 M","774,26 M","625,53 M","615,08 M","717,20 M","800,56 M","910,94 M","989,33 M","1,08 B","1,08 B","1,13 B","562,59 M","644,54 M","816,27 M","936,94 M","1,17 B","1,14 B","1,25 B","1,25 B","1,26 B","1,27 B","862,11 M","710,40 M","712,51 M","702,20 M","720,33 M","678,08 M","567,05 M","497,46 M","702,27 M","413,34 M","369,88 M","359,36 M","445,49 M","470,72 M","436,70 M","406,41 M","119,36 M","140,50 M","106,19 M","74,06 M","56,55 M","27,61 M","41,03 M"
Caixa e eq. de caixa,"527,62 M","261,93 M","280,61 M","250,98 M","316,94 M","370,73 M","269,50 M","315,85 M","140,79 M","215,27 M","139,32 M","149,33 M","133,25 M","180,76 M","226,05 M","88,34 M","107,27 M","213,70 M","390,37 M","457,51 M","551,99 M","679,93 M","704,01 M","699,54 M","170,93 M","215,17 M","276,85 M","313,82 M","516,99 M","314,73 M","358,18 M","281,99 M","300,23 M","279,29 M","166,39 M","68,72 M","51,12 M","62,04 M","100,74 M","65,77 M","56,97 M","70,00 M","82,82 M","34,13 M","45,71 M","73,25 M","70,27 M","195,82 M","221,60 M","217,26 M","19,89 M","61,48 M","19,83 M","17,18 M","3,39 M","2,40 M","17,48 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,"83,94 M","77,58 M","44,67 M","60,56 M","95,46 M","60,25 M","43,57 M","46,30 M","73,34 M","77,36 M","17,00 M","15,02 M","36,99 M","1,18 M","654,00 Mil","624,00 Mil","11,36 M","91,29 M","228,76 M","242,99 M","359,46 M","606,17 M","618,14 M","532,98 M","556,51 M","632,43 M","259,44 M","272,60 M","285,67 M","337,55 M","271,14 M","183,04 M","168,66 M","213,13 M","256,90 M",0,0,"63,42 M","207,32 M","88,62 M","86,38 M","84,31 M",0,0,0,0,"9,18 M",0,0
Contas a receber,"564,08 M","564,16 M","568,92 M","592,12 M","538,95 M","545,05 M","507,74 M","531,98 M","461,22 M","520,05 M","487,52 M","517,02 M","438,06 M","438,74 M","440,38 M","434,99 M","377,12 M","383,03 M","350,01 M","399,08 M","360,52 M","363,72 M","338,42 M","378,56 M","320,41 M","286,97 M","274,86 M","331,74 M","258,64 M","185,56 M","237,59 M","395,22 M","370,06 M","317,36 M","394,27 M","316,30 M","340,27 M","272,77 M","321,65 M","395,80 M","317,49 M","192,25 M","347,65 M","362,64 M","304,53 M","201,32 M","155,65 M","172,22 M","115,80 M","90,64 M","83,99 M","67,54 M","77,50 M","47,45 M","28,67 M","18,39 M","7,25 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,33 B","2,38 B","2,41 B","2,42 B","2,46 B","2,47 B","2,57 B","2,58 B","2,61 B","2,61 B","2,70 B","2,69 B","2,64 B","2,64 B","2,70 B","2,67 B","2,72 B","2,38 B","2,37 B","2,35 B","2,16 B","2,01 B","1,85 B","1,89 B","1,92 B","1,91 B","1,69 B","1,66 B","1,57 B","1,29 B","1,28 B","1,27 B","1,25 B","1,24 B","1,24 B","1,36 B","1,34 B","1,32 B","1,30 B","1,29 B","1,36 B","1,35 B","1,14 B","1,13 B","1,13 B","889,81 M","532,58 M","461,75 M","437,70 M","396,95 M","368,85 M","233,10 M","348,64 M","305,24 M","230,37 M","183,43 M","142,75 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,55 M","1,31 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"970,05 M","1,00 B","1,02 B","1,05 B","1,09 B","1,09 B","1,13 B","1,16 B","1,18 B","1,19 B","1,17 B","1,19 B","1,15 B","1,08 B","1,02 B","1,01 B","988,76 M","1,01 B","1,04 B","1,06 B","1,03 B","1,02 B","1,04 B","1,09 B","1,13 B","1,13 B","1,05 B","1,03 B","970,79 M","689,89 M","688,46 M","681,18 M","676,42 M","666,84 M","661,82 M","652,91 M","641,34 M","624,52 M","615,68 M","615,60 M","615,26 M","612,50 M","607,29 M","603,62 M","596,48 M","525,79 M","410,52 M","374,33 M","351,96 M","315,52 M","289,19 M","166,23 M","278,00 M","267,05 M","195,14 M","152,28 M","111,00 M"
