Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,57","-0,68","3,41","-10,36","-4,94","-2,17","-1,90","53,98","15,45","15,35","19,25","-0,20","-2,28","-9,67","1,74",-,-
P/VP,"0,29","0,35","1,10","1,03","2,35","1,23","0,49","1,37","2,12","1,43","1,50","0,06","0,09","0,16","0,31",-,-
P/EBIT,"-1,35","-1,64","2,18","3,35","-5,65","-2,96","-2,83","14,07","10,06","7,66","13,27","-0,23","-5,46","-11,76","1,02",-,-
P/EBIT *,"-8,46","-1,75","2,02","2,83","-9,13","-3,64","-8,22","16,62","10,82","6,96","13,59","-0,34","-4,60","-8,41","1,16",-,-
PSR,"0,17","0,28","0,28","0,35","10,12","5,90","0,34","0,76","1,05","0,52","0,73","0,03","0,06","0,08","0,17",-,-
P/Ativos,"0,09","0,12","0,39","0,22","0,59","0,45","0,22","0,66","0,98","0,76","0,48","0,03","0,04","0,09","0,16",-,-
LPA,"-7,75","-10,30","8,51","-1,64","-9,51","-16,10","-10,50","1,24","6,58","3,94","3,11","-10,41","-1,98","-0,85","8,91",-,-
VPA,"15,28","19,84","26,26","16,54","20,02","28,54","41,16","48,83","47,99","42,35","39,96","36,93","48,23","50,97","49,72",-,-
EBIT por ação,"-3,30","-4,28","13,30","5,07","-8,33","-11,81","-7,06","4,77","10,10","7,90","4,51","-9,12","-0,82","-0,70","15,16",-,-
EBIT por ação *,"-0,53","-4,00","14,36","6,00","-5,15","-9,61","-2,43","4,04","9,40","8,71","4,40","-6,07","-0,98","-0,98","13,43",-,-
Ativo por ação,"50,09","60,89","74,65","76,13","80,30","78,51","92,46","101,15","103,46","79,86","124,07","71,26","100,70","91,93","99,97",-,-
Receita líquida por ação,"26,81","24,57","103,95","48,73","4,65","5,93","58,40","88,76","96,85","117,55","81,73","82,02","81,78","102,98","90,46",-,-
Margem bruta,"27,29%","12,73%","20,43%","25,51%","28,99%","-37,76%","14,37%","16,20%","20,63%","16,92%","19,78%","7,34%","16,21%","13,65%","30,65%","29,16%","24,40%"
Margem líquida,"-30,07%","-41,19%","8,30%","-2,57%","-206,13%","-273,64%","-18,23%","1,78%","6,93%","3,28%","3,79%","-12,72%","-2,67%","-0,57%","10,01%","7,07%","1,37%"
Margem EBIT,"-12,29%","-17,40%","12,80%","10,41%","-179,23%","-199,18%","-12,09%","5,38%","10,43%","6,72%","5,52%","-11,12%","-1,01%","-0,68%","16,76%","15,84%","7,15%"
Margem EBIT *,"-1,96%","-16,26%","13,82%","12,32%","-110,81%","-162,09%","-4,16%","4,55%","9,70%","7,41%","5,39%","-7,41%","-1,20%","-0,95%","14,85%","14,40%","6,56%"
Margem EBITDA,"-8,53%","-14,04%","13,50%","12,25%","-155,80%","-155,39%","-7,71%","6,26%","11,49%","8,15%","7,56%","-8,33%","1,43%","0,74%","17,68%","16,71%",--%
Margem EBITDA *,"1,80%","-12,91%","14,52%","14,16%","-87,38%","-118,31%","0,22%","5,43%","10,76%","8,84%","7,43%","-4,62%","1,24%","0,47%","15,76%","15,27%",--%
Margem operacional,"-28,55%","-36,22%","9,05%","-1,21%","-213,54%","-237,25%","-21,75%","4,65%","10,70%","5,87%","4,61%","-13,55%","-2,63%","-2,27%","17,53%","11,99%","0,15%"
ROE,"-52,19%","-49,68%","32,28%","-7,37%","-47,78%","-57,60%","-25,95%","3,18%","13,85%","9,05%","7,68%","-27,43%","-4,42%","-1,12%","18,07%","30,20%","4,93%"
ROA,"-0,16","-0,17","0,12","-0,02","-0,12","-0,21","-0,12","0,02","0,06","0,05","0,03","-0,15","-0,02","-0,01","0,09","0,08","0,01"
ROIC,"-10,85%","-12,95%","42,95%","12,69%","-20,41%","-26,09%","-12,82%","7,82%","16,08%","15,56%","6,20%","-18,47%","-1,30%","-1,19%","29,02%","25,19%","8,20%"
ROIC *,"-1,73%","-12,10%","46,38%","15,02%","-12,62%","-21,23%","-4,42%","6,62%","14,95%","17,14%","6,06%","-12,30%","-1,55%","-1,66%","25,71%","22,90%","7,52%"
Giro do ativo,"0,54","0,40","1,39","0,64","0,06","0,08","0,63","0,88","0,94","1,47","0,66","1,15","0,81","1,12","0,90","1,09","0,92"
EBIT *,-4 mi,-27 mi,96 mi,40 mi,-35 mi,-65 mi,-17 mi,27 mi,63 mi,58 mi,29 mi,-41 mi,-7 mi,-7 mi,90 mi,81 mi,28 mi
EBITDA,-16 mi,-24 mi,94 mi,40 mi,-49 mi,-63 mi,-31 mi,37 mi,75 mi,64 mi,41 mi,-47 mi,7 mi,5 mi,107 mi,95 mi,--
EBITDA *,3 mi,-22 mi,101 mi,46 mi,-28 mi,-48 mi,0 mi,32 mi,70 mi,70 mi,40 mi,-26 mi,6 mi,3 mi,96 mi,86 mi,--
