Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"33,16 M","70,40 M","33,02 M","54,40 M","22,95 M","37,52 M","38,37 M","55,13 M","34,65 M","339,67 M","59,72 M","57,45 M","243,94 M","46,84 M","53,37 M","50,15 M","178,13 M","21,47 M","5,59 M","1,57 M","2,69 M","2,12 M","2,73 M","2,65 M","32,49 M","86,06 M","54,61 M","132,41 M","120,60 M","223,71 M","108,63 M","71,70 M","194,35 M","211,20 M","133,27 M","170,91 M","137,52 M","134,44 M","100,49 M","223,53 M","333,99 M","229,41 M","86,03 M","103,66 M","131,88 M","98,06 M","125,56 M","221,28 M","108,04 M","222,47 M","126,99 M","142,80 M","59,07 M","259,50 M","137,67 M","190,73 M","106,33 M","231,93 M","111,51 M","184,31 M","82,07 M","178,99 M","94,11 M","134,55 M","161,54 M"
Custos,"-24,90 M","-50,79 M","-20,47 M","-41,23 M","-18,95 M","-17,46 M","-34,23 M","-57,43 M","-35,45 M","-294,78 M","-31,01 M","-25,17 M","-206,66 M","-36,68 M","-31,49 M","-27,82 M","-148,70 M","-9,52 M","-5,67 M","-4,07 M","-2,97 M","-7,89 M","-11,86 M","-8,92 M","-26,42 M","-60,35 M","-39,26 M","-136,44 M","-101,07 M","-205,03 M","-76,49 M","-60,61 M","-159,32 M","-174,74 M","-98,70 M","-135,94 M","-108,79 M","-103,89 M","-76,11 M","-187,79 M","-290,58 M","-194,11 M","-56,74 M","-76,48 M","-114,68 M","-89,70 M","-106,38 M","-199,37 M","-116,88 M","-202,20 M","-109,25 M","-99,16 M","-51,34 M","-286,15 M","-94,91 M","-141,55 M","-76,84 M","-160,15 M","-71,66 M","-132,67 M","-58,43 M","-113,80 M","-75,17 M","-93,61 M","-120,64 M"
Lucro bruto,"8,27 M","19,61 M","12,55 M","13,16 M","4,00 M","20,06 M","4,13 M","-2,30 M","-803,00 Mil","44,89 M","28,70 M","32,28 M","37,27 M","10,16 M","21,88 M","22,33 M","29,43 M","11,95 M","-89,00 Mil","-2,50 M","-277,00 Mil","-5,77 M","-9,13 M","-6,28 M","6,08 M","25,71 M","15,35 M","-4,02 M","19,54 M","18,68 M","32,14 M","11,09 M","35,03 M","36,46 M","34,56 M","34,97 M","28,73 M","30,56 M","24,38 M","35,75 M","43,40 M","35,31 M","29,29 M","27,17 M","17,20 M","8,36 M","19,18 M","21,91 M","-8,84 M","20,27 M","17,75 M","43,64 M","7,73 M","-26,65 M","42,76 M","49,18 M","29,49 M","71,78 M","39,85 M","51,64 M","23,64 M","65,19 M","18,94 M","40,93 M","40,90 M"
Despesas operacionais,"-7,78 M","-17,11 M","-33,77 M","-11,76 M","-8,90 M","-36,75 M","-6,36 M","-6,40 M","-400,00 Mil","-17,20 M","-13,33 M","-11,45 M","-11,49 M","-9,00 M","-14,51 M","-14,46 M","-11,64 M","-21,99 M","-22,66 M","-10,79 M","-9,77 M","-34,30 M","884,00 Mil","-14,63 M","-16,51 M","-23,85 M","-22,81 M","-18,60 M","-38,93 M","-18,78 M","-14,37 M","-11,17 M","-20,43 M","-15,46 M","-13,62 M","-18,33 M","-19,19 M","-21,32 M","-15,87 M","-22,22 M","-21,38 M","-21,95 M","-20,85 M","-18,23 M","-17,54 M","-41,75 M","-18,42 M","-21,63 M","-20,29 M","-23,59 M","-23,26 M","-25,17 M","-22,92 M","-26,79 M","-22,68 M","-26,54 M","-23,49 M","-22,71 M","-20,14 M","-23,79 M","-18,06 M","-22,16 M","-18,07 M","-20,82 M","-14,77 M"
Despesas com vendas,"-597,00 Mil","-1,02 M","-525,00 Mil","-605,00 Mil","-264,00 Mil","-776,00 Mil","-434,00 Mil","-563,00 Mil","-241,00 Mil","9,00 Mil","-329,00 Mil","-144,00 Mil","-486,00 Mil","-206,00 Mil","-8,00 Mil","-349,00 Mil","-222,00 Mil","-555,00 Mil","-137,00 Mil","-200,00 Mil","-280,00 Mil","-188,00 Mil","-168,00 Mil","-67,00 Mil","-533,00 Mil","-387,00 Mil","-252,00 Mil","-267,00 Mil","-387,00 Mil","-306,00 Mil","37,00 Mil","-520,00 Mil","-418,00 Mil","-491,00 Mil","-361,00 Mil","-221,00 Mil","-397,00 Mil","56,00 Mil","-565,00 Mil","-711,00 Mil","-808,00 Mil","-784,00 Mil","-730,00 Mil","-689,00 Mil","-1,02 M","-732,00 Mil","-825,00 Mil","-679,00 Mil","-1,52 M","-1,35 M","-1,02 M","-804,00 Mil","-918,00 Mil","-1,89 M","-1,01 M","-2,61 M","-1,27 M","-2,16 M","-1,26 M","-651,00 Mil","-1,89 M","-659,00 Mil","-1,23 M","-713,00 Mil","-765,00 Mil"
Despesas administrativas,"-11,12 M","-12,72 M","-13,97 M","-14,25 M","-9,51 M","-16,86 M","-10,52 M","-8,90 M","-9,73 M","-15,27 M","-11,53 M","-7,42 M","-11,15 M","-10,98 M","-9,57 M","-11,03 M","-10,96 M","-8,68 M","-15,85 M","-7,74 M","-10,33 M","-10,41 M","-11,37 M","-11,35 M","-15,64 M","-24,61 M","-16,55 M","-17,61 M","-12,90 M","-19,26 M","-14,30 M","-15,34 M","-19,61 M","-16,87 M","-15,78 M","-18,27 M","-18,99 M","-19,39 M","-15,17 M","-19,41 M","-19,39 M","-22,06 M","-19,42 M","-17,38 M","-17,19 M","-21,37 M","-18,16 M","-18,77 M","-19,50 M","-23,61 M","-22,11 M","-23,65 M","-22,50 M","-26,24 M","-22,88 M","-23,41 M","-22,07 M","-24,59 M","-22,14 M","-23,77 M","-19,92 M","-23,45 M","-19,07 M","-19,80 M","-18,32 M"
EBIT,"493,00 Mil","2,50 M","-21,22 M","1,40 M","-4,89 M","-16,69 M","-2,23 M","-8,70 M","-1,20 M","27,69 M","15,37 M","20,84 M","25,79 M","1,15 M","7,37 M","7,88 M","17,79 M","-10,04 M","-22,75 M","-13,29 M","-10,04 M","-40,07 M","-8,24 M","-20,90 M","-10,43 M","1,86 M","-7,46 M","-22,62 M","-19,40 M","-101,00 Mil","17,76 M","-88,00 Mil","14,60 M","21,00 M","20,94 M","16,64 M","9,54 M","9,24 M","8,50 M","13,53 M","22,02 M","13,35 M","8,44 M","8,95 M","-337,00 Mil","-33,38 M","758,00 Mil","277,00 Mil","-29,12 M","-3,32 M","-5,51 M","18,47 M","-15,19 M","-53,43 M","20,08 M","22,64 M","6,00 M","49,06 M","19,72 M","27,86 M","5,57 M","43,03 M","867,00 Mil","20,12 M","26,13 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-6,12 M","-17,41 M","-2,94 M","-4,21 M","-4,83 M","-7,10 M","-8,63 M","-15,97 M","513,00 Mil","-1,69 M","-9,26 M","-5,49 M","-9,81 M","-15,07 M","-13,51 M","1,34 M","-10,91 M","-10,41 M","3,71 M","-2,00 M","-2,05 M","-1,81 M","-4,92 M","-4,92 M","-3,57 M","-5,51 M","-6,19 M","-596,00 Mil","-25,69 M","-9,15 M","-615,00 Mil","6,64 M","-1,24 M","206,00 Mil","1,87 M","-1,87 M","1,50 M","727,00 Mil","334,00 Mil","-6,28 M","-1,57 M","-949,00 Mil","4,83 M","-2,40 M","-6,48 M","-1,34 M","-5,27 M","-2,15 M","-4,68 M","-295,00 Mil","-4,06 M","-1,89 M","-2,73 M","-3,20 M","-4,23 M","-1,72 M","-1,92 M","1,33 M","3,57 M","2,99 M","-3,19 M","-6,36 M","-7,25 M","-3,40 M","-4,92 M"
Antes dos impostos,"-5,63 M","-14,91 M","-24,16 M","-2,81 M","-9,73 M","-23,80 M","-10,85 M","-24,67 M","-690,00 Mil","26,01 M","6,11 M","15,35 M","15,97 M","-13,92 M","-6,14 M","9,22 M","6,88 M","-20,45 M","-19,04 M","-15,29 M","-12,09 M","-41,88 M","-13,17 M","-25,82 M","-14,00 M","-3,65 M","-13,65 M","-23,22 M","-45,09 M","-9,25 M","17,15 M","6,55 M","13,36 M","21,21 M","22,81 M","14,77 M","11,04 M","9,96 M","8,84 M","7,25 M","20,45 M","12,40 M","13,26 M","6,55 M","-6,82 M","-34,73 M","-4,51 M","-1,87 M","-33,80 M","-3,62 M","-9,57 M","16,58 M","-17,91 M","-56,63 M","15,85 M","20,92 M","4,08 M","50,40 M","23,29 M","30,84 M","2,39 M","36,67 M","-6,38 M","16,72 M","21,21 M"
