Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"2,99 B","3,09 B","2,92 B","2,81 B","2,80 B","2,60 B","2,51 B","2,59 B","2,42 B","2,38 B","2,40 B","2,29 B","2,38 B","2,37 B","2,31 B","2,25 B","2,17 B","2,18 B","2,13 B","1,89 B","1,92 B","1,78 B","1,68 B","1,57 B","1,59 B","1,40 B","1,46 B","1,41 B","1,33 B","1,29 B","1,33 B","1,19 B","1,12 B","1,08 B","1,05 B","1,01 B","931,77 M","936,44 M","970,01 M","974,97 M","978,18 M","1,00 B","1,07 B","980,45 M","1,00 B","1,01 B","992,56 M","932,79 M","959,03 M","957,34 M","982,19 M","916,19 M","864,33 M","860,02 M","832,37 M","883,96 M","817,53 M","830,51 M","795,91 M","780,45 M","700,37 M","700,65 M","645,06 M"
Ativo circulante,"1,92 B","2,00 B","1,91 B","1,80 B","1,80 B","1,62 B","1,69 B","1,78 B","1,60 B","1,55 B","1,58 B","1,47 B","1,55 B","1,56 B","1,50 B","1,47 B","1,40 B","1,43 B","1,43 B","1,24 B","1,29 B","1,17 B","1,07 B","1,00 B","1,02 B","857,91 M","927,41 M","896,04 M","832,07 M","832,64 M","896,23 M","785,82 M","730,76 M","708,18 M","690,86 M","662,58 M","581,50 M","579,42 M","610,02 M","609,56 M","601,50 M","620,87 M","687,06 M","580,08 M","593,32 M","602,27 M","586,64 M","525,86 M","548,62 M","545,53 M","568,64 M","500,96 M","448,44 M","451,38 M","440,25 M","492,57 M","426,26 M","443,50 M","416,91 M","417,51 M","343,82 M","355,92 M","313,71 M"
Caixa e eq. de caixa,"24,10 M","26,05 M","26,66 M","24,56 M","23,76 M","26,84 M","24,28 M","20,55 M","34,58 M","63,98 M","36,22 M","49,56 M","59,23 M","71,95 M","44,12 M","83,77 M","90,44 M","74,29 M","138,99 M","96,85 M","100,49 M","166,76 M","93,67 M","72,97 M","44,32 M","35,86 M","39,18 M","37,18 M","45,40 M","36,02 M","53,83 M","53,13 M","57,88 M","74,92 M","82,55 M","50,45 M","56,65 M","47,71 M","47,72 M","52,42 M","63,02 M","28,76 M","79,85 M","17,58 M","36,88 M","31,48 M","25,07 M","31,26 M","20,47 M","9,37 M","10,48 M","2,02 M","10,45 M","11,24 M","11,64 M","5,68 M","9,42 M","6,26 M","6,17 M","8,11 M","11,08 M","14,28 M","4,68 M"
Aplicações financeiras,"947,32 M","1,12 B","991,88 M","885,67 M","853,78 M","781,50 M","832,87 M","944,39 M","760,21 M","774,20 M","702,40 M","602,22 M","621,94 M","581,31 M","436,87 M","402,72 M","332,71 M","373,83 M","365,26 M","280,16 M","370,86 M","276,44 M","381,11 M","417,29 M","404,27 M","280,77 M","325,28 M","286,19 M","235,77 M","263,10 M","293,69 M","224,73 M","214,08 M","212,78 M","190,31 M","231,23 M","194,79 M","199,38 M","218,54 M","218,94 M","197,41 M","223,05 M","214,82 M","180,34 M","185,60 M","207,95 M","174,90 M","115,55 M","137,16 M","138,15 M","140,99 M","89,04 M","75,11 M","89,27 M","88,52 M","144,05 M","72,58 M","72,67 M","55,38 M","83,14 M","30,27 M","53,48 M","82,79 M"
Contas a receber,"403,10 M","319,23 M","423,55 M","434,04 M","431,78 M","384,46 M","441,28 M","442,94 M","445,81 M","354,25 M","453,88 M","423,78 M","447,68 M","448,22 M","531,93 M","448,07 M","396,98 M","415,92 M","395,14 M","377,30 M","366,87 M","320,19 M","307,59 M","216,08 M","275,35 M","254,51 M","285,24 M","284,67 M","255,16 M","256,91 M","276,40 M","256,92 M","232,43 M","202,93 M","199,16 M","196,43 M","163,98 M","154,66 M","163,39 M","162,61 M","159,85 M","181,81 M","207,53 M","195,09 M","203,61 M","203,65 M","208,94 M","198,01 M","217,60 M","238,17 M","235,62 M","253,22 M","226,31 M","210,31 M","186,29 M","183,82 M","185,13 M","199,06 M","186,21 M","179,47 M","170,82 M","159,65 M","128,14 M"
Estoques,"375,09 M","379,83 M","390,27 M","396,02 M","424,27 M","384,43 M","348,28 M","335,37 M","325,41 M","326,41 M","349,91 M","361,39 M","387,47 M","381,02 M","400,03 M","418,47 M","450,64 M","424,38 M","377,73 M","342,01 M","303,10 M","235,33 M","207,04 M","212,23 M","229,85 M","219,47 M","216,78 M","220,75 M","225,98 M","214,84 M","184,99 M","163,09 M","148,65 M","147,50 M","142,37 M","121,48 M","121,06 M","129,69 M","128,89 M","130,39 M","142,66 M","149,81 M","142,87 M","145,74 M","142,37 M","129,97 M","140,02 M","151,70 M","152,06 M","133,69 M","143,35 M","120,03 M","114,56 M","117,59 M","126,27 M","132,96 M","134,77 M","131,33 M","119,60 M","111,26 M","109,81 M","106,72 M","72,76 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,08 B","1,10 B","1,01 B","1,00 B","996,46 M","979,34 M","828,10 M","812,01 M","817,32 M","825,38 M","821,90 M","825,21 M","826,55 M","808,55 M","810,62 M","777,89 M","771,03 M","753,93 M","692,12 M","647,65 M","628,17 M","615,56 M","603,34 M","571,50 M","570,07 M","539,38 M","527,66 M","518,73 M","494,03 M","458,55 M","428,81 M","403,98 M","390,70 M","369,33 M","358,85 M","349,35 M","350,27 M","357,02 M","359,99 M","365,40 M","376,68 M","383,09 M","386,96 M","400,37 M","407,12 M","409,81 M","405,92 M","406,93 M","410,41 M","411,81 M","413,56 M","415,23 M","415,89 M","408,65 M","392,11 M","391,39 M","391,27 M","387,02 M","378,99 M","362,95 M","356,55 M","344,74 M","331,35 M"
Investimentos,"25,68 M","25,68 M","25,68 M","22,76 M","120,52 M","128,21 M","23,14 M","15,40 M","15,30 M","21,20 M","20,97 M","24,05 M","24,04 M","24,03 M","23,85 M","22,47 M","22,47 M","22,47 M","20,35 M","20,35 M","20,35 M","20,35 M","16,09 M","10,65 M","10,65 M","10,65 M","10,06 M","10,06 M","10,06 M","10,06 M","11,58 M","11,58 M","11,58 M","11,58 M","11,58 M","10,60 M","10,60 M","10,60 M","10,03 M","10,03 M","10,03 M","10,04 M","7,27 M","7,27 M","7,27 M","7,27 M","6,93 M","6,93 M","6,93 M","6,93 M","6,46 M","6,71 M","6,71 M","6,71 M","6,01 M","6,01 M","6,01 M","6,01 M","3,14 M","3,14 M","3,14 M","3,14 M","3,14 M"
Imobilizado,"817,63 M","814,40 M","812,94 M","813,11 M","810,20 M","794,79 M","748,55 M","742,51 M","746,13 M","743,72 M","738,50 M","735,38 M","736,16 M","719,91 M","696,93 M","666,92 M","659,69 M","645,13 M","633,13 M","593,55 M","574,97 M","562,48 M","556,88 M","529,25 M","527,61 M","488,99 M","477,76 M","467,18 M","441,58 M","420,58 M","392,30 M","367,58 M","353,95 M","334,92 M","325,42 M","317,86 M","318,84 M","323,44 M","326,60 M","332,41 M","338,12 M","344,42 M","350,89 M","356,71 M","363,11 M","365,58 M","360,60 M","361,72 M","365,41 M","366,39 M","368,53 M","370,65 M","371,80 M","365,02 M","353,72 M","355,94 M","357,32 M","354,52 M","350,96 M","336,81 M","332,32 M","322,44 M","313,84 M"
