Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"448,04 M","392,69 M","513,52 M","538,53 M","494,12 M","455,65 M","526,89 M","507,52 M","455,82 M","451,94 M","496,89 M","485,96 M","490,97 M","546,53 M","599,34 M","505,47 M","441,70 M","451,93 M","458,62 M","425,53 M","369,59 M","345,40 M","292,49 M","179,02 M","234,27 M","252,62 M","285,46 M","285,02 M","237,31 M","250,51 M","257,02 M","231,45 M","207,61 M","186,14 M","182,47 M","174,46 M","143,71 M","137,95 M","146,05 M","151,60 M","144,10 M","149,03 M","175,48 M","162,31 M","161,27 M","192,85 M","190,80 M","179,42 M","170,60 M","224,51 M","201,37 M","215,97 M","170,58 M","184,06 M","163,28 M","151,83 M","147,39 M","177,60 M","182,47 M","182,16 M","160,53 M","163,32 M","170,59 M","150,44 M","111,12 M"
Custos,"-351,78 M","-323,20 M","-390,79 M","-402,19 M","-366,66 M","-342,24 M","-386,78 M","-367,98 M","-346,66 M","-339,46 M","-376,90 M","-361,35 M","-346,73 M","-389,19 M","-421,89 M","-391,90 M","-346,70 M","-333,33 M","-360,55 M","-342,26 M","-290,20 M","-274,69 M","-222,02 M","-134,22 M","-178,85 M","-197,42 M","-224,42 M","-221,75 M","-185,93 M","-191,68 M","-191,57 M","-177,32 M","-160,95 M","-142,64 M","-137,71 M","-131,70 M","-115,78 M","-109,64 M","-114,67 M","-108,91 M","-112,31 M","-110,53 M","-127,93 M","-117,86 M","-112,21 M","-130,80 M","-136,25 M","-127,97 M","-118,78 M","-149,16 M","-134,87 M","-147,74 M","-120,63 M","-130,11 M","-116,77 M","-106,89 M","-106,93 M","-122,05 M","-131,61 M","-131,34 M","-114,52 M","-111,21 M","-117,46 M","-105,57 M","-77,42 M"
Lucro bruto,"96,26 M","69,50 M","122,73 M","136,33 M","127,46 M","113,42 M","140,11 M","139,54 M","109,16 M","112,48 M","119,99 M","124,62 M","144,24 M","157,34 M","177,45 M","113,57 M","95,00 M","118,60 M","98,07 M","83,27 M","79,39 M","70,72 M","70,47 M","44,80 M","55,42 M","55,20 M","61,05 M","63,27 M","51,38 M","58,82 M","65,45 M","54,13 M","46,66 M","43,49 M","44,76 M","42,76 M","27,93 M","28,31 M","31,38 M","42,69 M","31,80 M","38,50 M","47,55 M","44,45 M","49,06 M","62,04 M","54,54 M","51,45 M","51,82 M","75,36 M","66,50 M","68,22 M","49,95 M","53,95 M","46,52 M","44,94 M","40,45 M","55,55 M","50,85 M","50,82 M","46,01 M","52,11 M","53,14 M","44,87 M","33,69 M"
Despesas operacionais,"-60,01 M","-27,24 M","-67,24 M","-62,95 M","-60,32 M","-54,25 M","-56,87 M","-55,73 M","-45,12 M","-49,82 M","-42,04 M","-52,92 M","-52,30 M","-44,19 M","-44,88 M","-43,23 M","-32,10 M","-35,10 M","-33,20 M","-37,28 M","-33,27 M","-4,67 M","-34,63 M","-26,42 M","-32,00 M","-39,86 M","-30,51 M","-34,02 M","-30,13 M","-42,20 M","-36,99 M","-30,26 M","-27,54 M","-29,40 M","-25,04 M","-25,74 M","-20,54 M","-23,79 M","-23,21 M","-25,07 M","-23,58 M","-26,35 M","-23,54 M","-25,76 M","-28,42 M","-36,72 M","-33,75 M","-31,29 M","-30,98 M","-41,35 M","-36,19 M","-31,04 M","-26,93 M","-22,36 M","-24,81 M","-27,49 M","-26,32 M","-32,87 M","-27,68 M","-28,11 M","-25,28 M","-32,81 M","-27,93 M","-22,52 M","-18,37 M"
Despesas com vendas,"-45,56 M","-49,39 M","-53,10 M","-46,96 M","-44,01 M","-46,17 M","-46,84 M","-40,28 M","-36,53 M","-38,72 M","-40,96 M","-42,20 M","-41,27 M","-43,41 M","-45,70 M","-42,57 M","-33,20 M","-26,67 M","-31,07 M","-32,02 M","-29,05 M","-38,10 M","-24,27 M","-18,59 M","-22,31 M","-24,72 M","-24,12 M","-24,27 M","-20,46 M","-24,35 M","-24,00 M","-21,86 M","-19,14 M","-18,55 M","-17,75 M","-17,90 M","-14,65 M","-16,67 M","-15,80 M","-16,74 M","-16,42 M","-18,59 M","-16,86 M","-19,12 M","-20,30 M","-21,75 M","-20,21 M","-21,89 M","-20,91 M","-24,39 M","-23,07 M","-21,09 M","-16,43 M","-19,42 M","-17,50 M","-19,65 M","-19,61 M","-22,31 M","-19,38 M","-19,89 M","-17,37 M","-18,49 M","-18,12 M","-15,98 M","-13,76 M"
Despesas administrativas,"-31,46 M","-32,93 M","-38,20 M","-35,73 M","-32,90 M","-31,73 M","-36,15 M","-37,45 M","-29,81 M","-34,62 M","-35,76 M","-18,09 M","-18,30 M","-24,23 M","-15,97 M","-16,97 M","-13,11 M","-19,89 M","-13,46 M","-12,47 M","-11,12 M","-18,59 M","-10,53 M","-9,97 M","-11,05 M","-17,71 M","-13,36 M","-12,96 M","-10,58 M","-15,95 M","-10,21 M","-9,54 M","-8,47 M","-12,67 M","-8,18 M","-7,79 M","-6,93 M","-9,09 M","-6,82 M","-6,89 M","-6,71 M","-10,67 M","-7,15 M","-7,20 M","-7,58 M","-11,66 M","-9,16 M","-7,64 M","-8,01 M","-11,52 M","-8,66 M","-8,53 M","-6,71 M","-11,10 M","-7,29 M","-7,64 M","-6,76 M","-10,14 M","-7,48 M","-7,50 M","-6,60 M","-9,66 M","-6,13 M","-5,58 M","-4,63 M"
EBIT,"36,24 M","42,26 M","55,49 M","73,38 M","67,14 M","59,17 M","83,24 M","83,82 M","64,05 M","62,66 M","77,95 M","71,70 M","91,94 M","113,16 M","132,58 M","70,34 M","62,90 M","83,50 M","64,87 M","45,98 M","46,13 M","66,05 M","35,84 M","18,38 M","23,43 M","15,33 M","30,53 M","29,25 M","21,24 M","16,62 M","28,46 M","23,88 M","19,12 M","14,09 M","19,71 M","17,02 M","7,39 M","4,51 M","8,18 M","17,61 M","8,22 M","12,15 M","24,01 M","18,68 M","20,64 M","25,33 M","20,79 M","20,16 M","20,84 M","34,01 M","30,31 M","37,18 M","23,03 M","31,59 M","21,71 M","17,45 M","14,13 M","22,68 M","23,17 M","22,71 M","20,73 M","19,30 M","25,20 M","22,35 M","15,33 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"15,60 M","28,86 M","10,87 M","4,11 M","8,23 M","-10,30 M","6,39 M","-657,00 Mil","1,36 M","6,97 M","2,46 M","206,00 Mil","-8,16 M","-8,20 M","-36,14 M","-14,23 M","-20,17 M","-13,85 M","-3,52 M","-5,72 M","-13,84 M","40,15 M","-400,00 Mil","258,00 Mil","-7,16 M","-1,49 M","-5,01 M","-5,08 M","-3,94 M","-5,43 M","-3,17 M","-7,58 M","-1,36 M","-4,35 M","-816,00 Mil","-707,00 Mil","496,00 Mil","-592,00 Mil","-372,00 Mil","-1,09 M","-962,00 Mil","-2,38 M","-3,53 M","-547,00 Mil","-4,53 M","-4,27 M","-6,90 M","-1,82 M","-1,07 M","-9,10 M","-6,20 M","-13,48 M","-3,93 M","-4,82 M","-4,87 M","-9,27 M","-2,89 M","2,91 M","-16,75 M","-1,17 M","-2,80 M","-2,68 M","1,15 M","-4,39 M","-5,30 M"
Antes dos impostos,"51,84 M","71,12 M","66,37 M","77,49 M","75,37 M","48,86 M","89,64 M","83,16 M","65,41 M","69,63 M","80,41 M","71,90 M","83,78 M","104,96 M","96,44 M","56,11 M","42,73 M","69,64 M","61,36 M","40,27 M","32,29 M","106,20 M","35,44 M","18,64 M","16,27 M","13,85 M","25,52 M","24,17 M","17,30 M","11,19 M","25,29 M","16,29 M","17,77 M","9,74 M","18,90 M","16,31 M","7,89 M","3,92 M","7,80 M","16,53 M","7,26 M","9,77 M","20,48 M","18,14 M","16,10 M","21,06 M","13,89 M","18,34 M","19,77 M","24,90 M","24,11 M","23,70 M","19,10 M","26,77 M","16,84 M","8,17 M","11,24 M","25,59 M","6,42 M","21,55 M","17,93 M","16,62 M","26,35 M","17,96 M","10,02 M"
