Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"11,08 B","11,00 B","11,39 B","10,61 B","10,44 B","10,42 B","10,87 B","10,31 B","9,15 B","8,52 B","8,32 B","7,56 B","7,44 B","7,34 B","6,82 B","5,46 B","4,53 B","4,14 B","3,96 B","3,15 B","2,62 B","2,65 B","2,60 B","2,18 B","2,34 B","2,63 B","2,45 B","2,37 B","2,19 B"
Custos,"-8,10 B","-8,18 B","-8,42 B","-7,76 B","-7,73 B","-7,81 B","-8,13 B","-7,69 B","-6,68 B","-6,88 B","-6,10 B","-5,41 B","-5,31 B","-5,20 B","-4,75 B","-3,66 B","-2,95 B","-2,72 B","-2,69 B","-2,17 B","-1,79 B","-1,88 B","-2,06 B","-1,80 B","-2,04 B","-2,07 B","-1,93 B","-1,90 B","-1,73 B"
Lucro bruto,"2,98 B","2,82 B","2,97 B","2,85 B","2,71 B","2,61 B","2,73 B","2,62 B","2,47 B","1,64 B","2,22 B","2,15 B","2,13 B","2,14 B","2,07 B","1,80 B","1,58 B","1,42 B","1,26 B","976,76 M","827,68 M","765,86 M","540,19 M","376,52 M","300,64 M","565,33 M","524,69 M","469,08 M","457,21 M"
Despesas operacionais,"-1,19 B","-89,71 M","-1,18 B","-993,57 M","-956,80 M","-1,11 B","-979,44 M","-869,83 M","-891,62 M","-1,05 B","-854,69 M","-562,18 M","-816,41 M","-875,40 M","-645,01 M","-512,66 M","-441,28 M","-415,25 M","-373,89 M","-253,19 M","-311,03 M","-271,96 M","-242,93 M","-189,35 M","-274,03 M","-227,91 M","-239,66 M","-175,80 M","-204,79 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-1,04 B","-1,05 B","-1,02 B","-964,19 M","-882,86 M","-970,39 M","-890,93 M","-869,46 M","-801,20 M","-1,06 B","-790,92 M","-723,50 M","-711,22 M","-734,53 M","-609,11 M","-502,74 M","-435,52 M","-436,54 M","-359,58 M","-319,21 M","-283,12 M","-268,80 M","-218,18 M","-179,87 M","-218,03 M","-230,46 M","-216,50 M","-207,58 M","-197,62 M"
EBIT,"1,78 B","2,73 B","1,80 B","1,86 B","1,75 B","1,50 B","1,75 B","1,75 B","1,58 B","591,60 M","1,37 B","1,59 B","1,32 B","1,27 B","1,43 B","1,29 B","1,14 B","1,00 B","889,68 M","723,58 M","516,65 M","493,89 M","297,26 M","187,16 M","26,61 M","337,42 M","285,03 M","293,28 M","252,42 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-2,03 B","-2,02 B","-2,11 B","-1,97 B","-1,79 B","-1,60 B","-1,59 B","-1,51 B","-1,48 B","-1,54 B","-1,56 B","-1,48 B","-1,31 B","-1,24 B","-1,25 B","-962,58 M","-672,07 M","-490,10 M","-316,70 M","-180,98 M","-229,81 M","-151,87 M","-155,74 M","102,17 M","-171,02 M","-184,48 M","-197,38 M","-207,50 M","-181,36 M"
Antes dos impostos,"-243,96 M","703,55 M","-315,25 M","-116,14 M","-36,37 M","-102,27 M","167,54 M","238,39 M","101,03 M","-949,68 M","-192,80 M","106,77 M","6,65 M","24,60 M","175,13 M","324,17 M","463,49 M","510,54 M","572,98 M","542,60 M","286,85 M","342,02 M","141,52 M","289,33 M","-144,41 M","152,94 M","87,64 M","85,78 M","71,06 M"
Imposto,"69,82 M","-218,91 M","77,26 M","73,22 M","35,80 M","-182,60 M","-42,56 M","-79,54 M","-10,92 M","231,66 M","82,16 M","-6,89 M","70,28 M","263,62 M","-64,13 M","-111,21 M","-134,96 M","-143,94 M","-173,62 M","-150,76 M","-115,68 M","-82,24 M","-45,56 M","-144,97 M","43,60 M","-32,30 M","-21,57 M","-31,73 M","-26,90 M"
Op. continuadas,"-174,14 M","484,64 M","-237,99 M","-42,92 M","-565,00 Mil","-284,86 M","124,98 M","158,84 M","90,10 M","-718,03 M","-110,64 M","99,89 M","76,93 M","288,22 M","111,00 M","212,96 M","328,52 M","366,59 M","399,36 M","391,83 M","171,17 M","259,79 M","95,95 M","144,37 M","-100,81 M","120,63 M","66,07 M","54,05 M","44,16 M"
Op. descontinuadas,0,0,0,0,0,"4,76 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-246,00 Mil","19,64 M","-16,83 M","-696,00 Mil","-148,00 Mil","12,99 M","15,90 M"
Lucro líquido,"-174,14 M","484,64 M","-237,99 M","-42,92 M","-565,00 Mil","-280,10 M","124,98 M","158,84 M","90,10 M","-718,03 M","-110,64 M","99,89 M","76,93 M","288,22 M","111,00 M","212,96 M","328,52 M","366,59 M","399,36 M","391,83 M","171,17 M","259,79 M","95,71 M","164,01 M","-117,64 M","119,94 M","65,92 M","67,04 M","60,06 M"
Dos controladores,"-179,60 M","432,91 M","-246,19 M","-96,29 M","-50,95 M","-245,24 M","10,84 M","49,30 M","-13,05 M","-377,22 M","-136,51 M","12,33 M","6,19 M","169,93 M","18,50 M","101,98 M","191,68 M","215,00 M","245,76 M","267,25 M","94,24 M","163,61 M","73,17 M","44,56 M","-50,69 M","43,21 M","21,55 M","14,32 M","39,14 M"
Dos não controladores,"5,45 M","49,12 M","8,20 M","53,37 M","62,47 M","-34,85 M","114,14 M","109,55 M","103,16 M","-340,80 M","25,88 M","87,56 M","70,74 M","118,30 M","92,50 M","110,98 M","136,85 M","151,59 M","153,59 M","124,59 M","76,92 M","96,18 M","22,54 M","119,45 M","-66,94 M","76,73 M","44,38 M","52,73 M","20,93 M"
