Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,4T2015
Ativo total,"22,66 B","21,50 B","19,10 B","18,46 B","18,26 B","18,35 B","16,39 B","16,01 B","14,75 B","14,23 B","13,20 B","12,66 B","12,44 B","12,05 B","11,11 B","10,82 B","11,13 B","11,65 B","10,89 B","7,88 B","8,54 B","8,49 B","7,95 B","8,02 B","8,05 B","7,41 B","6,28 B","6,37 B","5,63 B","3,85 B","2,98 B","2,68 B","1,97 B","1,95 B","1,45 B","1,26 B","1,15 B","1,15 B","942,15 M"
Ativo circulante,"6,06 B","4,80 B","4,23 B","3,97 B","4,16 B","4,11 B","3,95 B","3,71 B","3,24 B","3,35 B","3,47 B","3,35 B","3,43 B","3,52 B","3,26 B","3,27 B","3,96 B","4,17 B","3,79 B","1,22 B","1,23 B","1,31 B","1,11 B","1,40 B","1,69 B","1,63 B","998,38 M","1,44 B","738,01 M","894,41 M","903,27 M","763,35 M","663,68 M","934,96 M","496,91 M","391,96 M","334,25 M","366,55 M","177,79 M"
Caixa e eq. de caixa,"2,74 B","1,33 B","1,19 B","1,06 B","1,44 B","1,49 B","1,52 B","1,43 B","961,82 M","1,10 B","1,31 B","1,20 B","1,34 B","1,25 B","1,13 B","1,15 B","1,61 B","1,96 B","1,76 B","792,00 M","863,12 M","1,02 B","798,11 M","1,16 B","1,35 B","1,35 B","737,92 M","1,21 B","522,58 M","666,78 M","677,35 M","586,60 M","491,92 M","807,73 M","323,86 M","229,37 M","170,48 M","232,90 M","69,99 M"
Aplicações financeiras,"1,83 B","2,10 B","1,77 B","1,67 B","1,51 B","1,46 B","1,45 B","1,38 B","1,38 B","1,51 B","1,45 B","1,47 B","1,43 B","1,67 B","1,58 B","1,61 B","1,88 B","1,76 B","1,56 B","44,69 M",0,0,0,0,0,0,0,0,0,"25,41 M","25,03 M",0,0,0,0,0,0,0,0
Contas a receber,"818,36 M","684,86 M","649,41 M","631,24 M","613,99 M","554,05 M","508,95 M","458,79 M","448,63 M","349,01 M","350,07 M","310,24 M","301,50 M","271,73 M","208,73 M","185,46 M","217,72 M","195,78 M","204,50 M","150,38 M","184,45 M","154,22 M","153,69 M","77,72 M","169,83 M","137,04 M","154,25 M","124,67 M","125,64 M","105,55 M","127,81 M","103,55 M","104,13 M","77,67 M","108,80 M","93,56 M","96,50 M","80,91 M","72,16 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"16,60 B","16,70 B","14,86 B","14,49 B","14,10 B","14,24 B","12,44 B","12,30 B","11,51 B","10,88 B","9,72 B","9,31 B","9,01 B","8,53 B","7,84 B","7,55 B","7,16 B","7,48 B","7,11 B","6,66 B","7,31 B","7,18 B","6,84 B","6,62 B","6,36 B","5,78 B","5,28 B","4,93 B","4,89 B","2,95 B","2,08 B","1,92 B","1,31 B","1,01 B","955,66 M","871,31 M","820,49 M","787,68 M","764,36 M"
Investimentos,0,"714,00 Mil","717,00 Mil","714,00 Mil","49,88 M","55,41 M","49,00 M","48,38 M","42,61 M","40,94 M","43,28 M","41,45 M","42,89 M","447,99 M","137,82 M","137,50 M","135,61 M","127,23 M","125,29 M","120,91 M","123,89 M","125,21 M","121,51 M","133,49 M","120,81 M","5,29 M","2,54 M","541,00 Mil",0,0,"122,11 M","110,42 M","156,38 M","139,79 M","138,70 M","137,64 M","129,65 M","103,97 M","93,69 M"
Imobilizado,"12,67 B","12,70 B","11,17 B","10,78 B","10,43 B","10,47 B","9,14 B","8,89 B","8,25 B","7,80 B","7,27 B","6,90 B","6,74 B","6,20 B","5,85 B","5,58 B","5,30 B","5,51 B","5,12 B","4,73 B","5,15 B","5,15 B","4,95 B","4,88 B","4,80 B","4,43 B","3,96 B","3,67 B","3,62 B","1,72 B","1,17 B","1,05 B","804,38 M","713,24 M","665,72 M","610,14 M","571,29 M","563,93 M","560,09 M"
