Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"566,24 M","570,13 M","573,33 M","570,90 M","578,90 M","551,16 M","542,90 M","522,06 M","526,27 M","504,15 M","512,53 M","488,09 M","478,21 M","449,84 M","462,61 M","448,61 M","458,88 M","449,90 M","460,05 M","412,72 M","416,57 M","399,45 M","382,56 M","349,07 M","375,48 M","378,89 M","385,83 M","387,08 M","393,25 M","371,34 M","386,38 M","379,85 M","383,58 M","387,86 M","393,79 M","391,31 M","396,15 M","407,68 M","414,17 M","413,25 M","422,00 M","427,17 M","439,29 M","441,83 M","435,69 M","435,79 M","443,50 M","443,82 M","424,73 M","421,61 M","421,39 M","401,15 M","389,35 M","392,97 M","372,20 M","369,51 M","347,23 M","343,57 M","335,43 M","325,35 M","326,76 M","317,93 M","264,47 M"
Ativo circulante,"320,54 M","327,10 M","330,05 M","330,39 M","342,60 M","329,55 M","326,73 M","309,22 M","304,16 M","286,30 M","303,17 M","283,25 M","277,88 M","251,13 M","272,04 M","258,31 M","276,00 M","265,40 M","273,67 M","237,21 M","239,31 M","221,50 M","204,37 M","166,69 M","188,77 M","188,35 M","191,75 M","181,99 M","191,47 M","200,70 M","214,61 M","205,54 M","207,63 M","208,65 M","211,50 M","209,10 M","212,29 M","222,13 M","227,00 M","223,09 M","230,41 M","231,93 M","241,48 M","243,94 M","236,46 M","232,98 M","239,10 M","238,02 M","233,15 M","226,94 M","229,13 M","217,72 M","208,74 M","215,42 M","203,69 M","203,67 M","185,83 M","185,72 M","181,05 M","171,09 M","165,51 M","164,80 M","114,29 M"
Caixa e eq. de caixa,"5,31 M","10,67 M","6,29 M","20,23 M","15,29 M","19,61 M","13,96 M","11,74 M","3,83 M","7,49 M","7,83 M","2,35 M","3,39 M","7,17 M","6,00 M","4,95 M","4,20 M","10,59 M","5,06 M","7,89 M","4,54 M","9,78 M","6,99 M","3,71 M","6,12 M","13,02 M","4,17 M","3,74 M","2,21 M","6,44 M","2,39 M","1,56 M","1,27 M","4,50 M","2,86 M","3,65 M","2,58 M","5,53 M","2,10 M","6,33 M","8,59 M","9,69 M","2,71 M","3,73 M","2,06 M","6,57 M","4,39 M","4,57 M","3,43 M","12,50 M","5,54 M","2,42 M","3,36 M","3,99 M","2,97 M","6,58 M","1,20 M","5,15 M","1,47 M","3,82 M","3,01 M","1,23 M","3,56 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"143,71 M","139,76 M","149,59 M","137,76 M","142,66 M","123,19 M","139,03 M","134,53 M","138,74 M","118,61 M","139,70 M","124,53 M","129,16 M","96,00 M","126,69 M","117,76 M","120,28 M","101,25 M","129,06 M","100,07 M","107,12 M","94,81 M","95,41 M","64,09 M","76,58 M","69,30 M","85,81 M","75,73 M","75,21 M","64,50 M","83,24 M","74,92 M","80,68 M","76,51 M","82,37 M","78,86 M","78,81 M","74,58 M","78,86 M","69,84 M","67,77 M","64,66 M","74,93 M","76,03 M","73,89 M","69,32 M","82,04 M","80,53 M","77,85 M","69,00 M","83,05 M","83,27 M","82,06 M","87,05 M","74,27 M","75,48 M","71,53 M","65,84 M","70,65 M","63,45 M","67,80 M","74,47 M","54,79 M"
Estoques,"144,12 M","153,61 M","151,73 M","151,37 M","163,41 M","167,21 M","152,60 M","139,92 M","135,92 M","134,99 M","129,38 M","131,05 M","120,44 M","124,95 M","114,24 M","112,00 M","127,67 M","130,56 M","117,81 M","108,88 M","109,35 M","99,13 M","85,69 M","83,73 M","90,01 M","92,04 M","88,07 M","83,47 M","88,56 M","105,32 M","103,54 M","103,92 M","102,19 M","105,18 M","103,87 M","103,94 M","105,14 M","111,20 M","112,59 M","113,98 M","120,05 M","126,05 M","127,82 M","129,44 M","129,20 M","128,03 M","120,06 M","122,72 M","124,85 M","122,09 M","116,48 M","109,16 M","103,51 M","101,05 M","97,94 M","93,81 M","88,32 M","87,56 M","79,57 M","78,16 M","70,98 M","66,32 M","40,66 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"245,69 M","243,04 M","243,28 M","240,51 M","236,29 M","221,61 M","216,18 M","212,84 M","222,11 M","217,84 M","209,37 M","204,84 M","200,34 M","198,70 M","190,57 M","190,31 M","182,88 M","184,49 M","186,38 M","175,51 M","177,26 M","177,95 M","178,20 M","182,38 M","186,71 M","190,54 M","194,08 M","205,09 M","201,78 M","170,63 M","171,77 M","174,31 M","175,95 M","179,21 M","182,28 M","182,21 M","183,86 M","185,55 M","187,17 M","190,16 M","191,60 M","195,24 M","197,81 M","197,89 M","199,23 M","202,81 M","204,40 M","205,79 M","191,58 M","194,68 M","192,27 M","183,43 M","180,60 M","177,55 M","168,51 M","165,84 M","161,40 M","157,85 M","154,38 M","154,26 M","161,25 M","153,13 M","150,18 M"
Investimentos,"2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","2,09 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","1,96 M","156,00 Mil",0,0,0,0,"198,00 Mil",0,"198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil","198,00 Mil"
Imobilizado,"230,56 M","228,40 M","227,94 M","222,02 M","217,49 M","203,74 M","198,31 M","194,38 M","192,68 M","188,92 M","181,19 M","177,75 M","174,16 M","171,62 M","164,60 M","164,81 M","158,74 M","160,53 M","162,40 M","162,45 M","164,36 M","164,91 M","165,88 M","169,87 M","174,12 M","177,87 M","181,13 M","158,77 M","162,28 M","133,85 M","136,68 M","139,06 M","139,03 M","141,95 M","144,89 M","147,86 M","150,80 M","154,18 M","157,29 M","159,80 M","160,78 M","164,01 M","166,27 M","165,80 M","166,88 M","170,41 M","171,77 M","176,95 M","162,64 M","165,28 M","163,12 M","154,10 M","151,17 M","153,56 M","153,68 M","151,21 M","146,68 M","144,97 M","143,68 M","143,35 M","138,95 M","131,04 M","128,13 M"
