Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"4,14","5,31","7,62","4,08","4,66","3,86","12,79","6,05","6,21","-6,20","-4,29","6,26","7,06","1,04","9,64","14,90","8,90"
P/VP,"2,18","1,18","1,50","0,93","0,98","1,16","1,08","0,70","0,35","0,63","0,73","0,87","0,97","0,74","1,38","1,28","1,07"
P/EBIT,"2,94","3,74","4,44","2,65","4,43","4,38","20,64","41,57","-239,87","-11,92","-2,49","9,39","3,02","1,07","16,40","7,18","4,94"
P/EBIT *,"2,81","3,08","3,35","1,69","5,10","44,61","9,60","-24,10","-9,71","10,49","-2,37","9,45","3,09","13,58","32,89","6,97","5,42"
PSR,"0,65","0,39","0,56","0,41","0,78","1,27","0,88","0,86","0,40","0,40","0,41","0,40","0,55","0,91","1,05","1,00","0,85"
P/Ativos,"1,12","0,67","0,92","0,59","0,67","0,83","0,76","0,52","0,26","0,43","0,52","0,61","0,72","0,47","1,01","0,99","0,79"
LPA,"14,54","5,95","4,83","5,84","5,61","8,58","1,78","2,84","1,30","-2,25","-4,28","4,10","5,33","42,06","3,98","2,25","3,01"
VPA,"27,53","26,82","24,49","25,55","26,77","28,48","21,05","24,66","23,11","22,29","25,30","29,61","38,55","58,84","27,83","26,04","25,05"
EBIT por ação,"20,48","8,45","8,29","9,00","5,90","7,56","1,11","0,41","-0,03","-1,17","-7,38","2,74","12,46","40,65","2,34","4,66","5,42"
EBIT por ação *,"21,37","10,26","10,97","14,12","5,12","0,74","2,38","-0,71","-0,83","1,33","-7,78","2,72","12,16","3,22","1,17","4,79","4,94"
Ativo por ação,"53,65","47,22","40,06","40,18","39,16","39,74","30,00","32,72","31,67","32,15","35,69","41,87","51,83","92,68","37,91","33,73","33,94"
Receita líquida por ação,"92,12","80,53","66,31","57,72","33,42","26,17","25,88","19,88","20,09","35,09","45,32","64,06","68,46","47,72","36,52","33,52","31,52"
Margem bruta,"37,94%","27,71%","34,77%","42,02%","35,77%","27,94%","31,97%","31,97%","30,53%","28,67%","16,12%","22,83%","32,18%","23,64%","24,37%","36,58%","29,52%"
