Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,57","9,18","6,16","7,62","6,51","4,63","3,61","4,29","3,87","5,02",-,-,-,-,-,-,-,-
P/VP,"1,69","1,91","1,50","1,60","1,44","1,53","1,35","0,95","0,91","0,75",-,-,-,-,-,-,-,-
P/EBIT,"5,01","5,30","3,64","4,46","3,87","2,98","2,56","3,13","2,90","3,51",-,-,-,-,-,-,-,-
P/EBIT *,"5,88","6,36","4,74","5,46","5,03","3,84","3,43","4,14","3,67","4,30",-,-,-,-,-,-,-,-
PSR,"2,87","3,14","2,80","3,10","3,61","2,95","2,29","2,58","2,53","3,02",-,-,-,-,-,-,-,-
P/Ativos,"0,58","0,64","0,51","0,54","0,55","0,65","0,58","0,42","0,48","0,40",-,-,-,-,-,-,-,-
LPA,"1,52","1,53","1,64","1,32","1,40","2,14","2,19","1,07","1,04","0,63",-,-,-,-,-,-,-,-
VPA,"7,70","7,36","6,71","6,31","6,36","6,47","5,83","4,83","4,42","4,21",-,-,-,-,-,-,-,-
EBIT por ação,"2,60","2,65","2,77","2,26","2,36","3,32","3,09","1,46","1,38","0,90",-,-,-,-,-,-,-,-
EBIT por ação *,"2,21","2,21","2,13","1,84","1,82","2,58","2,30","1,11","1,09","0,73",-,-,-,-,-,-,-,-
Ativo por ação,"22,51","21,78","19,77","18,71","16,75","15,38","13,65","10,93","8,34","7,79",-,-,-,-,-,-,-,-
Receita líquida por ação,"4,53","4,47","3,60","3,25","2,53","3,36","3,45","1,78","1,58","1,04",-,-,-,-,-,-,-,-
Margem bruta,"54,77%","55,07%","66,49%","63,08%","80,95%","81,31%","70,57%","68,80%","77,84%","81,64%","89,27%","92,32%","88,58%","84,90%","91,53%","93,28%","91,16%","75,38%"
Margem líquida,"33,52%","34,17%","45,56%","40,70%","55,39%","63,76%","63,54%","60,12%","65,51%","60,19%","61,97%","58,96%","60,49%","61,67%","52,29%","51,97%","53,67%","40,23%"
Margem EBIT,"57,40%","59,17%","77,01%","69,44%","93,30%","98,94%","89,71%","82,26%","87,44%","86,00%","98,57%","99,68%","101,32%","91,25%","93,28%","89,03%","85,36%","71,29%"
Margem EBIT *,"48,91%","49,29%","59,15%","56,72%","71,71%","76,83%","66,80%","62,34%","69,02%","70,35%","81,62%","85,62%","83,74%","78,89%","85,40%","89,03%","89,26%","73,99%"
