Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"27,15 M","54,79 M","81,49 M","31,37 M","46,89 M","117,79 M","86,92 M","178,51 M","87,40 M","126,50 M","85,92 M","101,81 M","139,73 M","77,16 M","72,15 M","40,57 M","47,48 M","22,79 M","25,43 M","65,47 M","32,68 M","43,70 M","59,06 M","33,82 M","44,06 M","131,62 M","74,61 M","47,30 M","112,43 M","96,79 M","23,94 M","90,99 M","81,68 M","70,30 M","12,49 M","124,86 M","100,34 M","77,80 M","5,12 M","100,53 M","157,63 M","143,74 M","377,45 M","368,29 M","382,28 M","346,81 M","385,73 M","506,31 M","373,66 M","465,18 M","436,29 M","500,69 M","430,09 M","283,58 M","297,38 M","297,29 M","235,84 M","369,35 M","396,66 M","413,28 M","416,86 M","611,79 M","354,71 M","250,47 M","198,25 M"
Custos,"-24,44 M","-58,52 M","-78,07 M","-61,00 M","-51,42 M","-131,30 M","-98,25 M","-184,19 M","-95,17 M","-151,67 M","-83,10 M","-87,34 M","-110,97 M","-66,66 M","-61,78 M","-38,69 M","-42,39 M","-24,71 M","-27,31 M","-58,81 M","-27,33 M","-44,95 M","-64,87 M","-35,68 M","-51,31 M","-128,52 M","-78,96 M","-54,10 M","-72,89 M","-106,58 M","-47,34 M","-98,16 M","-78,93 M","-99,15 M","-30,57 M","-174,92 M","-114,54 M","-111,74 M","-52,55 M","-115,07 M","-139,43 M","-143,26 M","-271,85 M","-248,73 M","-280,93 M","-258,36 M","-276,08 M","-337,01 M","-278,04 M","-354,48 M","-298,54 M","-332,37 M","-300,85 M","-269,69 M","-256,45 M","-247,34 M","-187,57 M","-335,98 M","-285,06 M","-291,17 M","-296,13 M","-458,29 M","-248,20 M","-164,61 M","-131,03 M"
Lucro bruto,"2,71 M","-3,73 M","3,41 M","-29,64 M","-4,53 M","-13,51 M","-11,33 M","-5,68 M","-7,77 M","-25,17 M","2,82 M","14,47 M","28,76 M","10,50 M","10,37 M","1,88 M","5,08 M","-1,92 M","-1,88 M","6,66 M","5,34 M","-1,25 M","-5,80 M","-1,86 M","-7,25 M","3,10 M","-4,34 M","-6,79 M","39,54 M","-9,79 M","-23,40 M","-7,17 M","2,75 M","-28,85 M","-18,09 M","-50,06 M","-14,19 M","-33,94 M","-47,43 M","-14,54 M","18,20 M","479,00 Mil","105,60 M","119,56 M","101,35 M","88,45 M","109,64 M","169,30 M","95,62 M","110,70 M","137,75 M","168,33 M","129,23 M","13,88 M","40,93 M","49,95 M","48,27 M","33,37 M","111,60 M","122,11 M","120,73 M","153,50 M","106,51 M","85,85 M","67,22 M"
Despesas operacionais,"2,35 M","-462,00 Mil","5,90 M","-14,48 M","8,41 M","-32,88 M","-16,15 M","-16,88 M","-3,23 M","-25,23 M","-5,78 M","-5,03 M","-19,22 M","9,84 M","-6,15 M","-6,34 M","-2,51 M","-44,84 M","-24,45 M","-47,75 M","-19,27 M","-20,74 M","-23,12 M","-37,37 M","-45,17 M","-54,78 M","-39,05 M","-121,37 M","-28,55 M","-38,77 M","-43,69 M","-56,55 M","-40,07 M","-135,94 M","-108,20 M","-70,67 M","-47,56 M","-216,88 M","-66,61 M","-80,20 M","-23,67 M","155,23 M","-82,70 M","-82,38 M","-67,20 M","-75,25 M","-62,98 M","-79,67 M","-61,94 M","-55,83 M","-61,42 M","-59,26 M","-47,44 M","-108,04 M","-87,67 M","-48,55 M","-53,92 M","-92,42 M","-54,10 M","-58,35 M","-53,12 M","-92,50 M","-44,08 M","-35,43 M","-28,06 M"
Despesas com vendas,"-1,96 M","-2,26 M","-4,23 M","-3,45 M","-3,24 M","-5,13 M","-6,78 M","-5,37 M","-5,50 M","-7,93 M","-5,30 M","-6,59 M","-7,54 M","-7,54 M","-7,12 M","-8,99 M","-5,90 M","-10,33 M","-9,03 M","-6,28 M","-6,79 M","-5,62 M","-4,74 M","-3,26 M","-4,65 M","-5,84 M","-5,28 M","-5,63 M","-3,54 M","-5,78 M","-3,93 M","-6,57 M","-3,92 M","-7,17 M","-9,82 M","-9,85 M","-6,98 M","-10,29 M","-8,02 M","-8,35 M","-8,09 M","-10,85 M","-16,49 M","-14,03 M","-9,65 M","-11,14 M","-12,98 M","-22,18 M","-14,86 M","-20,51 M","-20,56 M","-23,23 M","-18,29 M","-29,52 M","-17,85 M","-14,24 M","-15,43 M","-21,90 M","-17,13 M","-27,74 M","-21,78 M","-26,47 M","-17,77 M","-13,11 M","-9,56 M"
Despesas administrativas,"-12,78 M","-13,49 M","-11,90 M","-11,82 M","-14,96 M","-13,70 M","-13,83 M","-14,00 M","-13,33 M","-24,38 M","-12,87 M","-8,72 M","-12,70 M","-24,22 M","-12,67 M","-14,06 M","-13,46 M","-18,44 M","-16,94 M","-10,63 M","-18,50 M","-16,82 M","-17,37 M","-15,84 M","-15,66 M","-16,70 M","-15,56 M","-16,94 M","-14,29 M","-15,16 M","-14,90 M","-15,21 M","-15,25 M","-16,89 M","-16,42 M","-18,50 M","-23,99 M","-26,13 M","-30,15 M","-28,47 M","-28,05 M","-32,89 M","-41,29 M","-45,63 M","-45,31 M","-47,18 M","-47,51 M","-45,11 M","-41,88 M","-37,53 M","-47,40 M","-44,72 M","-40,52 M","-55,54 M","-37,53 M","-37,22 M","-35,77 M","-34,73 M","-32,39 M","-30,17 M","-26,93 M","-36,19 M","-21,84 M","-21,92 M","-17,29 M"
EBIT,"5,06 M","-4,19 M","9,32 M","-44,12 M","3,88 M","-46,40 M","-27,47 M","-22,56 M","-11,00 M","-50,41 M","-2,97 M","9,44 M","9,54 M","20,34 M","4,22 M","-4,46 M","2,58 M","-46,76 M","-26,33 M","-41,09 M","-13,93 M","-21,99 M","-28,93 M","-39,23 M","-52,42 M","-51,67 M","-43,39 M","-128,16 M","10,99 M","-48,56 M","-67,09 M","-63,72 M","-37,32 M","-164,78 M","-126,28 M","-120,73 M","-61,76 M","-250,82 M","-114,05 M","-94,75 M","-5,46 M","155,71 M","22,89 M","37,18 M","34,14 M","13,20 M","46,67 M","89,63 M","33,68 M","54,87 M","76,33 M","109,06 M","81,80 M","-94,16 M","-46,74 M","1,41 M","-5,65 M","-59,06 M","57,49 M","63,75 M","67,61 M","61,01 M","62,43 M","50,43 M","39,16 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-24,96 M","-19,41 M","-15,20 M","-14,04 M","-10,19 M","-4,60 M","-12,47 M","-6,42 M","-7,52 M","-2,97 M","-2,46 M","-1,71 M","-1,88 M","-1,51 M","736,00 Mil","-3,99 M","-8,23 M","-11,60 M","-17,78 M","-12,08 M","-11,58 M","-7,31 M","-5,36 M","-187,00 Mil","-5,69 M","-7,50 M","-9,99 M","-15,68 M","-11,29 M","-16,64 M","-8,58 M","-21,66 M","-14,47 M","-13,34 M","-17,75 M","-21,13 M","-322,00 Mil","-2,44 M","2,65 M","2,13 M","12,34 M","13,13 M","11,54 M","24,66 M","22,89 M","15,30 M","9,17 M","17,68 M","18,99 M","8,06 M","7,73 M","-8,52 M","-5,87 M","-18,36 M","-2,62 M","12,43 M","7,09 M","16,36 M","7,50 M","23,33 M","15,75 M","2,54 M","9,48 M","5,70 M","12,01 M"
Antes dos impostos,"-19,90 M","-23,61 M","-5,88 M","-58,15 M","-6,31 M","-51,00 M","-39,94 M","-28,98 M","-18,52 M","-53,38 M","-5,42 M","7,73 M","7,66 M","18,83 M","4,95 M","-8,45 M","-5,66 M","-58,36 M","-44,11 M","-53,17 M","-25,51 M","-29,30 M","-34,29 M","-39,41 M","-58,10 M","-59,18 M","-53,38 M","-143,85 M","-302,00 Mil","-65,20 M","-75,67 M","-85,38 M","-51,80 M","-178,12 M","-144,03 M","-141,85 M","-62,08 M","-253,26 M","-111,40 M","-92,62 M","6,87 M","168,85 M","34,43 M","61,84 M","57,03 M","28,50 M","55,84 M","107,31 M","52,67 M","62,93 M","84,06 M","100,55 M","75,93 M","-112,53 M","-49,36 M","13,83 M","1,44 M","-42,70 M","64,99 M","87,09 M","83,36 M","63,55 M","71,91 M","56,13 M","51,17 M"
