Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"160,55 M","106,14 M","109,93 M","114,39 M","131,55 M","104,41 M","99,80 M","78,56 M","109,81 M","108,75 M","101,20 M","97,08 M","90,37 M","101,71 M","84,59 M","71,17 M","86,41 M","65,54 M","66,02 M","67,69 M","68,63 M","70,80 M","63,89 M","63,51 M","60,26 M","58,89 M","44,15 M","40,95 M","101,13 M","38,84 M","29,12 M","30,56 M","23,91 M","16,60 M","16,42 M","16,37 M","16,98 M","13,25 M","12,26 M","13,56 M","12,55 M","15,52 M","9,17 M","7,85 M","16,44 M","131,43 M","4,51 M","3,16 M","1,19 M","37,51 M","1,50 M","1,32 M","1,60 M","438,00 Mil","140,00 Mil","175,00 Mil","99,00 Mil",0,0,0,0,0,0,0
Custos,"-182,89 M","-160,02 M","-160,77 M","-159,32 M","-162,04 M","-156,87 M","-157,07 M","-154,44 M","-152,91 M","-152,78 M","-166,16 M","-139,51 M","-137,21 M","-146,14 M","-128,69 M","-123,26 M","-132,25 M","-132,52 M","-128,63 M","-122,19 M","-130,60 M","-111,82 M","-113,11 M","-102,98 M","-111,78 M","-104,50 M","-100,92 M","-100,71 M","-103,64 M","-92,66 M","-58,83 M","-62,76 M","-53,77 M","-47,59 M","-43,97 M","-47,91 M","-30,41 M","-42,93 M","-41,51 M","-44,82 M","-45,54 M","-40,64 M","-35,72 M","-40,25 M","-48,10 M","-69,32 M","-33,26 M","-31,24 M","-13,42 M","-25,70 M","-13,79 M","-4,81 M","-3,48 M","-3,31 M","-1,26 M","-1,22 M","-31,00 Mil",0,0,0,0,0,0,0
Lucro bruto,"-22,34 M","-53,88 M","-50,85 M","-44,93 M","-30,49 M","-52,47 M","-57,27 M","-75,88 M","-43,09 M","-44,03 M","-64,96 M","-42,43 M","-46,84 M","-44,43 M","-44,10 M","-52,09 M","-45,84 M","-66,98 M","-62,61 M","-54,50 M","-61,97 M","-41,02 M","-49,23 M","-39,47 M","-51,51 M","-45,61 M","-56,77 M","-59,77 M","-2,51 M","-53,81 M","-29,71 M","-32,20 M","-29,87 M","-30,99 M","-27,55 M","-31,54 M","-13,43 M","-29,68 M","-29,25 M","-31,26 M","-32,99 M","-25,12 M","-26,55 M","-32,40 M","-31,66 M","62,11 M","-28,75 M","-28,08 M","-12,22 M","11,81 M","-12,29 M","-3,49 M","-1,88 M","-2,88 M","-1,12 M","-1,04 M","68,00 Mil",0,0,0,0,0,0,0
Despesas operacionais,"302,56 M","40,95 M","15,68 M","49,51 M","195,58 M","4,75 M","21,36 M","12,90 M","44,12 M","-35,96 M","60,61 M","58,34 M","43,93 M","33,54 M","39,44 M","2,25 M","52,21 M","33,26 M","69,62 M","7,90 M","33,85 M","31,63 M","34,37 M","20,10 M","161,81 M","-27,66 M","-22,08 M","-21,40 M","1,74 M","-22,81 M","-23,70 M","-26,49 M","-70,80 M","-23,68 M","17,50 M","-14,64 M","-19,55 M","-22,06 M","-24,83 M","-23,87 M","-10,22 M","-10,76 M","-14,93 M","-14,46 M","-10,97 M","-19,42 M","6,31 M","-938,00 Mil","5,21 M","-16,52 M","-38,77 M","-11,94 M","3,64 M","-29,81 M","43,39 M","-14,43 M","-16,12 M","23,89 M","-43,18 M","-9,74 M","878,00 Mil","-4,09 M","-1,29 M","-4,90 M"
Despesas com vendas,"-9,52 M","-8,23 M","-8,53 M","-6,31 M","-7,88 M","-4,66 M","-10,03 M","-7,47 M","-80,00 Mil","-10,54 M","-8,44 M","-6,47 M","-3,25 M","-8,50 M","-1,57 M","-7,89 M","-3,95 M","-5,67 M","-2,24 M","-7,14 M","-6,00 M","-6,07 M","-5,76 M","-2,14 M","-13,20 M","-4,87 M","-6,79 M","-5,72 M","-5,78 M","-7,27 M","-5,68 M","-7,45 M","-28,76 M","-5,81 M","-5,51 M","-4,20 M","-4,17 M","-5,35 M","-5,44 M","-5,45 M","-4,56 M","-4,11 M","-2,81 M","-3,57 M","-3,63 M","-2,33 M","-2,12 M","-1,85 M","-1,99 M","-2,11 M","-2,16 M","-1,50 M","-1,53 M","-1,49 M","-1,52 M","-1,44 M",0,0,0,0,0,0,0,0
Despesas administrativas,"-25,71 M","-24,34 M","-26,45 M","-21,76 M","-23,64 M","-23,81 M","-24,95 M","-20,87 M","-22,52 M","-25,01 M","-19,83 M","-18,96 M","-19,57 M","-24,32 M","-18,07 M","-17,55 M","-17,30 M","-17,32 M","-17,28 M","-15,90 M","-27,97 M","-16,93 M","-15,10 M","-13,96 M","-14,65 M","-15,33 M","-15,65 M","-15,99 M","-16,68 M","-15,39 M","-14,60 M","-17,02 M","-31,22 M","-19,13 M","-13,71 M","-10,16 M","-16,47 M","-15,33 M","-15,71 M","-16,91 M","-12,54 M","-12,71 M","-13,62 M","-13,93 M","-17,09 M","-21,88 M","-13,87 M","-11,07 M","-8,21 M","-12,50 M","-15,70 M","-9,73 M","-10,42 M","-10,32 M","-11,03 M","-11,47 M","-12,12 M","-12,35 M","-13,21 M","-10,86 M","-8,92 M","-3,49 M","-1,76 M","-1,93 M"
EBIT,"280,23 M","-12,93 M","-35,17 M","4,57 M","165,10 M","-47,72 M","-35,91 M","-62,97 M","1,02 M","-79,99 M","-4,35 M","15,91 M","-2,92 M","-10,89 M","-4,66 M","-49,84 M","6,37 M","-33,72 M","7,01 M","-46,60 M","-28,12 M","-9,39 M","-14,86 M","-19,37 M","110,30 M","-73,27 M","-78,85 M","-81,17 M","-769,00 Mil","-76,62 M","-53,40 M","-58,70 M","-100,66 M","-54,67 M","-10,05 M","-46,18 M","-32,99 M","-51,73 M","-54,08 M","-55,13 M","-43,21 M","-35,88 M","-41,48 M","-46,86 M","-42,62 M","42,69 M","-22,45 M","-29,02 M","-7,01 M","-4,71 M","-51,05 M","-15,43 M","1,76 M","-32,68 M","42,27 M","-15,47 M","-16,06 M","23,89 M","-43,18 M","-9,74 M","878,00 Mil","-4,09 M","-1,29 M","-4,90 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-14,83 M","-12,68 M","-15,55 M","-11,20 M","-25,97 M","-14,89 M","-24,16 M","-20,05 M","-15,50 M","-15,86 M","-13,63 M","-14,96 M","-30,48 M","-16,05 M","-27,68 M","-25,94 M","-23,00 M","-16,04 M","-9,81 M","-11,04 M","-5,38 M","-6,76 M","-13,85 M","-8,50 M","-9,14 M","-34,69 M","-35,08 M","-35,72 M","4,02 M","-27,46 M","-7,94 M","-3,97 M","-3,14 M","-157,00 Mil","-12,96 M","-15,99 M","-16,73 M","-17,06 M","-21,83 M","-21,27 M","-18,86 M","-17,45 M","-21,55 M","-22,52 M","-29,91 M","-6,14 M","-12,05 M","-17,85 M","-9,39 M","-22,08 M","-21,78 M","-14,27 M","14,46 M","13,67 M","12,35 M","4,39 M","-1,69 M","1,36 M","-394,00 Mil","-2,10 M","-2,92 M","2,52 M","-43,00 Mil","-3,21 M"
Antes dos impostos,"265,39 M","-25,61 M","-50,72 M","-6,62 M","139,12 M","-62,61 M","-60,06 M","-83,03 M","-14,47 M","-95,85 M","-17,98 M","947,00 Mil","-33,40 M","-26,94 M","-32,34 M","-75,78 M","-16,63 M","-49,76 M","-2,80 M","-57,63 M","-33,50 M","-16,15 M","-28,71 M","-27,86 M","101,16 M","-107,96 M","-113,93 M","-116,89 M","3,25 M","-104,09 M","-61,34 M","-62,67 M","-103,80 M","-54,83 M","-23,01 M","-62,17 M","-49,72 M","-68,79 M","-75,92 M","-76,40 M","-62,07 M","-53,33 M","-63,02 M","-69,38 M","-72,54 M","36,55 M","-34,50 M","-46,87 M","-16,41 M","-26,80 M","-72,84 M","-29,70 M","16,23 M","-19,02 M","54,62 M","-11,07 M","-17,74 M","25,25 M","-43,58 M","-11,84 M","-2,04 M","-1,57 M","-1,34 M","-8,11 M"
