Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,93","7,56","15,10","-15,38","-1,01","-5,15","14,81","8,79","9,22","13,28","4,98","9,30","-1,99","-3,10","-2,28","-0,43","3,42","4,37"
P/VP,"2,64","3,19","1,70","1,72","0,77","0,82","1,96","1,72","1,54","1,22","0,27","0,26","0,27","0,24","0,15","0,14","0,15","0,25"
P/EBIT,"5,88","7,37","5,45","20,29","-1,74","-10,91","11,21","7,97","8,42","11,47","3,19","9,26","-2,54","-3,91","-2,75","-0,44","2,71","3,13"
P/EBIT *,"5,06","6,16","4,39","7,71","-3,14","56,81","8,35","6,29","5,83","5,99","1,97","2,93","-19,91","-2,57","-3,79","-0,51","1,92","3,06"
PSR,"0,80","0,92","0,49","0,51","0,23","0,39","1,30","1,19","1,10","1,04","0,27","0,33","0,49","0,34","0,26","0,63","0,27","0,29"
P/Ativos,"0,50","0,58","0,30","0,32","0,13","0,22","0,70","0,67","0,70","0,66","0,15","0,15","0,13","0,11","0,09","0,08","0,09","0,12"
LPA,"4,92","4,13","0,87","-0,78","-4,46","-1,56","1,63","2,15","1,63","0,87","0,46","0,25","-1,16","-0,74","-1,01","-5,38","0,67","0,53"
VPA,"11,08","9,79","7,72","7,01","5,81","9,82","12,38","11,02","9,77","9,45","8,56","8,90","8,64","9,73","15,03","17,00","15,33","9,23"
EBIT por ação,"4,97","4,23","2,41","0,59","-2,58","-0,74","2,16","2,37","1,79","1,01","0,72","0,25","-0,91","-0,59","-0,84","-5,19","0,85","0,73"
EBIT por ação *,"5,77","5,06","2,99","1,56","-1,43","0,14","2,90","3,01","2,58","1,93","1,16","0,78","-0,12","-0,89","-0,61","-4,49","1,20","0,75"
Ativo por ação,"57,89","54,05","43,64","37,08","33,68","36,23","34,56","28,38","21,38","17,42","15,19","15,55","17,34","20,45","26,93","28,46","24,92","19,39"
Receita líquida por ação,"36,65","34,05","26,79","23,68","19,68","20,72","18,62","15,91","13,72","11,08","8,59","6,94","4,65","6,67","8,72","3,64","8,66","8,06"
Margem bruta,"30,80%","30,08%","27,14%","20,96%","11,39%","17,77%","31,12%","33,23%","34,84%","34,51%","30,68%","28,84%","22,08%","7,98%","12,20%","-62,67%","31,05%","32,05%"
Margem líquida,"12,91%","11,61%","3,07%","-3,53%","-23,03%","-7,74%","8,75%","13,56%","11,98%","7,71%","4,49%","3,49%","-24,97%","-10,35%","-9,91%","-147,93%","7,77%","6,52%"
