Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,56","8,50","7,32","8,12","5,67","7,21","11,42","4,70","10,20","9,31","32,75","17,75","-27,16","16,28","15,62","12,37","8,58","12,61"
P/VP,"2,24","2,37","2,14","1,76","1,18","1,15","1,35","1,58","2,28","2,15","1,21","0,48","1,72","2,01","3,07","2,98","2,30","2,61"
P/EBIT,"6,26","6,32","5,36","6,51","4,49","6,12","7,92","3,76","7,20","8,89","7,99","3,99","4,63","4,96","8,45","6,76","5,72","8,09"
P/EBIT *,"6,72","6,90","5,76","6,97","4,73","6,53","8,41","3,84","6,08","6,54","6,77","2,73","4,58","5,67","9,65","6,76","6,08","8,11"
PSR,"0,88","0,93","0,94","0,93","0,66","0,77","0,83","0,68","0,88","0,89","0,49","0,16","0,43","0,51","0,80","0,80","0,83","0,90"
P/Ativos,"1,49","1,54","1,49","1,23","0,81","0,75","0,82","0,93","1,36","1,15","0,55","0,19","0,59","0,67","1,23","1,26","1,60","1,67"
LPA,"3,61","3,68","4,09","2,75","2,41","1,64","1,12","2,94","1,64","1,57","0,21","0,15","-0,35","0,75","1,26","1,48","1,70","1,16"
VPA,"13,80","13,22","13,96","12,65","11,61","10,31","9,46","8,71","7,34","6,80","5,68","5,54","5,49","6,08","6,42","6,12","6,36","5,60"
EBIT por ação,"4,93","4,95","5,59","3,43","3,05","1,93","1,61","3,68","2,32","1,65","0,86","0,67","2,04","2,46","2,34","2,70","2,55","1,81"
EBIT por ação *,"4,59","4,53","5,19","3,20","2,89","1,81","1,51","3,60","2,75","2,24","1,01","0,98","2,06","2,15","2,05","2,70","2,40","1,80"
Ativo por ação,"20,70","20,25","20,14","18,18","16,83","15,83","15,56","14,93","12,26","12,69","12,55","13,78","15,97","18,19","16,01","14,44","9,10","8,75"
Receita líquida por ação,"34,94","33,72","31,67","23,99","20,76","15,26","15,33","20,41","19,00","16,42","14,00","17,01","21,81","23,91","24,76","22,87","17,68","16,20"
