Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017
P/L,"12,19","15,23","12,10","23,15","14,16","8,47","12,07",--,-,-
P/VP,"2,16","2,74","1,45","2,52","0,93","1,00","0,96",--,-,-
P/EBIT,"8,04","10,35","6,93","13,92","7,49","6,67","7,90",--,-,-
P/EBIT *,"7,70","9,86","6,52","13,58","6,82","7,66","7,01",--,-,-
PSR,"1,96","2,47","1,50","2,76","1,10","1,39","1,29",--,-,-
P/Ativos,"0,92","1,15","0,68","1,19","0,42","0,50","0,53",--,-,-
LPA,"1,81","1,80","0,00","1,19","0,70","0,00","0,77","0,00",-,-
VPA,"10,21","10,02","0,00","10,88","10,62","0,00","9,69","0,00",-,-
EBIT por ação,"2,74","2,65","0,00","1,97","1,32","0,00","1,18","0,00",-,-
EBIT por ação *,"2,87","2,79","2,44","2,02","1,45","1,37","1,33",--,-,-
Ativo por ação,"24,11","23,80","0,00","23,10","23,58","0,00","17,41","0,00",-,-
Receita líquida por ação,"11,29","11,13","0,00","9,96","9,00","0,00","7,22","0,00",-,-
Margem bruta,"54,09%","53,93%","53,26%","51,76%","50,51%","53,24%","53,69%","57,22%","54,11%","20,96%"
Margem líquida,"16,04%","16,20%","12,39%","11,90%","7,76%","16,38%","10,68%","22,21%","45,54%","13,79%"
Margem EBIT,"24,32%","23,83%","21,64%","19,79%","14,68%","20,80%","16,30%","26,40%","19,95%","7,42%"
Margem EBIT *,"25,39%","25,03%","22,98%","20,29%","16,12%","18,11%","18,37%","18,78%","18,51%","7,93%"
Margem EBITDA,"50,57%","50,41%","49,25%","49,65%","46,39%","52,32%","48,31%","55,91%","45,01%","30,51%"
Margem EBITDA *,"51,64%","51,61%","50,59%","50,15%","47,82%","49,63%","50,38%","48,30%","43,57%","31,02%"
Margem operacional,"17,97%","17,13%","14,23%","13,36%","7,99%","17,18%","11,63%","27,48%","21,05%","9,02%"
ROE,"17,74%","17,98%","11,94%","10,91%","6,58%","11,78%","7,95%","17,50%","7,91%","9,25%"
ROA,"0,08","0,08","0,06","0,05","0,03","0,06","0,04","0,10","0,05","0,05"
ROIC,"14,07%","13,82%","12,06%","10,34%","6,66%","10,22%","8,31%","13,89%","2,67%","3,85%"
ROIC *,"14,69%","14,51%","12,81%","10,60%","7,32%","8,90%","9,36%","9,89%","2,47%","4,11%"
Giro do ativo,"0,47","0,47","0,45","0,43","0,38","0,36","0,41","0,44","0,11","0,36"
EBIT *,6.855 mi,6.663 mi,5.847 mi,4.835 mi,3.469 mi,3.269 mi,3.171 mi,3.264 mi,623 mi,58 mi
EBITDA,13.652 mi,13.421 mi,0 mi,11.834 mi,9.987 mi,0 mi,8.341 mi,0 mi,1.515 mi,224 mi
EBITDA *,13.942 mi,13.741 mi,12.874 mi,11.952 mi,10.297 mi,8.961 mi,8.698 mi,8.393 mi,1.467 mi,228 mi
Liquidez corrente,"0,91","0,89","0,99","0,89","0,79","1,45","1,25","1,03","0,84","2,06"
Liquidez seca,"0,89","0,86","0,96","0,86","0,77","1,43","1,22","1,01","0,82","2,06"
Liquidez imediata,"0,26","0,24","0,25","0,24","0,19","0,49","0,31","0,28","0,15","0,38"
Dívida bruta,2.770 mi,2.778 mi,3.035 mi,3.770 mi,4.969 mi,3.845 mi,2.345 mi,2.029 mi,1.663 mi,44 mi
Dívida líquida,-3.059 mi,-3.106 mi,-2.658 mi,-1.266 mi,230 mi,-5.952 mi,-2.301 mi,-898 mi,-184 mi,-155 mi
Capital de giro,-1.316 mi,-1.737 mi,-165 mi,-1.479 mi,-2.754 mi,4.786 mi,2.109 mi,282 mi,-1.094 mi,552 mi
Endividamento geral,"136,13%","137,47%","113,32%","112,41%","122,10%","98,43%","79,68%","80,69%","61,85%","85,79%"
