Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018
Receita líquida,"6,81 B","6,92 B","6,71 B","6,60 B","6,39 B","6,63 B","6,42 B","6,30 B","6,10 B","6,28 B","6,06 B","5,86 B","5,64 B","5,82 B","5,61 B","5,37 B","4,73 B","-13,26 B","4,51 B","4,41 B","4,34 B","17,27 B","4,39 B","3,99 B","4,22 B","4,59 B","4,34 B","4,26 B","4,19 B","2,85 B","173,90 M","171,14 M","174,91 M"
Custos,"-3,24 B","-3,07 B","-3,03 B","-3,09 B","-3,08 B","-3,07 B","-2,96 B","-2,92 B","-2,95 B","-2,91 B","-2,84 B","-2,93 B","-2,81 B","-2,87 B","-2,81 B","-2,68 B","-2,30 B","6,28 B","-2,09 B","-2,10 B","-2,09 B","-8,00 B","-2,05 B","-1,87 B","-1,96 B","-1,95 B","-1,84 B","-1,86 B","-1,96 B","-1,15 B","-123,76 M","-137,28 M","-135,01 M"
Lucro bruto,"3,56 B","3,85 B","3,69 B","3,51 B","3,31 B","3,57 B","3,46 B","3,39 B","3,14 B","3,36 B","3,22 B","2,93 B","2,83 B","2,95 B","2,80 B","2,69 B","2,43 B","-6,98 B","2,42 B","2,31 B","2,25 B","9,27 B","2,34 B","2,12 B","2,25 B","2,64 B","2,50 B","2,40 B","2,23 B","1,70 B","50,14 M","33,85 M","39,90 M"
Despesas operacionais,"-2,05 B","-2,01 B","-2,02 B","-1,96 B","-2,02 B","-1,98 B","-2,03 B","-2,01 B","-2,03 B","-1,68 B","-2,00 B","-1,89 B","-2,05 B","-1,98 B","-2,04 B","-1,96 B","-1,73 B","4,97 B","-1,66 B","-1,65 B","-1,65 B","-6,46 B","-1,65 B","-1,49 B","-1,73 B","-1,70 B","-1,70 B","-241,14 M","-1,73 B","-1,07 B","-26,80 M","-24,78 M","-24,48 M"
Despesas com vendas,"-1,52 B","-1,48 B","-1,50 B","-1,49 B","-1,49 B","-1,44 B","-1,51 B","-1,50 B","-1,47 B","-1,45 B","-1,44 B","-1,37 B","-1,48 B","-1,45 B","-1,49 B","-1,45 B","-1,20 B","3,50 B","-1,20 B","-1,13 B","-1,16 B","-4,44 B","-1,13 B","-1,01 B","-1,21 B","-1,23 B","-1,24 B","-1,25 B","-1,28 B","-820,56 M","-14,78 M","-11,46 M","-12,94 M"
Despesas administrativas,"-470,77 M","-443,55 M","-424,54 M","-430,73 M","-435,67 M","-478,24 M","-430,76 M","-440,37 M","-448,64 M","-449,82 M","-441,44 M","-418,20 M","-449,98 M","-449,89 M","-461,40 M","-448,58 M","-448,87 M","1,25 B","-407,64 M","-421,87 M","-420,48 M","-1,66 B","-412,19 M","-397,10 M","-429,69 M","-424,41 M","-415,48 M","-467,29 M","-396,25 M","-310,21 M","-9,72 M","-10,95 M","-8,21 M"
EBIT,"1,51 B","1,84 B","1,67 B","1,55 B","1,29 B","1,59 B","1,43 B","1,37 B","1,11 B","1,68 B","1,22 B","1,04 B","779,51 M","970,93 M","761,87 M","732,23 M","694,89 M","-2,01 B","755,28 M","663,30 M","592,49 M","2,81 B","682,90 M","634,93 M","522,68 M","934,86 M","793,67 M","2,16 B","503,72 M","624,15 M","23,34 M","9,07 M","15,42 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-529,86 M","-366,32 M","-444,52 M","-374,72 M","-598,47 M","-449,97 M","-459,31 M","-449,95 M","-524,99 M","-477,77 M","-406,32 M","-425,80 M","-223,38 M","-350,08 M","-401,99 M","-438,96 M","-247,98 M","472,62 M","-211,10 M","-36,28 M","-225,24 M","-807,28 M","-243,69 M","-267,92 M","-251,30 M","-205,09 M","-177,85 M","792,35 M","-220,68 M","29,34 M","966,00 Mil","1,05 M","5,38 M"
Antes dos impostos,"984,66 M","1,47 B","1,22 B","1,17 B","693,67 M","1,14 B","971,87 M","924,27 M","587,93 M","1,20 B","812,56 M","613,02 M","556,13 M","620,85 M","359,88 M","293,27 M","446,91 M","-1,54 B","544,18 M","627,02 M","367,25 M","2,01 B","439,20 M","367,01 M","271,38 M","729,77 M","615,82 M","2,95 B","283,04 M","653,50 M","24,31 M","10,13 M","20,79 M"
