Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-0,39",-,-,-,-,-,-,-
P/VP,"0,08",-,-,-,-,-,-,-
P/EBIT,"5,98",-,-,-,-,-,-,-
P/EBIT *,"-5,23",-,-,-,-,-,-,-
PSR,"0,03",-,-,-,-,-,-,-
P/Ativos,"0,02",-,-,-,-,-,-,-
LPA,"-0,43",-,-,-,-,-,-,-
VPA,"2,04",-,-,-,-,-,-,-
EBIT por ação,"0,03",-,-,-,-,-,-,-
EBIT por ação *,"-0,03",-,-,-,-,-,-,-
Ativo por ação,"8,46",-,-,-,-,-,-,-
Receita líquida por ação,"6,67",-,-,-,-,-,-,-
Margem bruta,"52,50%","46,16%","43,40%","39,90%","39,79%","40,05%","40,78%","40,88%"
Margem líquida,"-10,16%","-20,23%","-15,71%","-14,10%","-11,76%","-6,67%","-9,39%","-6,64%"
Margem EBIT,"0,43%","-14,54%","-15,96%","-15,09%","-10,76%","-3,59%","-6,44%","-4,06%"
Margem EBIT *,"-0,49%","-8,25%","-16,02%","-15,34%","-10,97%","-2,97%","-8,32%","-4,01%"
Margem EBITDA,"14,37%","-1,70%","-4,06%","-4,34%","-4,30%","0,68%",--%,--%
Margem EBITDA *,"13,45%","4,59%","-4,12%","-4,59%","-4,50%","1,31%",--%,--%
Margem operacional,"-10,90%","-20,23%","-15,71%","-14,10%","-11,76%","-6,67%","-9,39%","-6,64%"
ROE,"-66,12%","-84,72%","-18,08%","-16,21%","-13,23%","215,23%","658,28%","646,22%"
ROA,"-0,08","-0,08","-0,11","-0,10","-0,08","-0,13","-0,18","-0,18"
ROIC,"0,39%","-6,67%","-15,50%","-17,27%","-12,56%","-13,90%","-23,57%","-23,59%"
ROIC *,"-0,45%","-3,79%","-15,56%","-17,56%","-12,80%","-11,48%","-30,42%","-23,29%"
Giro do ativo,"0,79","0,40","0,68","0,70","0,72","1,94","1,90","2,72"
EBIT *,-8 mi,-67 mi,-87 mi,-98 mi,-80 mi,-18 mi,-34 mi,-13 mi
EBITDA,207 mi,-14 mi,-23 mi,-28 mi,-31 mi,4 mi,--,--
EBITDA *,194 mi,37 mi,-23 mi,-30 mi,-33 mi,7 mi,--,--
Liquidez corrente,"0,88","1,18","2,33","2,85","3,58","0,82","0,64","0,80"
Liquidez seca,"0,52","0,72","2,00","2,39","2,87","0,51","0,37","0,53"
Liquidez imediata,"0,05","0,04","0,78","1,24","1,46","0,09","0,03","0,01"
Dívida bruta,507 mi,357 mi,36 mi,12 mi,180 mi,117 mi,80 mi,14 mi
Dívida líquida,476 mi,334 mi,-117 mi,-224 mi,-92 mi,94 mi,74 mi,13 mi
Capital de giro,-77 mi,106 mi,259 mi,353 mi,481 mi,-45 mi,-67 mi,-23 mi
Endividamento geral,"725,70%","942,73%","69,59%","63,70%","55,90%","-1.758,37%","-3.779,11%","-3.682,41%"
