Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"1,44 B","339,85 Mil","330,22 Mil","381,41 Mil","810,76 M","150,92 Mil","136,90 Mil","144,93 Mil","143,24 M","123,81 M","128,15 M","146,74 M","175,75 M","159,64 M","148,75 M","152,92 M","190,38 M","186,34 M","175,68 M","168,99 M","182,35 M","180,23 M","126,80 M","113,73 M","127,19 M","96,58 M","90,08 M","93,15 M"
Custos,"-685,82 M","-175,86 Mil","-152,77 Mil","-172,30 Mil","-436,47 M","-84,29 Mil","-76,29 Mil","-78,25 Mil","-80,93 M","-70,88 M","-71,98 M","-82,98 M","-101,40 M","-96,05 M","-92,29 M","-93,13 M","-112,27 M","-113,56 M","-109,92 M","-98,51 M","-113,20 M","-104,39 M","-75,71 M","-68,25 M","-74,81 M","-58,35 M","-53,64 M","-54,23 M"
Lucro bruto,"758,16 M","163,99 Mil","177,45 Mil","209,11 Mil","374,29 M","66,63 Mil","60,61 Mil","66,67 Mil","62,31 M","52,93 M","56,17 M","63,76 M","74,35 M","63,59 M","56,46 M","59,79 M","78,12 M","72,79 M","65,75 M","70,48 M","69,16 M","75,84 M","51,09 M","45,48 M","52,39 M","38,23 M","36,44 M","38,92 M"
Despesas operacionais,"-751,98 M","-155,54 Mil","-205,93 Mil","-209,15 Mil","-492,18 M","-85,74 Mil","-78,66 Mil","-87,82 Mil","-85,17 M","-76,91 M","-77,56 M","-82,04 M","-92,92 M","-86,56 M","-85,27 M","-85,56 M","-92,11 M","-98,02 M","-83,13 M","-91,47 M","-86,47 M","-69,30 M","-55,27 M","-52,19 M","-49,24 M","-50,91 M","-48,16 M","-43,90 M"
Despesas com vendas,"-600,49 M","-158,83 Mil","-159,58 Mil","-164,66 Mil","-326,55 M","-66,36 Mil","-65,22 Mil","-66,02 Mil","-59,39 M","-57,65 M","-56,09 M","-60,34 M","-71,53 M","-67,70 M","-64,36 M","-64,81 M","-73,94 M","-73,63 M","-62,24 M","-62,17 M","-70,52 M","-57,55 M","-41,89 M","-39,60 M","-44,28 M","-37,09 M","-35,01 M","-33,93 M"
Despesas administrativas,"-164,63 M","-49,71 Mil","-48,41 Mil","-54,06 Mil","-114,57 M","-19,70 Mil","-22,71 Mil","-21,71 Mil","-25,00 M","-19,33 M","-21,66 M","-22,52 M","-21,01 M","-20,84 M","-20,89 M","-20,76 M","-19,71 M","-22,62 M","-21,30 M","-30,64 M","-14,18 M","-12,36 M","-10,96 M","-12,40 M","-13,83 M","-13,01 M","-12,76 M","-9,94 M"
EBIT,"6,18 M","8,45 Mil","-28,48 Mil",-40,"-117,89 M","-19,11 Mil","-18,05 Mil","-21,15 Mil","-22,85 M","-23,98 M","-21,39 M","-18,28 M","-18,57 M","-22,97 M","-28,81 M","-25,77 M","-13,99 M","-25,24 M","-17,38 M","-21,00 M","-17,32 M","6,54 M","-4,18 M","-6,71 M","3,14 M","-12,67 M","-11,72 M","-4,98 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-163,56 M","-27,95 Mil","-65,94 Mil","-43,82 Mil","-46,13 M","-3,31 Mil","3,01 Mil",-127,"1,68 M","-312,00 Mil","4,24 M","-4,26 M","1,72 M","3,73 M","966,00 Mil","-145,00 Mil","-2,65 M","-448,00 Mil","388,00 Mil","-4,49 M","-6,37 M","-4,66 M","-3,41 M","-4,14 M","-2,46 M","-4,70 M","-2,85 M","-1,99 M"
Antes dos impostos,"-157,38 M","-19,50 Mil","-94,42 Mil","-43,86 Mil","-164,02 M","-22,42 Mil","-15,03 Mil","-21,27 Mil","-21,17 M","-24,29 M","-17,15 M","-22,54 M","-16,85 M","-19,23 M","-27,84 M","-25,91 M","-16,64 M","-25,68 M","-16,99 M","-25,49 M","-23,69 M","1,88 M","-7,60 M","-10,85 M","687,00 Mil","-17,37 M","-14,57 M","-6,97 M"
