Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"20,37","23,49","27,51","22,44","32,43","56,10","55,23","41,46","122,60","56,86","33,02","24,62","24,53","27,48","33,42","32,79","36,61","224,07"
P/VP,"3,80","4,10","4,22","3,49","3,75","4,88","6,26","3,51","5,67","4,19","4,13","3,89","5,78","5,73","7,58","7,39","8,16","51,34"
P/EBIT,"15,77","18,65","23,17","23,53","25,20","38,73","41,40","26,74","32,43","36,82","23,75","21,08","18,58","19,16","23,32","24,48","23,90","150,30"
P/EBIT *,"8,23","9,65","10,94","10,03","11,76","19,09","19,69","11,86","9,64","7,74","5,61","5,58","7,00","7,05","8,81","7,99","8,31","50,34"
PSR,"3,14","3,63","4,02","3,71","4,26","6,94","6,28","3,81","3,46","2,37","2,31","2,52","3,64","3,79","4,90","4,33","4,48","27,26"
P/Ativos,"1,44","2,22","2,31","1,87","1,52","2,08","3,17","2,46","3,05","2,12","2,06","1,81","3,01","3,31","4,87","4,14","3,92","19,97"
LPA,"1,54","1,49","1,20","1,23","0,83","0,61","0,49","0,35","0,10","0,16","0,25","0,33","0,44","0,37","0,35","0,28","0,23","0,20"
VPA,"8,28","8,52","7,81","7,88","7,19","7,06","4,34","4,13","2,15","2,10","2,04","2,06","1,86","1,78","1,52","1,25","1,03","0,88"
EBIT por ação,"1,99","1,87","1,42","1,17","1,07","0,89","0,66","0,54","0,38","0,24","0,35","0,38","0,58","0,53","0,50","0,38","0,35","0,30"
EBIT por ação *,"3,82","3,62","3,01","2,74","2,29","1,81","1,38","1,22","1,26","1,14","1,50","1,44","1,54","1,45","1,31","1,16","1,02","0,89"
Ativo por ação,"21,78","15,77","14,23","14,73","17,71","16,59","8,59","5,90","3,99","4,16","4,08","4,44","3,58","3,08","2,37","2,23","2,16","2,25"
Receita líquida por ação,"10,02","9,63","8,20","7,41","6,33","4,97","4,33","3,81","3,52","3,72","3,64","3,18","2,96","2,69","2,36","2,13","1,88","1,65"
Margem bruta,"70,63%","70,26%","70,32%","70,62%","69,81%","69,14%","67,41%","64,53%","64,99%","61,23%","59,85%","62,99%","65,90%","66,42%","67,69%","67,08%","66,58%","67,68%"
Margem líquida,"15,85%","15,95%","14,96%","17,22%","13,80%","12,56%","11,36%","9,23%","2,87%","4,19%","6,97%","10,21%","14,83%","13,84%","14,65%","13,24%","12,18%","12,43%"
Margem EBIT,"19,91%","19,45%","17,34%","15,78%","16,90%","17,93%","15,16%","14,25%","10,66%","6,45%","9,72%","11,96%","19,58%","19,79%","20,99%","17,68%","18,74%","18,14%"
Margem EBIT *,"38,13%","37,61%","36,70%","37,04%","36,21%","36,38%","31,87%","32,13%","35,89%","30,66%","41,15%","45,20%","52,01%","53,81%","55,60%","54,19%","53,92%","54,16%"
Margem EBITDA,"25,93%","25,36%","23,71%","22,15%","23,13%","24,62%","23,04%","20,69%","16,46%","13,22%","15,75%","17,39%","24,60%","24,92%","26,74%","24,13%","25,64%","25,21%"
Margem EBITDA *,"44,15%","43,52%","43,07%","43,41%","42,44%","43,07%","39,75%","38,57%","41,68%","37,43%","47,18%","50,63%","57,03%","58,93%","61,35%","60,64%","60,81%","61,23%"
Margem operacional,"17,76%","18,05%","15,45%","15,39%","17,44%","16,11%","14,72%","14,20%","8,75%","4,68%","8,04%","13,35%","20,33%","19,63%","20,38%","16,30%","14,34%","14,98%"
ROE,"17,95%","16,91%","14,75%","15,25%","11,41%","8,34%","11,33%","8,50%","4,71%","7,39%","12,47%","15,75%","23,50%","20,85%","22,69%","22,59%","21,78%","22,67%"
ROA,"0,07","0,10","0,09","0,09","0,05","0,04","0,06","0,06","0,03","0,04","0,06","0,07","0,12","0,12","0,15","0,13","0,11","0,09"
ROIC,"10,57%","15,08%","13,36%","12,64%","8,27%","8,12%","10,25%","16,82%","12,34%","7,19%","9,85%","10,63%","25,24%","25,13%","30,67%","22,56%","20,44%","16,37%"
ROIC *,"20,25%","29,15%","28,28%","29,66%","17,72%","16,48%","21,55%","37,91%","41,52%","34,17%","41,69%","40,15%","67,03%","68,33%","81,24%","69,13%","58,80%","48,86%"
Giro do ativo,"0,46","0,61","0,58","0,50","0,36","0,30","0,50","0,65","0,88","0,89","0,89","0,72","0,83","0,87","1,00","0,96","0,87","0,73"
